Name,BDR,Makespan
j.rnd.10x10.train.1,SPT.MWR.40,1239
j.rnd.10x10.train.2,SPT.MWR.40,1005
j.rnd.10x10.train.3,SPT.MWR.40,957
j.rnd.10x10.train.4,SPT.MWR.40,1073
j.rnd.10x10.train.5,SPT.MWR.40,899
j.rnd.10x10.train.6,SPT.MWR.40,1129
j.rnd.10x10.train.7,SPT.MWR.40,1049
j.rnd.10x10.train.8,SPT.MWR.40,913
j.rnd.10x10.train.9,SPT.MWR.40,878
j.rnd.10x10.train.10,SPT.MWR.40,1065
j.rnd.10x10.train.11,SPT.MWR.40,988
j.rnd.10x10.train.12,SPT.MWR.40,1035
j.rnd.10x10.train.13,SPT.MWR.40,1103
j.rnd.10x10.train.14,SPT.MWR.40,970
j.rnd.10x10.train.15,SPT.MWR.40,1059
j.rnd.10x10.train.16,SPT.MWR.40,1042
j.rnd.10x10.train.17,SPT.MWR.40,1096
j.rnd.10x10.train.18,SPT.MWR.40,1120
j.rnd.10x10.train.19,SPT.MWR.40,1167
j.rnd.10x10.train.20,SPT.MWR.40,1038
j.rnd.10x10.train.21,SPT.MWR.40,1034
j.rnd.10x10.train.22,SPT.MWR.40,978
j.rnd.10x10.train.23,SPT.MWR.40,1198
j.rnd.10x10.train.24,SPT.MWR.40,1015
j.rnd.10x10.train.25,SPT.MWR.40,1002
j.rnd.10x10.train.26,SPT.MWR.40,1059
j.rnd.10x10.train.27,SPT.MWR.40,995
j.rnd.10x10.train.28,SPT.MWR.40,929
j.rnd.10x10.train.29,SPT.MWR.40,1060
j.rnd.10x10.train.30,SPT.MWR.40,983
j.rnd.10x10.train.31,SPT.MWR.40,1154
j.rnd.10x10.train.32,SPT.MWR.40,1070
j.rnd.10x10.train.33,SPT.MWR.40,1049
j.rnd.10x10.train.34,SPT.MWR.40,1016
j.rnd.10x10.train.35,SPT.MWR.40,1189
j.rnd.10x10.train.36,SPT.MWR.40,937
j.rnd.10x10.train.37,SPT.MWR.40,1112
j.rnd.10x10.train.38,SPT.MWR.40,946
j.rnd.10x10.train.39,SPT.MWR.40,995
j.rnd.10x10.train.40,SPT.MWR.40,961
j.rnd.10x10.train.41,SPT.MWR.40,1006
j.rnd.10x10.train.42,SPT.MWR.40,1054
j.rnd.10x10.train.43,SPT.MWR.40,961
j.rnd.10x10.train.44,SPT.MWR.40,1164
j.rnd.10x10.train.45,SPT.MWR.40,1062
j.rnd.10x10.train.46,SPT.MWR.40,1084
j.rnd.10x10.train.47,SPT.MWR.40,975
j.rnd.10x10.train.48,SPT.MWR.40,1095
j.rnd.10x10.train.49,SPT.MWR.40,1002
j.rnd.10x10.train.50,SPT.MWR.40,914
j.rnd.10x10.train.51,SPT.MWR.40,1167
j.rnd.10x10.train.52,SPT.MWR.40,1175
j.rnd.10x10.train.53,SPT.MWR.40,949
j.rnd.10x10.train.54,SPT.MWR.40,1216
j.rnd.10x10.train.55,SPT.MWR.40,1025
j.rnd.10x10.train.56,SPT.MWR.40,1075
j.rnd.10x10.train.57,SPT.MWR.40,1125
j.rnd.10x10.train.58,SPT.MWR.40,1129
j.rnd.10x10.train.59,SPT.MWR.40,1082
j.rnd.10x10.train.60,SPT.MWR.40,981
j.rnd.10x10.train.61,SPT.MWR.40,1117
j.rnd.10x10.train.62,SPT.MWR.40,1066
j.rnd.10x10.train.63,SPT.MWR.40,1180
j.rnd.10x10.train.64,SPT.MWR.40,1079
j.rnd.10x10.train.65,SPT.MWR.40,1076
j.rnd.10x10.train.66,SPT.MWR.40,1288
j.rnd.10x10.train.67,SPT.MWR.40,1092
j.rnd.10x10.train.68,SPT.MWR.40,963
j.rnd.10x10.train.69,SPT.MWR.40,1247
j.rnd.10x10.train.70,SPT.MWR.40,1039
j.rnd.10x10.train.71,SPT.MWR.40,1104
j.rnd.10x10.train.72,SPT.MWR.40,1110
j.rnd.10x10.train.73,SPT.MWR.40,980
j.rnd.10x10.train.74,SPT.MWR.40,960
j.rnd.10x10.train.75,SPT.MWR.40,1102
j.rnd.10x10.train.76,SPT.MWR.40,1055
j.rnd.10x10.train.77,SPT.MWR.40,960
j.rnd.10x10.train.78,SPT.MWR.40,1192
j.rnd.10x10.train.79,SPT.MWR.40,1121
j.rnd.10x10.train.80,SPT.MWR.40,1099
j.rnd.10x10.train.81,SPT.MWR.40,897
j.rnd.10x10.train.82,SPT.MWR.40,1185
j.rnd.10x10.train.83,SPT.MWR.40,1182
j.rnd.10x10.train.84,SPT.MWR.40,925
j.rnd.10x10.train.85,SPT.MWR.40,1046
j.rnd.10x10.train.86,SPT.MWR.40,992
j.rnd.10x10.train.87,SPT.MWR.40,988
j.rnd.10x10.train.88,SPT.MWR.40,1061
j.rnd.10x10.train.89,SPT.MWR.40,1058
j.rnd.10x10.train.90,SPT.MWR.40,1120
j.rnd.10x10.train.91,SPT.MWR.40,921
j.rnd.10x10.train.92,SPT.MWR.40,1050
j.rnd.10x10.train.93,SPT.MWR.40,1063
j.rnd.10x10.train.94,SPT.MWR.40,1004
j.rnd.10x10.train.95,SPT.MWR.40,1099
