Generation,CountEval,Fitness,phi.proc.1,phi.startTime.1,phi.endTime.1,phi.jobOps.1,phi.arrivalTime.1,phi.totProc.1,phi.wait.1,phi.mac.1,phi.macOps.1,phi.macFree.1,phi.makespan.1,phi.step.1,phi.slotReduced.1,phi.slots.1,phi.slotsTotal.1,phi.wrmMac.1,phi.wrmJob.1,phi.wrmTotal.1
1,12,649.1160,0.18499707490311229,-0.059351219279015988,0.054639949132829588,0.30267974687431359,0.15703201861218205,0.19910120077741589,0.2807025172252382,0.05931723574240208,0.12732635725797423,-0.13716256238800661,0.21371441784628725,0.17087041170899062,0.35865255089461867,0.38516688104694996,0.31706045550845174,0.051321625551118813,-0.010898354901792513,-0.067571706105801474
2,24,633.9360,0.092652259997441352,0.13442896406604582,-0.1501893896688262,-0.059458167869957904,0.17229828085890764,0.21317360214047668,0.16936248210758933,0.084260415871285008,0.038649502191791293,-0.2226079325836102,-0.12385419231180352,0.056946120924476415,0.016336339574088816,-0.11737938309672426,0.023469806771105734,0.11115395355755706,-0.091234432744299765,-0.11569729739613117
3,36,588.6660,-0.16869212022714092,-0.05511364002670506,-0.14648579981013352,-0.13671800715539764,-0.047033842875881131,0.15616238138625899,0.24926045907678057,-0.067951014436664181,0.11375851503560441,-0.21922089671490541,-0.14802910459754792,-0.04418126414974681,-0.039044957766910346,-0.072508223119121709,-0.03082048359694866,0.0355960593773939,0.033398203912923294,0.028595108705329005
4,48,586.1580,-0.038790595406527038,-0.21811833673598532,-0.090913856855211667,-0.07081353978450905,-0.066993983794995229,0.15542806483931812,0.25711337946761348,0.18672733686353923,0.062333436825755588,-0.17557869414052091,-0.19954376686267733,-0.052901983762500694,0.067005662485821751,0.0043897928593956284,-0.058623624600832223,0.2076947933341089,-0.17714290300564944,-0.022600915805894319
5,60,585.9720,-0.058838872998118193,-0.12571215124241791,-0.2024404856849826,0.34840327569074153,-0.0225988065439013,0.005610095635361868,0.28859257124413168,-0.0371027894757264,0.030144429425007155,-0.0048398965756992936,0.019812849667881417,-0.064119541025384558,0.17036706133329066,-0.055098360005220962,-0.20344417154717065,0.060763038831840643,-0.007735618173782835,-0.10473389731941933
6,72,580.0280,-0.14070430864152966,-0.083728136438882092,-0.21709357910694549,0.24647473454392518,-0.038479200490026885,0.0684952021384732,0.23232823090245702,0.0024132402047010023,0.13963651668512914,-0.16067553741784915,-0.17746982130477704,-0.12457317527749774,0.042110432413145125,-0.022181413067124879,-0.19214339261570959,0.084660512806788865,0.13290475688602579,0.018536650728841135
7,84,603.2680,-0.13689898659529248,-0.20342333327575618,-0.24920105202235421,0.26106807761887396,-0.090584588365926574,-0.0036524071638150491,0.074033135026067037,-0.12835421417470941,0.20924821131011481,-0.23029070349589381,-0.081799188801647479,-0.028631117988208773,-0.032225645725149535,-0.089517257675389109,-0.0667711294821067,0.097312247816900177,-0.01412005457807918,0.10558818683855885
8,96,607.5800,0.0872118242522683,-0.16853818041302454,-0.27486073825765139,0.15177463257959384,-0.20644682693660146,0.05263405048235064,0.21976208217179535,0.06963865206751689,0.02807738025468064,-0.21073174442709686,0.084892555253328325,0.14536511981890712,0.0066411841259683465,-0.032204784352857861,-0.21483242375238035,0.013948188062618203,-0.0056449811165092678,0.039155410548664449
9,108,589.6180,0.0019048101939987661,-0.24532569073528487,-0.22847950157473121,0.18464777215675959,-0.27861547254815278,-0.072633487687304266,0.12118529219172214,0.11760868008264021,-0.042504592871228042,-0.28481167373303445,-0.15354687895777769,0.089613003351599191,-0.03909309708550434,0.0339772298322892,-0.25304601589095854,0.025277627748109342,0.0039480939844799027,0.17148047118270618
10,120,576.6980,0.12070120353652987,-0.10586406557088461,-0.2614139200485765,0.21567628254019447,-0.20784922935366992,0.062542500166905421,0.23884829136820673,0.21080165193246905,-0.184371002196938,-0.33647588444827536,-0.24507639874413992,0.0852729405009226,-0.060200732719555276,-0.037864030354083172,-0.14877327108789276,0.010480352878540242,0.12396215367016382,0.067649021877568119
11,132,592.2940,0.13269662553622333,-0.15803730588241552,0.015804573768036977,0.00033658149435685219,0.0043395890898539858,0.13649585394564048,0.10837059517455337,0.27040960928574348,-0.004327410897229292,-0.36385058369414314,-0.46910151722837912,0.14697724835171905,0.013457868976012364,0.044343160369193224,-0.084632864049059453,-0.025546701752858749,-0.016058070628333983,-0.0061997949928888048
12,144,576.7700,0.20044188368053067,-0.24383668307807282,-0.13719827276037108,0.083271252778401417,0.023748041064497672,0.059319743535543958,0.12324143932906735,0.181460295813287,0.14412634397867397,-0.36917113957596093,-0.38010921179955531,0.0033882674657862858,0.042906638910732861,-0.066672454011683674,-0.13175540131111046,0.21026461516479344,0.083292085943823216,-0.0043122199267240291
13,156,583.8140,0.099694110940289793,-0.26310843172159926,-0.160130173852204,-0.19811500300227733,-0.1146063273233528,-0.086642350629570986,0.0049495108826890875,0.16566299541152057,-0.013673243425264579,-0.18482329345214066,-0.4547936269156197,0.17089309491338206,0.11389761534332717,-0.11408522260121147,-0.050945841831559091,0.063589238108457929,0.13793593985407451,0.1346846423877254
14,168,579.5540,0.13558138863085581,-0.17699314746176434,-0.31867124093442289,-0.0059189691789199254,0.05353806279734373,-0.04057861646057704,0.072502506966455479,0.14626191404969824,0.0078073487887182855,-0.29690226073843468,-0.43894822086383473,0.20883045581600462,0.030256885955648134,-0.0597098731922839,-0.059476049649748626,0.14857940352933335,0.15677438622772707,0.16623519171613538
15,180,574.6460,0.15348706080102975,-0.26111361935013022,-0.33504392521038429,0.085357459320870355,0.036211077833898805,0.016806424801372004,0.035305381365157811,0.10472940812643701,0.069699110141357948,-0.25319682692734313,-0.37108425054724392,0.28250061522157482,0.16402802628758859,-0.2062541603636652,-0.085644042659514807,0.0793696425790436,0.19225030329292708,0.10565363304387868
16,192,577.6520,0.1440707076452894,-0.16508395041663246,-0.24262521334427931,0.039623908413651161,-0.16587615856884047,-0.030000304849120276,-0.058637515140541073,-0.0204970703837842,0.097697122429665217,-0.37913995714232962,-0.30067641538291129,0.30499438065259976,0.0099788167606754,-0.17116056355649373,-0.16471615582787133,0.049486946958682478,0.21810432968659474,0.013286638302301378
17,204,576.4620,0.25629641587672614,-0.18245852030655432,-0.32704016414107928,0.058248830710381519,-0.1297590934047991,-0.017733216309606406,-0.040706004694137779,-0.0021436069924224829,0.037886860298214288,-0.37897468363075992,-0.30914157585449703,0.23173696883444317,0.1151585334157688,-0.226368475796618,-0.1932439289214048,0.16001447253153905,0.17064334014231838,0.19014964139173529
18,216,573.7780,0.10437118810309033,-0.1868154098293679,-0.32276530306798756,0.094514614622580553,-0.12918098340518255,-0.035047424708325538,0.0079756606206920263,-0.13362362779254258,0.048327989053817862,-0.53899578743920518,-0.2335141099186793,0.1454951363602873,0.091684078401364874,-0.23565353229258204,-0.2107161845499145,0.037610661561872254,0.24599803234256207,0.14999584110165523
19,228,574.4260,0.12283625237142663,-0.19366048252299642,-0.26999632912716004,0.12415674625595545,-0.16026716892730597,-0.028907164482376613,-0.063062127228574155,-0.091769914702925115,-0.010763283208415492,-0.45903286551202105,-0.21947629563867393,0.28141732060425673,0.14905890569715233,-0.25115703460684768,-0.29304155759112477,0.13145839359805345,0.25375052512129559,-0.0010091143977077046
20,240,575.0820,0.09533529171988521,-0.12179016258292161,-0.33782862779552542,-0.041312715065398374,-0.0838271405882961,-0.0081320925550249969,-0.070247826186341178,-0.019894481456666144,-0.023752971092903068,-0.40408628138728331,-0.21459480919834906,0.25433278483938665,0.16941583480771472,-0.31809479738965063,-0.30736966864778809,0.17356575924338488,0.2629179905538252,0.10223018309329536
21,252,575.3840,0.07807973500618115,-0.14350899237336681,-0.29266521896208547,-0.21725641578950103,-0.14499237719644278,-0.031493079581758614,-0.067904523476683534,0.04316446066467769,0.059366709957175266,-0.4433171169949921,-0.22358323958102053,0.24346585742847585,0.25316934675999014,-0.242745822885136,-0.32797303576937226,0.14389075053925307,0.20699852550617567,0.098079023351502412
22,264,576.7380,0.10207513663608137,-0.2117669257463268,-0.32287722500069471,-0.21549471413503365,-0.083700469684990064,-0.068052309458720817,-0.065736037712255516,0.043636420724669125,0.12330068768270427,-0.35944164802310441,-0.080335661987175691,0.32687904743691087,0.26013967378810288,-0.29912663008313645,-0.345521908158823,0.0696389593811669,0.21686139319927511,0.022941873249756519
23,276,575.0240,0.06841452394187332,-0.342316022171709,-0.3492957657459258,-0.17396116464637662,-0.043099780426212257,-0.064172028492392716,-0.076099846171402155,-0.012803196105118864,0.076987847894118264,-0.37493933379296684,-0.095958624383951835,0.35583743705441756,0.2159815477117914,-0.23731832356285074,-0.395621644335284,0.098117527125938131,0.22284014907796879,0.020642328635509917
24,288,573.7760,-0.012133862359026906,-0.25679898716542232,-0.41986613494063224,-0.21674458564719368,-0.092589904481525251,-0.0030011484484883983,-0.0842426834344452,0.028016374951136788,0.20698278547131596,-0.355962273497527,-0.068873828738988327,0.343384547445054,0.29191571500198793,-0.27913384595889162,-0.28405277672080959,0.085429872025830619,0.19033108965325607,0.066228809586097268
25,300,574.8740,-0.038999560879837185,-0.31101978471401287,-0.35749611370582313,-0.17467817086856127,-0.16730657232719576,0.03270256998861755,-0.10975499897287881,-0.0010295494447500378,0.038350854454191986,-0.38076267080153775,-0.078453222584801224,0.36582106632262817,0.25528030293405363,-0.27965995758091589,-0.2798038169338084,0.086460658518729791,0.17361271302708467,0.087781013713517278
26,312,574.9520,0.00979556660000534,-0.27595454933938418,-0.39779194891337544,-0.083265216302808337,-0.10178122437210542,0.031239746168448473,-0.0750069200288703,0.061791746995211956,0.018815113226984335,-0.39488796103768442,-0.140675582268713,0.34875038767194605,0.35224275755164491,-0.19298490000025659,-0.31955530568878565,0.057706934175950034,0.19738901720407437,0.076197088626229523
27,324,574.1280,0.00570164543768726,-0.24749119557778965,-0.44008109958143349,-0.080712808856029924,-0.096415086520383747,0.034222599811450927,-0.062914482379797368,0.086076060409915889,0.12914157436502005,-0.35252831052792366,-0.11029541154884492,0.35985336061059553,0.35680944503123069,-0.17221053307619472,-0.398568118331493,0.022511360838897931,0.19535562775550797,0.054048769342056817
28,336,574.3500,-0.012909070643901958,-0.32617909477389223,-0.39852817410110158,-0.017858502363041217,-0.17669460174717572,0.0507843818788954,-0.0915756371484239,0.0402247802396794,0.12532850796379008,-0.34909000065397133,-0.11358985201194077,0.33461800141831888,0.36319383479569356,-0.14326093364621134,-0.38410228280832714,0.020998966604625791,0.17626856932340373,0.036239016703590678
29,348,573.6960,-0.0071032148241693561,-0.26790946742665339,-0.42198025249382615,0.00501429121243934,-0.15635786185254497,0.086339484865445432,-0.0805562605484447,0.087072523355985046,0.19450145341960848,-0.387798841639047,-0.13014450188703322,0.27422033022282255,0.36879537905517634,-0.13988345469445521,-0.35872609764923913,0.0034833626750667814,0.17053626077076905,0.057790913801459919
30,360,573.6900,-0.026757394014602458,-0.29220812567624455,-0.42435642377775606,0.037821336599146917,-0.14369190016140215,0.091152908427307389,-0.051760899102910277,0.13655806963873737,0.25475370289703064,-0.37837260419307434,-0.19875761078304549,0.2188873879557455,0.4026093407764515,-0.16179124991543664,-0.29895630015802294,-0.0062368488081193784,0.15566021056766421,0.074291403366958469
31,372,572.5240,-0.0498618393971052,-0.22341773924131969,-0.432799572913504,0.079689653907449323,-0.12828434836007419,0.057675730071151676,-0.099107761263139027,0.13652873451344136,0.27981488602173488,-0.38287883204826068,-0.16100991457824188,0.23748465430554463,0.38832716974681952,-0.112965013774689,-0.32901880756380314,-0.058472297583575993,0.20288960627553021,0.078462258209559349
