Generation,CountEval,Fitness,phi.proc.1,phi.startTime.1,phi.endTime.1,phi.jobOps.1,phi.arrival.1,phi.procTotal.1,phi.wait.1,phi.mac.1,phi.macOps.1,phi.macFree.1,phi.makespan.1,phi.step.1,phi.slotReduced.1,phi.slots.1,phi.slotsTotal.1,phi.wrmMac.1,phi.wrmJob.1,phi.wrmTotal.1
1,12,23.7203,0.214161375023736,-0.0148104010249474,-0.17687048936071,0.345168945522576,0.0209007143782353,0.289566406095648,0.1831138481926,0.242447960196657,0.1882599259029,0.0799987634302064,0.264575374307358,0.132999255563945,0.0525951384579306,0.264956618151421,0.158715983662992,0.047763510820991,0.301812838839558,-0.0340373185463804
2,24,22.2309,0.090188991417585,0.0401182909966409,0.011171095705109,0.361045964972478,-0.0238464131018341,0.206900559078205,0.114587950055392,0.0541980477903383,-0.0502641676965104,-0.0991634784084453,-0.00756105859564551,0.0211193077264123,-0.0892238239311555,0.114382657023985,-0.0742074926705597,-0.0306385716903494,0.107054881949169,-0.183189216971156
3,36,13.4199,-0.0225241154794332,-0.113330547395939,-0.0170914531344198,0.136408529328031,-0.183472536328144,0.137135665490258,0.0417349338548601,-0.0411243403658133,-0.0532069688885464,0.0202782636472851,-0.202769748015516,-0.193659325416559,0.0972213780523868,-0.0870521190056371,-0.209731343496752,0.220209683656592,0.106529691929889,-0.261003848014565
4,48,9.6513,-0.064375756256593,-0.0882299101327096,-0.339593429234004,0.185023850236244,-0.134054230365997,0.0388006379674443,0.0753833242853492,-0.0281931472701897,0.040661324542184,0.120583057139977,-0.12327686299874,-0.0960022436862548,0.0566917272932098,0.0378135633772132,-0.0501020094309564,0.155180202851601,0.163356293494915,-0.315048386486483
5,60,12.3771,-0.127298455548763,-0.0579948382806313,-0.283086210952863,-0.0403321703217641,-0.217955872033736,-0.271384044068272,0.0608328382942282,0.0506035007704617,0.0186154293665647,-0.0106272324110835,-0.0637631487895387,0.0406109613398931,0.24634659866048,0.178178406319295,-0.139642860782354,0.00240513996839702,0.334679152646747,-0.137591352565981
6,72,7.9183,0.0622679147675773,-0.0440058554107009,-0.339093556579207,0.0178439312487038,0.04677385160812,-0.00539597861315468,0.157657950247754,0.14552829254746,0.196059289064249,-0.152328621496824,-0.077038706116174,0.127574967275554,0.176115013763109,0.0559913192205361,-0.164074300559129,-0.0368072787949726,0.283593968353924,-0.106411263111047
7,84,7.9019,-0.114055293187136,-0.0969141777587264,-0.387148660510504,0.0682484557189879,-0.199553472463402,-0.0471321967964808,0.00636789442989408,-0.0385380573742129,0.0861949780275716,-0.120117622653064,-0.0795221445787944,0.0668663473543008,0.217773115002554,-0.0586104372614731,0.0139128082067296,0.088258610000401,0.412351671521849,-0.293525663750629
8,96,8.7307,-0.231020837471788,-0.135141096134767,-0.2608680184739,-0.077437770032113,-0.273422201884237,-0.0901576322978401,0.0975019512167349,0.0501483384086265,-0.0336789488451427,-0.0327950052136457,-0.0833900107766551,-0.17220633358856,0.0705640353561157,-0.186707593582996,0.0763237087534877,0.0686536613243965,0.334899871769841,-0.176950557737652
9,108,8.1651,-0.179338323655015,-0.234584741224914,-0.132509633753877,0.00360023987001111,-0.275573238571845,0.0428369865359789,0.0500316837884972,0.0668906007026672,-0.0306781187963871,-0.157734558430713,-0.102306518244881,-0.00999319478895978,0.0614175280181575,-0.00367608658556578,-0.00819011619497055,0.0337583464009188,0.421354865377131,-0.0268263658368605
10,120,9.3004,-0.338488478054902,-0.175281953577602,-0.111719598359617,-0.103741000871023,-0.294565386842082,0.0413746164609412,-0.0195863191280492,-0.0414884650794125,-0.135825283718019,-0.116147410405262,0.0287825860318134,-0.07913664675662,0.0731908369669339,-0.12331206946833,0.00203028343264303,0.0958431767475615,0.339180527366692,0.124838541546985
11,132,7.9112,-0.240879211554314,-0.250881741029441,-0.171563877818445,-0.128644229045046,-0.349961634542814,0.0692286514246404,-0.0801956350748593,-0.0532009274728171,-0.0669357864690521,-0.162020022119433,-0.142090140927434,-0.110752753666646,-0.113237270759009,-0.08018611757082,-0.0417637201550993,0.0499441284691229,0.254085186391546,0.239720414789531
12,144,7.9561,-0.23473342779655,-0.347570035419661,-0.174484353813064,-0.167475776916079,-0.243725327426966,0.114528985958833,-0.0350165588182575,0.0422617044260315,-0.169781818393547,-0.16079416299926,-0.232171218906173,-0.118714844600711,-0.00844417422430205,-0.219823368883616,-0.0836076290914904,0.0723433075223721,0.275071015906214,0.186534179420553
13,156,8.774,-0.189990558920947,-0.32096068659765,-0.174478593865359,-0.260884277217177,-0.269326364623045,-0.038219836942447,0.10942719133731,-0.023851882510059,-0.179910431939747,-0.0426142475624348,-0.245667287502989,-0.0518110117003277,0.0417159556265902,-0.148985250170469,-0.147311847765953,0.126328837453478,0.298902699761372,0.131523369599087
14,168,7.4547,-0.222349353115901,-0.203567108406335,-0.246418642664135,-0.25819232615117,-0.366927276381317,0.0598807113050205,-0.129077626122385,0.0341333927071299,-0.0473850243869642,-0.121958939371625,-0.331807271783109,-0.0242754398068439,0.211268471214515,-0.0669906181854345,-0.139571691166416,0.028310229453601,0.338555442187261,-0.0340747371994295
15,180,8.2102,-0.222275247600509,-0.242552275422711,-0.110482891123136,-0.295839261078964,-0.447050406241404,0.0429631455356609,-0.0609879484144094,0.0596227735596253,0.0265645968952318,-0.153379720507205,-0.283949920145797,-0.0219004599471075,0.159764330215336,0.0376946119296163,-0.0915517433603026,0.0344151809645468,0.248118025625933,-0.149828860098996
16,192,7.6928,-0.227605628501481,-0.251067575105499,-0.0915746101365758,-0.383289778343255,-0.351108518179212,0.0278309251611887,-0.0386511960973894,0.00222112871270138,0.044689942790092,-0.136667618414514,-0.379021829677915,-0.0469736003945312,0.217247726717113,0.169237260615304,-0.0882370404622933,0.0274497347425212,0.275177138485896,-0.080798625148773
17,204,8.1112,-0.105067972514211,-0.211357424254973,-0.16563860088534,-0.306395100202986,-0.41163760356488,0.0488846168535344,-0.0547474331804824,0.0749550837663416,0.0894521148373915,-0.20556583003459,-0.444463121229268,-0.0268761046541165,0.219077136409583,0.0977081115244436,-0.127997095481532,-0.0226271235021141,0.217360466398208,-0.131365228552643
18,216,8.1173,0.00902205814775927,-0.197782218048221,-0.247032079992007,-0.293066456964671,-0.288343412056002,0.0291953888584187,0.00229327248379008,0.178261983412088,0.292668276256925,-0.128388568929946,-0.475333931365196,0.049635338565197,0.226871290176981,-0.0506561176667219,-0.138650597445337,-0.0514797735904932,0.240147017637002,-0.150120749595372
19,228,7.1382,-0.126406114948118,-0.159726127834534,-0.262899463499733,-0.289410004919488,-0.235674879366813,0.0674304271679615,-0.0615821866459607,-0.0142809265114225,0.171329855203327,-0.112310636910897,-0.461398018841248,0.0388011941881736,0.235122298149911,-0.0665195449901246,-0.162926866698429,-0.145937715090122,0.303137552202334,-0.244423896095302
20,240,7.4677,-0.0119133482234491,-0.202102400629868,-0.384422430703106,-0.340411562569371,-0.254945154559527,0.0248222036725989,-0.0932886496952263,-0.0118490337560833,0.112630028821307,-0.106288545093811,-0.38389118009569,0.111033322248395,0.170518867747222,-0.161073926000639,-0.137856506334877,-0.154223443049138,0.314418319115064,-0.186299981689398
21,252,7.2463,-0.0401988018077802,-0.193356080304093,-0.290732500723186,-0.371434257953824,-0.204788147310508,0.0165577749267711,-0.0462174891293934,0.0344403981338396,0.0614678129630502,-0.045758074769226,-0.47225796266967,0.16381199285501,0.200827713557671,-0.149284761032941,-0.176753854521238,-0.216997824936733,0.327061004463015,-0.101676033609523
22,264,7.3364,-0.0515328528295051,-0.150275745871453,-0.247329904068401,-0.221452465160587,-0.162506321498653,-0.00985837235995833,-0.0538013432324385,0.0108019776784923,0.0701191894803424,-0.0483452884518997,-0.399817517584413,0.222559651577791,0.24928550328087,-0.208885275991307,-0.224399656161527,-0.31555952403364,0.425350748943462,-0.134727194021409
23,276,7.5017,-0.0301979795373795,-0.162536439972931,-0.240111801721347,-0.304901091362325,-0.0868740423367649,-0.0375587272632743,-0.0112286538043593,0.0483219920921272,0.0599797035612064,-0.0495537864398966,-0.36136198796255,0.261425546991296,0.29686066708135,-0.188446850808527,-0.189083391915721,-0.345918155598215,0.398656389000637,-0.0969332818045432
24,288,7.2101,0.00445331767557786,-0.110362546581248,-0.239578696877874,-0.320872731485003,-0.0537413814799262,-0.0440615147058314,-0.0327876185404969,0.12265653262274,0.106972550342202,-0.101206576050209,-0.428183429716765,0.264089538607402,0.184810264870503,-0.145122538920853,-0.159771050111942,-0.330697219625705,0.426404148086901,-0.00732917633262775
25,300,7.1037,-0.139972439503275,-0.0957597482197972,-0.36451521149798,-0.38802974056829,-0.0402689533136258,-0.0402473967535748,0.0421200283189875,0.130010340729989,0.112330600094797,-0.0673341123433453,-0.349284919483282,0.210585236664187,0.164507370946002,-0.179552265957481,-0.161642358476786,-0.231477780903993,0.481087328639495,-0.110859276278233
26,312,7.3434,-0.0519164799742742,-0.104540384445743,-0.355064706568933,-0.42343608853438,-0.0717466340194159,-0.017207079992604,0.0224068251340267,0.151062317110315,0.15970200765348,-0.0459533607600886,-0.309667865671465,0.302982893939663,0.211254906960652,-0.222301151664116,-0.124158923178588,-0.184884499353479,0.378360606189004,-0.0478927040621509
27,324,7.3217,0.00235487032046167,-0.188537925414564,-0.323678807453655,-0.364595535547115,-0.0867715584362066,-0.0309382561501141,-0.0709778614901539,0.1850448270029,0.166494781968051,-0.0829397588877532,-0.303980269320753,0.297982583790376,0.206637353070363,-0.20466775902493,-0.125058301550907,-0.233278555097187,0.4171279412062,0.0605447624360665
28,336,7.3688,0.0313816374027144,-0.132787336250401,-0.352696992385161,-0.377870312748842,-0.0464772182438749,0.0223995704507268,-0.0228787570870292,0.147652554439461,0.135973703839774,-0.078294563728325,-0.296639373464056,0.343517069777166,0.204078332598048,-0.20030955640605,-0.206048514704233,-0.207124485681407,0.408234716556309,0.0911070352553302
29,348,7.0547,0.0122601121942973,-0.0519649994873751,-0.415452536493363,-0.367175865949479,-0.0578146878376316,0.0374979171298255,-0.0508277274114804,0.0637103803863803,0.0571706325946162,-0.0878067214453094,-0.282984693172434,0.387557077108806,0.10511444163406,-0.237662364472724,-0.175071672469364,-0.287615603202351,0.373781779536024,0.0884163385642542
30,360,6.9669,0.0341735068915785,-0.0393312045309796,-0.416122639992787,-0.445392291941965,-0.0402840406688287,-0.00606056503028825,-0.00145293575332705,0.0473962150138675,-0.0365927078364549,-0.0828422251363429,-0.330431795274827,0.351145287040931,0.110425846947615,-0.184074854582123,-0.111748671753328,-0.273217702077296,0.403665236116051,0.0987634338485384
31,372,7.13,0.0518020644862709,-0.0386161347943525,-0.395206020571297,-0.455809775950254,-0.0873234252326346,-0.0406314819179482,0.00311010666636904,0.000850134113581749,-0.041384708131502,-0.117505254852318,-0.321764838007684,0.359251814643905,0.0855249670141425,-0.166876953865663,-0.0364447563630461,-0.257695077408105,0.432659187133106,0.156123739920256
32,384,7.2064,0.084064317550937,0.00294808473803574,-0.381558216720981,-0.565486549742896,-0.0679540389351114,-0.0383608493557974,-0.0648418603496045,0.0533676676047975,-0.0333045029269362,-0.0881286403040426,-0.313055796187853,0.304656420607807,0.078949821521536,-0.131528452434911,-0.0730422930042002,-0.261159665345219,0.346691020741865,0.122985736714081
33,396,6.8161,0.116235527546256,-0.00236922640979426,-0.396211807286967,-0.584859308933605,-0.106490028452069,-0.0143121010898515,-0.0845048185624358,0.0373598777242671,0.0797809695444873,-0.0809893530289219,-0.308032778251239,0.295555447596505,0.120959040358466,-0.0968998822177486,-0.146149177017497,-0.207963793627075,0.323750685612633,0.092009781552988
