Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,-0.17266666237525277
Weight,16,1,phi.startTime,NA,-0.49352944740683125
Weight,16,1,phi.endTime,NA,-0.19347339305766312
Weight,16,1,phi.arrival,NA,0.056241044328883834
Weight,16,1,phi.wait,NA,0.11832285363871596
Weight,16,1,phi.macFree,NA,0.21652183073110989
Weight,16,1,phi.makespan,NA,-0.048591749618751817
Weight,16,1,phi.reducedSlack,NA,0.12563052667146785
Weight,16,1,phi.macSlack,NA,0.27491572766480715
Weight,16,1,phi.allSlack,NA,0.047958084628633837
Weight,16,1,phi.jobOps,NA,-0.39927294564572419
Weight,16,1,phi.macOps,NA,-0.50955716784699068
Weight,16,1,phi.jobWrm,NA,-0.028619952620830148
Weight,16,1,phi.macWrm,NA,-0.071299178952680148
Weight,16,1,phi.jobTotProcTime,NA,0.065456310451066257
Weight,16,1,phi.macTotProcTime,NA,-0.30271141906711219
