Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,-0.198485140132146
Weight,16,1,phi.startTime,NA,-0.211983450685178
Weight,16,1,phi.endTime,NA,-0.274822049833221
Weight,16,1,phi.jobOps,NA,-0.00166824795018815
Weight,16,1,phi.arrival,NA,-0.12817779107524
Weight,16,1,phi.wait,NA,-0.0649271707497246
Weight,16,1,phi.mac,NA,0.00335652338446787
Weight,16,1,phi.macOps,NA,-0.0527127725593479
Weight,16,1,phi.macFree,NA,-0.512156930075381
Weight,16,1,phi.makespan,NA,-0.149420706401434
Weight,16,1,phi.slotReduced,NA,0.665275921248508
Weight,16,1,phi.slots,NA,-0.0703630715090102
Weight,16,1,phi.slotsTotal,NA,-0.155229792335453
Weight,16,1,phi.wrmMac,NA,-0.0160028263794902
Weight,16,1,phi.wrmJob,NA,0.218442454667162
Weight,16,1,phi.wrmTotal,NA,0.0554614668496998
