Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,-0.10038055847003824
Weight,16,1,phi.startTime,NA,-0.17423481749583247
Weight,16,1,phi.endTime,NA,0.068864670416985532
Weight,16,1,phi.jobOps,NA,0.35596788864816153
Weight,16,1,phi.arrivalTime,NA,0.15511003958134986
Weight,16,1,phi.wait,NA,-0.13210103141950169
Weight,16,1,phi.mac,NA,-0.033793192264477807
Weight,16,1,phi.macOps,NA,0.075868509158445757
Weight,16,1,phi.macFree,NA,-0.055048803379202482
Weight,16,1,phi.makespan,NA,-0.68694821427588459
Weight,16,1,phi.slotReduced,NA,-0.22169581665759863
Weight,16,1,phi.slots,NA,-0.33291294783387593
Weight,16,1,phi.slotsTotal,NA,-0.078389432785274854
Weight,16,1,phi.wrmMac,NA,0.31639244635830455
Weight,16,1,phi.wrmJob,NA,-0.1189340381432416
Weight,16,1,phi.wrmTotal,NA,0.025313557058971488
