Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,-0.18449737411190054
Weight,16,1,phi.startTime,NA,-0.459780790852596
Weight,16,1,phi.endTime,NA,-0.36736137525327767
Weight,16,1,phi.arrival,NA,-0.029774930282366861
Weight,16,1,phi.wait,NA,-0.016226831062689906
Weight,16,1,phi.macFree,NA,-0.35763720999267529
Weight,16,1,phi.makespan,NA,0.36034272607060824
Weight,16,1,phi.reducedSlack,NA,0.15077198106185979
Weight,16,1,phi.macSlack,NA,0.033790779829889241
Weight,16,1,phi.allSlack,NA,-0.20762306947610432
Weight,16,1,phi.jobOps,NA,0.002049978191802877
Weight,16,1,phi.macOps,NA,-0.0220856162543356
Weight,16,1,phi.jobWrm,NA,0.49854528039664875
Weight,16,1,phi.macWrm,NA,0.17915373475421933
Weight,16,1,phi.jobTotProcTime,NA,-0.023535921868094389
Weight,16,1,phi.macTotProcTime,NA,0.10970931021580077
