Type,NrFeat,Model,Feature,mean,Step.1
Weight,16,1,phi.proc,NA,0.0011742506387047399
Weight,16,1,phi.startTime,NA,-0.25874631750812005
Weight,16,1,phi.endTime,NA,-0.093343812557619435
Weight,16,1,phi.arrival,NA,-0.15800620736474269
Weight,16,1,phi.wait,NA,-0.17826755877668921
Weight,16,1,phi.macFree,NA,-0.67879291745114745
Weight,16,1,phi.makespan,NA,0.081453650770629091
Weight,16,1,phi.reducedSlack,NA,-0.066814873824235635
Weight,16,1,phi.macSlack,NA,0.022674651693339036
Weight,16,1,phi.allSlack,NA,-0.2468580297209412
Weight,16,1,phi.jobOps,NA,0.22172390338297729
Weight,16,1,phi.macOps,NA,-0.1715618385927753
Weight,16,1,phi.jobWrm,NA,0.46498110418621219
Weight,16,1,phi.macWrm,NA,-0.056548872874433949
Weight,16,1,phi.jobTotProcTime,NA,0.034572534640493979
Weight,16,1,phi.macTotProcTime,NA,-0.18730568767628339
