Name,Optimum,Solved
f.rnd.10x10.train.1,1133,opt
f.rnd.10x10.train.2,990,opt
f.rnd.10x10.train.3,928,opt
f.rnd.10x10.train.4,1080,opt
f.rnd.10x10.train.5,910,opt
f.rnd.10x10.train.6,1113,opt
f.rnd.10x10.train.7,1043,opt
f.rnd.10x10.train.8,928,opt
f.rnd.10x10.train.9,1011,opt
f.rnd.10x10.train.10,1061,opt
f.rnd.10x10.train.11,1142,opt
f.rnd.10x10.train.12,986,opt
f.rnd.10x10.train.13,1133,opt
f.rnd.10x10.train.14,1021,opt
f.rnd.10x10.train.15,1041,opt
f.rnd.10x10.train.16,1043,opt
f.rnd.10x10.train.17,1040,opt
f.rnd.10x10.train.18,1058,opt
f.rnd.10x10.train.19,1102,opt
f.rnd.10x10.train.20,945,opt
f.rnd.10x10.train.21,1004,opt
f.rnd.10x10.train.22,1024,opt
f.rnd.10x10.train.23,1113,opt
f.rnd.10x10.train.24,1037,opt
f.rnd.10x10.train.25,948,opt
f.rnd.10x10.train.26,949,opt
f.rnd.10x10.train.27,986,opt
f.rnd.10x10.train.28,982,opt
f.rnd.10x10.train.29,995,opt
f.rnd.10x10.train.30,1047,opt
f.rnd.10x10.train.31,1078,opt
f.rnd.10x10.train.32,1103,opt
f.rnd.10x10.train.33,1021,opt
f.rnd.10x10.train.34,1011,opt
f.rnd.10x10.train.35,1163,opt
f.rnd.10x10.train.36,966,opt
f.rnd.10x10.train.37,1111,opt
f.rnd.10x10.train.38,971,opt
f.rnd.10x10.train.39,967,opt
f.rnd.10x10.train.40,940,opt
f.rnd.10x10.train.41,919,opt
f.rnd.10x10.train.42,1077,opt
f.rnd.10x10.train.43,932,opt
f.rnd.10x10.train.44,1039,opt
f.rnd.10x10.train.45,956,opt
f.rnd.10x10.train.46,988,opt
f.rnd.10x10.train.47,1043,opt
f.rnd.10x10.train.48,1109,opt
f.rnd.10x10.train.49,1043,opt
f.rnd.10x10.train.50,1014,opt
f.rnd.10x10.train.51,1027,opt
f.rnd.10x10.train.52,1183,bks
f.rnd.10x10.train.53,1053,bks
f.rnd.10x10.train.54,1043,opt
f.rnd.10x10.train.55,1098,opt
f.rnd.10x10.train.56,1032,opt
f.rnd.10x10.train.57,962,opt
f.rnd.10x10.train.58,1023,opt
f.rnd.10x10.train.59,1070,opt
f.rnd.10x10.train.60,1054,opt
f.rnd.10x10.train.61,1014,opt
f.rnd.10x10.train.62,1009,opt
f.rnd.10x10.train.63,1123,opt
f.rnd.10x10.train.64,1086,bks
f.rnd.10x10.train.65,1006,opt
f.rnd.10x10.train.66,1009,opt
f.rnd.10x10.train.67,1049,opt
f.rnd.10x10.train.68,1023,opt
f.rnd.10x10.train.69,1162,opt
f.rnd.10x10.train.70,989,opt
f.rnd.10x10.train.71,1103,bks
f.rnd.10x10.train.72,1025,opt
f.rnd.10x10.train.73,997,opt
f.rnd.10x10.train.74,968,opt
f.rnd.10x10.train.75,1070,opt
f.rnd.10x10.train.76,1019,opt
f.rnd.10x10.train.77,945,opt
f.rnd.10x10.train.78,1095,opt
f.rnd.10x10.train.79,1043,opt
f.rnd.10x10.train.80,962,opt
f.rnd.10x10.train.81,956,opt
f.rnd.10x10.train.82,1143,opt
f.rnd.10x10.train.83,1081,opt
f.rnd.10x10.train.84,985,opt
f.rnd.10x10.train.85,966,opt
f.rnd.10x10.train.86,902,opt
f.rnd.10x10.train.87,1027,opt
f.rnd.10x10.train.88,1037,opt
f.rnd.10x10.train.89,1107,opt
f.rnd.10x10.train.90,981,opt
f.rnd.10x10.train.91,1032,opt
f.rnd.10x10.train.92,1064,bks
f.rnd.10x10.train.93,1028,opt
f.rnd.10x10.train.94,1047,opt
f.rnd.10x10.train.95,1081,opt
f.rnd.10x10.train.96,994,opt
f.rnd.10x10.train.97,1099,opt
f.rnd.10x10.train.98,919,opt
f.rnd.10x10.train.99,1026,opt
f.rnd.10x10.train.100,1163,opt
f.rnd.10x10.train.101,967,opt
f.rnd.10x10.train.102,999,opt
f.rnd.10x10.train.103,962,opt
f.rnd.10x10.train.104,1041,opt
f.rnd.10x10.train.105,1066,opt
f.rnd.10x10.train.106,1045,opt
f.rnd.10x10.train.107,1073,opt
f.rnd.10x10.train.108,1008,opt
f.rnd.10x10.train.109,966,opt
f.rnd.10x10.train.110,1026,opt
f.rnd.10x10.train.111,1021,opt
f.rnd.10x10.train.112,1102,opt
f.rnd.10x10.train.113,1036,opt
f.rnd.10x10.train.114,940,opt
f.rnd.10x10.train.115,1006,opt
f.rnd.10x10.train.116,1188,opt
f.rnd.10x10.train.117,984,opt
f.rnd.10x10.train.118,983,opt
f.rnd.10x10.train.119,1078,opt
f.rnd.10x10.train.120,1139,opt
f.rnd.10x10.train.121,1002,opt
f.rnd.10x10.train.122,1022,opt
f.rnd.10x10.train.123,973,opt
f.rnd.10x10.train.124,1019,opt
f.rnd.10x10.train.125,994,opt
f.rnd.10x10.train.126,1076,opt
f.rnd.10x10.train.127,1070,opt
f.rnd.10x10.train.128,1105,opt
f.rnd.10x10.train.129,1071,opt
f.rnd.10x10.train.130,1020,opt
f.rnd.10x10.train.131,1030,opt
f.rnd.10x10.train.132,1035,opt
f.rnd.10x10.train.133,1072,opt
f.rnd.10x10.train.134,995,opt
f.rnd.10x10.train.135,1023,opt
f.rnd.10x10.train.137,1064,opt
f.rnd.10x10.train.138,969,opt
f.rnd.10x10.train.139,950,opt
f.rnd.10x10.train.140,1066,opt
f.rnd.10x10.train.141,1024,opt
f.rnd.10x10.train.142,1032,opt
f.rnd.10x10.train.143,1031,opt
f.rnd.10x10.train.144,1010,opt
f.rnd.10x10.train.145,1122,opt
f.rnd.10x10.train.146,1017,opt
f.rnd.10x10.train.147,1041,opt
f.rnd.10x10.train.148,1006,opt
f.rnd.10x10.train.149,1028,opt
f.rnd.10x10.train.150,1013,opt
f.rnd.10x10.train.151,941,opt
f.rnd.10x10.train.153,1021,opt
f.rnd.10x10.train.154,1001,opt
f.rnd.10x10.train.155,995,opt
f.rnd.10x10.train.156,1010,opt
f.rnd.10x10.train.158,1016,opt
f.rnd.10x10.train.160,1048,opt
f.rnd.10x10.train.161,987,opt
f.rnd.10x10.train.162,1025,opt
f.rnd.10x10.train.163,983,opt
f.rnd.10x10.train.164,957,opt
f.rnd.10x10.train.165,1052,opt
f.rnd.10x10.train.167,1051,opt
f.rnd.10x10.train.168,1021,opt
f.rnd.10x10.train.169,1098,opt
f.rnd.10x10.train.170,1078,opt
f.rnd.10x10.train.171,1047,opt
f.rnd.10x10.train.172,1033,opt
f.rnd.10x10.train.173,985,opt
f.rnd.10x10.train.175,1062,opt
f.rnd.10x10.train.176,1017,opt
f.rnd.10x10.train.177,1029,opt
f.rnd.10x10.train.179,1095,opt
f.rnd.10x10.train.181,1118,opt
f.rnd.10x10.train.182,1024,opt
f.rnd.10x10.train.183,1062,opt
f.rnd.10x10.train.184,1005,opt
f.rnd.10x10.train.185,1104,opt
f.rnd.10x10.train.186,989,opt
f.rnd.10x10.train.187,1019,opt
f.rnd.10x10.train.188,1098,opt
f.rnd.10x10.train.189,1023,opt
f.rnd.10x10.train.191,1061,opt
f.rnd.10x10.train.192,914,opt
f.rnd.10x10.train.194,1057,opt
f.rnd.10x10.train.195,994,opt
f.rnd.10x10.train.196,1082,opt
f.rnd.10x10.train.197,1152,opt
f.rnd.10x10.train.199,970,opt
f.rnd.10x10.train.202,1010,opt
f.rnd.10x10.train.203,1051,opt
f.rnd.10x10.train.205,1014,opt
f.rnd.10x10.train.206,1041,opt
f.rnd.10x10.train.207,970,opt
f.rnd.10x10.train.208,934,opt
f.rnd.10x10.train.209,948,opt
f.rnd.10x10.train.210,1034,opt
