Name,Optimum,Solved
f.rndn.6x5.train.1,507,opt
f.rndn.6x5.train.2,497,opt
f.rndn.6x5.train.3,498,opt
f.rndn.6x5.train.4,506,opt
f.rndn.6x5.train.5,503,opt
f.rndn.6x5.train.6,507,opt
f.rndn.6x5.train.7,504,opt
f.rndn.6x5.train.8,501,opt
f.rndn.6x5.train.9,503,opt
f.rndn.6x5.train.10,505,opt
f.rndn.6x5.train.11,504,opt
f.rndn.6x5.train.12,501,opt
f.rndn.6x5.train.13,512,opt
f.rndn.6x5.train.14,502,opt
f.rndn.6x5.train.15,512,opt
f.rndn.6x5.train.16,506,opt
f.rndn.6x5.train.17,503,opt
f.rndn.6x5.train.18,503,opt
f.rndn.6x5.train.19,509,opt
f.rndn.6x5.train.20,503,opt
f.rndn.6x5.train.21,496,opt
f.rndn.6x5.train.22,506,opt
f.rndn.6x5.train.23,507,opt
f.rndn.6x5.train.24,503,opt
f.rndn.6x5.train.25,500,opt
f.rndn.6x5.train.26,508,opt
f.rndn.6x5.train.27,498,opt
f.rndn.6x5.train.28,493,opt
f.rndn.6x5.train.29,504,opt
f.rndn.6x5.train.30,507,opt
f.rndn.6x5.train.31,507,opt
f.rndn.6x5.train.32,512,opt
f.rndn.6x5.train.33,506,opt
f.rndn.6x5.train.34,505,opt
f.rndn.6x5.train.35,513,opt
f.rndn.6x5.train.36,496,opt
f.rndn.6x5.train.37,494,opt
f.rndn.6x5.train.38,513,opt
f.rndn.6x5.train.39,501,opt
f.rndn.6x5.train.40,493,opt
f.rndn.6x5.train.41,498,opt
f.rndn.6x5.train.42,500,opt
f.rndn.6x5.train.43,490,opt
f.rndn.6x5.train.44,503,opt
f.rndn.6x5.train.45,498,opt
f.rndn.6x5.train.46,518,opt
f.rndn.6x5.train.47,513,opt
f.rndn.6x5.train.48,507,opt
f.rndn.6x5.train.49,506,opt
f.rndn.6x5.train.50,506,opt
f.rndn.6x5.train.51,506,opt
f.rndn.6x5.train.52,515,opt
f.rndn.6x5.train.53,505,opt
f.rndn.6x5.train.54,516,opt
f.rndn.6x5.train.55,509,opt
f.rndn.6x5.train.56,505,opt
f.rndn.6x5.train.57,499,opt
f.rndn.6x5.train.58,511,opt
f.rndn.6x5.train.59,507,opt
f.rndn.6x5.train.60,505,opt
f.rndn.6x5.train.61,504,opt
f.rndn.6x5.train.62,494,opt
f.rndn.6x5.train.63,509,opt
f.rndn.6x5.train.64,506,opt
f.rndn.6x5.train.65,505,opt
f.rndn.6x5.train.66,504,opt
f.rndn.6x5.train.67,502,opt
f.rndn.6x5.train.68,506,opt
f.rndn.6x5.train.69,505,opt
f.rndn.6x5.train.70,502,opt
f.rndn.6x5.train.71,502,opt
f.rndn.6x5.train.72,510,opt
f.rndn.6x5.train.73,498,opt
f.rndn.6x5.train.74,496,opt
f.rndn.6x5.train.75,504,opt
f.rndn.6x5.train.76,504,opt
f.rndn.6x5.train.77,500,opt
f.rndn.6x5.train.78,507,opt
f.rndn.6x5.train.79,508,opt
f.rndn.6x5.train.80,492,opt
f.rndn.6x5.train.81,498,opt
f.rndn.6x5.train.82,507,opt
f.rndn.6x5.train.83,505,opt
f.rndn.6x5.train.84,498,opt
f.rndn.6x5.train.85,508,opt
f.rndn.6x5.train.86,497,opt
f.rndn.6x5.train.87,511,opt
f.rndn.6x5.train.88,501,opt
f.rndn.6x5.train.89,501,opt
f.rndn.6x5.train.90,507,opt
f.rndn.6x5.train.91,504,opt
f.rndn.6x5.train.92,510,opt
f.rndn.6x5.train.93,494,opt
f.rndn.6x5.train.94,503,opt
f.rndn.6x5.train.95,496,opt
f.rndn.6x5.train.96,502,opt
f.rndn.6x5.train.97,506,opt
f.rndn.6x5.train.98,503,opt
f.rndn.6x5.train.99,509,opt
f.rndn.6x5.train.100,509,opt
f.rndn.6x5.train.101,496,opt
f.rndn.6x5.train.102,506,opt
f.rndn.6x5.train.103,497,opt
f.rndn.6x5.train.104,500,opt
f.rndn.6x5.train.105,505,opt
f.rndn.6x5.train.106,500,opt
f.rndn.6x5.train.107,515,opt
f.rndn.6x5.train.108,496,opt
f.rndn.6x5.train.109,505,opt
f.rndn.6x5.train.110,500,opt
f.rndn.6x5.train.111,508,opt
f.rndn.6x5.train.112,504,opt
f.rndn.6x5.train.113,507,opt
f.rndn.6x5.train.114,504,opt
f.rndn.6x5.train.115,496,opt
f.rndn.6x5.train.116,516,opt
f.rndn.6x5.train.117,493,opt
f.rndn.6x5.train.118,503,opt
f.rndn.6x5.train.119,506,opt
f.rndn.6x5.train.120,507,opt
f.rndn.6x5.train.121,499,opt
f.rndn.6x5.train.122,506,opt
f.rndn.6x5.train.123,501,opt
f.rndn.6x5.train.124,512,opt
f.rndn.6x5.train.125,508,opt
f.rndn.6x5.train.126,506,opt
f.rndn.6x5.train.127,499,opt
f.rndn.6x5.train.128,500,opt
f.rndn.6x5.train.129,502,opt
f.rndn.6x5.train.130,501,opt
f.rndn.6x5.train.131,505,opt
f.rndn.6x5.train.132,497,opt
f.rndn.6x5.train.133,514,opt
f.rndn.6x5.train.134,498,opt
f.rndn.6x5.train.135,505,opt
f.rndn.6x5.train.136,503,opt
f.rndn.6x5.train.137,511,opt
f.rndn.6x5.train.138,497,opt
f.rndn.6x5.train.139,501,opt
f.rndn.6x5.train.140,504,opt
f.rndn.6x5.train.141,509,opt
f.rndn.6x5.train.142,514,opt
f.rndn.6x5.train.143,505,opt
f.rndn.6x5.train.144,500,opt
f.rndn.6x5.train.145,514,opt
f.rndn.6x5.train.146,503,opt
f.rndn.6x5.train.147,499,opt
f.rndn.6x5.train.148,508,opt
f.rndn.6x5.train.149,495,opt
f.rndn.6x5.train.150,511,opt
f.rndn.6x5.train.151,494,opt
f.rndn.6x5.train.152,514,opt
f.rndn.6x5.train.153,503,opt
f.rndn.6x5.train.154,503,opt
f.rndn.6x5.train.155,503,opt
f.rndn.6x5.train.156,508,opt
f.rndn.6x5.train.157,514,opt
f.rndn.6x5.train.158,498,opt
f.rndn.6x5.train.159,504,opt
f.rndn.6x5.train.160,506,opt
f.rndn.6x5.train.161,502,opt
f.rndn.6x5.train.162,503,opt
f.rndn.6x5.train.163,505,opt
f.rndn.6x5.train.164,501,opt
f.rndn.6x5.train.165,505,opt
f.rndn.6x5.train.166,508,opt
f.rndn.6x5.train.167,507,opt
f.rndn.6x5.train.168,496,opt
f.rndn.6x5.train.169,507,opt
f.rndn.6x5.train.170,503,opt
f.rndn.6x5.train.171,495,opt
f.rndn.6x5.train.172,501,opt
f.rndn.6x5.train.173,500,opt
f.rndn.6x5.train.174,507,opt
f.rndn.6x5.train.175,509,opt
f.rndn.6x5.train.176,508,opt
f.rndn.6x5.train.177,501,opt
f.rndn.6x5.train.178,508,opt
f.rndn.6x5.train.179,520,opt
f.rndn.6x5.train.180,496,opt
f.rndn.6x5.train.181,516,opt
f.rndn.6x5.train.182,505,opt
f.rndn.6x5.train.183,511,opt
f.rndn.6x5.train.184,503,opt
f.rndn.6x5.train.185,508,opt
