Name,Optimum,Solved
j.rnd.6x5.train.1,497,opt
j.rnd.6x5.train.2,402,opt
j.rnd.6x5.train.3,347,opt
j.rnd.6x5.train.4,492,opt
j.rnd.6x5.train.5,392,opt
j.rnd.6x5.train.6,487,opt
j.rnd.6x5.train.7,392,opt
j.rnd.6x5.train.8,446,opt
j.rnd.6x5.train.9,416,opt
j.rnd.6x5.train.10,433,opt
j.rnd.6x5.train.11,473,opt
j.rnd.6x5.train.12,399,opt
j.rnd.6x5.train.13,505,opt
j.rnd.6x5.train.14,460,opt
j.rnd.6x5.train.15,485,opt
j.rnd.6x5.train.16,499,opt
j.rnd.6x5.train.17,506,opt
j.rnd.6x5.train.18,494,opt
j.rnd.6x5.train.19,523,opt
j.rnd.6x5.train.20,381,opt
j.rnd.6x5.train.21,389,opt
j.rnd.6x5.train.22,485,opt
j.rnd.6x5.train.23,477,opt
j.rnd.6x5.train.24,427,opt
j.rnd.6x5.train.25,447,opt
j.rnd.6x5.train.26,445,opt
j.rnd.6x5.train.27,437,opt
j.rnd.6x5.train.28,372,opt
j.rnd.6x5.train.29,486,opt
j.rnd.6x5.train.30,454,opt
j.rnd.6x5.train.31,442,opt
j.rnd.6x5.train.32,547,opt
j.rnd.6x5.train.33,446,opt
j.rnd.6x5.train.34,461,opt
j.rnd.6x5.train.35,507,opt
j.rnd.6x5.train.36,395,opt
j.rnd.6x5.train.37,387,opt
j.rnd.6x5.train.38,520,opt
j.rnd.6x5.train.39,436,opt
j.rnd.6x5.train.40,351,opt
j.rnd.6x5.train.41,429,opt
j.rnd.6x5.train.42,422,opt
j.rnd.6x5.train.43,339,opt
j.rnd.6x5.train.44,431,opt
j.rnd.6x5.train.45,468,opt
j.rnd.6x5.train.46,511,opt
j.rnd.6x5.train.47,505,opt
j.rnd.6x5.train.48,454,opt
j.rnd.6x5.train.49,415,opt
j.rnd.6x5.train.50,449,opt
j.rnd.6x5.train.51,547,opt
j.rnd.6x5.train.52,516,opt
j.rnd.6x5.train.53,459,opt
j.rnd.6x5.train.54,542,opt
j.rnd.6x5.train.55,513,opt
j.rnd.6x5.train.56,461,opt
j.rnd.6x5.train.57,454,opt
j.rnd.6x5.train.58,486,opt
j.rnd.6x5.train.59,425,opt
j.rnd.6x5.train.60,506,opt
j.rnd.6x5.train.61,432,opt
j.rnd.6x5.train.62,388,opt
j.rnd.6x5.train.63,538,opt
j.rnd.6x5.train.64,458,opt
j.rnd.6x5.train.65,468,opt
j.rnd.6x5.train.66,465,opt
j.rnd.6x5.train.67,389,opt
j.rnd.6x5.train.68,458,opt
j.rnd.6x5.train.69,478,opt
j.rnd.6x5.train.70,480,opt
j.rnd.6x5.train.71,464,opt
j.rnd.6x5.train.72,450,opt
j.rnd.6x5.train.73,428,opt
j.rnd.6x5.train.74,328,opt
j.rnd.6x5.train.75,423,opt
j.rnd.6x5.train.76,414,opt
j.rnd.6x5.train.77,411,opt
j.rnd.6x5.train.78,491,opt
j.rnd.6x5.train.79,436,opt
j.rnd.6x5.train.80,362,opt
j.rnd.6x5.train.81,377,opt
j.rnd.6x5.train.82,421,opt
j.rnd.6x5.train.83,462,opt
j.rnd.6x5.train.84,406,opt
j.rnd.6x5.train.85,479,opt
j.rnd.6x5.train.86,369,opt
j.rnd.6x5.train.87,447,opt
