Name,Optimum,Solved
j.rnd_pj1doubled.10x10.train.1,1063,opt
j.rnd_pj1doubled.10x10.train.2,1158,opt
j.rnd_pj1doubled.10x10.train.3,1097,opt
j.rnd_pj1doubled.10x10.train.4,1180,opt
j.rnd_pj1doubled.10x10.train.5,1107,opt
j.rnd_pj1doubled.10x10.train.6,1404,opt
j.rnd_pj1doubled.10x10.train.7,987,opt
j.rnd_pj1doubled.10x10.train.8,886,opt
j.rnd_pj1doubled.10x10.train.9,1142,opt
j.rnd_pj1doubled.10x10.train.10,1250,opt
j.rnd_pj1doubled.10x10.train.11,974,opt
j.rnd_pj1doubled.10x10.train.12,1076,opt
j.rnd_pj1doubled.10x10.train.13,1010,opt
j.rnd_pj1doubled.10x10.train.14,1302,opt
j.rnd_pj1doubled.10x10.train.15,1053,opt
j.rnd_pj1doubled.10x10.train.16,912,opt
j.rnd_pj1doubled.10x10.train.17,1232,opt
j.rnd_pj1doubled.10x10.train.18,1043,opt
j.rnd_pj1doubled.10x10.train.19,922,opt
j.rnd_pj1doubled.10x10.train.20,899,opt
j.rnd_pj1doubled.10x10.train.21,1082,opt
j.rnd_pj1doubled.10x10.train.22,998,opt
j.rnd_pj1doubled.10x10.train.23,1017,opt
j.rnd_pj1doubled.10x10.train.24,1018,opt
j.rnd_pj1doubled.10x10.train.25,799,opt
j.rnd_pj1doubled.10x10.train.26,844,opt
j.rnd_pj1doubled.10x10.train.27,842,opt
j.rnd_pj1doubled.10x10.train.28,910,opt
j.rnd_pj1doubled.10x10.train.29,980,opt
j.rnd_pj1doubled.10x10.train.30,851,opt
j.rnd_pj1doubled.10x10.train.31,1030,opt
j.rnd_pj1doubled.10x10.train.32,971,opt
j.rnd_pj1doubled.10x10.train.33,946,opt
j.rnd_pj1doubled.10x10.train.34,936,opt
j.rnd_pj1doubled.10x10.train.35,1246,opt
j.rnd_pj1doubled.10x10.train.36,958,opt
j.rnd_pj1doubled.10x10.train.37,888,opt
j.rnd_pj1doubled.10x10.train.38,985,opt
j.rnd_pj1doubled.10x10.train.39,938,opt
j.rnd_pj1doubled.10x10.train.40,1020,opt
j.rnd_pj1doubled.10x10.train.41,1314,opt
j.rnd_pj1doubled.10x10.train.42,1030,opt
j.rnd_pj1doubled.10x10.train.43,1138,opt
j.rnd_pj1doubled.10x10.train.44,870,opt
j.rnd_pj1doubled.10x10.train.45,997,opt
j.rnd_pj1doubled.10x10.train.46,1272,opt
j.rnd_pj1doubled.10x10.train.47,907,opt
j.rnd_pj1doubled.10x10.train.48,1100,opt
j.rnd_pj1doubled.10x10.train.49,840,opt
j.rnd_pj1doubled.10x10.train.50,927,opt
j.rnd_pj1doubled.10x10.train.51,1034,opt
j.rnd_pj1doubled.10x10.train.52,1182,opt
j.rnd_pj1doubled.10x10.train.53,1058,opt
j.rnd_pj1doubled.10x10.train.54,1009,opt
j.rnd_pj1doubled.10x10.train.55,1084,opt
j.rnd_pj1doubled.10x10.train.56,991,opt
j.rnd_pj1doubled.10x10.train.57,922,opt
j.rnd_pj1doubled.10x10.train.58,1214,opt
j.rnd_pj1doubled.10x10.train.59,969,opt
j.rnd_pj1doubled.10x10.train.60,1438,opt
j.rnd_pj1doubled.10x10.train.61,911,opt
j.rnd_pj1doubled.10x10.train.62,1062,opt
j.rnd_pj1doubled.10x10.train.63,1203,opt
j.rnd_pj1doubled.10x10.train.64,1286,opt
j.rnd_pj1doubled.10x10.train.65,1000,opt
j.rnd_pj1doubled.10x10.train.66,1308,opt
j.rnd_pj1doubled.10x10.train.67,905,opt
j.rnd_pj1doubled.10x10.train.68,936,opt
j.rnd_pj1doubled.10x10.train.69,1103,opt
j.rnd_pj1doubled.10x10.train.70,1160,opt
j.rnd_pj1doubled.10x10.train.71,1268,opt
j.rnd_pj1doubled.10x10.train.72,1180,opt
j.rnd_pj1doubled.10x10.train.73,936,opt
j.rnd_pj1doubled.10x10.train.74,1008,opt
j.rnd_pj1doubled.10x10.train.75,1316,opt
j.rnd_pj1doubled.10x10.train.76,917,opt
j.rnd_pj1doubled.10x10.train.77,1140,opt
