Name,Shop,Distribution,Set,PID,NumJobs,NumMachines,Dimension,Makespan
f.rnd.10x10.train.1,f,rnd,train,1,10,10,100,1329
f.rnd.10x10.train.2,f,rnd,train,2,10,10,100,1190
f.rnd.10x10.train.3,f,rnd,train,3,10,10,100,1109
f.rnd.10x10.train.4,f,rnd,train,4,10,10,100,1352
f.rnd.10x10.train.5,f,rnd,train,5,10,10,100,1054
f.rnd.10x10.train.6,f,rnd,train,6,10,10,100,1263
f.rnd.10x10.train.7,f,rnd,train,7,10,10,100,1195
f.rnd.10x10.train.8,f,rnd,train,8,10,10,100,1107
f.rnd.10x10.train.9,f,rnd,train,9,10,10,100,1205
f.rnd.10x10.train.10,f,rnd,train,10,10,10,100,1201
f.rnd.10x10.train.11,f,rnd,train,11,10,10,100,1335
f.rnd.10x10.train.12,f,rnd,train,12,10,10,100,1167
f.rnd.10x10.train.13,f,rnd,train,13,10,10,100,1263
f.rnd.10x10.train.14,f,rnd,train,14,10,10,100,1110
f.rnd.10x10.train.15,f,rnd,train,15,10,10,100,1204
f.rnd.10x10.train.16,f,rnd,train,16,10,10,100,1194
f.rnd.10x10.train.17,f,rnd,train,17,10,10,100,1254
f.rnd.10x10.train.18,f,rnd,train,18,10,10,100,1238
f.rnd.10x10.train.19,f,rnd,train,19,10,10,100,1167
f.rnd.10x10.train.20,f,rnd,train,20,10,10,100,1073
f.rnd.10x10.train.21,f,rnd,train,21,10,10,100,1146
f.rnd.10x10.train.22,f,rnd,train,22,10,10,100,1135
f.rnd.10x10.train.23,f,rnd,train,23,10,10,100,1218
f.rnd.10x10.train.24,f,rnd,train,24,10,10,100,1266
f.rnd.10x10.train.25,f,rnd,train,25,10,10,100,1079
f.rnd.10x10.train.26,f,rnd,train,26,10,10,100,1072
f.rnd.10x10.train.27,f,rnd,train,27,10,10,100,1162
f.rnd.10x10.train.28,f,rnd,train,28,10,10,100,1216
f.rnd.10x10.train.29,f,rnd,train,29,10,10,100,1055
f.rnd.10x10.train.30,f,rnd,train,30,10,10,100,1237
f.rnd.10x10.train.31,f,rnd,train,31,10,10,100,1291
f.rnd.10x10.train.32,f,rnd,train,32,10,10,100,1213
f.rnd.10x10.train.33,f,rnd,train,33,10,10,100,1127
f.rnd.10x10.train.34,f,rnd,train,34,10,10,100,1156
f.rnd.10x10.train.35,f,rnd,train,35,10,10,100,1436
f.rnd.10x10.train.36,f,rnd,train,36,10,10,100,1187
f.rnd.10x10.train.37,f,rnd,train,37,10,10,100,1254
f.rnd.10x10.train.38,f,rnd,train,38,10,10,100,1128
f.rnd.10x10.train.39,f,rnd,train,39,10,10,100,1144
f.rnd.10x10.train.40,f,rnd,train,40,10,10,100,1133
f.rnd.10x10.train.41,f,rnd,train,41,10,10,100,1242
f.rnd.10x10.train.42,f,rnd,train,42,10,10,100,1197
f.rnd.10x10.train.43,f,rnd,train,43,10,10,100,1105
f.rnd.10x10.train.44,f,rnd,train,44,10,10,100,1188
f.rnd.10x10.train.45,f,rnd,train,45,10,10,100,1117
f.rnd.10x10.train.46,f,rnd,train,46,10,10,100,1147
f.rnd.10x10.train.47,f,rnd,train,47,10,10,100,1134
f.rnd.10x10.train.48,f,rnd,train,48,10,10,100,1274
f.rnd.10x10.train.49,f,rnd,train,49,10,10,100,1186
f.rnd.10x10.train.50,f,rnd,train,50,10,10,100,1187
f.rnd.10x10.train.51,f,rnd,train,51,10,10,100,1199
f.rnd.10x10.train.52,f,rnd,train,52,10,10,100,1360
f.rnd.10x10.train.53,f,rnd,train,53,10,10,100,1181
f.rnd.10x10.train.54,f,rnd,train,54,10,10,100,1240
f.rnd.10x10.train.55,f,rnd,train,55,10,10,100,1238
f.rnd.10x10.train.56,f,rnd,train,56,10,10,100,1309
f.rnd.10x10.train.57,f,rnd,train,57,10,10,100,1218
f.rnd.10x10.train.58,f,rnd,train,58,10,10,100,1157
f.rnd.10x10.train.59,f,rnd,train,59,10,10,100,1260
f.rnd.10x10.train.60,f,rnd,train,60,10,10,100,1263
f.rnd.10x10.train.61,f,rnd,train,61,10,10,100,1193
f.rnd.10x10.train.62,f,rnd,train,62,10,10,100,1105
f.rnd.10x10.train.63,f,rnd,train,63,10,10,100,1351
f.rnd.10x10.train.64,f,rnd,train,64,10,10,100,1273
f.rnd.10x10.train.65,f,rnd,train,65,10,10,100,1178
f.rnd.10x10.train.66,f,rnd,train,66,10,10,100,1256
f.rnd.10x10.train.67,f,rnd,train,67,10,10,100,1152
f.rnd.10x10.train.68,f,rnd,train,68,10,10,100,1268
f.rnd.10x10.train.69,f,rnd,train,69,10,10,100,1323
f.rnd.10x10.train.70,f,rnd,train,70,10,10,100,1156
f.rnd.10x10.train.71,f,rnd,train,71,10,10,100,1266
f.rnd.10x10.train.72,f,rnd,train,72,10,10,100,1215
f.rnd.10x10.train.73,f,rnd,train,73,10,10,100,1303
f.rnd.10x10.train.74,f,rnd,train,74,10,10,100,1135
f.rnd.10x10.train.75,f,rnd,train,75,10,10,100,1270
f.rnd.10x10.train.76,f,rnd,train,76,10,10,100,1159
f.rnd.10x10.train.77,f,rnd,train,77,10,10,100,1071
f.rnd.10x10.train.78,f,rnd,train,78,10,10,100,1296
f.rnd.10x10.train.79,f,rnd,train,79,10,10,100,1249
f.rnd.10x10.train.80,f,rnd,train,80,10,10,100,1277
f.rnd.10x10.train.81,f,rnd,train,81,10,10,100,1212
f.rnd.10x10.train.82,f,rnd,train,82,10,10,100,1294
f.rnd.10x10.train.83,f,rnd,train,83,10,10,100,1255
f.rnd.10x10.train.84,f,rnd,train,84,10,10,100,1193
f.rnd.10x10.train.85,f,rnd,train,85,10,10,100,1125
f.rnd.10x10.train.86,f,rnd,train,86,10,10,100,1129
f.rnd.10x10.train.87,f,rnd,train,87,10,10,100,1147
f.rnd.10x10.train.88,f,rnd,train,88,10,10,100,1174
f.rnd.10x10.train.89,f,rnd,train,89,10,10,100,1223
f.rnd.10x10.train.90,f,rnd,train,90,10,10,100,1157
f.rnd.10x10.train.91,f,rnd,train,91,10,10,100,1135
f.rnd.10x10.train.92,f,rnd,train,92,10,10,100,1168
f.rnd.10x10.train.93,f,rnd,train,93,10,10,100,1181
f.rnd.10x10.train.94,f,rnd,train,94,10,10,100,1187
f.rnd.10x10.train.95,f,rnd,train,95,10,10,100,1264
f.rnd.10x10.train.96,f,rnd,train,96,10,10,100,1197
f.rnd.10x10.train.97,f,rnd,train,97,10,10,100,1179
f.rnd.10x10.train.98,f,rnd,train,98,10,10,100,1133
f.rnd.10x10.train.99,f,rnd,train,99,10,10,100,1220
f.rnd.10x10.train.100,f,rnd,train,100,10,10,100,1269
