Name,CDR,Makespan,BestFoundMakespan
f.jc.6x5.train.1,F24.M1,820,820
f.jc.6x5.train.2,F24.M1,389,387
f.jc.6x5.train.3,F24.M1,297,296
f.jc.6x5.train.4,F24.M1,535,535
f.jc.6x5.train.5,F24.M1,578,575
f.jc.6x5.train.6,F24.M1,635,635
f.jc.6x5.train.7,F24.M1,739,738
f.jc.6x5.train.8,F24.M1,685,685
f.jc.6x5.train.9,F24.M1,381,379
f.jc.6x5.train.10,F24.M1,433,433
f.jc.6x5.train.11,F24.M1,550,545
f.jc.6x5.train.12,F24.M1,463,463
f.jc.6x5.train.13,F24.M1,689,688
f.jc.6x5.train.14,F24.M1,694,692
f.jc.6x5.train.15,F24.M1,808,805
f.jc.6x5.train.16,F24.M1,732,728
f.jc.6x5.train.17,F24.M1,400,398
f.jc.6x5.train.18,F24.M1,450,450
f.jc.6x5.train.19,F24.M1,555,555
f.jc.6x5.train.20,F24.M1,598,595
f.jc.6x5.train.21,F24.M1,600,599
f.jc.6x5.train.22,F24.M1,665,665
f.jc.6x5.train.23,F24.M1,696,695
f.jc.6x5.train.24,F24.M1,827,822
f.jc.6x5.train.25,F24.M1,189,189
f.jc.6x5.train.26,F24.M1,466,460
f.jc.6x5.train.27,F24.M1,421,419
f.jc.6x5.train.28,F24.M1,557,556
f.jc.6x5.train.29,F24.M1,640,635
f.jc.6x5.train.30,F24.M1,718,715
f.jc.6x5.train.31,F24.M1,798,795
f.jc.6x5.train.32,F24.M1,391,389
f.jc.6x5.train.33,F24.M1,424,423
f.jc.6x5.train.34,F24.M1,510,509
f.jc.6x5.train.35,F24.M1,590,587
f.jc.6x5.train.36,F24.M1,604,603
f.jc.6x5.train.37,F24.M1,599,593
f.jc.6x5.train.38,F24.M1,739,739
f.jc.6x5.train.39,F24.M1,740,740
f.jc.6x5.train.40,F24.M1,177,176
f.jc.6x5.train.41,F24.M1,444,438
f.jc.6x5.train.42,F24.M1,477,476
f.jc.6x5.train.43,F24.M1,520,519
f.jc.6x5.train.44,F24.M1,646,646
f.jc.6x5.train.45,F24.M1,672,667
f.jc.6x5.train.46,F24.M1,789,789
f.jc.6x5.train.47,F24.M1,409,409
f.jc.6x5.train.48,F24.M1,360,360
f.jc.6x5.train.49,F24.M1,449,449
f.jc.6x5.train.50,F24.M1,546,546
f.jc.6x5.train.51,F24.M1,569,568
f.jc.6x5.train.52,F24.M1,713,709
f.jc.6x5.train.53,F24.M1,641,641
f.jc.6x5.train.54,F24.M1,861,860
f.jc.6x5.train.55,F24.M1,424,422
f.jc.6x5.train.56,F24.M1,442,442
f.jc.6x5.train.57,F24.M1,509,509
f.jc.6x5.train.58,F24.M1,548,547
f.jc.6x5.train.59,F24.M1,568,568
f.jc.6x5.train.60,F24.M1,695,694
f.jc.6x5.train.61,F24.M1,760,758
f.jc.6x5.train.62,F24.M1,823,822
f.jc.6x5.train.63,F24.M1,387,387
f.jc.6x5.train.64,F24.M1,463,461
f.jc.6x5.train.65,F24.M1,488,487
f.jc.6x5.train.66,F24.M1,574,574
f.jc.6x5.train.67,F24.M1,629,628
f.jc.6x5.train.68,F24.M1,704,703
f.jc.6x5.train.69,F24.M1,806,806
f.jc.6x5.train.70,F24.M1,355,355
f.jc.6x5.train.71,F24.M1,385,383
f.jc.6x5.train.72,F24.M1,523,523
f.jc.6x5.train.73,F24.M1,521,519
f.jc.6x5.train.74,F24.M1,582,582
f.jc.6x5.train.75,F24.M1,647,644
f.jc.6x5.train.76,F24.M1,745,745
f.jc.6x5.train.77,F24.M1,794,793
f.jc.6x5.train.78,F24.M1,367,367
f.jc.6x5.train.79,F24.M1,526,526
f.jc.6x5.train.80,F24.M1,384,384
f.jc.6x5.train.81,F24.M1,506,506
f.jc.6x5.train.82,F24.M1,567,566
f.jc.6x5.train.83,F24.M1,711,711
f.jc.6x5.train.84,F24.M1,761,761
f.jc.6x5.train.85,F24.M1,279,274
f.jc.6x5.train.86,F24.M1,307,307
f.jc.6x5.train.87,F24.M1,443,443
f.jc.6x5.train.88,F24.M1,553,550
f.jc.6x5.train.89,F24.M1,484,482
f.jc.6x5.train.90,F24.M1,595,593
f.jc.6x5.train.91,F24.M1,751,750
f.jc.6x5.train.92,F24.M1,862,862
f.jc.6x5.train.93,F24.M1,367,367
f.jc.6x5.train.94,F24.M1,469,468
f.jc.6x5.train.95,F24.M1,503,502
f.jc.6x5.train.96,F24.M1,543,542
f.jc.6x5.train.97,F24.M1,663,662
f.jc.6x5.train.98,F24.M1,658,658
f.jc.6x5.train.99,F24.M1,767,767
f.jc.6x5.train.100,F24.M1,886,885
f.jc.6x5.train.101,F24.M1,320,317
f.jc.6x5.train.102,F24.M1,420,420
f.jc.6x5.train.103,F24.M1,523,523
f.jc.6x5.train.104,F24.M1,529,529
f.jc.6x5.train.105,F24.M1,665,664
f.jc.6x5.train.106,F24.M1,634,634
f.jc.6x5.train.107,F24.M1,832,831
f.jc.6x5.train.108,F24.M1,273,271
f.jc.6x5.train.109,F24.M1,421,418
f.jc.6x5.train.110,F24.M1,425,421
f.jc.6x5.train.111,F24.M1,508,508
f.jc.6x5.train.112,F24.M1,543,539
f.jc.6x5.train.113,F24.M1,639,633
f.jc.6x5.train.114,F24.M1,652,652
f.jc.6x5.train.115,F24.M1,741,740
f.jc.6x5.train.116,F24.M1,495,494
f.jc.6x5.train.117,F24.M1,380,380
f.jc.6x5.train.118,F24.M1,515,515
f.jc.6x5.train.119,F24.M1,573,573
f.jc.6x5.train.120,F24.M1,722,722
f.jc.6x5.train.121,F24.M1,688,686
f.jc.6x5.train.122,F24.M1,771,769
f.jc.6x5.train.123,F24.M1,204,204
f.jc.6x5.train.124,F24.M1,440,440
f.jc.6x5.train.125,F24.M1,485,479
f.jc.6x5.train.126,F24.M1,541,541
f.jc.6x5.train.127,F24.M1,600,599
f.jc.6x5.train.128,F24.M1,693,693
f.jc.6x5.train.129,F24.M1,751,751
f.jc.6x5.train.130,F24.M1,639,636
f.jc.6x5.train.131,F24.M1,311,308
f.jc.6x5.train.132,F24.M1,406,406
f.jc.6x5.train.133,F24.M1,503,502
f.jc.6x5.train.134,F24.M1,526,525
f.jc.6x5.train.135,F24.M1,596,596
f.jc.6x5.train.136,F24.M1,675,673
f.jc.6x5.train.137,F24.M1,767,767
f.jc.6x5.train.138,F24.M1,810,809
f.jc.6x5.train.139,F24.M1,371,367
f.jc.6x5.train.140,F24.M1,500,499
f.jc.6x5.train.141,F24.M1,594,594
f.jc.6x5.train.142,F24.M1,631,631
f.jc.6x5.train.143,F24.M1,577,575
f.jc.6x5.train.144,F24.M1,738,736
f.jc.6x5.train.145,F24.M1,697,694
f.jc.6x5.train.146,F24.M1,287,287
f.jc.6x5.train.147,F24.M1,374,374
f.jc.6x5.train.148,F24.M1,539,539
f.jc.6x5.train.149,F24.M1,442,442
f.jc.6x5.train.150,F24.M1,626,625
f.jc.6x5.train.151,F24.M1,696,696
f.jc.6x5.train.152,F24.M1,800,800
f.jc.6x5.train.153,F24.M1,837,834
f.jc.6x5.train.154,F24.M1,382,380
f.jc.6x5.train.155,F24.M1,416,411
f.jc.6x5.train.156,F24.M1,551,547
f.jc.6x5.train.157,F24.M1,654,652
f.jc.6x5.train.158,F24.M1,545,545
f.jc.6x5.train.159,F24.M1,650,648
f.jc.6x5.train.160,F24.M1,719,716
f.jc.6x5.train.161,F24.M1,381,381
f.jc.6x5.train.162,F24.M1,329,329
f.jc.6x5.train.163,F24.M1,497,497
f.jc.6x5.train.164,F24.M1,490,490
f.jc.6x5.train.165,F24.M1,564,564
f.jc.6x5.train.166,F24.M1,697,695
f.jc.6x5.train.167,F24.M1,673,671
