Name,CDR,Makespan,BestFoundMakespan
f.rndn.6x5.train.1,F24.M1,509,508
f.rndn.6x5.train.2,F24.M1,499,498
f.rndn.6x5.train.3,F24.M1,501,500
f.rndn.6x5.train.4,F24.M1,512,511
f.rndn.6x5.train.5,F24.M1,505,505
f.rndn.6x5.train.6,F24.M1,510,508
f.rndn.6x5.train.7,F24.M1,504,504
f.rndn.6x5.train.8,F24.M1,502,501
f.rndn.6x5.train.9,F24.M1,503,503
f.rndn.6x5.train.10,F24.M1,508,506
f.rndn.6x5.train.11,F24.M1,505,504
f.rndn.6x5.train.12,F24.M1,508,502
f.rndn.6x5.train.13,F24.M1,518,513
f.rndn.6x5.train.14,F24.M1,508,505
f.rndn.6x5.train.15,F24.M1,518,512
f.rndn.6x5.train.16,F24.M1,508,506
f.rndn.6x5.train.17,F24.M1,505,503
f.rndn.6x5.train.18,F24.M1,505,505
f.rndn.6x5.train.19,F24.M1,514,514
f.rndn.6x5.train.20,F24.M1,503,503
f.rndn.6x5.train.21,F24.M1,502,496
f.rndn.6x5.train.22,F24.M1,510,506
f.rndn.6x5.train.23,F24.M1,510,507
f.rndn.6x5.train.24,F24.M1,508,503
f.rndn.6x5.train.25,F24.M1,505,500
f.rndn.6x5.train.26,F24.M1,514,508
f.rndn.6x5.train.27,F24.M1,498,498
f.rndn.6x5.train.28,F24.M1,493,493
f.rndn.6x5.train.29,F24.M1,505,504
f.rndn.6x5.train.30,F24.M1,511,507
f.rndn.6x5.train.31,F24.M1,511,507
f.rndn.6x5.train.32,F24.M1,513,512
f.rndn.6x5.train.33,F24.M1,507,506
f.rndn.6x5.train.34,F24.M1,509,505
f.rndn.6x5.train.35,F24.M1,516,516
f.rndn.6x5.train.36,F24.M1,496,496
f.rndn.6x5.train.37,F24.M1,494,494
f.rndn.6x5.train.38,F24.M1,520,519
f.rndn.6x5.train.39,F24.M1,504,501
f.rndn.6x5.train.40,F24.M1,501,496
f.rndn.6x5.train.41,F24.M1,501,498
f.rndn.6x5.train.42,F24.M1,500,500
f.rndn.6x5.train.43,F24.M1,496,490
f.rndn.6x5.train.44,F24.M1,509,507
f.rndn.6x5.train.45,F24.M1,505,500
f.rndn.6x5.train.46,F24.M1,526,518
f.rndn.6x5.train.47,F24.M1,526,517
f.rndn.6x5.train.48,F24.M1,509,509
f.rndn.6x5.train.49,F24.M1,506,506
f.rndn.6x5.train.50,F24.M1,509,506
f.rndn.6x5.train.51,F24.M1,511,508
f.rndn.6x5.train.52,F24.M1,520,515
f.rndn.6x5.train.53,F24.M1,509,507
f.rndn.6x5.train.54,F24.M1,519,516
f.rndn.6x5.train.55,F24.M1,513,512
f.rndn.6x5.train.56,F24.M1,510,505
f.rndn.6x5.train.57,F24.M1,505,499
f.rndn.6x5.train.58,F24.M1,512,511
f.rndn.6x5.train.59,F24.M1,513,510
f.rndn.6x5.train.60,F24.M1,507,505
f.rndn.6x5.train.61,F24.M1,505,504
f.rndn.6x5.train.62,F24.M1,496,496
f.rndn.6x5.train.63,F24.M1,517,515
