Name,CDR,Makespan,BestFoundMakespan
j.rnd.10x10.train.1,F20.M1,1073,1016
j.rnd.10x10.train.2,F20.M1,823,805
j.rnd.10x10.train.3,F20.M1,811,805
j.rnd.10x10.train.4,F20.M1,1011,952
j.rnd.10x10.train.5,F20.M1,912,855
j.rnd.10x10.train.6,F20.M1,971,949
j.rnd.10x10.train.7,F20.M1,1039,1015
j.rnd.10x10.train.8,F20.M1,907,907
j.rnd.10x10.train.9,F20.M1,847,818
j.rnd.10x10.train.10,F20.M1,944,875
j.rnd.10x10.train.11,F20.M1,924,924
j.rnd.10x10.train.12,F20.M1,887,852
j.rnd.10x10.train.13,F20.M1,1036,1008
j.rnd.10x10.train.14,F20.M1,960,887
j.rnd.10x10.train.15,F20.M1,994,930
j.rnd.10x10.train.16,F20.M1,1006,926
j.rnd.10x10.train.17,F20.M1,945,938
j.rnd.10x10.train.18,F20.M1,942,904
j.rnd.10x10.train.19,F20.M1,1025,936
j.rnd.10x10.train.20,F20.M1,910,890
j.rnd.10x10.train.21,F20.M1,884,884
j.rnd.10x10.train.22,F20.M1,973,924
j.rnd.10x10.train.23,F20.M1,1060,1028
j.rnd.10x10.train.24,F20.M1,892,892
j.rnd.10x10.train.25,F20.M1,835,833
j.rnd.10x10.train.26,F20.M1,795,772
j.rnd.10x10.train.27,F20.M1,872,821
j.rnd.10x10.train.28,F20.M1,897,853
j.rnd.10x10.train.29,F20.M1,880,846
j.rnd.10x10.train.30,F20.M1,981,929
j.rnd.10x10.train.31,F20.M1,964,949
j.rnd.10x10.train.32,F20.M1,953,953
j.rnd.10x10.train.33,F20.M1,929,917
j.rnd.10x10.train.34,F20.M1,896,844
j.rnd.10x10.train.35,F20.M1,999,996
j.rnd.10x10.train.36,F20.M1,840,840
j.rnd.10x10.train.37,F20.M1,924,923
j.rnd.10x10.train.38,F20.M1,911,851
j.rnd.10x10.train.39,F20.M1,960,845
j.rnd.10x10.train.40,F20.M1,895,859
j.rnd.10x10.train.41,F20.M1,861,857
j.rnd.10x10.train.42,F20.M1,945,922
j.rnd.10x10.train.43,F20.M1,845,832
j.rnd.10x10.train.44,F20.M1,996,899
j.rnd.10x10.train.45,F20.M1,914,896
j.rnd.10x10.train.46,F20.M1,970,913
j.rnd.10x10.train.47,F20.M1,1035,916
j.rnd.10x10.train.48,F20.M1,1052,953
j.rnd.10x10.train.49,F20.M1,859,848
j.rnd.10x10.train.50,F20.M1,848,848
j.rnd.10x10.train.51,F20.M1,906,813
j.rnd.10x10.train.52,F20.M1,1077,1066
j.rnd.10x10.train.53,F20.M1,914,895
