Name,CDR,Makespan,BestFoundMakespan
j.rnd_p1mdoubled.6x5.train.1,F20.M1,767,766
j.rnd_p1mdoubled.6x5.train.2,F20.M1,610,610
j.rnd_p1mdoubled.6x5.train.3,F20.M1,467,467
j.rnd_p1mdoubled.6x5.train.4,F20.M1,984,984
j.rnd_p1mdoubled.6x5.train.5,F20.M1,697,667
j.rnd_p1mdoubled.6x5.train.6,F20.M1,633,633
j.rnd_p1mdoubled.6x5.train.7,F20.M1,712,709
j.rnd_p1mdoubled.6x5.train.8,F20.M1,665,662
j.rnd_p1mdoubled.6x5.train.9,F20.M1,460,453
j.rnd_p1mdoubled.6x5.train.10,F20.M1,818,818
j.rnd_p1mdoubled.6x5.train.11,F20.M1,696,686
j.rnd_p1mdoubled.6x5.train.12,F20.M1,669,669
j.rnd_p1mdoubled.6x5.train.13,F20.M1,670,670
j.rnd_p1mdoubled.6x5.train.14,F20.M1,658,658
j.rnd_p1mdoubled.6x5.train.15,F20.M1,529,521
j.rnd_p1mdoubled.6x5.train.16,F20.M1,944,942
j.rnd_p1mdoubled.6x5.train.17,F20.M1,886,886
j.rnd_p1mdoubled.6x5.train.18,F20.M1,595,595
j.rnd_p1mdoubled.6x5.train.19,F20.M1,897,897
j.rnd_p1mdoubled.6x5.train.20,F20.M1,496,496
j.rnd_p1mdoubled.6x5.train.21,F20.M1,511,511
j.rnd_p1mdoubled.6x5.train.22,F20.M1,819,819
j.rnd_p1mdoubled.6x5.train.23,F20.M1,709,709
j.rnd_p1mdoubled.6x5.train.24,F20.M1,559,559
j.rnd_p1mdoubled.6x5.train.25,F20.M1,526,526
j.rnd_p1mdoubled.6x5.train.26,F20.M1,558,558
j.rnd_p1mdoubled.6x5.train.27,F20.M1,510,510
j.rnd_p1mdoubled.6x5.train.28,F20.M1,453,437
j.rnd_p1mdoubled.6x5.train.29,F20.M1,884,875
j.rnd_p1mdoubled.6x5.train.30,F20.M1,583,583
j.rnd_p1mdoubled.6x5.train.31,F20.M1,508,498
j.rnd_p1mdoubled.6x5.train.32,F20.M1,736,736
j.rnd_p1mdoubled.6x5.train.33,F20.M1,758,758
j.rnd_p1mdoubled.6x5.train.34,F20.M1,686,686
j.rnd_p1mdoubled.6x5.train.35,F20.M1,950,950
j.rnd_p1mdoubled.6x5.train.36,F20.M1,582,582
j.rnd_p1mdoubled.6x5.train.37,F20.M1,572,566
j.rnd_p1mdoubled.6x5.train.38,F20.M1,852,852
j.rnd_p1mdoubled.6x5.train.39,F20.M1,587,587
j.rnd_p1mdoubled.6x5.train.40,F20.M1,617,608
j.rnd_p1mdoubled.6x5.train.41,F20.M1,618,618
j.rnd_p1mdoubled.6x5.train.42,F20.M1,616,606
j.rnd_p1mdoubled.6x5.train.43,F20.M1,425,425
j.rnd_p1mdoubled.6x5.train.44,F20.M1,680,678
j.rnd_p1mdoubled.6x5.train.45,F20.M1,532,523
j.rnd_p1mdoubled.6x5.train.46,F20.M1,684,684
j.rnd_p1mdoubled.6x5.train.47,F20.M1,854,816
j.rnd_p1mdoubled.6x5.train.48,F20.M1,822,822
j.rnd_p1mdoubled.6x5.train.49,F20.M1,452,452
j.rnd_p1mdoubled.6x5.train.50,F20.M1,521,521
j.rnd_p1mdoubled.6x5.train.51,F20.M1,961,961
j.rnd_p1mdoubled.6x5.train.52,F20.M1,715,715
j.rnd_p1mdoubled.6x5.train.53,F20.M1,544,544
j.rnd_p1mdoubled.6x5.train.54,F20.M1,678,678
j.rnd_p1mdoubled.6x5.train.55,F20.M1,603,569
j.rnd_p1mdoubled.6x5.train.56,F20.M1,517,517
j.rnd_p1mdoubled.6x5.train.57,F20.M1,740,728
j.rnd_p1mdoubled.6x5.train.58,F20.M1,705,705
j.rnd_p1mdoubled.6x5.train.59,F20.M1,552,547
j.rnd_p1mdoubled.6x5.train.60,F20.M1,714,703
j.rnd_p1mdoubled.6x5.train.61,F20.M1,609,588
j.rnd_p1mdoubled.6x5.train.62,F20.M1,529,522
j.rnd_p1mdoubled.6x5.train.63,F20.M1,1004,995
j.rnd_p1mdoubled.6x5.train.64,F20.M1,904,904
j.rnd_p1mdoubled.6x5.train.65,F20.M1,537,537
j.rnd_p1mdoubled.6x5.train.66,F20.M1,719,718
j.rnd_p1mdoubled.6x5.train.67,F20.M1,612,605
j.rnd_p1mdoubled.6x5.train.68,F20.M1,521,521
j.rnd_p1mdoubled.6x5.train.69,F20.M1,930,930
j.rnd_p1mdoubled.6x5.train.70,F20.M1,612,612
j.rnd_p1mdoubled.6x5.train.71,F20.M1,564,564
j.rnd_p1mdoubled.6x5.train.72,F20.M1,858,789
j.rnd_p1mdoubled.6x5.train.73,F20.M1,640,629
j.rnd_p1mdoubled.6x5.train.74,F20.M1,417,417
j.rnd_p1mdoubled.6x5.train.75,F20.M1,663,663
j.rnd_p1mdoubled.6x5.train.76,F20.M1,596,578
j.rnd_p1mdoubled.6x5.train.77,F20.M1,623,613
j.rnd_p1mdoubled.6x5.train.78,F20.M1,516,515
j.rnd_p1mdoubled.6x5.train.79,F20.M1,784,784
j.rnd_p1mdoubled.6x5.train.80,F20.M1,427,424
j.rnd_p1mdoubled.6x5.train.81,F20.M1,598,598
j.rnd_p1mdoubled.6x5.train.82,F20.M1,804,804
j.rnd_p1mdoubled.6x5.train.83,F20.M1,688,688
j.rnd_p1mdoubled.6x5.train.84,F20.M1,493,488
j.rnd_p1mdoubled.6x5.train.85,F20.M1,835,835
j.rnd_p1mdoubled.6x5.train.86,F20.M1,491,486
j.rnd_p1mdoubled.6x5.train.87,F20.M1,634,634
j.rnd_p1mdoubled.6x5.train.88,F20.M1,675,634
j.rnd_p1mdoubled.6x5.train.89,F20.M1,686,686
j.rnd_p1mdoubled.6x5.train.90,F20.M1,485,485
j.rnd_p1mdoubled.6x5.train.91,F20.M1,706,706
j.rnd_p1mdoubled.6x5.train.92,F20.M1,582,582
j.rnd_p1mdoubled.6x5.train.93,F20.M1,573,530
j.rnd_p1mdoubled.6x5.train.94,F20.M1,866,866
j.rnd_p1mdoubled.6x5.train.95,F20.M1,674,674
j.rnd_p1mdoubled.6x5.train.96,F20.M1,546,528
j.rnd_p1mdoubled.6x5.train.97,F20.M1,706,706
