Name,Shop,Distribution,Set,PID,NumJobs,NumMachines,Dimension,Makespan
j.rndn.6x5.train.1,j,rndn,train,1,6,5,30,469
j.rndn.6x5.train.2,j,rndn,train,2,6,5,30,495
j.rndn.6x5.train.3,j,rndn,train,3,6,5,30,390
j.rndn.6x5.train.4,j,rndn,train,4,6,5,30,454
j.rndn.6x5.train.5,j,rndn,train,5,6,5,30,490
j.rndn.6x5.train.6,j,rndn,train,6,6,5,30,417
j.rndn.6x5.train.7,j,rndn,train,7,6,5,30,444
j.rndn.6x5.train.8,j,rndn,train,8,6,5,30,450
j.rndn.6x5.train.9,j,rndn,train,9,6,5,30,395
j.rndn.6x5.train.10,j,rndn,train,10,6,5,30,398
j.rndn.6x5.train.11,j,rndn,train,11,6,5,30,459
j.rndn.6x5.train.12,j,rndn,train,12,6,5,30,450
j.rndn.6x5.train.13,j,rndn,train,13,6,5,30,494
j.rndn.6x5.train.14,j,rndn,train,14,6,5,30,409
j.rndn.6x5.train.15,j,rndn,train,15,6,5,30,452
j.rndn.6x5.train.16,j,rndn,train,16,6,5,30,417
j.rndn.6x5.train.17,j,rndn,train,17,6,5,30,567
j.rndn.6x5.train.18,j,rndn,train,18,6,5,30,459
j.rndn.6x5.train.19,j,rndn,train,19,6,5,30,462
j.rndn.6x5.train.20,j,rndn,train,20,6,5,30,445
j.rndn.6x5.train.21,j,rndn,train,21,6,5,30,448
j.rndn.6x5.train.22,j,rndn,train,22,6,5,30,502
j.rndn.6x5.train.23,j,rndn,train,23,6,5,30,503
j.rndn.6x5.train.24,j,rndn,train,24,6,5,30,446
j.rndn.6x5.train.25,j,rndn,train,25,6,5,30,462
j.rndn.6x5.train.26,j,rndn,train,26,6,5,30,461
j.rndn.6x5.train.27,j,rndn,train,27,6,5,30,366
j.rndn.6x5.train.28,j,rndn,train,28,6,5,30,393
j.rndn.6x5.train.29,j,rndn,train,29,6,5,30,515
j.rndn.6x5.train.30,j,rndn,train,30,6,5,30,454
j.rndn.6x5.train.31,j,rndn,train,31,6,5,30,363
j.rndn.6x5.train.32,j,rndn,train,32,6,5,30,512
j.rndn.6x5.train.33,j,rndn,train,33,6,5,30,410
j.rndn.6x5.train.34,j,rndn,train,34,6,5,30,457
j.rndn.6x5.train.35,j,rndn,train,35,6,5,30,462
j.rndn.6x5.train.36,j,rndn,train,36,6,5,30,450
j.rndn.6x5.train.37,j,rndn,train,37,6,5,30,450
j.rndn.6x5.train.38,j,rndn,train,38,6,5,30,466
j.rndn.6x5.train.39,j,rndn,train,39,6,5,30,454
j.rndn.6x5.train.40,j,rndn,train,40,6,5,30,403
j.rndn.6x5.train.41,j,rndn,train,41,6,5,30,459
j.rndn.6x5.train.42,j,rndn,train,42,6,5,30,555
j.rndn.6x5.train.43,j,rndn,train,43,6,5,30,397
j.rndn.6x5.train.44,j,rndn,train,44,6,5,30,453
j.rndn.6x5.train.45,j,rndn,train,45,6,5,30,492
j.rndn.6x5.train.46,j,rndn,train,46,6,5,30,509
j.rndn.6x5.train.47,j,rndn,train,47,6,5,30,511
j.rndn.6x5.train.48,j,rndn,train,48,6,5,30,502
j.rndn.6x5.train.49,j,rndn,train,49,6,5,30,453
j.rndn.6x5.train.50,j,rndn,train,50,6,5,30,413
j.rndn.6x5.train.51,j,rndn,train,51,6,5,30,462
j.rndn.6x5.train.52,j,rndn,train,52,6,5,30,458
j.rndn.6x5.train.53,j,rndn,train,53,6,5,30,461
j.rndn.6x5.train.54,j,rndn,train,54,6,5,30,469
j.rndn.6x5.train.55,j,rndn,train,55,6,5,30,456
j.rndn.6x5.train.56,j,rndn,train,56,6,5,30,455
j.rndn.6x5.train.57,j,rndn,train,57,6,5,30,464
j.rndn.6x5.train.58,j,rndn,train,58,6,5,30,517
j.rndn.6x5.train.59,j,rndn,train,59,6,5,30,355
j.rndn.6x5.train.60,j,rndn,train,60,6,5,30,507
j.rndn.6x5.train.61,j,rndn,train,61,6,5,30,459
j.rndn.6x5.train.62,j,rndn,train,62,6,5,30,405
j.rndn.6x5.train.63,j,rndn,train,63,6,5,30,462
j.rndn.6x5.train.64,j,rndn,train,64,6,5,30,458
j.rndn.6x5.train.65,j,rndn,train,65,6,5,30,460
j.rndn.6x5.train.66,j,rndn,train,66,6,5,30,421
j.rndn.6x5.train.67,j,rndn,train,67,6,5,30,357
j.rndn.6x5.train.68,j,rndn,train,68,6,5,30,414
j.rndn.6x5.train.69,j,rndn,train,69,6,5,30,419
j.rndn.6x5.train.70,j,rndn,train,70,6,5,30,544
j.rndn.6x5.train.71,j,rndn,train,71,6,5,30,457
j.rndn.6x5.train.72,j,rndn,train,72,6,5,30,417
j.rndn.6x5.train.73,j,rndn,train,73,6,5,30,456
j.rndn.6x5.train.74,j,rndn,train,74,6,5,30,393
j.rndn.6x5.train.75,j,rndn,train,75,6,5,30,454
j.rndn.6x5.train.76,j,rndn,train,76,6,5,30,404
j.rndn.6x5.train.77,j,rndn,train,77,6,5,30,474
j.rndn.6x5.train.78,j,rndn,train,78,6,5,30,446
j.rndn.6x5.train.79,j,rndn,train,79,6,5,30,358
j.rndn.6x5.train.80,j,rndn,train,80,6,5,30,448
j.rndn.6x5.train.81,j,rndn,train,81,6,5,30,395
j.rndn.6x5.train.82,j,rndn,train,82,6,5,30,407
j.rndn.6x5.train.83,j,rndn,train,83,6,5,30,416
j.rndn.6x5.train.84,j,rndn,train,84,6,5,30,450
j.rndn.6x5.train.85,j,rndn,train,85,6,5,30,460
j.rndn.6x5.train.86,j,rndn,train,86,6,5,30,439
j.rndn.6x5.train.87,j,rndn,train,87,6,5,30,409
j.rndn.6x5.train.88,j,rndn,train,88,6,5,30,455
j.rndn.6x5.train.89,j,rndn,train,89,6,5,30,505
j.rndn.6x5.train.90,j,rndn,train,90,6,5,30,458
j.rndn.6x5.train.91,j,rndn,train,91,6,5,30,456
j.rndn.6x5.train.92,j,rndn,train,92,6,5,30,449
j.rndn.6x5.train.93,j,rndn,train,93,6,5,30,402
j.rndn.6x5.train.94,j,rndn,train,94,6,5,30,410
j.rndn.6x5.train.95,j,rndn,train,95,6,5,30,409
j.rndn.6x5.train.96,j,rndn,train,96,6,5,30,447
j.rndn.6x5.train.97,j,rndn,train,97,6,5,30,408
j.rndn.6x5.train.98,j,rndn,train,98,6,5,30,437
j.rndn.6x5.train.99,j,rndn,train,99,6,5,30,459
j.rndn.6x5.train.100,j,rndn,train,100,6,5,30,458
j.rndn.6x5.train.101,j,rndn,train,101,6,5,30,496
j.rndn.6x5.train.102,j,rndn,train,102,6,5,30,410
j.rndn.6x5.train.103,j,rndn,train,103,6,5,30,401
j.rndn.6x5.train.104,j,rndn,train,104,6,5,30,451
j.rndn.6x5.train.105,j,rndn,train,105,6,5,30,460
j.rndn.6x5.train.106,j,rndn,train,106,6,5,30,458
j.rndn.6x5.train.107,j,rndn,train,107,6,5,30,460
j.rndn.6x5.train.108,j,rndn,train,108,6,5,30,449
j.rndn.6x5.train.109,j,rndn,train,109,6,5,30,407
j.rndn.6x5.train.110,j,rndn,train,110,6,5,30,460
j.rndn.6x5.train.111,j,rndn,train,111,6,5,30,475
j.rndn.6x5.train.112,j,rndn,train,112,6,5,30,447
j.rndn.6x5.train.113,j,rndn,train,113,6,5,30,468
j.rndn.6x5.train.114,j,rndn,train,114,6,5,30,544
j.rndn.6x5.train.115,j,rndn,train,115,6,5,30,461
j.rndn.6x5.train.116,j,rndn,train,116,6,5,30,418
j.rndn.6x5.train.117,j,rndn,train,117,6,5,30,501
j.rndn.6x5.train.118,j,rndn,train,118,6,5,30,448
j.rndn.6x5.train.119,j,rndn,train,119,6,5,30,502
j.rndn.6x5.train.120,j,rndn,train,120,6,5,30,441
j.rndn.6x5.train.121,j,rndn,train,121,6,5,30,441
j.rndn.6x5.train.122,j,rndn,train,122,6,5,30,465
j.rndn.6x5.train.123,j,rndn,train,123,6,5,30,454
j.rndn.6x5.train.124,j,rndn,train,124,6,5,30,453
j.rndn.6x5.train.125,j,rndn,train,125,6,5,30,418
j.rndn.6x5.train.126,j,rndn,train,126,6,5,30,455
j.rndn.6x5.train.127,j,rndn,train,127,6,5,30,443
j.rndn.6x5.train.128,j,rndn,train,128,6,5,30,556
j.rndn.6x5.train.129,j,rndn,train,129,6,5,30,436
j.rndn.6x5.train.130,j,rndn,train,130,6,5,30,408
j.rndn.6x5.train.131,j,rndn,train,131,6,5,30,417
j.rndn.6x5.train.132,j,rndn,train,132,6,5,30,448
j.rndn.6x5.train.133,j,rndn,train,133,6,5,30,452
j.rndn.6x5.train.134,j,rndn,train,134,6,5,30,397
j.rndn.6x5.train.135,j,rndn,train,135,6,5,30,457
j.rndn.6x5.train.136,j,rndn,train,136,6,5,30,469
j.rndn.6x5.train.137,j,rndn,train,137,6,5,30,436
j.rndn.6x5.train.138,j,rndn,train,138,6,5,30,407
j.rndn.6x5.train.139,j,rndn,train,139,6,5,30,406
j.rndn.6x5.train.140,j,rndn,train,140,6,5,30,490
j.rndn.6x5.train.141,j,rndn,train,141,6,5,30,418
j.rndn.6x5.train.142,j,rndn,train,142,6,5,30,412
j.rndn.6x5.train.143,j,rndn,train,143,6,5,30,411
j.rndn.6x5.train.144,j,rndn,train,144,6,5,30,457
j.rndn.6x5.train.145,j,rndn,train,145,6,5,30,464
j.rndn.6x5.train.146,j,rndn,train,146,6,5,30,507
j.rndn.6x5.train.147,j,rndn,train,147,6,5,30,444
j.rndn.6x5.train.148,j,rndn,train,148,6,5,30,400
j.rndn.6x5.train.149,j,rndn,train,149,6,5,30,501
j.rndn.6x5.train.150,j,rndn,train,150,6,5,30,456
j.rndn.6x5.train.151,j,rndn,train,151,6,5,30,439
j.rndn.6x5.train.152,j,rndn,train,152,6,5,30,414
j.rndn.6x5.train.153,j,rndn,train,153,6,5,30,413
j.rndn.6x5.train.154,j,rndn,train,154,6,5,30,403
j.rndn.6x5.train.155,j,rndn,train,155,6,5,30,511
j.rndn.6x5.train.156,j,rndn,train,156,6,5,30,461
j.rndn.6x5.train.157,j,rndn,train,157,6,5,30,502
j.rndn.6x5.train.158,j,rndn,train,158,6,5,30,495
j.rndn.6x5.train.159,j,rndn,train,159,6,5,30,409
j.rndn.6x5.train.160,j,rndn,train,160,6,5,30,475
j.rndn.6x5.train.161,j,rndn,train,161,6,5,30,445
j.rndn.6x5.train.162,j,rndn,train,162,6,5,30,499
j.rndn.6x5.train.163,j,rndn,train,163,6,5,30,456
j.rndn.6x5.train.164,j,rndn,train,164,6,5,30,447
j.rndn.6x5.train.165,j,rndn,train,165,6,5,30,507
j.rndn.6x5.train.166,j,rndn,train,166,6,5,30,452
j.rndn.6x5.train.167,j,rndn,train,167,6,5,30,455
j.rndn.6x5.train.168,j,rndn,train,168,6,5,30,499
j.rndn.6x5.train.169,j,rndn,train,169,6,5,30,415
j.rndn.6x5.train.170,j,rndn,train,170,6,5,30,407
j.rndn.6x5.train.171,j,rndn,train,171,6,5,30,445
j.rndn.6x5.train.172,j,rndn,train,172,6,5,30,461
j.rndn.6x5.train.173,j,rndn,train,173,6,5,30,455
j.rndn.6x5.train.174,j,rndn,train,174,6,5,30,409
j.rndn.6x5.train.175,j,rndn,train,175,6,5,30,416
j.rndn.6x5.train.176,j,rndn,train,176,6,5,30,464
j.rndn.6x5.train.177,j,rndn,train,177,6,5,30,405
j.rndn.6x5.train.178,j,rndn,train,178,6,5,30,455
j.rndn.6x5.train.179,j,rndn,train,179,6,5,30,414
j.rndn.6x5.train.180,j,rndn,train,180,6,5,30,445
j.rndn.6x5.train.181,j,rndn,train,181,6,5,30,463
j.rndn.6x5.train.182,j,rndn,train,182,6,5,30,503
j.rndn.6x5.train.183,j,rndn,train,183,6,5,30,448
j.rndn.6x5.train.184,j,rndn,train,184,6,5,30,490
j.rndn.6x5.train.185,j,rndn,train,185,6,5,30,467
j.rndn.6x5.train.186,j,rndn,train,186,6,5,30,456
