Name,CDR,Makespan,BestFoundMakespan
j.rndn.6x5.train.1,F20.M1,512,463
j.rndn.6x5.train.2,F20.M1,544,454
j.rndn.6x5.train.3,F20.M1,479,386
j.rndn.6x5.train.4,F20.M1,518,403
j.rndn.6x5.train.5,F20.M1,505,404
j.rndn.6x5.train.6,F20.M1,516,413
j.rndn.6x5.train.7,F20.M1,551,447
j.rndn.6x5.train.8,F20.M1,531,409
j.rndn.6x5.train.9,F20.M1,558,354
j.rndn.6x5.train.10,F20.M1,416,393
j.rndn.6x5.train.11,F20.M1,505,457
j.rndn.6x5.train.12,F20.M1,505,438
j.rndn.6x5.train.13,F20.M1,462,462
j.rndn.6x5.train.14,F20.M1,447,407
j.rndn.6x5.train.15,F20.M1,514,448
j.rndn.6x5.train.16,F20.M1,512,421
j.rndn.6x5.train.17,F20.M1,502,462
j.rndn.6x5.train.18,F20.M1,410,410
j.rndn.6x5.train.19,F20.M1,616,424
j.rndn.6x5.train.20,F20.M1,452,444
j.rndn.6x5.train.21,F20.M1,543,448
j.rndn.6x5.train.22,F20.M1,560,457
j.rndn.6x5.train.23,F20.M1,501,457
j.rndn.6x5.train.24,F20.M1,586,460
j.rndn.6x5.train.25,F20.M1,449,447
j.rndn.6x5.train.26,F20.M1,548,446
j.rndn.6x5.train.27,F20.M1,501,394
j.rndn.6x5.train.28,F20.M1,438,384
j.rndn.6x5.train.29,F20.M1,552,458
j.rndn.6x5.train.30,F20.M1,550,447
j.rndn.6x5.train.31,F20.M1,506,361
j.rndn.6x5.train.32,F20.M1,465,465
j.rndn.6x5.train.33,F20.M1,455,418
j.rndn.6x5.train.34,F20.M1,503,426
j.rndn.6x5.train.35,F20.M1,514,460
j.rndn.6x5.train.36,F20.M1,450,450
j.rndn.6x5.train.37,F20.M1,409,406
j.rndn.6x5.train.38,F20.M1,512,466
j.rndn.6x5.train.39,F20.M1,498,453
j.rndn.6x5.train.40,F20.M1,517,388
j.rndn.6x5.train.41,F20.M1,493,406
j.rndn.6x5.train.42,F20.M1,503,453
j.rndn.6x5.train.43,F20.M1,446,396
j.rndn.6x5.train.44,F20.M1,505,409
j.rndn.6x5.train.45,F20.M1,546,464
j.rndn.6x5.train.46,F20.M1,550,469
j.rndn.6x5.train.47,F20.M1,520,468
j.rndn.6x5.train.48,F20.M1,510,453
j.rndn.6x5.train.49,F20.M1,543,443
j.rndn.6x5.train.50,F20.M1,460,408
j.rndn.6x5.train.51,F20.M1,468,419
j.rndn.6x5.train.52,F20.M1,473,422
j.rndn.6x5.train.53,F20.M1,562,451
j.rndn.6x5.train.54,F20.M1,461,459
j.rndn.6x5.train.55,F20.M1,512,455
j.rndn.6x5.train.56,F20.M1,456,452
j.rndn.6x5.train.57,F20.M1,458,413
j.rndn.6x5.train.58,F20.M1,507,480
j.rndn.6x5.train.59,F20.M1,453,360
j.rndn.6x5.train.60,F20.M1,621,462
j.rndn.6x5.train.61,F20.M1,412,412
j.rndn.6x5.train.62,F20.M1,387,387
j.rndn.6x5.train.63,F20.M1,555,495
j.rndn.6x5.train.64,F20.M1,464,408
j.rndn.6x5.train.65,F20.M1,558,454
j.rndn.6x5.train.66,F20.M1,513,406
j.rndn.6x5.train.67,F20.M1,410,357
j.rndn.6x5.train.68,F20.M1,504,405
j.rndn.6x5.train.69,F20.M1,450,403
j.rndn.6x5.train.70,F20.M1,555,504
j.rndn.6x5.train.71,F20.M1,558,446
j.rndn.6x5.train.72,F20.M1,546,444
j.rndn.6x5.train.73,F20.M1,494,454
j.rndn.6x5.train.74,F20.M1,451,397
j.rndn.6x5.train.75,F20.M1,418,414
j.rndn.6x5.train.76,F20.M1,508,410
j.rndn.6x5.train.77,F20.M1,490,440
j.rndn.6x5.train.78,F20.M1,452,404
j.rndn.6x5.train.79,F20.M1,358,358
j.rndn.6x5.train.80,F20.M1,536,438
j.rndn.6x5.train.81,F20.M1,440,396
j.rndn.6x5.train.82,F20.M1,498,361
j.rndn.6x5.train.83,F20.M1,564,415
j.rndn.6x5.train.84,F20.M1,480,435
j.rndn.6x5.train.85,F20.M1,601,500
j.rndn.6x5.train.86,F20.M1,549,401
j.rndn.6x5.train.87,F20.M1,417,399
j.rndn.6x5.train.88,F20.M1,414,411
j.rndn.6x5.train.89,F20.M1,463,454
j.rndn.6x5.train.90,F20.M1,517,422
j.rndn.6x5.train.91,F20.M1,461,452
j.rndn.6x5.train.92,F20.M1,555,438
j.rndn.6x5.train.93,F20.M1,408,403
j.rndn.6x5.train.94,F20.M1,455,406
j.rndn.6x5.train.95,F20.M1,544,403
j.rndn.6x5.train.96,F20.M1,549,449
j.rndn.6x5.train.97,F20.M1,408,359
j.rndn.6x5.train.98,F20.M1,536,399
j.rndn.6x5.train.99,F20.M1,412,410
j.rndn.6x5.train.100,F20.M1,507,460
j.rndn.6x5.train.101,F20.M1,525,450
j.rndn.6x5.train.102,F20.M1,410,406
j.rndn.6x5.train.103,F20.M1,529,398
j.rndn.6x5.train.104,F20.M1,494,402
j.rndn.6x5.train.105,F20.M1,594,454
j.rndn.6x5.train.106,F20.M1,505,450
j.rndn.6x5.train.107,F20.M1,613,416
j.rndn.6x5.train.108,F20.M1,542,442
j.rndn.6x5.train.109,F20.M1,556,410
j.rndn.6x5.train.110,F20.M1,565,462
j.rndn.6x5.train.111,F20.M1,550,451
j.rndn.6x5.train.112,F20.M1,490,441
j.rndn.6x5.train.113,F20.M1,459,457
j.rndn.6x5.train.114,F20.M1,552,457
j.rndn.6x5.train.115,F20.M1,469,454
j.rndn.6x5.train.116,F20.M1,418,407
j.rndn.6x5.train.117,F20.M1,514,410
j.rndn.6x5.train.118,F20.M1,408,401
j.rndn.6x5.train.119,F20.M1,498,460
j.rndn.6x5.train.120,F20.M1,459,406
j.rndn.6x5.train.121,F20.M1,456,403
j.rndn.6x5.train.122,F20.M1,556,449
j.rndn.6x5.train.123,F20.M1,585,418
j.rndn.6x5.train.124,F20.M1,564,442
j.rndn.6x5.train.125,F20.M1,495,418
j.rndn.6x5.train.126,F20.M1,457,407
j.rndn.6x5.train.127,F20.M1,438,430
j.rndn.6x5.train.128,F20.M1,552,500
j.rndn.6x5.train.129,F20.M1,456,408
j.rndn.6x5.train.130,F20.M1,457,361
j.rndn.6x5.train.131,F20.M1,516,418
j.rndn.6x5.train.132,F20.M1,445,407
j.rndn.6x5.train.133,F20.M1,462,455
j.rndn.6x5.train.134,F20.M1,545,397
j.rndn.6x5.train.135,F20.M1,417,417
j.rndn.6x5.train.136,F20.M1,457,421
j.rndn.6x5.train.137,F20.M1,500,399
j.rndn.6x5.train.138,F20.M1,461,408
j.rndn.6x5.train.139,F20.M1,546,406
j.rndn.6x5.train.140,F20.M1,562,462
j.rndn.6x5.train.141,F20.M1,510,452
j.rndn.6x5.train.142,F20.M1,418,402
j.rndn.6x5.train.143,F20.M1,509,407
j.rndn.6x5.train.144,F20.M1,551,469
j.rndn.6x5.train.145,F20.M1,521,425
j.rndn.6x5.train.146,F20.M1,505,503
j.rndn.6x5.train.147,F20.M1,441,405
j.rndn.6x5.train.148,F20.M1,491,398
j.rndn.6x5.train.149,F20.M1,542,454
j.rndn.6x5.train.150,F20.M1,501,469
j.rndn.6x5.train.151,F20.M1,496,444
j.rndn.6x5.train.152,F20.M1,506,368
j.rndn.6x5.train.153,F20.M1,410,406
j.rndn.6x5.train.154,F20.M1,498,407
j.rndn.6x5.train.155,F20.M1,505,450
j.rndn.6x5.train.156,F20.M1,547,453
j.rndn.6x5.train.157,F20.M1,607,495
j.rndn.6x5.train.158,F20.M1,510,454
j.rndn.6x5.train.159,F20.M1,501,403
j.rndn.6x5.train.160,F20.M1,574,471
j.rndn.6x5.train.161,F20.M1,550,439
j.rndn.6x5.train.162,F20.M1,547,456
j.rndn.6x5.train.163,F20.M1,453,453
j.rndn.6x5.train.164,F20.M1,459,448
j.rndn.6x5.train.165,F20.M1,509,412
j.rndn.6x5.train.166,F20.M1,562,449
j.rndn.6x5.train.167,F20.M1,443,443
j.rndn.6x5.train.168,F20.M1,459,449
j.rndn.6x5.train.169,F20.M1,608,411
j.rndn.6x5.train.170,F20.M1,498,414
j.rndn.6x5.train.171,F20.M1,455,442
j.rndn.6x5.train.172,F20.M1,470,411
j.rndn.6x5.train.173,F20.M1,511,443
j.rndn.6x5.train.174,F20.M1,456,403
j.rndn.6x5.train.175,F20.M1,465,411
j.rndn.6x5.train.176,F20.M1,507,464
j.rndn.6x5.train.177,F20.M1,491,399
j.rndn.6x5.train.178,F20.M1,462,455
j.rndn.6x5.train.179,F20.M1,468,419
j.rndn.6x5.train.180,F20.M1,452,445
j.rndn.6x5.train.181,F20.M1,512,453
j.rndn.6x5.train.182,F20.M1,516,457
j.rndn.6x5.train.183,F20.M1,452,413
j.rndn.6x5.train.184,F20.M1,512,438
j.rndn.6x5.train.185,F20.M1,460,422
j.rndn.6x5.train.186,F20.M1,552,456
j.rndn.6x5.train.187,F20.M1,559,457
j.rndn.6x5.train.188,F20.M1,469,465
j.rndn.6x5.train.189,F20.M1,568,508
j.rndn.6x5.train.190,F20.M1,503,402
j.rndn.6x5.train.191,F20.M1,451,398
j.rndn.6x5.train.192,F20.M1,396,393
j.rndn.6x5.train.193,F20.M1,538,443
j.rndn.6x5.train.194,F20.M1,509,413
j.rndn.6x5.train.195,F20.M1,400,398
j.rndn.6x5.train.196,F20.M1,516,415
j.rndn.6x5.train.197,F20.M1,556,464
j.rndn.6x5.train.198,F20.M1,551,498
j.rndn.6x5.train.199,F20.M1,496,446
j.rndn.6x5.train.200,F20.M1,555,464
j.rndn.6x5.train.201,F20.M1,511,412
j.rndn.6x5.train.202,F20.M1,413,405
j.rndn.6x5.train.203,F20.M1,501,415
j.rndn.6x5.train.204,F20.M1,498,414
j.rndn.6x5.train.205,F20.M1,450,405
j.rndn.6x5.train.206,F20.M1,462,400
j.rndn.6x5.train.207,F20.M1,486,444
j.rndn.6x5.train.208,F20.M1,492,440
j.rndn.6x5.train.209,F20.M1,501,406
j.rndn.6x5.train.210,F20.M1,461,453
j.rndn.6x5.train.211,F20.M1,484,401
j.rndn.6x5.train.212,F20.M1,501,459
j.rndn.6x5.train.213,F20.M1,508,412
j.rndn.6x5.train.214,F20.M1,458,458
j.rndn.6x5.train.215,F20.M1,525,456
j.rndn.6x5.train.216,F20.M1,540,494
j.rndn.6x5.train.217,F20.M1,559,507
j.rndn.6x5.train.218,F20.M1,517,457
j.rndn.6x5.train.219,F20.M1,557,503
j.rndn.6x5.train.220,F20.M1,415,414
j.rndn.6x5.train.221,F20.M1,586,439
j.rndn.6x5.train.222,F20.M1,450,409
j.rndn.6x5.train.223,F20.M1,507,453
j.rndn.6x5.train.224,F20.M1,456,400
j.rndn.6x5.train.225,F20.M1,497,469
j.rndn.6x5.train.226,F20.M1,406,400
j.rndn.6x5.train.227,F20.M1,446,403
j.rndn.6x5.train.228,F20.M1,575,513
j.rndn.6x5.train.229,F20.M1,500,451
j.rndn.6x5.train.230,F20.M1,629,457
j.rndn.6x5.train.231,F20.M1,421,413
j.rndn.6x5.train.232,F20.M1,413,408
j.rndn.6x5.train.233,F20.M1,519,470
j.rndn.6x5.train.234,F20.M1,514,459
j.rndn.6x5.train.235,F20.M1,506,443
j.rndn.6x5.train.236,F20.M1,514,461
j.rndn.6x5.train.237,F20.M1,539,451
j.rndn.6x5.train.238,F20.M1,581,452
j.rndn.6x5.train.239,F20.M1,505,500
j.rndn.6x5.train.240,F20.M1,599,437
j.rndn.6x5.train.241,F20.M1,459,449
j.rndn.6x5.train.242,F20.M1,449,429
j.rndn.6x5.train.243,F20.M1,461,413
j.rndn.6x5.train.244,F20.M1,496,445
j.rndn.6x5.train.245,F20.M1,499,404
j.rndn.6x5.train.246,F20.M1,516,456
j.rndn.6x5.train.247,F20.M1,498,398
j.rndn.6x5.train.248,F20.M1,517,413
j.rndn.6x5.train.249,F20.M1,548,449
j.rndn.6x5.train.250,F20.M1,498,407
j.rndn.6x5.train.251,F20.M1,462,412
j.rndn.6x5.train.252,F20.M1,500,404
