Problem,NrFeat,Model,Prob,TimeIndependent,Training.Rho,NTrain,Validation.Rho,NValidation,Test.Rho,NTest
j.rnd,1,1,opt,TRUE,50.61861,240,51.02285,60,52.00452,200
j.rnd,1,10,opt,TRUE,34.34713,240,32.99411,60,32.9227,200
j.rnd,1,11,opt,TRUE,34.34713,240,32.99411,60,32.9227,200
j.rnd,1,12,opt,TRUE,51.39279,240,51.24584,60,52.32547,200
j.rnd,1,13,opt,TRUE,24.63096,240,25.62513,60,24.85108,200
j.rnd,1,14,opt,TRUE,51.39279,240,51.24584,60,52.32547,200
j.rnd,1,15,opt,TRUE,45.35285,240,45.05016,60,47.75441,200
j.rnd,1,16,opt,TRUE,21.85383,240,22.89454,60,21.98758,200
j.rnd,1,2,opt,TRUE,30.33286,240,30.34654,60,30.36452,200
j.rnd,1,3,opt,TRUE,34.34713,240,32.99411,60,32.9227,200
j.rnd,1,4,opt,TRUE,21.48496,240,21.08996,60,22.1712,200
j.rnd,1,5,opt,TRUE,53.59787,240,55.27942,60,55.10891,200
j.rnd,1,6,opt,TRUE,43.02205,240,43.69357,60,42.21849,200
j.rnd,1,7,opt,TRUE,59.20477,240,58.93109,60,58.26187,200
j.rnd,1,8,opt,TRUE,45.6085,240,45.5111,60,45.03943,200
j.rnd,1,9,opt,TRUE,44.67777,240,44.01535,60,43.94366,200
j.rnd,16,1,opt,TRUE,31.99272,240,31.18118,60,32.24543,200
j.rnd,2,1,opt,TRUE,43.71033,240,41.29479,60,43.88468,200
j.rnd,2,10,opt,TRUE,41.81385,240,40.5759,60,41.59415,200
j.rnd,2,11,opt,TRUE,40.71177,240,37.82579,60,41.18626,200
j.rnd,2,12,opt,TRUE,31.5852,240,29.55808,60,31.43826,200
j.rnd,2,13,opt,TRUE,25.27595,240,24.54898,60,27.23404,200
j.rnd,2,14,opt,TRUE,23.03025,240,24.12474,60,23.41892,200
j.rnd,2,15,opt,TRUE,43.02205,240,43.69357,60,42.21849,200
j.rnd,2,16,opt,TRUE,59.89416,240,59.85108,60,59.13314,200
j.rnd,2,2,opt,TRUE,43.73894,240,41.16244,60,43.71568,200
j.rnd,2,3,opt,TRUE,43.43423,240,41.36162,60,43.41749,200
j.rnd,2,4,opt,TRUE,32.73383,240,31.09562,60,32.5849,200
j.rnd,2,5,opt,TRUE,16.33481,240,16.7254,60,16.44263,200
j.rnd,2,6,opt,TRUE,20.87713,240,20.40977,60,19.74491,200
j.rnd,2,7,opt,TRUE,55.16368,240,53.77787,60,54.14326,200
j.rnd,2,8,opt,TRUE,43.49808,240,46.85359,60,42.72241,200
j.rnd,2,9,opt,TRUE,50.09245,240,50.64805,60,51.24705,200
j.rnd,2,100,opt,TRUE,45.28549,240,45.05016,60,47.72655,200
j.rnd,2,101,opt,TRUE,33.07987,240,32.70538,60,32.70594,200
j.rnd,2,102,opt,TRUE,38.36216,240,39.12386,60,39.14533,200
j.rnd,2,103,opt,TRUE,49.38138,240,52.19958,60,52.96218,200
j.rnd,2,104,opt,TRUE,49.4496,240,52.97714,60,50.50539,200
j.rnd,2,105,opt,TRUE,49.46352,240,52.46744,60,53.15778,200
j.rnd,2,106,opt,TRUE,27.23276,240,27.24213,60,27.46033,200
j.rnd,2,107,opt,TRUE,17.45404,240,16.84673,60,17.07815,200
j.rnd,2,108,opt,TRUE,13.73759,240,13.53368,60,14.24073,200
j.rnd,2,109,opt,TRUE,20.39272,240,20.31528,60,20.48433,200
j.rnd,2,110,opt,TRUE,39.80729,240,39.19664,60,39.76836,200
j.rnd,2,111,opt,TRUE,21.98635,240,21.97526,60,21.35704,200
j.rnd,2,112,opt,TRUE,39.76026,240,40.09736,60,40.81053,200
j.rnd,2,113,opt,TRUE,21.85383,240,22.88814,60,21.9613,200
j.rnd,2,114,opt,TRUE,22.15892,240,22.70141,60,22.34667,200
j.rnd,2,115,opt,TRUE,13.78867,240,13.58644,60,14.27553,200
j.rnd,2,116,opt,TRUE,14.60524,240,15.5354,60,15.84368,200
j.rnd,2,117,opt,TRUE,25.21451,240,25.07281,60,24.80745,200
j.rnd,2,118,opt,TRUE,22.49341,240,23.58989,60,22.50336,200
j.rnd,2,119,opt,TRUE,25.27927,240,25.16177,60,24.96298,200
j.rnd,2,120,opt,TRUE,23.97341,240,25.47252,60,24.30004,200
j.rnd,2,17,opt,TRUE,43.42574,240,46.20167,60,42.73673,200
j.rnd,2,18,opt,TRUE,45.1282,240,44.98484,60,45.44137,200
j.rnd,2,19,opt,TRUE,42.37302,240,38.88365,60,44.24981,200
j.rnd,2,20,opt,TRUE,43.65488,240,47.68568,60,43.80423,200
j.rnd,2,21,opt,TRUE,50.87091,240,50.02309,60,50.52203,200
j.rnd,2,22,opt,TRUE,50.50372,240,49.74334,60,52.99424,200
j.rnd,2,23,opt,TRUE,30.33286,240,30.34654,60,30.39433,200
j.rnd,2,24,opt,TRUE,34.24506,240,32.99411,60,32.90398,200
j.rnd,2,25,opt,TRUE,21.48496,240,21.08996,60,22.1712,200
j.rnd,2,26,opt,TRUE,52.4483,240,54.32198,60,54.87022,200
j.rnd,2,27,opt,TRUE,43.0155,240,43.55828,60,42.30727,200
j.rnd,2,28,opt,TRUE,59.43329,240,57.35739,60,58.07453,200
j.rnd,2,29,opt,TRUE,47.90977,240,48.40978,60,48.66349,200
j.rnd,2,30,opt,TRUE,29.98651,240,29.26265,60,29.45964,200
j.rnd,2,31,opt,TRUE,34.01762,240,32.78785,60,32.68523,200
j.rnd,2,32,opt,TRUE,21.6283,240,21.12874,60,22.24392,200
j.rnd,2,33,opt,TRUE,53.54021,240,52.19896,60,54.89958,200
j.rnd,2,34,opt,TRUE,40.00028,240,40.69874,60,39.48063,200
j.rnd,2,35,opt,TRUE,57.30483,240,57.67957,60,57.84167,200
j.rnd,2,36,opt,TRUE,44.89019,240,45.06057,60,45.22468,200
j.rnd,2,37,opt,TRUE,43.58665,240,41.4681,60,43.94921,200
j.rnd,2,38,opt,TRUE,42.34633,240,39.86934,60,42.40131,200
j.rnd,2,39,opt,TRUE,34.34713,240,32.99411,60,32.9227,200
j.rnd,2,40,opt,TRUE,20.87713,240,20.40977,60,19.74491,200
j.rnd,2,41,opt,TRUE,51.9822,240,50.05646,60,50.9605,200
j.rnd,2,42,opt,TRUE,25.10276,240,24.46897,60,27.25693,200
j.rnd,2,43,opt,TRUE,45.56024,240,45.22953,60,44.96096,200
j.rnd,2,44,opt,TRUE,34.27388,240,32.99411,60,32.90398,200
j.rnd,2,45,opt,TRUE,34.01762,240,32.78785,60,32.68523,200
j.rnd,2,46,opt,TRUE,47.99148,240,46.25239,60,47.87547,200
