Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.1353576,-0.1157843,-0.1543782,-0.2765995,-0.2183061,-0.257121,-0.1804884,-0.1617361,-0.1656293,-0.1638045,-0.1607874,-0.1247184,-0.07997281,-0.1225019,-0.07782808,-0.07278728,-0.04009644,-0.005326735,-0.02118029,-0.01010656,-0.02425219,0.001502696,0.003657832,0.001850073,-0.0302674,-0.0118198,-0.1637132,-0.08807763,0.007500053
Weight,16,1,phi.startTime,NA,0,0,0.04852472,0.09697872,0.08404869,0.1002274,0.06963732,0.06480948,0.06682929,0.06654635,0.06528284,0.05123629,0.03251717,0.05002255,0.03309108,0.0297999,0.01524274,0.0005463273,0.007613719,0.003856266,0.01732414,0.00473814,0.006770685,0.003795779,0.03815567,0.04640444,0.1625551,0.1352047,-0.01465175
Weight,16,1,phi.endTime,NA,-0.1353576,-0.1157843,-0.1058535,-0.1796208,-0.1342574,-0.1568936,-0.110851,-0.09692659,-0.09879999,-0.09725814,-0.09550453,-0.07348215,-0.04745563,-0.07247935,-0.044737,-0.04298738,-0.0248537,-0.004780408,-0.01356658,-0.006250292,-0.006928049,0.006240836,0.01042852,0.005645852,0.007888265,0.03458464,-0.001158077,0.04712709,-0.007151696
Weight,16,1,phi.jobOps,NA,0,0.004185649,0.126705,0.2103985,0.06625978,0.2158714,0.2798918,0.1890093,0.08147364,0.08682095,0.03171158,0.04420267,0.06080248,0.1068963,0.02090473,0.01183609,0.006274799,0.006831898,0.01108796,0.01885032,0.003360799,0.000383774,0.0001073902,-1.550648e-06,0.0004387103,0.01055565,-0.0005527942,-0.0009284087,0
Weight,16,1,phi.arrivalTime,NA,0,0.04526315,-0.03730938,0.07318609,0.03347112,0.04976844,0.03689829,0.03219725,0.03248763,0.03171209,0.03047306,0.02590473,0.01447609,0.02276863,0.01201249,0.01079439,0.008723369,-0.001502566,-0.001478918,-0.005594836,-0.01863552,-0.02328654,-0.02663146,-0.02420606,-0.06241201,-0.1019732,-0.1709093,-0.1980955,-0.09929715
Weight,16,1,phi.totproc,NA,0.04914992,0.06498448,0.5627709,0.141224,0.108872,0.1208051,0.09834137,0.08574307,0.08829781,0.08187112,0.07481447,0.07062774,0.05226757,0.06149946,0.058738,0.04822411,0.03178251,0.02414867,0.02968302,0.02587495,0.01928635,0.007894968,0.001745453,0.0005487732,-0.001054817,0.002550576,0.00200612,0.01172652,0.0184927
Weight,16,1,phi.wait,NA,0,-0.04526315,0.0858341,0.02379262,0.05057757,0.05045894,0.03273903,0.03261223,0.03434166,0.03483425,0.03480978,0.02533156,0.01804109,0.02725392,0.02107859,0.01900551,0.006519372,0.002048893,0.009092637,0.009451102,0.03595966,0.02802468,0.03340214,0.02800184,0.1005677,0.1483777,0.3334644,0.3333002,0.0846454
Weight,16,1,phi.mac,NA,0,0.004185649,0.126705,0.2103985,0.06625978,0.2158714,0.2798918,0.1890093,0.08147364,0.08682095,0.03171158,0.04420267,0.06080248,0.1068963,0.02090473,0.01183609,0.006274799,0.006831898,0.01108796,0.01885032,0.003360799,0.000383774,0.0001073902,-1.550648e-06,0.0004387103,0.01055565,-0.0005527942,-0.0009284087,0
Weight,16,1,phi.macOps,NA,0,-0.004185649,-0.1758022,-0.2928514,-0.08026949,-0.272641,-0.384048,-0.1555025,-0.04792933,-0.03707475,-0.01297518,-0.02405615,-0.01351058,-0.03106611,-0.004372482,0.006807062,0.01165522,0.003408837,0.007380726,0.007162529,-2.404781e-05,0.0008417553,0.001433192,0.00114884,0.002086321,0.01301815,0.001093307,0.0009284087,0
Weight,16,1,phi.macfree,NA,-0.1353576,-0.1157843,-0.1058535,0.07992338,0.05342026,0.1034926,0.05275884,0.05016284,0.04313582,0.0402697,0.03287341,0.01878622,0.01386837,0.02849848,-0.02058409,-0.01324466,-0.0008708859,-0.002017223,-0.00647362,-0.01969525,-0.03672751,-0.001770825,-0.000670105,0.008102867,-0.0155796,-0.03867587,-0.0896139,-0.06096119,7.706155e-05
