Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.1504557,-0.13097,-0.1891904,-0.2535945,-0.07614437,-0.03759995,-0.0216797,-0.03331253,0.005901121,0.0003318223,-0.009294138,0.006296037,-0.03913825,0.004566893,0.005179669,-0.06890376,0.00310587,-0.009933303,-0.01709424,-0.005448519,0.006634773,0.004974053,0.05386624,0.05741983,0.004729932,0.03556332,0.07191617,0.1185943,0.005119845
Weight,16,1,phi.startTime,NA,0,0,0.08269777,0.06873961,0.02440083,0.009539181,0.005854868,0.0122786,-0.002564971,-0.0006203171,0.002586128,-0.004291839,0.0146535,-0.002457678,-0.002229287,0.02672107,-0.001793475,0.001366078,0.002908183,-0.0001268508,-0.002756672,-0.00460026,-0.02563753,-0.02577215,-0.003765589,-0.01955327,-0.05562685,-0.05336222,-0.02824066
Weight,16,1,phi.endTime,NA,-0.1504557,-0.13097,-0.1064926,-0.1848549,-0.05174354,-0.02806077,-0.01582483,-0.02103394,0.00333615,-0.0002884947,-0.00670801,0.002004198,-0.02448475,0.002109215,0.002950382,-0.0421827,0.001312396,-0.008567225,-0.01418605,-0.005575369,0.003878101,0.0003737923,0.02822871,0.03164768,0.0009643425,0.01601004,0.01628932,0.06523204,-0.02312081
Weight,16,1,phi.jobOps,NA,0,0.0029581,0.1373258,0.0552513,0.02767681,0.2896497,0.1085531,0.1062002,0.01104476,0.02439606,0.004213358,0.001983514,0.01251698,0.000839208,0.001192763,0.01516239,0.002128714,0.009686465,0.01135055,0.003024029,0.001240399,0.002763813,0.007243522,-0.0039316,0.0009835904,0.009407969,-0.0002408914,-0.002440895,0
Weight,16,1,phi.arrivalTime,NA,0,0.04945726,-0.03408513,0.07443035,0.007223164,0.0008689161,0.001773808,0.002132199,-0.003137062,-0.003416145,-0.002068932,-0.005660935,0.00301767,-0.006125997,-0.008275177,0.006365903,-0.004772961,-0.002467351,-0.002080221,-0.004312399,-0.009298097,-0.007620478,-0.01902314,-0.01527063,-0.001331751,-0.01210324,-0.01819976,-0.04962756,-0.05294311
Weight,16,1,phi.totproc,NA,0.05460174,0.0726656,0.5998345,0.2855858,0.09011404,0.08043573,0.06285591,0.0575101,0.05208827,0.05947326,0.04835335,0.03942784,0.05163097,0.03248673,0.03689178,0.0523246,0.03148659,0.03390027,0.03047677,0.03062529,0.02477781,0.02835316,0.005896826,0.0008526406,0.01444597,0.05082353,-0.05461856,-0.03361359,0.02186476
Weight,16,1,phi.wait,NA,0,-0.04945726,0.1167829,-0.00569074,0.01717766,0.008670265,0.00408106,0.0101464,0.0005720911,0.002795828,0.00465506,0.001369096,0.01163583,0.003668319,0.00604589,0.02035516,0.002979487,0.003833429,0.004988404,0.004185548,0.006541425,0.003020218,-0.006614395,-0.01050152,-0.002433839,-0.007450032,-0.03742709,-0.003734657,0.02470245
Weight,16,1,phi.mac,NA,0,0.0029581,0.1373258,0.0552513,0.02767681,0.2896497,0.1085531,0.1062002,0.01104476,0.02439606,0.004213358,0.001983514,0.01251698,0.000839208,0.001192763,0.01516239,0.002128714,0.009686465,0.01135055,0.003024029,0.001240399,0.002763813,0.007243522,-0.0039316,0.0009835904,0.009407969,-0.0002408914,-0.002440895,0
Weight,16,1,phi.macOps,NA,0,-0.0029581,-0.2600386,-0.08277274,-0.1016768,-0.4186344,-0.1498706,-0.1185585,-0.01075674,-0.02350215,-0.003148381,-0.001261087,-0.01240977,3.87914e-05,2.142872e-05,-0.01299385,-0.0009776181,-0.004021839,-0.009462724,-0.003418891,-0.001124086,-0.0004574536,0.004816987,0.01451291,-0.001276385,0.001854893,0.0004822376,0.002440895,0
Weight,16,1,phi.macfree,NA,-0.1504557,-0.13097,-0.1064926,0.1403458,0.03141131,0.02642693,0.006413446,0.03459192,-0.01922941,-0.0315995,-0.01481036,0.004115908,-0.004748872,0.0002314308,0.0008672555,0.02277158,-0.000398939,0.008233104,-0.008442541,-0.01157015,-0.01238952,-0.001838147,0.0142717,0.02123372,-0.02027063,-2.206957e-05,-0.01626925,0.1112022,-0.01718584
