Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.1845842,-0.1548261,-0.1557454,-0.2702511,-0.09893502,-0.05174299,0.01133987,-0.05853102,0.007966866,-0.01069656,0.005830451,0.007831716,0.005509992,0.006400064,0.00505883,-0.06461519,-0.03851711,-0.0113014,-0.01748595,-0.01862009,0.01230102,0.00778353,0.02434826,0.04474189,-0.004644589,0.07604508,0.06607139,0.1985459,0.005095275
Weight,16,1,phi.startTime,NA,0,0,0.02437957,0.07857615,0.03636095,0.01498744,-0.009159159,0.02293195,-0.003555738,0.003219617,-0.003379763,-0.005249212,-0.002023862,-0.003024633,-0.002274539,0.02507709,0.01510051,0.001499819,0.002917746,0.004511429,-0.005595091,-0.006130275,-0.01444183,-0.02112048,-0.0001936277,-0.03840218,-0.05129264,-0.1402991,-0.0280681
Weight,16,1,phi.endTime,NA,-0.1845842,-0.1548261,-0.1313658,-0.1916749,-0.06257407,-0.03675555,0.002180714,-0.03559906,0.004411128,-0.007476945,0.002450687,0.002582504,0.00348613,0.003375431,0.002784291,-0.0395381,-0.0234166,-0.009801582,-0.01456821,-0.01410866,0.006705931,0.001653255,0.009906433,0.02362141,-0.004838217,0.0376429,0.01477875,0.05824676,-0.02297282
Weight,16,1,phi.jobOps,NA,0,0.003063161,0.1496868,0.04488801,0.07305069,0.1359227,0.003895892,0.1725633,0.002930931,0.06802202,0.001926862,0.001792197,0.001668168,0.001001083,0.001023818,0.01442552,0.02229598,0.009033821,0.01322559,0.00519769,0.005528614,0.01272815,0.001505541,-0.002453113,0.001430415,0.01321729,-0.0002480944,-0.007511004,0
Weight,16,1,phi.arrivalTime,NA,0,0.05064431,-0.03555728,0.07526161,0.01346446,0.004049838,-0.00546453,0.007108738,-0.004639458,-0.001591047,-0.005157388,-0.006125623,-0.006511357,-0.006497304,-0.008168347,0.00649271,0.003435334,-0.002233611,-0.002362763,-0.001603121,-0.01088,-0.009095071,-0.01372226,-0.01250063,0.002711792,-0.01970092,-0.01746114,-0.0816896,-0.05236308
Weight,16,1,phi.totproc,NA,0.06845614,0.08276458,0.5852905,0.3271005,0.1042504,0.09311187,0.06701456,0.07095147,0.05892206,0.06691342,0.04298042,0.03970229,0.0435286,0.03500131,0.03662767,0.05319539,0.04394196,0.03672025,0.0377173,0.03896486,0.03785708,0.03513275,0.02644897,0.006725893,0.02354113,0.06565722,-0.04596362,0.06577254,0.02193297
Weight,16,1,phi.wait,NA,0,-0.05064431,0.05993685,0.003314531,0.02289649,0.0109376,-0.003694629,0.01582322,0.00108372,0.004810664,0.001777625,0.0008764115,0.004487494,0.003472671,0.005893808,0.01858438,0.01166518,0.00373343,0.005280509,0.00611455,0.005284904,0.002964796,-0.000719567,-0.008619846,-0.002905419,-0.01870126,-0.0338315,-0.05860951,0.02429498
Weight,16,1,phi.mac,NA,0,0.003063161,0.1496868,0.04488801,0.07305069,0.1359227,0.003895892,0.1725633,0.002930931,0.06802202,0.001926862,0.001792197,0.001668168,0.001001083,0.001023818,0.01442552,0.02229598,0.009033821,0.01322559,0.00519769,0.005528614,0.01272815,0.001505541,-0.002453113,0.001430415,0.01321729,-0.0002480944,-0.007511004,0
Weight,16,1,phi.macOps,NA,0,-0.003063161,-0.2785044,-0.08377128,-0.2918414,-0.1820259,-0.003239786,-0.2038797,-0.001273014,-0.06844804,-0.0007350272,-0.001132518,-0.0003554569,7.402768e-05,0.000412864,-0.007563302,-0.01796871,-0.003364145,-0.009827123,-0.005763023,-0.007788535,-0.002260249,0.002292544,0.01112545,-0.001215086,-0.0001638287,0.0004943085,0.007511004,0
Weight,16,1,phi.macfree,NA,-0.1845842,-0.1548261,-0.1313658,0.1182984,0.03301665,0.02006939,0.007784744,0.04164756,-0.005522782,-0.02724852,-0.002373209,0.004439085,-0.003750489,-0.0004655807,0.001158957,-0.0005046846,-0.01049667,0.005081323,-0.01594232,-0.009646623,-0.02749906,-0.01381465,0.005598925,0.01390282,-0.01926672,0.02373726,-0.01884848,0.2791842,-0.01717064
