Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.114255,-0.09182812,-0.1015236,-0.2066415,-0.1647074,-0.1318977,-0.1280312,-0.09322344,-0.06681061,-0.05195023,-0.04224667,-0.06993547,-0.01205333,-0.0560324,-0.05357529,-0.03400113,-0.01739854,0.003777186,0.008918708,0.02016275,0.04874201,0.02743236,0.002393663,-0.0008027028,0.01127476,-0.04895521,-0.1202505,-0.1124223,0.002981034
Weight,16,1,phi.startTime,NA,0,0,0.01770269,0.1144041,0.07406743,0.05438084,0.05290808,0.03983605,0.02901438,0.02205729,0.01808879,0.03077178,0.006190573,0.02520201,0.02394179,0.01683699,0.009109297,0.001118218,0.001713981,0.001305944,0.03254785,0.02600899,0.03780978,0.04774114,0.1364424,0.1727527,0.1430548,0.2202507,-0.01590863
Weight,16,1,phi.endTime,NA,-0.114255,-0.09182812,-0.08382095,-0.09223734,-0.09064001,-0.07751687,-0.07512308,-0.05338739,-0.03779623,-0.02989294,-0.02415788,-0.03916368,-0.005862759,-0.03083039,-0.0296335,-0.01716414,-0.008289242,0.004895404,0.01063269,0.0214687,0.08128986,0.05344134,0.04020344,0.04693844,0.1477172,0.1237975,0.02280433,0.1078284,-0.01292759
Weight,16,1,phi.jobOps,NA,0,0.002622339,0.09355892,0.03352307,0.1033391,0.2201496,0.1065814,0.202312,0.3506578,0.5792009,0.3982416,0.3835643,0.3899723,0.3219181,0.8505646,0.06676077,0.1341017,0.002753603,0.009904504,0.007563587,0.05868806,0.007111127,0.002611966,0.007033786,0.0244604,0.06228988,-0.0005287748,-0.001066437,0
Weight,16,1,phi.arrivalTime,NA,0,0.04278011,-0.03445118,0.05044465,0.02282129,0.02647703,0.02255797,0.01795368,0.01224564,0.007574641,0.006007008,0.01161085,-0.0008031509,0.008002573,0.006804504,0.001957776,-0.001751125,-0.009207142,-0.01580216,-0.02735489,-0.1212919,-0.09099692,-0.08717868,-0.1037769,-0.2953591,-0.3106994,-0.1724277,-0.3425632,-0.1019694
Weight,16,1,phi.totproc,NA,0.04185455,0.05558656,0.4158507,0.219714,0.1242713,0.1029171,0.09898572,0.07675816,0.06412846,0.05725823,0.05105492,0.05944649,0.03228257,0.0446685,0.03671312,0.04776545,0.02947623,0.02864883,0.02278305,0.01818467,0.003169505,0.002992269,0.007497244,0.008411379,-0.01788419,0.007166243,-0.0009873964,0.007887545,0.02149798
Weight,16,1,phi.wait,NA,0,-0.04278011,0.05215386,0.06395949,0.05124613,0.02790381,0.03035011,0.02188237,0.01676874,0.01448265,0.01208178,0.01916094,0.006993724,0.01719944,0.01713728,0.01487921,0.01086042,0.01032536,0.01751614,0.02866083,0.1538397,0.1170059,0.1249885,0.151518,0.4318015,0.4834521,0.3154825,0.562814,0.08606073
Weight,16,1,phi.mac,NA,0,0.002622339,0.09355892,0.03352307,0.1033391,0.2201496,0.1065814,0.202312,0.3506578,0.5792009,0.3982416,0.3835643,0.3899723,0.3219181,0.8505646,0.06676077,0.1341017,0.002753603,0.009904504,0.007563587,0.05868806,0.007111127,0.002611966,0.007033786,0.0244604,0.06228988,-0.0005287748,-0.001066437,0
Weight,16,1,phi.macOps,NA,0,-0.002622339,-0.1443523,-0.0520487,-0.2044314,-0.2771803,-0.1053436,-0.103144,-0.2671388,0.4337921,-0.01586362,0.09539325,0.06676959,-0.1053321,0.8169608,-0.01299639,0.01189017,0.0005447894,-0.002999641,-0.001377864,-0.02175546,0.002015073,0.00159943,-0.005740794,-0.01422722,0.0455685,0.001033949,0.001066437,0
Weight,16,1,phi.macfree,NA,-0.114255,-0.09182812,-0.08382095,-0.005293535,0.02754806,0.07208524,0.05247731,0.05382217,0.0301985,-0.001277813,0.005080632,0.008030127,0.007216668,0.0283801,0.004156538,-0.002958072,0.02355192,0.003595177,0.0159681,0.01561383,-0.04986409,0.009444419,-0.001169349,-0.01779897,-0.03723775,-0.04295617,-0.07560124,-0.04433407,-0.0007401698
Weight,16,1,phi.makespan,NA,-0.114255,-0.09182812,-0.007759949,0.03150901,-0.009563027,0.004072197,0.02244156,0.01139384,0.0006106742,0.007732657,0.01289149,0.007881428,0.001489486,-0.001822511,-0.002073452,-0.00557116,0.003607485,-0.006861488,-0.01165057,-0.008225821,0.005803875,0.005553294,0.006011232,0.01280335,0.01793527,-0.007308233,0.008178205,0.06791591,-0.0007401698
