Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.1127895,-0.002557994,0.001917574,-0.01747117,0.01004476,0.04143166,-0.02275005,0.0004414881,-0.0001210974,-0.02923867,-0.007680139,-0.0467028,-0.01411151,-0.02982509,-0.07219878,-0.02782345,-0.08269441,-0.02861617,0.01330651,0.04204478,0.005526431,-3.62989e-05,-0.005684003,-0.03521498,-0.05359956,-0.070978,-0.03938784,-0.154459,0.01180452
Weight,16,1,phi.startTime,NA,0,0,-0.02336221,-0.03924383,-0.001493089,-0.02041022,0.05295991,-0.002930105,0.004798074,0.03025877,0.01237955,0.08499603,0.03560813,0.03614576,0.08274305,0.01842836,0.1072881,0.09658761,0.0155,-0.003828757,0.02990066,0.001771531,0.001852312,0.05203211,0.07555784,0.1193232,0.08249556,0.1568439,-0.02247033
Weight,16,1,phi.endTime,NA,-0.1127895,-0.002557994,-0.02144464,-0.056715,0.008551675,0.02102145,0.03020986,-0.002488617,0.004676976,0.0010201,0.004699414,0.03829324,0.02149661,0.006320673,0.01054427,-0.009395087,0.02459371,0.06797144,0.02880651,0.03821603,0.03542709,0.001735232,-0.003831691,0.01681714,0.02195828,0.04834525,0.04310772,0.002384891,-0.01066582
Weight,16,1,phi.jobOps,NA,0,0.0002291732,-4.693355e-06,-0.001412636,-0.0006567322,-0.0003821723,-0.003196708,-0.0003879307,-0.0009094674,-0.01426025,-0.002696878,-0.0178584,-0.01292939,-0.002770786,-0.01828564,-0.006533339,-0.04029362,-0.01501784,-0.003230213,-0.003263743,-0.02432072,-0.003832827,-0.002877418,-0.00075211,-0.0007769778,-0.0007686439,-0.0002978644,0,0
Weight,16,1,phi.arrivalTime,NA,0,0.01149273,-0.0153249,-0.02729725,-0.04211441,-0.01661891,-0.08736751,-0.02429085,-0.03522716,-0.05492781,-0.0353515,-0.1569115,-0.1015754,-0.0971947,-0.1357752,-0.04410738,-0.1600708,-0.2594339,-0.08516778,-0.06872356,-0.218542,-0.04277366,-0.0182112,-0.136051,-0.249372,-0.4204368,-0.2554193,-0.8461931,-0.07914726
Weight,16,1,phi.totproc,NA,0.04130978,0.00612166,0.009827508,0.06932042,0.02051182,0.07656843,0.1171331,0.02876227,0.001999915,0.008329291,-0.002854258,0.05467709,0.03597544,0.01292795,0.02401769,0.01402753,0.0005502302,0.01248009,0.01231336,0.01144725,-0.001674451,0.002139942,0.001535956,0.002302552,0.004218376,-0.001917512,0.004951538,0.02258281,0.04433178
Weight,16,1,phi.wait,NA,0,-0.01149273,-0.008037316,-0.01194658,0.04062132,-0.003791304,0.1403274,0.02136075,0.04002523,0.08518658,0.04773105,0.2419075,0.1371835,0.1333405,0.2185182,0.06253575,0.2673589,0.3560215,0.1006678,0.06489481,0.2484427,0.0445452,0.02006352,0.1880831,0.3249299,0.53976,0.3379148,1.003037,0.05667693
Weight,16,1,phi.mac,NA,0,0.0002291732,-4.693355e-06,-0.001412636,-0.0006567322,-0.0003821723,-0.003196708,-0.0003879307,-0.0009094674,-0.01426025,-0.002696878,-0.0178584,-0.01292939,-0.002770786,-0.01828564,-0.006533339,-0.04029362,-0.01501784,-0.003230213,-0.003263743,-0.02432072,-0.003832827,-0.002877418,-0.00075211,-0.0007769778,-0.0007686439,-0.0002978644,0,0
Weight,16,1,phi.macOps,NA,0,-0.0002291732,9.386709e-06,0.00335405,0.0002491617,0.0027666,0.007468603,0.0002274071,0.001039131,0.01416884,0.003261986,0.01525223,0.01202267,-0.003522798,0.007359261,0.00888491,0.04249965,0.01173052,0.001941839,0.005356795,0.01255564,0.01130382,0.008945256,0.00203697,0.002244673,0.002183303,0.0005957288,0,0
Weight,16,1,phi.macfree,NA,-0.1127895,-0.002557994,-0.02144464,-0.056715,0.02165664,0.05530282,0.03020986,-0.0185376,0.01304486,0.02287677,0.005823481,0.04497437,0.02149661,0.02135221,0.01859866,0.00570076,0.03298171,0.09089036,0.0314978,0.03821603,0.03542709,0.003203248,-0.001498389,0.03368043,0.04014367,0.06110085,0.01026034,0.005103803,-0.01066582
Weight,16,1,phi.makespan,NA,-0.1127895,-0.002557994,-0.02121628,0.2139028,-0.01485201,0.007551175,0.02270864,0.09128924,-0.004429715,0.005723761,-0.000101508,0.01838835,0.03194311,0.04234752,0.01801141,0.01372834,0.01087017,0.01800854,0.007599921,0.02770578,0.04005079,0.02284849,0.01704508,0.01834562,0.02384839,0.01629082,0.02703356,0.2464523,-0.01066582
Weight,16,1,phi.slotReduced,NA,0,-0.01149273,0.0153249,-0.00449822,-0.0004837353,-0.006457114,-0.006279069,-0.03294005,-0.009560779,-0.01455362,-0.009115425,-0.01386272,-0.0149972,-0.00582298,-0.0009971815,-0.007737133,-0.006874834,-0.008899046,-0.005552235,-0.002762224,0.01124751,-0.006130218,-0.007445777,-0.01485318,-0.048227,-0.0768669,-0.0449821,-0.1595628,0.02247033
Weight,16,1,phi.slots,NA,0,0.01149273,-0.0153249,-0.01199943,0.01307706,-0.06633457,-0.06302759,-0.0899026,-0.01631969,-0.03673526,-0.01731708,-0.05594235,-0.02920559,-0.00747655,0.004216516,-0.000270867,-0.03218088,-0.02548566,-0.01044437,-0.02781031,0.1160768,0.008230091,-0.007164681,-0.003016094,0.008027279,0.03615294,0.02883699,0.1595628,-0.02247033
Weight,16,1,phi.slotsTotal,NA,0,0.01149273,-0.0153249,0.00449822,0.0004837353,0.006457114,0.006279069,0.03294005,0.009560779,0.01455362,0.009115425,0.01386272,0.0149972,0.00582298,0.0009971815,0.007737133,0.006874834,0.008899046,0.005552235,0.002762224,-0.01124751,0.006130218,0.007445777,0.01485318,0.048227,0.0768669,0.0449821,0.1595628,-0.02247033
Weight,16,1,phi.wrmMac,NA,0,0.0128578,0.005780595,-0.03990615,0.002953968,-0.04494589,-0.04345955,-0.0639996,-0.0250017,-0.0198193,-0.02005127,-0.06164525,-0.07800805,-0.03746068,-0.03089634,-0.04358713,0.003059782,-0.07593503,-0.05616687,-0.04219055,-0.09144593,-0.04475953,-0.02779981,-0.07196201,-0.08373206,-0.09572895,-0.02137459,0,0
