Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.1087631,-0.05506502,0.1152226,-0.1389216,-0.1210833,-0.03996774,-0.0326649,-0.02225145,0.002203758,-0.03743583,-0.02790663,-0.04733168,-0.04564178,0.00131305,-0.0151154,-0.002934538,-0.003136714,-0.03472654,-0.02325387,-0.01428299,-0.002423029,-0.04703593,-0.04589146,-0.003466505,-0.1574196,-0.007701923,0.01770903,0.01636951,0.1170989
Weight,16,1,phi.startTime,NA,0,0,-0.1435798,0.05731019,0.03936088,0.01362418,0.0110543,0.009744807,-0.002774582,0.0145158,0.01027399,0.01930871,0.0152177,-0.002591172,0.0002132329,-0.001974965,-0.0006173336,0.01203634,0.007151681,0.003980986,0.0002876968,0.01814608,0.01812061,-0.001254424,0.06162206,0.0037763,-0.005261724,-0.00195407,-0.2458224
Weight,16,1,phi.endTime,NA,-0.1087631,-0.05506502,-0.02835716,-0.08161138,-0.0817224,-0.02634356,-0.0216106,-0.01250664,-0.0005708248,-0.02292003,-0.01763264,-0.02802297,-0.03042408,-0.001278122,-0.01490217,-0.004909504,-0.003754047,-0.0226902,-0.01610219,-0.010302,-0.002135332,-0.02888985,-0.02777084,-0.004720928,-0.09579759,-0.003925623,0.01244731,0.01441543,-0.1287235
Weight,16,1,phi.jobOps,NA,0,0.0003739717,-0.04017077,-0.0004973985,0.002252867,0.000790289,-0.005540623,-0.001739989,0.0002468784,0.003506627,-0.005012969,-0.003161541,-0.00128031,-0.002737377,-0.00107335,-0.001431768,-0.002124422,-0.0109023,-0.001853522,-0.0003943531,-0.004112254,-0.004534076,-0.003549528,0.0006179728,-0.04145267,0.008710961,-0.00120046,-0.0006569667,0
Weight,16,1,phi.arrivalTime,NA,0,0.04482189,-0.1226062,0.07896306,0.01943934,0.004879814,0.003532939,0.003125865,-0.00265487,0.005767804,0.002869695,0.007850607,0.00599548,-0.002843875,-0.001415924,-0.002653723,-0.0007960595,0.005401196,0.00198188,0.00075499,-0.002114735,0.007601769,0.005481177,-0.002974561,0.02758253,-0.001400678,-0.005770571,-0.003637612,-0.1211036
Weight,16,1,phi.totproc,NA,-0.02913557,0.07008238,1.218759,0.1814932,0.129363,0.1202679,0.08738429,0.1034474,0.1116685,0.1283678,0.09800554,0.1395871,0.1018221,0.08542489,0.05422193,0.0738867,0.07149676,0.06999561,0.06627928,0.01920488,0.06029233,0.09601044,0.06750834,0.1204821,0.09838986,0.04796757,-0.138198,0.02122934,-0.3788269
Weight,16,1,phi.wait,NA,0,-0.04482189,-0.02097362,-0.02165287,0.01992154,0.008744364,0.007521358,0.006618942,-0.0001197119,0.008747993,0.00740429,0.0114581,0.009222217,0.0002527025,0.001629156,0.0006787572,0.0001787259,0.006635146,0.005169801,0.003225996,0.002402432,0.01054431,0.01263944,0.001720138,0.03403952,0.005176978,0.0005088474,0.001683542,-0.1247188
Weight,16,1,phi.mac,NA,0,0.0003739717,-0.04017077,-0.0004973985,0.002252867,0.000790289,-0.005540623,-0.001739989,0.0002468784,0.003506627,-0.005012969,-0.003161541,-0.00128031,-0.002737377,-0.00107335,-0.001431768,-0.002124422,-0.0109023,-0.001853522,-0.0003943531,-0.004112254,-0.004534076,-0.003549528,0.0006179728,-0.04145267,0.008710961,-0.00120046,-0.0006569667,0
Weight,16,1,phi.macOps,NA,0,-0.0003739717,0.2399418,0.01503389,0.01070558,0.001731801,0.01004145,0.008007791,0.0004851288,-0.00378205,0.01169695,0.006427311,0.005219803,0.002640753,0.0002363108,0.002782768,0.002963904,0.01616038,0.0048655,0.000715676,0.003755721,0.005068884,0.002437063,0.0003257347,0.0243578,-0.005785656,0.0009348006,0.0006569667,0
Weight,16,1,phi.macfree,NA,-0.1087631,-0.05506502,-0.02835716,-0.08023393,0.02429497,-0.002147365,-0.01737594,-0.03116213,-0.03466904,-0.0322749,-0.02464318,-0.02421463,-0.01530276,-0.03040237,-0.01272311,-0.01795857,-0.03119998,-0.01946599,-0.03090215,-0.02816487,-0.02162763,-0.01467644,-0.02314494,-0.02777886,-0.03860382,-0.1799357,-0.01760085,-0.00284888,-0.1809786
Weight,16,1,phi.makespan,NA,-0.1087631,-0.05506502,-0.3420603,0.1381803,-0.002670198,-0.01158367,0.00447924,0.002177822,0.005328633,0.01696223,0.004233199,-0.01002486,0.002298223,0.0013406,0.006525831,0.001008598,0.009257124,0.005032035,0.01191315,-0.02068196,-0.006924541,-0.009396088,-0.01164298,-0.02115738,-0.00309836,-0.001135584,0.01863577,0.07316552,-0.1809786
Weight,16,1,phi.slotReduced,NA,0,-0.04482189,0.1226062,0.01013068,0.0008476087,0.002911271,-0.0007062005,0.0002513604,-0.001697077,-0.000588921,0.0007368584,0.0008002166,-8.554099e-05,-0.001405186,-0.001125311,-0.001785571,-0.00107548,-0.003526053,-0.003774636,-0.002460299,-0.001210545,-0.005855173,0.002195378,0.002224937,0.02072783,0.01648694,0.01264237,0.04852518,0.2980775
Weight,16,1,phi.slots,NA,0,0.04482189,-0.1226062,-0.09108057,-0.01358143,0.00798757,0.006288229,0.01108128,0.0185289,0.005286767,0.01106391,0.009956833,0.004715054,0.02258348,0.01377698,0.009462054,0.01699027,0.001077825,0.01017796,0.02583453,0.01978078,0.001619422,0.03065215,0.04542047,0.08600825,0.2060249,0.01103701,0.006464707,-0.2980775
Weight,16,1,phi.slotsTotal,NA,0,0.04482189,-0.1226062,-0.01013068,-0.0008476087,-0.002911271,0.0007062005,-0.0002513604,0.001697077,0.000588921,-0.0007368584,-0.0008002166,8.554099e-05,0.001405186,0.001125311,0.001785571,0.00107548,0.003526053,0.003774636,0.002460299,0.001210545,0.005855173,-0.002195378,-0.002224937,-0.02072783,-0.01648694,-0.01264237,-0.04852518,-0.2980775
Weight,16,1,phi.wrmMac,NA,0,0.01582387,-0.07054054,-0.0138601,0.0003367823,-0.02411555,-0.02726203,-0.0278923,-0.03559913,-0.02741009,-0.02389408,-0.02483467,-0.0214121,-0.03661282,-0.0251327,-0.03853273,-0.03792538,-0.03334943,-0.03647085,-0.03203646,-0.02869164,-0.03419913,-0.02433794,-0.04704608,-0.07578314,-0.1785768,-0.06588864,-0.04457181,0
Weight,16,1,phi.wrmJob,NA,-0.02913557,0.02526049,-1.071443,-0.05330727,-0.03487672,-0.05674938,-0.05067808,-0.04253914,-0.03286773,-0.04380194,-0.03693276,-0.03843785,-0.03798123,-0.02446893,-0.02202796,-0.04609859,-0.0367564,-0.04844157,-0.04009474,-0.007907276,-0.01780849,-0.05017614,0.004811302,0.008361527,0.05202592,0.08128467,0.1120647,0.04999519,0.1170989
Training.Accuracy,16,1,NA,86.25,75.42,76.21,89.44,86.45,83.85,84.85,86.27,88.19,88.03,87.69,88.42,89.05,88.96,88.76,87.88,91.7,89.42,90.1,89.12,89.42,87.83,86.48,86.56,87.39,83.5,81.88,73.53,75,100
Validation.Accuracy,16,1,NA,87,73.23,76.29,91.06,91.38,83.37,83.73,85.88,87.19,86.7,88.18,85.88,85.02,88.2,87.15,89.74,88.02,87.68,90.29,91.56,88.96,92.37,81.93,85.96,86.49,80,91.67,83.33,100
