Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24
Weight,16,1,phi.proc,NA,-0.07751634,-0.05444529,-0.07766807,-0.1018244,-0.09699913,-0.07443185,-0.08676596,-0.1214962,-0.1168822,-0.1335482,-0.1010569,-0.203321,-0.2033887,-0.1234662,-0.1544201,-0.1322826,-0.1840349,-0.1210165,-0.07585465,-0.06207391,-0.1629586,-0.002331395,-0.001566368,-0.0009433334
Weight,16,1,phi.startTime,NA,0,0,0.01817854,0.02716076,0.03038437,0,-0.007483239,0.02716829,0.03796514,0.04671563,0,0.1414403,0.1332142,0.03561134,0.04957043,0,0.07815544,0.005361791,0.004880372,0.02191538,0,-0.009489207,-0.007500743,-0.005555404
Weight,16,1,phi.endTime,NA,-0.07751634,-0.05444529,-0.05948953,-0.07466364,-0.06661475,-0.07443185,-0.0942492,-0.09432788,-0.0789171,-0.08683255,-0.1010569,-0.06188069,-0.07017458,-0.08785489,-0.1048497,-0.1322826,-0.1058795,-0.1156547,-0.07097428,-0.04015854,-0.1629586,-0.0118206,-0.009067112,-0.006498738
Weight,16,1,phi.jobOps,NA,0,0.001297885,0.001681737,0.002145927,0.002121492,0,-0.001856874,0.001184052,0.001542679,0.002140973,0,-0.003329076,-0.004405774,0.001178292,0.002692058,0,-0.002770814,-0.0002240882,0.001067521,0.001025152,0,-0.000117945,-0.0001449272,-8.914824e-05
Weight,16,1,phi.arrivalTime,NA,0,0.04285807,0.04451298,0.0445723,0.04275597,0,0.03884029,0.08253154,0.0772646,0.08472236,0,0.1104445,0.08665316,0.09515878,0.1039633,0,0.07280397,0.102428,0.07848279,0.05549115,0,-0.01584014,-0.01318261,-0.007580348
Weight,16,1,phi.totproc,NA,0.000580618,0.08461435,0.08112351,0.08472417,0.08655368,0.05920764,0.08179273,0.1062171,0.1009095,0.1132955,0.08093661,0.1106558,0.1285117,0.1430771,0.1649219,0.1250057,0.2435838,0.2270289,0.1504143,0.1113827,0.2626737,0.0003781112,0.0001653767,9.368126e-05
Weight,16,1,phi.wait,NA,0,-0.04285807,-0.02633444,-0.01741155,-0.01237159,0,-0.04632353,-0.05536325,-0.03929947,-0.03800672,0,0.03099577,0.046561,-0.05954744,-0.05439283,0,0.005351469,-0.09706625,-0.07360241,-0.03357577,0,0.006350934,0.005681863,0.002024944
Weight,16,1,phi.mac,NA,0,0.001297885,0.001681737,0.002145927,0.002121492,0,-0.001856874,0.001184052,0.001542679,0.002140973,0,-0.003329076,-0.004405774,0.001178292,0.002692058,0,-0.002770814,-0.0002240882,0.001067521,0.001025152,0,-0.000117945,-0.0001449272,-8.914824e-05
Weight,16,1,phi.macOps,NA,0,-0.001297885,-0.0008408685,-0.0007153091,-0.0005303729,0,0.001856874,-0.0005920261,-0.0005142264,-0.0005352432,0,0.003329076,0.002202887,-0.000392764,-0.0006730146,0,0.002770814,0.0001120441,-0.0003558402,-0.0002562879,0,0.000117945,7.24636e-05,2.971608e-05
Weight,16,1,phi.macfree,NA,-0.07751634,-0.05444529,-0.05948953,-0.07466364,-0.06661475,-0.07443185,-0.0942492,-0.09432788,-0.0789171,-0.08683255,-0.1010569,-0.06188069,-0.07017458,-0.08785489,-0.1048497,-0.1322826,-0.1058795,-0.1156547,-0.07097428,-0.04015854,-0.1629586,-0.0118206,-0.009067112,-0.006498738
Weight,16,1,phi.makespan,NA,-0.07751634,-0.05444529,-0.05200042,0.009294145,0.009949159,0,-0.01290408,-0.007515302,0.005686372,0.01735289,0,0.0216272,0.05016138,0.009017701,0.01826343,0,0.005913736,0.006879473,0.003379355,0.006989697,0,-8.938285e-05,-0.0001476375,-0.0007030403
Weight,16,1,phi.slotReduced,NA,0,-0.04285807,-0.04451298,-0.0445723,-0.04275597,0,-5.519737e-06,-0.002144897,-0.002881888,-0.003611476,0,-0.008438827,-0.01921976,-0.002121898,-0.005234843,0,-0.00523597,-0.002126363,-0.002138885,-0.002381729,0,0,0,0
Weight,16,1,phi.slots,NA,0,0.04285807,0.04451298,0.0445723,0.04275597,0,0.02002019,0.05496041,0.05650428,0.06577679,0,-0.007456877,0.04536031,0.0564405,0.07057915,0,-0.006282542,0.05225883,0.04301588,0.03472805,0,-0.003026185,-0.003638235,-0.002811618
Weight,16,1,phi.slotsTotal,NA,0,0.04285807,0.04451298,0.0445723,0.04275597,0,5.519737e-06,0.002144897,0.002881888,0.003611476,0,0.008438827,0.01921976,0.002121898,0.005234843,0,0.00523597,0.002126363,0.002138885,0.002381729,0,0,0,0
Weight,16,1,phi.wrmMac,NA,0,0.04352737,0.04158248,0.02672847,0.02298171,0,0.04161994,0.04050575,0.03412188,0.02116948,0,-0.01396698,0.0108379,0.01423526,0.01341528,0,0.08317062,-0.02043055,-0.00749751,0.004488623,0,-0.007954793,-0.00533208,-0.002832047
Weight,16,1,phi.wrmJob,NA,0.000580618,0.04175629,0.03661053,0.04015186,0.04379771,0.05920764,0.06296711,0.0542794,0.0462729,0.04972654,0.08093661,0.1114698,0.1082827,0.08931425,0.0983064,0.1250057,0.2052621,0.1806926,0.1143125,0.08253745,0.2626737,0.003597293,0.004094268,0.003089342
Training.Accuracy,16,1,NA,83.12,66.16,75.09,74.26,74.72,74.72,67.64,79.03,79.34,79.01,79.01,71.14,87.01,86.43,87.21,86.32,76.6,91.16,92.58,92.41,90.94,84.06,100,100,100
Validation.Accuracy,16,1,NA,84,64.5,76.91,75.15,74.56,76.32,70.04,82.46,82.55,82.55,82.55,76.73,85.53,82.58,84.13,84.13,76.19,93.06,92.26,91.88,91.67,85.9,100,100,100
