Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.1147847,-0.08923035,-0.06608741,-0.05122542,0.001267828,-0.007545296,-0.033206,-0.02073098,-0.001775055,0.001641374,-0.003088612,-0.07082345,-0.01146559,-0.003169567,-0.01513376,-0.04054906,-0.0106112,-0.004208796,0.001408053,0.004658427,-0.002147611,0.0184721,-0.009671559,-0.009416998,-0.01402568,-0.1407434,-0.007630869,0.133265,-0.001883349
Weight,16,1,phi.startTime,NA,0,0,0.01552457,-0.04272844,-0.007685183,0.00265531,0.02798256,0.009693585,0.007154196,-0.003151252,-0.001733314,0.02883742,0.004920117,-0.00308063,-0.004538457,0.01874849,0.002494702,-2.225359e-05,-0.009898822,-0.006878871,-0.001797313,-0.009024273,0.005203698,0.0005662205,0.0001888572,0.009548187,-0.005453889,-0.00992694,-0.007571627
Weight,16,1,phi.endTime,NA,-0.1147847,-0.08923035,-0.05056284,-0.09395386,-0.006417355,-0.004889986,-0.00522344,-0.0110374,0.005379142,-0.001509878,-0.004821926,-0.04198603,-0.006545477,-0.006250196,-0.01967222,-0.02180058,-0.008116497,-0.00423105,-0.008490769,-0.002220445,-0.003944925,0.009447824,-0.00446786,-0.008850777,-0.01383682,-0.1311952,-0.01308476,0.1233381,-0.009454977
Weight,16,1,phi.jobOps,NA,0,0.002165666,0.01425158,0.004283872,0.001210261,0.004872993,0.003997473,0.0004541234,0.001584197,0.002012622,0.000432288,0.01460784,0.004974486,0.002130498,0.0107591,0.003513274,3.655289e-05,0.002203273,0.001182405,0.002236147,0.001047945,-0.002169848,-0.0009248464,-0.001084782,-0.001228163,0.00329699,-0.0001582647,0,0
Weight,16,1,phi.arrivalTime,NA,0,0.04785363,-0.06870251,-0.04195513,-0.003085706,0.007578842,0.01033476,-0.002843045,-0.002982218,-0.01086984,-0.006813156,0.007746882,-0.002711592,-0.008729352,-0.009880217,0.0009697133,-0.003493122,-0.004983433,-0.01060245,-0.008086227,-0.006143544,-0.009241572,0.0002419496,-0.0009993622,-0.0006582202,0.002064333,-0.006248516,-0.6504224,-0.06032568
Weight,16,1,phi.totproc,NA,-0.01965575,0.06635912,0.5206962,0.2310821,0.0461957,0.05577849,0.01622925,0.04832745,0.04438597,0.04769132,0.02639824,0.07330879,0.03188581,0.02689626,0.05667809,0.05991205,0.01079728,0.03962987,0.0208174,0.03104245,0.02729509,0.01507061,0.02355922,0.03469024,0.01317446,0.03892691,0.000664836,-0.1010748,-0.006546656
Weight,16,1,phi.wait,NA,0,-0.04785363,0.08422708,-0.0007733162,-0.004599478,-0.004923532,0.0176478,0.01253663,0.01013641,0.007718584,0.005079841,0.02109054,0.007631709,0.005648723,0.005341759,0.01777877,0.005987824,0.004961179,0.0007036245,0.001207356,0.004346231,0.0002172985,0.004961749,0.001565583,0.0008470774,0.007483854,0.0007946276,0.6404954,0.05275405
Weight,16,1,phi.mac,NA,0,0.002165666,0.01425158,0.004283872,0.001210261,0.004872993,0.003997473,0.0004541234,0.001584197,0.002012622,0.000432288,0.01460784,0.004974486,0.002130498,0.0107591,0.003513274,3.655289e-05,0.002203273,0.001182405,0.002236147,0.001047945,-0.002169848,-0.0009248464,-0.001084782,-0.001228163,0.00329699,-0.0001582647,0,0
Weight,16,1,phi.macOps,NA,0,-0.002165666,0.05459949,0.07900911,0.004460121,0.01602175,0.01501063,0.01448492,0.001083357,0.002426655,0.001865277,0.02682522,-0.0008093903,0.0008591318,0.005089774,0.00604655,0.0006932429,0.0008266752,0.002068005,0.002305394,-0.0001551707,0.001007118,0.0007079278,0.002453336,0.002873147,-0.003203806,0.0003165294,0,0
Weight,16,1,phi.macfree,NA,-0.1147847,-0.08923035,-0.05056284,-0.09344973,-0.00536913,0.008809323,-0.04137247,-0.009658487,-0.03100688,-0.01013138,-0.01162925,-0.007142851,-0.02164062,0.002275834,0.0162205,-0.0204799,-0.02149756,-0.01594472,0.01225565,-0.004708474,-0.01392317,-0.02222177,-0.05004445,-0.040104,-0.02190293,-0.01789915,0.004717459,0.1224361,-0.009454977
Weight,16,1,phi.makespan,NA,-0.1147847,-0.08923035,-0.05056284,0.3044032,0.01530834,0.004118188,0.002184053,0.003766484,0.01026115,0.016981,0.01198568,0.01105423,0.007645263,0.01800088,0.02848924,0.02037742,0.01328779,0.01236689,0.009712702,0.01932881,0.01763264,0.02034662,0.01721777,0.0060047,0.006498323,0.0234502,0.02455125,0.4730181,-0.009454977
Weight,16,1,phi.slotReduced,NA,0,-0.04785363,0.06870251,0.01486343,-0.0004354504,-0.002011357,0.005041961,0.002949889,0.004495087,0.004088793,0.004448509,0.003841923,0.004726303,8.960701e-05,0.001830675,0.004208296,0.001592896,-0.0006401248,0.00108001,-0.008117801,-0.001441775,-0.004181073,0.0009046994,-0.006456467,-0.01880715,0.1327849,-0.001563346,0.01082888,0.007571627
