Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24
Weight,16,1,phi.proc,NA,-0.08229189,-0.07659586,-0.03718065,-0.03281001,-0.01546916,-0.1078078,-0.0930078,-0.04498244,-0.03933157,0.004827052,-0.149524,-0.02849522,-0.01449799,-0.00125489,0.01224949,-0.1103475,-0.006138955,-0.01447955,0.01028594,0.02023442,-0.1812589,-0.002115676,-0.001689458,-0.0009330793
Weight,16,1,phi.startTime,NA,0,0,0.01556934,0.0139159,0.01040645,0,0.00800477,0.007100773,0.01671602,0.010111,0,-0.01620597,-0.0008736482,-0.008606589,0.0126939,0,-0.06534322,0.01006513,-0.02023618,0.01232472,0,-0.008839966,-0.008450424,-0.005691149
Weight,16,1,phi.endTime,NA,-0.08229189,-0.07659586,-0.02161131,-0.01889411,-0.005062715,-0.1078078,-0.08500303,-0.03788167,-0.02261556,0.01493806,-0.149524,-0.04470119,-0.01537164,-0.009861479,0.02494339,-0.1103475,-0.07148218,-0.004414417,-0.009950243,0.03255914,-0.1812589,-0.01095564,-0.01013988,-0.006624228
Weight,16,1,phi.jobOps,NA,0,0.00238618,0.001728364,0.00119112,0.0007947613,0,-0.01208072,0.0004280701,0.001648889,0.0004897164,0,-0.005229383,-0.002858341,0.001275127,0.0009223653,0,0.004218505,-0.003035307,0.0001102567,0.0007308779,0,-0.0001023126,-0.0001659058,-9.689545e-05
Weight,16,1,phi.arrivalTime,NA,0,0.04021187,0.03775299,0.02439563,0.01568593,0,0.0638679,0.05066271,0.04186292,0.01929754,0,0.02804048,0.06087455,0.04687023,0.03141981,0,0.009854171,0.05615722,0.05296028,0.03503151,0,-0.01493628,-0.01223524,-0.008095428
Weight,16,1,phi.totproc,NA,-0.01084699,0.06207529,0.03992161,0.03062678,0.02254736,0.04188228,0.06512645,0.05836833,0.05627372,0.03692041,0.08135634,0.09595292,0.09406153,0.09011439,0.08482173,0.1194206,0.1771092,0.1976092,0.1650149,0.1084838,0.2372739,0.0006304796,0.0004520709,0.000217118
Weight,16,1,phi.wait,NA,0,-0.04021187,-0.02218365,-0.01047972,-0.005279483,0,-0.05586313,-0.04356194,-0.0251469,-0.009186541,0,-0.04424644,-0.0617482,-0.05547682,-0.01872591,0,-0.07519739,-0.04609209,-0.07319646,-0.02270679,0,0.00609631,0.003784816,0.002404279
Weight,16,1,phi.mac,NA,0,0.00238618,0.001728364,0.00119112,0.0007947613,0,-0.01208072,0.0004280701,0.001648889,0.0004897164,0,-0.005229383,-0.002858341,0.001275127,0.0009223653,0,0.004218505,-0.003035307,0.0001102567,0.0007308779,0,-0.0001023126,-0.0001659058,-9.689545e-05
Weight,16,1,phi.macOps,NA,0,-0.00238618,-0.0008641818,-0.00039704,-0.0001986903,0,0.01208072,-0.000214035,-0.0005496296,-0.0001224291,0,0.005229383,0.00142917,-0.0004250422,-0.0002305913,0,-0.004218505,0.001517654,-3.675223e-05,-0.0001827195,0,0.0001023126,8.295289e-05,3.229848e-05
Weight,16,1,phi.macfree,NA,-0.08229189,-0.07659586,-0.02161131,-0.01889411,-0.005062715,-0.1078078,-0.08500303,-0.03788167,-0.02261556,0.01493806,-0.149524,-0.04470119,-0.01537164,-0.009861479,0.02494339,-0.1103475,-0.07148218,-0.004414417,-0.009950243,0.03255914,-0.1812589,-0.01095564,-0.01013988,-0.006624228
Weight,16,1,phi.makespan,NA,-0.08229189,-0.07659586,-0.05245671,0.002322161,0.006706413,0,0.05002072,0.02425288,0.01937216,0.004048041,0,0.007416442,0.06189803,0.006324956,0.00441143,0,0.007293641,0.03235825,-0.01723255,0.004213869,0,-5.036548e-06,-0.000135248,-0.0007805033
Weight,16,1,phi.slotReduced,NA,0,-0.04021187,-0.03775299,-0.02439563,-0.01568593,0,0.002410117,-0.004878158,-0.00452617,-0.00141916,0,-0.00572087,-0.002227275,-0.004888505,-0.00310352,0,-0.01496603,-0.003133211,-0.005983491,-0.002222766,0,0,0,0
Weight,16,1,phi.slots,NA,0,0.04021187,0.03775299,0.02439563,0.01568593,0,0.03810013,0.03447103,0.03243684,0.01558972,0,0.01583829,0.02149327,0.02958425,0.02344741,0,0.00913143,0.08829454,0.04567824,0.02310912,0,-0.002819114,-0.003250546,-0.002854841
Weight,16,1,phi.slotsTotal,NA,0,0.04021187,0.03775299,0.02439563,0.01568593,0,-0.002410117,0.004878158,0.00452617,0.00141916,0,0.00572087,0.002227275,0.004888505,0.00310352,0,0.01496603,0.003133211,0.005983491,0.002222766,0,0,0,0
Weight,16,1,phi.wrmMac,NA,0,0.05099558,0.02328631,0.006108452,0.0009546637,0,0.005386202,0.007183817,-0.004213358,0.0004833125,0,-0.01004739,-0.07790435,-0.04092261,-0.003262686,0,0.03673275,-0.1542342,-0.05408121,0.0002933906,0,-0.007606691,-0.005614864,-0.003020491
Weight,16,1,phi.wrmJob,NA,-0.01084699,0.02186341,0.00216862,0.006231153,0.006861433,0.04188228,0.0417688,0.03177811,0.02744679,0.02245971,0.08135634,0.07506289,0.07133268,0.06616285,0.06588778,0.1194206,0.1470813,0.1110331,0.1369019,0.09052906,0.2372739,0.003770753,0.004374093,0.003357241
Training.Accuracy,16,1,NA,85.07,77.03,70.7,72.26,72.81,72.81,57.93,81.18,80.77,81.57,81.57,72.39,89.19,90.17,90.04,90.35,84.17,96.03,96.3,96.07,96.12,92.25,100,100,100
