Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.1076918,-0.1108495,-0.0153758,-0.06990001,-0.08643418,-0.02265723,-0.0403827,0.0009297129,0.001460924,0.004168729,-0.05389333,-0.002777717,-0.003257838,-0.0003320733,-0.0014106,-0.02800028,0.0003332302,-0.001127938,-0.001979664,0.001118159,-0.005757625,0.02115896,-0.01318984,-0.01100678,-0.009807607,-0.01438951,-0.004527154,0.02917797,0.001546153
Weight,16,1,phi.startTime,NA,0,0,-0.1739074,-0.01165134,0.02426695,0.00793946,0.01714025,0.0001233221,-0.001270541,-0.0007831497,0.02290489,-0.0002187923,0.001272918,-0.002965844,0.000509506,0.01188547,0.0003904418,0.0006554163,-0.002477876,-0.003858419,0.001210692,-0.01003384,0.004849648,0.003917772,0.003441862,0.004650272,-0.0009060601,0.25598,-0.0202649
Weight,16,1,phi.endTime,NA,-0.1076918,-0.1108495,-0.1892832,-0.08155135,-0.06216723,-0.01471777,-0.02324246,0.001053035,0.0001903831,0.003385579,-0.03098843,-0.002996509,-0.00198492,-0.003297917,-0.0009010942,-0.0161148,0.000723672,-0.0004725214,-0.00445754,-0.00274026,-0.004546933,0.01112512,-0.008340192,-0.007089012,-0.006365745,-0.009739234,-0.005433214,0.285158,-0.01871875
Weight,16,1,phi.jobOps,NA,0,-0.001745189,-0.00535744,0.009266753,-0.01656616,0.002584507,-0.009884515,0.0006813154,0.0007915923,0.002203732,0.01634728,0.001371562,0.0005617462,0.001923503,0.002224406,0.004264318,0.0003679073,0.001133434,0.001278306,0.001387469,0.001139281,0.004410518,-0.0001526544,0.0004998985,-0.0004335233,0.0003992679,-0.0003001193,-0.002987618,0
Weight,16,1,phi.arrivalTime,NA,0,0.03714039,-0.1628964,0.01216559,0.007128664,-0.0007729818,0.005476256,-0.004501876,-0.00414838,-0.004492037,0.007931052,-0.0008935488,-0.001695205,-0.003669671,-0.002629652,0.002218708,-0.0009625151,-0.001319551,-0.003071571,-0.004509082,-0.003943897,-0.008632296,-0.001516714,-0.0006055578,0.0005268662,-5.863933e-05,-0.006815433,-0.5534188,-0.05915652
Weight,16,1,phi.totproc,NA,0.01054149,0.09856647,1.47556,0.2526079,0.1021676,0.1006511,0.0655205,0.06634419,0.06535431,0.08279118,0.07820262,0.04568012,0.04783045,0.05123606,0.06447819,0.07425362,0.06187235,0.05185816,0.03514767,0.04828381,0.05567386,0.04505567,0.03565363,0.0353957,0.0258148,0.04120031,0.02516835,-0.06589579,0.00806579
Weight,16,1,phi.wait,NA,0,-0.03714039,-0.01101098,-0.02381693,0.01713829,0.008712442,0.01166399,0.004625198,0.002877839,0.003708887,0.01497384,0.0006747566,0.002968123,0.0007038266,0.003139158,0.009666765,0.001352957,0.001974967,0.0005936949,0.0006506627,0.005154589,-0.00140154,0.006366361,0.00452333,0.002914996,0.004708912,0.005909373,0.8093988,0.03889162
Weight,16,1,phi.mac,NA,0,-0.001745189,-0.00535744,0.009266753,-0.01656616,0.002584507,-0.009884515,0.0006813154,0.0007915923,0.002203732,0.01634728,0.001371562,0.0005617462,0.001923503,0.002224406,0.004264318,0.0003679073,0.001133434,0.001278306,0.001387469,0.001139281,0.004410518,-0.0001526544,0.0004998985,-0.0004335233,0.0003992679,-0.0003001193,-0.002987618,0
Weight,16,1,phi.macOps,NA,0,0.001745189,0.3027897,0.05673937,0.1064193,0.01461838,0.02927493,0.002393106,0.001254041,0.0004838512,0.01822624,0.0005623231,0.0005599906,-1.658011e-05,-0.0002103012,0.0105868,0.0001729317,0.000800327,-1.609113e-05,0.0002659623,-0.0007409286,-0.005853434,0.0008501518,0.0005062957,0.0002662263,0.0002384205,0.000594787,0.002987618,0
Weight,16,1,phi.macfree,NA,-0.1076918,-0.1108495,-0.1892832,-0.07962411,0.01180245,-0.007808333,-0.006624587,-0.01655496,-0.02060733,-0.02319208,-0.01790393,-0.01894633,-0.02107763,-0.01384389,-0.02618738,-0.0246491,-0.02713576,-0.0209286,-0.01137689,-0.0122021,-0.03400373,-0.03123005,-0.0393163,-0.02997559,-0.0363258,-0.02846443,-0.0004031743,-0.1044191,-0.0100041
Weight,16,1,phi.makespan,NA,-0.1076918,-0.1108495,-0.08017412,0.2275221,0.006750553,-0.001311061,-0.008320529,-0.002479421,0.001622554,0.0002034244,0.001730909,0.002194925,0.00214754,0.006837353,0.008328289,0.006069358,-0.004230273,-0.0006652827,0.004973788,0.006927807,0.01203451,0.008642508,-4.970383e-05,0.001929921,0.002515017,0.006255764,0.009365008,0.42876,-0.0100041
Weight,16,1,phi.slotReduced,NA,0,-0.03714039,0.1628964,-0.006348812,-0.001759933,0.005010985,0.003986464,0.004158027,0.003808164,0.003307653,0.002262546,0.0004856097,0.001053747,-0.0009045796,0.001039478,9.253011e-05,0.00028985,0.0006668105,-0.001617591,-0.003373211,0.001173977,-0.00248132,0.001941371,-0.0003967088,-0.002033759,0.01037453,-0.002020109,0.1754397,0.01155025
Weight,16,1,phi.slots,NA,0,0.03714039,-0.1628964,-0.06243057,0.001837674,0.0196828,0.01412489,0.02140988,0.02246501,0.02029857,0.01261971,0.01669607,0.0195738,0.01178786,0.01825193,0.01500959,0.02015566,0.01632534,0.01205033,0.008564139,0.03144477,0.02257126,0.0420457,0.02841753,0.03075208,0.0483,0.0001718414,0.06230703,-0.01155025
Weight,16,1,phi.slotsTotal,NA,0,0.03714039,-0.1628964,0.006348812,0.001759933,-0.005010985,-0.003986464,-0.004158027,-0.003808164,-0.003307653,-0.002262546,-0.0004856097,-0.001053747,0.0009045796,-0.001039478,-9.253011e-05,-0.00028985,-0.0006668105,0.001617591,0.003373211,-0.001173977,0.00248132,-0.001941371,0.0003967088,0.002033759,-0.01037453,0.002020109,-0.1754397,-0.01155025
Weight,16,1,phi.wrmMac,NA,0,0.05915668,-0.018065,-0.0480168,-0.006706153,-0.02328673,-0.01375702,-0.0230197,-0.02387755,-0.02739434,-0.01275697,-0.02522754,-0.02379878,-0.02764742,-0.02815584,-0.02635098,-0.028631,-0.0312128,-0.03034046,-0.03409235,-0.03305684,-0.04296759,-0.03531933,-0.04246871,-0.03156901,-0.06015561,-0.03959853,-0.1614002,0
Weight,16,1,phi.wrmJob,NA,0.01054149,0.06142608,-1.292548,-0.1691986,-0.04179821,-0.05148323,-0.0305195,-0.04118497,-0.02906063,-0.03819145,-0.02082882,-0.02114706,-0.02112918,-0.03103881,-0.02805685,-0.02819145,-0.0212529,-0.02915582,-0.02902237,-0.03711419,-0.01073222,-0.02898024,0.00302928,-0.02759892,0.009963358,-0.01935437,0.03390959,0.126214,0.001546153
Training.Accuracy,16,1,NA,76.7,71.32,80.31,88.16,85.58,78.68,73.39,71.35,75.85,78.12,79.17,76.48,76.54,72.7,76.79,79.61,79.86,79.74,76.01,69.52,75.28,78.27,78.69,74.96,67.09,57.03,64.62,66.78,92.55,100
Validation.Accuracy,16,1,NA,77,66.8,77.86,87.16,86.45,79.8,72.53,71.32,76,80.69,81.3,76.08,77.17,72.68,78.28,80.56,81.23,79.4,73.75,65.25,72.62,75.89,79.19,76.82,71.52,60,64.68,74.14,96.67,100
