Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27
Weight,16,1,phi.proc,NA,-0.1073684,-0.1744241,-0.03582021,0.02312679,0.0222258,0.01469466,0.04597441,0.01480581,0.02967788,0.1060188,0.06400147,0.02070854,0.01307594,0.01150626,0.02787921,0.008859141,-0.005169623,-0.006710783,0.07001626,-0.007834192,-0.006219495,-0.006772983,-0.004514457,-0.007306618,0,-0.009343514,-0.0009741774,-0.008573586
Weight,16,1,phi.startTime,NA,0,0,0.01642878,-0.007588793,-0.006285965,-0.004115163,-0.05072585,-0.009692432,-0.00450607,-0.06912193,-0.04646207,-0.01298445,-0.01764419,-0.03905276,-0.0299691,-0.02601734,-0.009915033,0.00834441,-0.06059069,-0.00511062,0.002470667,-0.001639332,-0.0104212,-0.0001294903,0,-0.0005540618,-0.006749658,-0.008467537
Weight,16,1,phi.endTime,NA,-0.1073684,-0.1744241,-0.01939142,0.01553799,0.01593984,0.0105795,-0.00475144,0.005113375,0.02517181,0.0368969,0.0175394,0.007724089,-0.004568251,-0.0275465,-0.002089889,-0.0171582,-0.01508466,0.001633627,0.009425573,-0.01294481,-0.003748828,-0.008412315,-0.01493565,-0.007436108,0,-0.009897576,-0.007723835,-0.01704112
Weight,16,1,phi.jobOps,NA,0,-0.0391408,0.001552703,0.0005165773,0.0004518435,2.619832e-05,-0.006684094,0.0009212819,0.0006028941,0.01015906,0.0007391432,0.0007778562,-0.000533696,0.004560715,0.002660285,0.0002339356,0.0003035657,6.230891e-05,5.67911e-05,2.819287e-05,-0.0003706871,-0.0002274731,-6.65786e-05,-0.0003359829,0,-0.0003342965,-6.95841e-05,-0.0005093586
Weight,16,1,phi.arrivalTime,NA,0,0.03630189,0.0321603,0.03309168,0.02859185,0.06172258,-0.06252821,0.04631674,0.03572478,-0.005967737,0.02210958,0.03824814,0.02541478,0.001003959,0.001931572,0.07007184,0.02416628,-0.0128699,0.07874258,-0.0006109953,0.002470667,-0.008656882,-0.002467633,0.003612733,0,0.003758477,-0.006749658,-0.008467537
Weight,16,1,phi.totproc,NA,0.009150191,0.1746193,0.1476441,0.1477098,0.1383743,0.1802753,0.3942493,0.1823599,0.16048,0.3611466,0.1501774,0.1360889,0.1018852,0.4908889,0.4965444,0.2363535,0.1634383,0.02319174,0.4430031,-0.0002840212,-0.001499696,-0.0001859931,-8.518444e-05,-0.0009291797,0,-0.0004456654,-6.95841e-05,-0.001325309
Weight,16,1,phi.wait,NA,0,-0.03630189,-0.01573151,-0.04068047,-0.03487781,-0.06583774,0.01180236,-0.05600917,-0.04023085,-0.0631542,-0.06857166,-0.05123259,-0.04305897,-0.04005672,-0.03190068,-0.09608918,-0.03408132,0.02121431,-0.1393333,-0.004499624,0,0.00701755,-0.007953563,-0.003742223,0,-0.004312539,0,0
Weight,16,1,phi.mac,NA,0,-0.0391408,0.001552703,0.0005165773,0.0004518435,2.619832e-05,-0.006684094,0.0009212819,0.0006028941,0.01015906,0.0007391432,0.0007778562,-0.000533696,0.004560715,0.002660285,0.0002339356,0.0003035657,6.230891e-05,5.67911e-05,2.819287e-05,-0.0003706871,-0.0002274731,-6.65786e-05,-0.0003359829,0,-0.0003342965,-6.95841e-05,-0.0005093586
Weight,16,1,phi.macOps,NA,0,0.0391408,-0.001435572,-0.0007373974,-0.0006553746,0.0006942408,0.02288584,-0.0004465316,-0.000708402,-0.006912356,-0.0004508254,-0.0004009326,0.0002242981,-5.773463e-06,0.0003620536,7.399955e-05,0.000188358,0.0004499934,-0.0005744488,-5.349261e-05,0.0001853435,0.0002274731,-1.381724e-05,0.0003359829,0,0.0003268892,3.479205e-05,0.0005093586
Weight,16,1,phi.macfree,NA,-0.1073684,-0.1744241,-0.01939142,0.01553799,0.01593984,0.01140237,-0.00475144,0.01016239,0.02517181,0.06374057,0.06601865,0.03006474,-0.002027819,-0.02466523,0.005646509,-0.006789533,-0.0007975786,0.002466117,0.009425573,-0.008718978,-0.003668165,-0.01135392,-0.0103816,-0.002538069,0,-0.008849631,-0.005044847,-0.008491862
Weight,16,1,phi.makespan,NA,-0.1073684,-0.1744241,0.02064372,0.01243322,0.003942391,-0.01025187,-0.0764215,0.005032969,0.0004203332,-0.1651841,-0.006067369,0.004453532,0.01433479,-0.0395472,-0.1124594,-0.004827059,0.01566081,0.01778593,0.002084227,-0.002606623,-0.002014326,0.002091275,-0.005972895,0.005644388,0,0.0003365277,-0.00271378,-0.008491862
Weight,16,1,phi.slotReduced,NA,0,-0.03630189,-0.0321603,-0.02500693,-0.02604667,-0.0105086,0.04461868,-0.0063884,-0.02314592,-0.01734935,-0.0166493,-0.007585336,-0.008939558,0.01627406,0.004015537,-0.01849681,-0.01513637,0.00227103,-0.01675441,0.0003744916,0.001754359,-0.01057447,-0.0005268739,0.01008136,0,-0.003887474,0.004001086,-0.0006506073
Weight,16,1,phi.slots,NA,0,0.03630189,0.0321603,0.02908007,0.02733857,0.03696891,0.2009268,0.06424994,0.03214137,0.04382682,0.05219605,0.03557394,0.04229479,0.2699926,0.2564357,0.04236021,0.08122442,0.04435718,0.1355015,0.02084041,0.006040287,0.00811573,0.0107335,0.009163841,0,0.021478,-0.002087523,0.03296057
Weight,16,1,phi.slotsTotal,NA,0,0.03630189,0.0321603,0.02500693,0.02604667,0.0105086,-0.04461868,0.0063884,0.02314592,0.01734935,0.0166493,0.007585336,0.008939558,-0.01627406,-0.004015537,0.01849681,0.01513637,-0.00227103,0.01675441,-0.0003744916,-0.001754359,0.01057447,0.0005268739,-0.01008136,0,0.003887474,-0.004001086,0.0006506073
Weight,16,1,phi.wrmMac,NA,0,0.0792295,0.007929885,0.0111465,0.008452874,-0.05482811,-0.05016824,-0.06223551,0.01377214,-0.1826117,-0.09013816,-0.05472806,-0.06226991,-0.06637272,-0.07983269,-0.09673993,-0.08532363,-0.0383589,-0.0519864,-0.02463229,-0.03106236,-0.02736132,-0.01043075,-0.03878657,0,-0.03469965,-0.003653165,-0.01640777
Weight,16,1,phi.wrmJob,NA,0.009150191,0.1383174,0.1007499,0.1200784,0.1133114,0.1318603,-0.05736087,0.1215017,0.1293723,-0.05751227,0.1111587,0.09852619,0.06116709,0.24305,0.2366499,0.1644883,0.1002009,-0.01785589,0.3401013,-0.007602229,0.01555513,0.007909909,0.0006093828,0.01488132,0,0.01193097,0.004035878,-0.0007394071
Training.Accuracy,16,1,NA,97.71,71.34,91.92,96.26,97.67,98.41,98.03,97.57,98.52,98.16,98.06,97.01,97.56,97.73,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Validation.Accuracy,16,1,NA,NA,66.67,93.88,99.57,99.51,99.49,98.33,100,97.37,70.83,100,95.24,96,76.92,100,66.67,100,0,100,63.64,100,100,NA,100,100
