Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.08587754,-0.09358885,-0.06648728,-0.1155092,0.00119914,0.0100696,-0.01805101,-0.0185192,0.002125711,-0.01976643,-0.001340652,-0.02685821,-0.03408268,-0.03911234,-0.02596282,-0.02161862,-0.005794471,-0.007958369,-0.03665872,0.0107366,0.002522526,0.001133722,-0.007523289,-0.004294355,-0.01970181,-0.05685217,-0.02394161,0.05637809,-0.001626625
Weight,16,1,phi.startTime,NA,0,0,-0.003382836,-0.02105971,-0.01304606,-0.007761117,0.02772425,0.01094692,0.001774725,0.00701179,0.0006886627,0.008625746,0.01380631,0.006037533,0.001337431,0.008903624,0.002490298,0.0005869911,0.008609677,-0.007789434,-0.003509402,-0.00188059,0.004827453,-0.006883141,0.003086219,-0.00449269,-0.005465547,0.007145675,-0.008000031
Weight,16,1,phi.endTime,NA,-0.08587754,-0.09358885,-0.06987011,-0.1365689,-0.01184692,0.002308485,0.009673243,-0.007572281,0.003900435,-0.01275464,-0.0006519897,-0.01823246,-0.02027637,-0.03307481,-0.02462539,-0.012715,-0.003304173,-0.007371377,-0.02804904,0.002947164,-0.0009868752,-0.0007468685,-0.002695836,-0.0111775,-0.01661559,-0.06134486,-0.02940715,0.06352376,-0.009626655
Weight,16,1,phi.jobOps,NA,0,0.003705349,0.006121264,0.01015674,0.002355452,0.004409419,-0.0007611031,0.004773212,0.001650277,0.02199959,0.0007756914,0.008345768,0.01558628,0.01838357,0.01232315,0.002920811,0.0009942368,0.002958858,0.02324492,0.003174119,0.001475069,0.0002089771,-0.001252966,0.0008612526,-0.00111302,0.004527093,-0.0002887687,0,0
Weight,16,1,phi.arrivalTime,NA,0,0.0446831,-0.07759702,-0.01283612,-0.01736521,-0.0007208128,0.008189372,0.001022197,-0.002875759,-0.003953713,-0.00457071,0.0009082845,0.003264491,-0.001577834,-0.00396472,-0.0002750689,-0.001132986,-0.002527417,0.0001393353,-0.006651207,-0.004687311,-0.002712735,0.001720944,-0.003588145,0.001386708,-0.001194784,-0.003204908,-0.4046028,-0.06033576
Weight,16,1,phi.totproc,NA,0.0006934913,0.08072149,0.6492866,0.3248735,0.08162832,0.08114226,0.05967886,0.0571036,0.06322961,0.07431352,0.06232429,0.06249276,0.05700605,0.06819867,0.06291237,0.05042889,0.04033387,0.05283066,0.05603611,0.07717755,0.05180157,0.04714274,0.0341723,0.04260023,0.03861273,0.02875257,0.0009195588,-0.07000017,-0.005894221
Weight,16,1,phi.wait,NA,0,-0.0446831,0.07421419,-0.00822359,0.004319155,-0.007040304,0.01953488,0.009924722,0.004650484,0.0109655,0.005259373,0.007717462,0.01054182,0.007615367,0.005302151,0.009178693,0.003623284,0.003114409,0.008470342,-0.001138228,0.001177909,0.0008321448,0.003106509,-0.003294996,0.001699511,-0.003297906,-0.002260639,0.4117484,0.05233573
Weight,16,1,phi.mac,NA,0,0.003705349,0.006121264,0.01015674,0.002355452,0.004409419,-0.0007611031,0.004773212,0.001650277,0.02199959,0.0007756914,0.008345768,0.01558628,0.01838357,0.01232315,0.002920811,0.0009942368,0.002958858,0.02324492,0.003174119,0.001475069,0.0002089771,-0.001252966,0.0008612526,-0.00111302,0.004527093,-0.0002887687,0,0
Weight,16,1,phi.macOps,NA,0,-0.003705349,0.08612093,0.09848738,0.01566446,0.003887576,0.01072432,0.01147531,0.001880975,0.00190818,0.003339094,0.003162271,0.003072821,-0.001612755,-0.0006885284,0.001708727,0.0004463887,0.001119783,-0.002964337,0.001810317,-0.0001893302,0.0009883098,0.0006246352,0.0008764131,0.003780262,-0.004307271,0.0005775374,0,0
Weight,16,1,phi.macfree,NA,-0.08587754,-0.09358885,-0.06987011,-0.1361334,-0.001495404,0.005580077,-0.06066153,-0.01952257,-0.02307815,-0.0145988,-0.02336328,-0.01730845,-0.01485956,0.0183417,0.01430405,-0.01322198,-0.02601655,-0.02853667,0.002189549,-0.005848403,-0.01615545,-0.0211971,-0.04711431,-0.01955529,-0.04099565,0.01956233,0.003371087,0.06336785,-0.009626655
