Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.01778334,-0.01396675,-0.008887202,-0.06108399,-0.01900787,-0.0147412,-0.01065427,-0.009542715,-0.006458315,-0.007774686,-0.006646002,-0.006672803,-0.006328944,-0.002992396,0.0002065168,-0.002257997,-0.000364351,-0.001775716,0.004663084,0.0069996,0.003545339,0.003822035,0.002022684,0.001167891,0.001311567,0.007987303,-0.03498125,-0.05896911,0.02513287
Weight,16,1,phi.startTime,NA,0,0,-0.006564055,-0.03262977,-0.0002636092,-0.00122183,-0.0001375053,-0.0004168375,-0.0005310213,-0.0005535883,0.0004836873,-0.000421195,0.000770203,-0.0009646988,-0.001768825,-0.001136316,-0.001939961,-0.0010273,-0.003723488,-0.005290687,-0.003089854,-0.002898655,-0.001998999,-0.002556006,-0.001607511,-0.001956374,0.0171208,0.03512622,-0.03838268
Weight,16,1,phi.endTime,NA,-0.01778334,-0.01396675,-0.01545126,-0.09371376,-0.01927148,-0.01596303,-0.01079178,-0.009959553,-0.006989336,-0.008328275,-0.006162315,-0.007093998,-0.005558741,-0.003957094,-0.001562309,-0.003394313,-0.002304312,-0.002803015,0.0009395965,0.001708913,0.0004554845,0.0009233799,2.368502e-05,-0.001388115,-0.0002959436,0.006030929,-0.01786045,-0.02384289,-0.0132498
Weight,16,1,phi.jobOps,NA,0,0.7668065,0.9804138,1.070518,0.6928596,0.9755681,1.187383,1.074568,1.040703,1.069903,0.8710314,0.8647184,0.7288984,0.8910407,0.8554291,0.9065132,0.2921245,0.7015296,0.008828708,0.002000972,0.001131499,0.01591645,0.0006065746,0.001019265,0.0003268284,0.0008393719,-0.001670441,-0.008288098,0
Weight,16,1,phi.arrivalTime,NA,0,-0.0002749691,-0.003256783,-0.01301865,-0.0009038031,-0.001751682,-0.0007668018,-0.001238475,-0.001943177,-0.002254695,-0.001570577,-0.001333864,-0.0007483595,-0.001164706,-0.001959507,-0.001809775,-0.0005426494,-0.0009837199,-0.001169869,-0.002158113,-0.001777804,-0.002828245,-0.00227695,-0.003551107,-0.004349888,-0.007117964,-0.001277365,-0.01617647,-0.02457075
Weight,16,1,phi.totproc,NA,0.001953768,0.001676444,0.01930772,0.001489393,0.01295874,0.00516418,0.001789961,0.003423211,0.003674629,0.003377147,0.003710492,0.005316564,0.005072016,0.004585592,0.004677317,0.00384627,0.004417147,0.00450721,0.006927972,0.006400551,0.00430033,0.003884764,0.002006004,0.002788715,0.00239858,0.004193445,0.003681176,0.005091165,0.005342352
Weight,16,1,phi.wait,NA,0,0.0002749691,-0.003307272,-0.01961111,0.0006401938,0.0005298519,0.0006292965,0.0008216372,0.001412155,0.001701106,0.002054265,0.0009126686,0.001518563,0.0002000071,0.0001906813,0.0006734586,-0.001397311,-4.357987e-05,-0.002553619,-0.003132574,-0.001312051,-7.040982e-05,0.0002779509,0.000995101,0.002742377,0.005161591,0.01839817,0.05130269,-0.01381192
Weight,16,1,phi.mac,NA,0,0.7668065,0.9804138,1.070518,0.6928596,0.9755681,1.187383,1.074568,1.040703,1.069903,0.8710314,0.8647184,0.7288984,0.8910407,0.8554291,0.9065132,0.2921245,0.7015296,0.008828708,0.002000972,0.001131499,0.01591645,0.0006065746,0.001019265,0.0003268284,0.0008393719,-0.001670441,-0.008288098,0
Weight,16,1,phi.macOps,NA,0,-0.7668065,0.5974521,0.9697742,0.3198524,0.9695371,1.161364,1.049818,1.23025,1.223403,0.9799956,0.8531434,0.4994518,1.228616,1.248203,1.144402,0.1246176,0.7652048,0.001303214,0.0003194786,-0.0001583702,-0.001487126,7.215103e-06,-0.0004940232,0.0002729355,0.0006122573,0.003328536,0.008288098,0
Weight,16,1,phi.macfree,NA,-0.01778334,-0.01396675,-0.01545126,0.1107402,0.0001836483,-0.00634103,-0.01011261,-0.008578551,-0.01196853,-0.01011333,-0.0115905,-0.00896634,-0.00853957,-0.01418842,-0.0157103,-0.0150852,-0.01266302,-0.01337129,-0.01220286,-0.009345427,-0.01427453,-0.01482999,-0.01404494,-0.009572378,-0.01024363,-0.01276212,-0.002260287,-0.05755065,-0.01382907
Weight,16,1,phi.makespan,NA,-0.01778334,-0.01396675,-0.003855866,0.008053438,0.006490919,0.007779681,0.0005953447,-0.0006051605,0.001593761,0.004752859,-0.00027899,-0.001069274,-0.002689986,-0.003558517,-0.001578301,-0.007948569,-0.002192534,-0.006800285,-0.003376789,-0.0009989873,-0.003354909,-0.004558796,-0.009354507,-0.007275118,-0.01275117,-0.007085786,-0.0006064214,0.001667474,-0.01382907
Weight,16,1,phi.slotReduced,NA,0,0.0002749691,0.003256783,0.0004779154,0.001367733,0.001840484,0.0006923909,0.0002232472,-0.0005668097,-0.0006617014,-0.0006229731,-0.0004320299,-0.0004222931,-0.0009183896,-0.001224732,-0.001729988,-0.0009388722,-0.0009034041,6.576061e-05,-0.0005130067,-0.0004848743,-0.0006070142,-0.0007595602,3.55533e-05,-0.001876951,0.0005169868,0.0006454637,-0.01193298,0.03896195
Weight,16,1,phi.slots,NA,0,-0.0002749691,-0.003256783,-0.002559012,-0.002872437,0.005404568,0.002795481,0.002080279,0.004108627,0.003127946,0.002168868,0.001966783,0.0002889754,0.005030955,0.005245405,0.006164834,0.002171609,0.003185518,0.003308922,0.00159304,0.005241274,0.005671029,0.006841164,0.007177231,0.006137809,0.003224604,-0.01171299,0.02468404,-0.03896195
Weight,16,1,phi.slotsTotal,NA,0,-0.0002749691,-0.003256783,-0.0004779154,-0.001367733,-0.001840484,-0.0006923909,-0.0002232472,0.0005668097,0.0006617014,0.0006229731,0.0004320299,0.0004222931,0.0009183896,0.001224732,0.001729988,0.0009388722,0.0009034041,-6.576061e-05,0.0005130067,0.0004848743,0.0006070142,0.0007595602,-3.55533e-05,0.001876951,-0.0005169868,-0.0006454637,0.01193298,-0.03896195
Weight,16,1,phi.wrmMac,NA,0,0.0009581777,-0.002640462,-0.002723041,-0.004712864,-0.003256337,-0.004546041,-0.005781585,-0.005537197,-0.005273892,-0.00504787,-0.00856284,-0.01032439,-0.007837503,-0.008203712,-0.009750413,-0.01400779,-0.01140211,-0.01497264,-0.0157135,-0.01532168,-0.01656437,-0.0158644,-0.0183266,-0.01922701,-0.02561536,-0.06390579,-0.01377766,0
Weight,16,1,phi.wrmJob,NA,0.001953768,0.001951413,-0.01451634,0.001160198,-0.009201612,-0.001435751,0.002895607,0.0001867207,0.001054148,0.0006509387,0.0004887573,-0.000972918,-0.001316307,-0.0004215262,-0.001898641,0.003230243,-0.004015665,-0.001217974,-0.0115692,-0.01476439,-0.004895009,-0.004279484,0.002341378,-0.001024645,0.008672198,-0.003640415,0.04781358,0.1355451,0.02513287
Training.Accuracy,16,1,NA,80.57,84.63,82.71,80,79.82,79.35,78.31,78.21,79.06,78.45,78.42,77.66,78.81,78.45,79.95,79.94,78.47,76.94,80.16,75.45,75.56,78,80.6,81.81,81.51,81.78,84.38,85.76,84.65,97.78
Validation.Accuracy,16,1,NA,80,84.71,82.12,78.95,80.22,79.12,77.94,79.65,78.58,78.92,79.2,76.76,77.03,76.25,77.9,78.9,77.98,76.85,79.28,77.88,77.58,80.13,80.67,80.74,79.89,79.22,83.29,86.09,89.58,96.08
