Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.01706015,-0.01376096,-0.002876359,-0.03567372,-0.01563847,-0.0142054,-0.0085222,-0.008595906,-0.006222148,-0.001095822,-0.002300569,-0.003834305,-0.00281226,-0.002008383,-0.00155144,-0.004391708,-0.003793282,-0.003681828,-0.004736183,0.0002981149,-0.0004032455,0.004034389,-0.003311981,-0.005087511,-0.002768377,-0.00438181,-0.03146202,-0.06576281,0.008835297
Weight,16,1,phi.startTime,NA,0,0,-0.0102104,-0.005979314,0.003916384,0.002761605,0.002992932,0.004884717,0.003643482,0.001504763,0.001430228,0.002248141,0.002412395,0.003140815,0.002304673,0.00331891,0.002640109,0.003168303,0.003328765,0.00216621,0.002096561,0.0009766053,0.005856534,0.006427581,0.00587689,0.0114913,0.02178374,0.06136857,-0.0574151
Weight,16,1,phi.endTime,NA,-0.01706015,-0.01376096,-0.01308676,-0.04165303,-0.01172208,-0.01144379,-0.005529269,-0.003711189,-0.002578666,0.0004089412,-0.000870341,-0.001586163,-0.0003998647,0.001132431,0.0007532327,-0.001072798,-0.001153173,-0.0005135247,-0.001407418,0.002464325,0.001693315,0.005010994,0.002544553,0.00134007,0.003108512,0.007109492,-0.009678277,-0.004394248,-0.0485798
Weight,16,1,phi.jobOps,NA,0,0.02692698,0.9973923,1.100626,0.9618695,1.245479,1.054875,0.9742744,1.121133,0.8742462,0.6918289,0.854722,0.9242241,0.8855154,0.8576264,0.8510692,0.6185607,0.6290895,0.7197832,0.6903805,0.1274338,0.02997568,0.0003257807,0.007297789,-0.000118738,0.000757621,-0.001046615,-0.004712809,0
Weight,16,1,phi.arrivalTime,NA,0,0.05792309,-0.01335739,0.008153624,0.001763788,0.00462027,0.002968342,0.001658514,0.0008222074,-0.0004159503,-0.0006703418,-0.0002031504,-0.0001864544,-0.0002975352,-0.001156679,-0.001420167,-0.001410605,-0.002160167,-0.001862277,-0.004414077,-0.004567522,-0.008800196,-0.01021877,-0.01163699,-0.008781428,-0.02122042,-0.01606315,-0.05903202,-0.1010225
Weight,16,1,phi.totproc,NA,0.001771349,0.03326068,0.07347995,0.01153828,0.01281107,-0.0003213411,0.001914958,0.002770359,0.001801697,0.001068865,0.00515987,0.002985249,4.292289e-05,0.0002107318,0.003310047,0.0007742496,-0.0001708116,0.0003536865,-0.0004022655,-0.000275735,0.003888795,0.002238021,0.002108661,0.004386038,0.00095396,0.004737531,0.002384782,0.004064788,0.03627883
Weight,16,1,phi.wait,NA,0,-0.05792309,0.003146992,-0.01413294,0.002152596,-0.001858665,2.458964e-05,0.003226203,0.002821274,0.001920713,0.002100569,0.002451292,0.00259885,0.00343835,0.003461352,0.004739077,0.004050713,0.00532847,0.005191042,0.006580287,0.006664083,0.009776802,0.0160753,0.01806457,0.01465832,0.03271172,0.0378469,0.1204006,0.04360739
Weight,16,1,phi.mac,NA,0,0.02692698,0.9973923,1.100626,0.9618695,1.245479,1.054875,0.9742744,1.121133,0.8742462,0.6918289,0.854722,0.9242241,0.8855154,0.8576264,0.8510692,0.6185607,0.6290895,0.7197832,0.6903805,0.1274338,0.02997568,0.0003257807,0.007297789,-0.000118738,0.000757621,-0.001046615,-0.004712809,0
Weight,16,1,phi.macOps,NA,0,-0.02692698,0.1117651,0.9607322,0.5643282,0.902242,0.5567405,0.3858772,0.8363091,0.9036149,0.3348714,0.800884,0.8404434,0.8209746,1.016886,0.5368135,0.1515444,0.1939659,0.4915506,0.1190273,-0.03211842,0.0003328517,0.0002289643,-0.002993234,8.138062e-05,1.721879e-05,0.002093231,0.004712809,0
Weight,16,1,phi.macfree,NA,-0.01706015,-0.01376096,-0.01308676,0.03351792,-0.001921479,-0.0009830391,-0.006858224,-0.006511406,-0.01056439,-0.01396203,-0.008764712,-0.01056851,-0.0139243,-0.01665118,-0.01899243,-0.01146992,-0.009489826,-0.01121319,-0.0137141,-0.01210608,-0.01086573,-0.009349066,-0.007271197,-0.009168344,-0.01482629,-0.006812586,-0.0005485622,-0.02397902,-0.01816154
