Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.01306772,-0.01079417,-0.01106283,-0.04308242,-0.01310564,-0.007535317,-0.01480367,-0.007716983,-0.004130444,-0.006652478,-0.007622166,-0.007823898,-0.002775299,-0.004858351,-0.005905666,-0.003032261,-0.006549216,-0.004988531,-0.004412387,-0.006644988,-0.0003122662,-0.001133476,0.00751526,0.0009775274,-0.004801739,0.01617763,-0.06237116,-0.002234604,0.1249869
Weight,16,1,phi.startTime,NA,0,0,-0.009398649,-0.02197895,-0.003943606,-0.004041357,-0.003575075,-0.003126696,-0.0026558,-0.002037589,-0.002427646,-0.002603639,-0.002522395,-0.001875512,-0.001424932,-0.002441641,-0.00072487,-0.001331729,-0.002826612,-0.003871931,-0.004941628,-0.003072519,-0.008081386,-0.005749709,-0.004652269,-0.0110655,0.02331183,2.806997e-05,-0.03513543
Weight,16,1,phi.endTime,NA,-0.01306772,-0.01079417,-0.02046148,-0.06506137,-0.01704925,-0.01157667,-0.01837874,-0.01084368,-0.006786244,-0.008690066,-0.01004981,-0.01042754,-0.005297694,-0.006733863,-0.007330598,-0.005473902,-0.007274086,-0.00632026,-0.007238999,-0.01051692,-0.005253894,-0.004205995,-0.0005661266,-0.004772181,-0.009454008,0.005112134,-0.03905933,-0.002206534,0.08985152
Weight,16,1,phi.jobOps,NA,0,0.0002242241,0.0198995,0.1361882,0.8107156,0.1928284,0.534494,0.5956942,0.8049135,0.6701962,0.6868106,0.6943608,0.6606008,0.126869,0.3322574,0.5320593,0.7821191,0.001104008,0.007632487,0.007021904,0.0005214669,0.006545533,0.0008722628,0.004982582,0.001055111,0.004464676,-0.0005559261,-0.0005462772,0
Weight,16,1,phi.arrivalTime,NA,0,0.005009077,-0.003492755,-0.0105554,-0.002600277,-0.004117712,-0.001947745,-0.001370162,-0.003596715,-0.002407657,-0.002574942,-0.002191686,-0.002554555,-0.001919982,-0.002128808,-0.002293927,-0.002398137,-0.001213632,-0.00124452,-0.00146982,-0.001441839,-0.001796943,-0.003553527,-0.00166685,-0.002051235,-0.005655677,-0.03918155,-0.006166145,-0.00827117
Weight,16,1,phi.totproc,NA,0.00158991,0.003013677,0.02966306,0.01938772,0.0006114591,0.01122212,0.006017566,0.004849227,0.002715119,0.003265528,-0.001349519,0.005120765,0.004679062,0.007568815,0.003145019,0.00572052,0.006632005,0.01206346,0.0101299,0.007429916,0.00372188,0.005029479,0.005334287,0.003194856,0.00389599,0.004196656,0.01501946,0.004730635,0.02582142
Weight,16,1,phi.wait,NA,0,-0.005009077,-0.005905894,-0.01142355,-0.001343329,7.635502e-05,-0.00162733,-0.001756534,0.0009409151,0.0003700685,0.0001472964,-0.0004119534,3.21597e-05,4.447018e-05,0.0007038765,-0.0001477142,0.001673267,-0.0001180967,-0.001582093,-0.002402111,-0.003499789,-0.001275576,-0.004527859,-0.004082859,-0.002601034,-0.005409819,0.06249337,0.006194215,-0.02686426
Weight,16,1,phi.mac,NA,0,0.0002242241,0.0198995,0.1361882,0.8107156,0.1928284,0.534494,0.5956942,0.8049135,0.6701962,0.6868106,0.6943608,0.6606008,0.126869,0.3322574,0.5320593,0.7821191,0.001104008,0.007632487,0.007021904,0.0005214669,0.006545533,0.0008722628,0.004982582,0.001055111,0.004464676,-0.0005559261,-0.0005462772,0
Weight,16,1,phi.macOps,NA,0,-0.0002242241,0.002328017,0.1093253,0.6851594,0.06730732,0.2122313,0.3984666,0.6428782,0.5667604,0.5371519,0.4182551,0.861655,0.07394177,0.1694145,0.4551386,0.8609187,6.784325e-05,-0.001300527,0.001767731,4.35861e-05,0.002870328,0.0002522039,0.00524503,0.0006032243,0.01287624,0.001027525,0.0005462772,0
Weight,16,1,phi.macfree,NA,-0.01306772,-0.01079417,-0.02046148,0.07841027,0.006694908,0.007814453,0.01503652,0.002218151,-0.007324889,-0.001872514,0.00179146,0.001026372,-0.009378513,-0.008152584,-0.007227022,-0.006722243,-0.01229822,-0.01026691,-0.003449317,-0.007481422,-0.00747003,-0.01805231,-0.01411997,-0.01236158,-0.01099906,-0.01642017,-0.002598468,-0.004820517,-0.1573454
Weight,16,1,phi.makespan,NA,-0.01306772,-0.01079417,0.02098388,0.006070814,-0.005169602,-0.007375123,-0.005256354,-0.001212273,-0.0009811662,-0.004434717,-0.006908585,-0.005909319,-0.002182334,0.005734869,0.005452,-0.008277854,-0.0003615927,0.003729666,-0.004991505,0.005536494,-0.002540257,0.004045748,-0.003599313,-0.002700547,0.006219046,0.001533194,-0.03655963,-0.02359476,-0.1573454
Weight,16,1,phi.slotReduced,NA,0,-0.005009077,0.003492755,0.0009832123,0.000223409,-0.001316535,-0.0009315636,-0.002150947,-0.001343417,-0.001199619,-0.002333402,-0.002012648,-0.001482706,-0.001717741,-0.002028977,-0.002376694,-0.002187181,-0.000790179,-0.001730285,-0.001597869,-0.001171001,-0.0001100167,-0.002073051,0.0005309954,-0.001162032,-0.003093292,-0.03457594,-0.007016062,0.2823324
Weight,16,1,phi.slots,NA,0,0.005009077,-0.003492755,-0.006380129,0.003609434,0.0006491641,-0.003067989,-0.004427227,0.005535996,0.002410966,0.001688312,0.00100684,0.006066918,0.002981622,0.003363592,0.003865847,0.003857391,0.002607897,0.002453343,0.004711295,0.004861095,0.005473688,-0.0008784782,0.00524518,0.006833297,0.003735056,-0.005670822,-0.00419833,-0.2823324
Weight,16,1,phi.slotsTotal,NA,0,0.005009077,-0.003492755,-0.0009832123,-0.000223409,0.001316535,0.0009315636,0.002150947,0.001343417,0.001199619,0.002333402,0.002012648,0.001482706,0.001717741,0.002028977,0.002376694,0.002187181,0.000790179,0.001730285,0.001597869,0.001171001,0.0001100167,0.002073051,-0.0005309954,0.001162032,0.003093292,0.03457594,0.007016062,-0.2823324
Weight,16,1,phi.wrmMac,NA,0,0.002802962,-0.002570027,-0.001463175,-0.0026114,-0.006156567,-0.007992538,-0.008205123,-0.01001613,-0.007844518,-0.008412978,-0.01151483,-0.007464168,-0.01151013,-0.0107025,-0.01231843,-0.009116619,-0.01119844,-0.01147329,-0.01080845,-0.01019364,-0.007491545,-0.0133348,-0.01376198,-0.01457891,-0.02340184,-0.06690932,-0.029273,0
Weight,16,1,phi.wrmJob,NA,0.00158991,-0.0019954,-0.02758976,-0.01888623,0.0003899068,-0.01227349,-0.005299103,-0.004916309,0.0001750859,-0.0009596144,0.003305733,0.001953071,-0.0009847269,-0.005594913,0.0009934443,-0.0007982614,-0.001169111,-0.01001392,-0.007580271,-0.002105088,0.000748719,-0.002188572,-0.007573691,0.0001818985,0.01263713,-0.00719616,0.1226808,0.03004317,0.1249869
Training.Accuracy,16,1,NA,80.14,73.24,76.96,75.33,73.97,75.52,74.31,76.66,78.81,77.36,76.63,79.21,80.28,80.25,77.58,77.66,79.72,81.7,79.03,79.5,81.46,80.17,78.45,82.57,84.55,84.25,80.54,92.68,85.71,100
Validation.Accuracy,16,1,NA,79,73.97,76.16,75.42,76.94,76.19,71.4,75.58,76.85,78.09,77.54,73.39,77.04,78.22,73.27,75.09,75.31,84.23,78.2,79.89,79.73,80.79,75.21,75.79,84.72,83.33,78.57,92.31,100,100
