Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.01235162,-0.01147872,-0.008813398,-0.06624105,-0.03551381,-0.013598,-0.01161976,-0.008812673,-0.005914451,-0.008328433,-0.006485843,-0.003038292,-0.00168496,-0.005006854,-0.00269561,-0.002712329,-0.003052716,-0.003704389,-0.002556818,-0.0008754375,0.001079993,0.002147385,-0.0002405914,-0.0005533576,-0.00165924,0.0101669,-0.03269726,-0.06310296,0.02749945
Weight,16,1,phi.startTime,NA,0,0,-0.004216544,-0.03855967,-0.01789432,-0.002105498,-0.0003518629,-4.825129e-05,-0.001175241,0.0009043894,-0.000477398,-0.001641044,-0.001054906,0.0003796775,-0.001632972,-0.001390239,-0.0009701903,-0.0005737867,-0.001256355,-0.002285289,-0.002832738,-0.003418507,-0.001745913,-0.002421384,-0.001498366,-0.00350406,0.01465609,0.03451847,-0.04484547
Weight,16,1,phi.endTime,NA,-0.01235162,-0.01147872,-0.01302994,-0.1048007,-0.05340814,-0.0157035,-0.01197163,-0.008860924,-0.007089692,-0.007424044,-0.006963241,-0.004679336,-0.002739866,-0.004627176,-0.004328582,-0.004102567,-0.004022907,-0.004278176,-0.003813173,-0.003160727,-0.001752745,-0.001271122,-0.001986505,-0.002974741,-0.003157607,0.006662839,-0.01804117,-0.02858449,-0.01734602
Weight,16,1,phi.jobOps,NA,0,0.7543483,0.01809002,0.9688476,0.5780138,0.8886679,0.5173701,0.5669104,1.004992,0.7158721,0.7988151,0.9378422,1.002395,0.8192601,0.8366436,0.2467973,0.2173935,0.4779499,0.5682778,0.8635815,0.001668243,0.0008971905,0.0004531432,0.0007770721,3.495069e-05,0.01050854,-0.001188081,-0.007796985,0
Weight,16,1,phi.arrivalTime,NA,0,-0.001261781,-0.003592133,-0.01524268,-0.01056877,-0.00186642,-0.0006727473,-0.0008952897,-0.001889626,-0.002028059,-0.00222118,-0.001531556,-0.00172961,-0.0007948146,-0.00256402,-0.001676318,-0.0002618232,-0.0007192095,-0.0003980749,-0.001918122,-0.001324959,-0.003229591,-0.002206258,-0.002942467,-0.003197332,-0.007782293,-0.0003418658,-0.01123225,-0.02630181
Weight,16,1,phi.totproc,NA,0.001275474,0.0005358383,0.0347115,-0.0006725568,0.00512977,0.002866967,0.00694087,0.007214028,0.0001882089,0.004371165,0.002103374,0.004609615,0.002770316,0.003531274,0.004363364,0.00605756,0.005987881,0.005436245,0.003153683,0.003000493,0.004276881,0.00347942,0.001949588,0.002392151,0.002288997,0.004641066,0.003278483,0.005044119,0.005302205
Weight,16,1,phi.wait,NA,0,0.001261781,-0.0006244109,-0.02331699,-0.007325557,-0.000239078,0.0003208844,0.0008470384,0.0007143854,0.002932448,0.001743782,-0.0001094875,0.0006747045,0.001174492,0.0009310476,0.0002860796,-0.0007083672,0.0001454228,-0.0008582802,-0.0003671669,-0.001507779,-0.0001889161,0.0004603448,0.0005210834,0.001698966,0.004278233,0.01499795,0.04575071,-0.01854366
Weight,16,1,phi.mac,NA,0,0.7543483,0.01809002,0.9688476,0.5780138,0.8886679,0.5173701,0.5669104,1.004992,0.7158721,0.7988151,0.9378422,1.002395,0.8192601,0.8366436,0.2467973,0.2173935,0.4779499,0.5682778,0.8635815,0.001668243,0.0008971905,0.0004531432,0.0007770721,3.495069e-05,0.01050854,-0.001188081,-0.007796985,0
Weight,16,1,phi.macOps,NA,0,-0.7543483,0.0005978791,0.9956929,0.1956541,0.722274,0.1536083,0.3335469,1.03583,0.5503636,0.8218409,1.296482,1.191417,0.6340538,1.125383,0.08219602,0.09356969,0.1929957,0.3745522,0.8785509,-7.906392e-05,0.0001195277,0.0001654887,-0.000238332,0.0002576557,0.005148332,0.002359177,0.007796985,0
Weight,16,1,phi.macfree,NA,-0.01235162,-0.01147872,-0.01302994,0.1360328,0.06426199,0.001420146,8.99266e-05,-0.001598892,-0.009927208,-0.006203762,-0.008429917,-0.01358405,-0.01372193,-0.008411832,-0.01040967,-0.006116592,-0.009249732,-0.008421379,-0.007670694,-0.01128055,-0.01184536,-0.0118353,-0.01134458,-0.008734285,-0.008161618,-0.01172238,-0.0007146003,-0.04730576,-0.01355767
Weight,16,1,phi.makespan,NA,-0.01235162,-0.01147872,0.005877768,0.005509698,0.0003850204,0.0004483895,0.003708702,-0.001401837,0.003890463,0.002726694,0.001238359,-0.002090429,-0.004339062,-0.00153084,-0.00171486,-0.00242854,-0.00427156,-0.004473334,-0.003365884,-0.001526936,-0.001086121,-0.005571493,-0.01123309,-0.004712919,-0.00897542,-0.0143054,-0.01335932,0.003867575,-0.01355767
Weight,16,1,phi.slotReduced,NA,0,0.001261781,0.003592133,-4.872895e-05,0.001342889,0.001151226,0.0007301111,0.0001025188,-0.0009053654,-5.520485e-05,-0.0009102756,-0.0005242955,-0.0005841398,-0.0006448387,-0.001481495,-0.000730447,-0.000584021,-0.0005187552,-0.001269772,-0.002015425,-0.0005724743,-0.0005333845,-0.00112846,0.0004463397,-0.001082618,-0.001246371,-0.004514427,-0.005646819,0.04105712
Weight,16,1,phi.slots,NA,0,-0.001261781,-0.003592133,-0.003079675,0.002752424,0.003772681,-0.002209724,-0.002235786,0.004069193,0.0006830599,0.003093717,0.005782992,0.005601972,0.0001475069,0.003745676,0.002820653,0.002251346,0.0007337004,-0.0006954016,0.001447865,0.00473186,0.008002868,0.00634986,0.007588717,0.003931562,0.003417953,-0.01306159,0.02768554,-0.04105712
Weight,16,1,phi.slotsTotal,NA,0,-0.001261781,-0.003592133,4.872895e-05,-0.001342889,-0.001151226,-0.0007301111,-0.0001025188,0.0009053654,5.520485e-05,0.0009102756,0.0005242955,0.0005841398,0.0006448387,0.001481495,0.000730447,0.000584021,0.0005187552,0.001269772,0.002015425,0.0005724743,0.0005333845,0.00112846,-0.0004463397,0.001082618,0.001246371,0.004514427,0.005646819,-0.04105712
Weight,16,1,phi.wrmMac,NA,0,0.0001391991,-0.0009001663,-0.001573045,-0.004669907,-0.004770038,-0.00678387,-0.006494639,-0.006300519,-0.005998612,-0.006110228,-0.007140858,-0.008435593,-0.01048112,-0.007859261,-0.01187852,-0.01149595,-0.01321956,-0.01337569,-0.01433854,-0.01384912,-0.01463383,-0.01540083,-0.01646939,-0.01510998,-0.02647785,-0.05478412,-0.01584087,0
Weight,16,1,phi.wrmJob,NA,0.001275474,0.001797619,-0.03487901,0.00179266,-0.003803981,3.140648e-05,-0.005556842,-0.006152809,0.003362523,-0.002369428,0.001152096,-0.001963331,0.0006353754,0.0002359313,-0.002185924,-0.004839585,-0.005122275,-0.002788048,-0.001045818,0.0003015753,-0.003161805,-0.002844553,0.002878698,0.001086267,0.009032438,-0.00556949,0.05342361,0.1300016,0.02749945
Training.Accuracy,16,1,NA,78.12,73.21,75.63,73.39,74.96,74.64,73.73,73.62,74.99,75.22,75.16,75.25,77.27,77.87,77.13,78.4,74.16,75.3,77.6,77.93,80.59,77.07,79.89,80.87,80.36,81.73,83.09,86.23,82.42,97.78
Validation.Accuracy,16,1,NA,78,74.6,75.02,72.34,75.36,74.31,73.53,74.26,73.75,75.74,75,74.54,76.09,75.55,75.59,77.33,72.67,74.89,76.62,80.46,81.55,77.44,80,78.7,78.93,77.8,80.94,88.83,86.75,96.08
