Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.01197825,-0.01043543,-0.003524568,-0.04554598,-0.0223116,-0.0165427,-0.008951825,-0.004748337,-0.0046324,-0.004186331,-0.002902711,-0.001334053,-0.001877601,-0.003845724,-0.001657307,-0.003593538,-0.002233701,-0.00651583,-0.006668241,-0.004372139,-0.003305969,-0.004874777,-0.004654889,-0.004657105,-0.004018807,-0.001661637,-0.02855585,-0.04973148,0.007080812
Weight,16,1,phi.startTime,NA,0,0,-0.008946945,-0.02265402,-0.003101686,0.0008904165,0.001341433,0.001386634,0.001650981,0.00113226,0.0005749185,-0.0002066472,0.000317235,0.0008269394,0.0001689919,0.001192564,0.00011328,0.003055186,0.002702381,0.001715235,0.0007337635,0.001493818,0.001541141,0.001873637,0.003106126,0.002458388,0.01447058,0.05848865,-0.000801073
Weight,16,1,phi.endTime,NA,-0.01197825,-0.01043543,-0.01247151,-0.0682,-0.02541328,-0.01565228,-0.007610392,-0.003361703,-0.00298142,-0.003054071,-0.002327793,-0.0015407,-0.001560366,-0.003018784,-0.001488316,-0.002400974,-0.002120421,-0.003460645,-0.003965861,-0.002656904,-0.002572206,-0.003380959,-0.003113748,-0.002783468,-0.000912681,0.0007967514,-0.01408527,0.00875717,0.006279739
Weight,16,1,phi.jobOps,NA,0,0.6666003,1.205196,0.9534368,0.8142312,1.137553,0.7400969,0.5131486,0.4069819,0.7737152,0.6907391,0.7666291,0.6982957,0.800939,0.8511456,0.9302493,0.9349215,1.10438,0.6734681,0.7506301,0.6674067,0.401099,0.3900193,0.3537346,-5.118784e-05,0.2568282,-0.001369546,-0.003539663,0
Weight,16,1,phi.arrivalTime,NA,0,0.002175619,-0.005191177,-0.004240936,0.001614049,0.003249974,0.001871599,-0.0004003826,5.906144e-06,-0.0009219571,-0.001200189,-0.0009817848,-0.001016302,-0.001470182,-0.002221034,-0.001168848,-0.001255951,-0.001473813,-0.001379556,-0.002322111,-0.002479129,-0.001769986,-0.001578269,-0.002153373,-0.002124995,-0.004520699,-0.004141686,-0.06873775,-0.0872281
Weight,16,1,phi.totproc,NA,0.001171934,0.003168372,0.02725479,0.002850281,0.005636615,0.0006756542,0.004148193,0.007391141,0.00356495,0.001971294,0.002042913,0.002915714,0.002512869,0.0008483725,0.003016507,0.000967325,0.0006023112,0.00173481,0.000831195,0.003663767,0.001436997,0.002333252,0.001667802,0.0002177336,0.0003029082,0.006380836,0.001102465,0.0022162,0.03678125
Weight,16,1,phi.wait,NA,0,-0.002175619,-0.003755768,-0.01841308,-0.004715735,-0.002359558,-0.000530166,0.001787017,0.001645074,0.002054217,0.001775107,0.0007751377,0.001333537,0.002297121,0.002390026,0.002361412,0.001369231,0.004528999,0.004081937,0.004037346,0.003212892,0.003263804,0.00311941,0.00402701,0.005231121,0.006979087,0.01861227,0.1272264,0.08642703
Weight,16,1,phi.mac,NA,0,0.6666003,1.205196,0.9534368,0.8142312,1.137553,0.7400969,0.5131486,0.4069819,0.7737152,0.6907391,0.7666291,0.6982957,0.800939,0.8511456,0.9302493,0.9349215,1.10438,0.6734681,0.7506301,0.6674067,0.401099,0.3900193,0.3537346,-5.118784e-05,0.2568282,-0.001369546,-0.003539663,0
Weight,16,1,phi.macOps,NA,0,-0.6666003,1.14289,0.8473682,0.8014348,0.9956744,0.5375645,0.4528674,0.1115498,0.7069984,0.7329102,0.7288441,0.8338264,0.8582044,1.149085,0.8944725,0.9703394,1.170482,0.4224552,0.311159,0.5638923,-0.03771592,0.2023204,-0.08871748,-9.324729e-05,-0.1193346,0.002611017,0.003539663,0
Weight,16,1,phi.macfree,NA,-0.01197825,-0.01043543,-0.01247151,0.07925947,0.0224155,0.008650518,-0.000547585,-0.0107372,-0.006950188,-0.008588818,-0.00938356,-0.009418935,-0.01064571,-0.01065792,-0.01169788,-0.01143271,-0.01307212,-0.01190903,-0.01010829,-0.00715232,-0.00781263,-0.004918925,-0.01288137,-0.0111324,-0.01899716,-0.008504255,0.002547322,-0.01484468,-0.02961331
Weight,16,1,phi.makespan,NA,-0.01197825,-0.01043543,-0.003538725,0.009346688,0.003562876,0.0009782208,0.003133618,0.008018803,0.006796806,0.00437936,0.0009316415,0.003596349,0.002170077,0.001342048,-0.001460195,0.0001752424,-0.0007788398,0.0004897873,0.004019678,-0.001452332,-0.002831528,-7.818105e-05,-0.004508023,0.004009751,-0.002137634,-0.01141218,-0.005807175,0.009672962,-0.02961331
