Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.1094889,-0.04526934,-0.002414997,-0.053303,-0.03843032,-0.050077,-0.0225593,-0.01777195,0.009611432,0.01445433,0.0164954,0.009644148,-0.007319025,-0.008117178,0.002365763,0.01803005,0.0336708,0.001775734,-0.003342378,-0.01349517,0.0212849,0.03864145,0.04542433,-0.003494598,-0.009752654,0.01994434,0.007629842,-0.009157878,0.07609707
Weight,16,1,phi.startTime,NA,0,0,-0.03084448,-0.003153875,0.007136485,0.0137088,0.003534455,0.003501503,-0.007911765,-0.00919359,-0.01041589,-0.007688786,-0.0006962149,-0.0004524027,-0.004126678,-0.01052558,-0.01838333,-0.003754137,-0.003318737,0.001655332,-0.01130655,-0.01831597,-0.02184715,-0.001140747,0.0008782443,-0.01070198,-0.001959666,0.01210861,-0.06728808
Weight,16,1,phi.endTime,NA,-0.1094889,-0.04526934,-0.03325947,-0.05645688,-0.03129383,-0.0363682,-0.01902484,-0.01427045,0.001699667,0.005260737,0.006079513,0.001955362,-0.00801524,-0.008569581,-0.001760915,0.007504472,0.01528747,-0.001978403,-0.006661114,-0.01183983,0.009978348,0.02032548,0.02357719,-0.004635345,-0.008874409,0.009242367,0.005670176,0.002950734,0.00880899
Weight,16,1,phi.jobOps,NA,0,0.0004818569,-0.03083683,-0.004814069,0.001148655,-0.02183635,0.0005811882,0.001263277,0.001673103,0.0003655427,0.0004906545,0.001848242,0.001287398,0.001619256,0.002656387,0.002103911,0.002079102,0.002443981,0.001139377,0.001207509,0.001992225,0.002989166,0.002271745,0.0007461806,0.0001320246,0.001431968,-0.0002372513,-0.0005168255,0
Weight,16,1,phi.arrivalTime,NA,0,0.02343102,-0.01846859,0.04378303,0.003027525,0.009380696,0.003585552,0.001360432,-0.003725093,-0.005310248,-0.006135549,-0.002936824,-0.000546949,-0.001485036,-0.002658899,-0.005816393,-0.007459955,-0.002720014,-0.00292262,-0.001234501,-0.006685886,-0.0107034,-0.01173366,-0.004135421,-0.002403834,-0.01101445,-0.01325836,-0.02225761,-0.04401965
Weight,16,1,phi.totproc,NA,-0.01166481,0.01204079,0.2486594,0.07677074,0.0639999,0.06075345,0.03474773,0.05617752,0.04402803,0.05170523,0.04478846,0.03771116,0.03587198,0.03597143,0.05049656,0.0509138,0.02714343,0.0299899,0.0096385,0.04136211,0.02758233,0.0211241,0.006458297,-0.01094238,-0.03286803,-0.009169943,-0.03024826,-0.0108229,-0.1029118
Weight,16,1,phi.wait,NA,0,-0.02343102,-0.01237588,-0.0469369,0.00410896,0.0043281,-5.109702e-05,0.002141071,-0.004186672,-0.003883342,-0.00428034,-0.004751962,-0.000149266,0.001032633,-0.001467779,-0.004709183,-0.01092337,-0.001034122,-0.0003961164,0.002889833,-0.004620668,-0.007612566,-0.01011349,0.002994674,0.003282078,0.0003124748,0.01129869,0.03436622,-0.02326843
Weight,16,1,phi.mac,NA,0,0.0004818569,-0.03083683,-0.004814069,0.001148655,-0.02183635,0.0005811882,0.001263277,0.001673103,0.0003655427,0.0004906545,0.001848242,0.001287398,0.001619256,0.002656387,0.002103911,0.002079102,0.002443981,0.001139377,0.001207509,0.001992225,0.002989166,0.002271745,0.0007461806,0.0001320246,0.001431968,-0.0002372513,-0.0005168255,0
Weight,16,1,phi.macOps,NA,0,-0.0004818569,0.08146216,0.01508285,0.00219888,0.03761094,0.0009750964,0.001180165,0.001837924,0.0009541129,0.001606361,0.0002269239,0.0002509402,0.0002844639,-0.0002622609,0.00224792,0.0006816464,0.0008041058,0.0005286248,-3.339406e-05,-0.0007987176,0.0006639895,0.0002790286,1.669803e-05,-6.88001e-05,0.0002492765,0.0004526268,0.0005168255,0
Weight,16,1,phi.macfree,NA,-0.1094889,-0.04526934,-0.03325947,-0.04754672,-0.02311811,-0.00445835,-0.006496894,-0.01029138,-0.02852572,-0.04270495,-0.04480382,-0.02038135,-0.01110719,-0.01415615,-0.03053053,-0.05065977,-0.04605974,-0.0289413,-0.00690926,-0.02527645,-0.05969568,-0.0776787,-0.06266972,-0.01222986,-0.02106551,0.004207256,0.01024935,-0.03224374,-0.04288057
Weight,16,1,phi.makespan,NA,-0.1094889,-0.04526934,-0.03138527,0.1175979,0.01168416,-0.001027456,0.0001059089,-0.001423972,0.008271757,0.007761975,-1.768481e-05,0.003885845,-0.004976089,-0.005015289,0.005542573,0.003115294,-0.009308414,-0.00585821,-0.002251835,0.007187823,0.006884116,-0.0009486943,-0.003637517,0.007775024,0.009685848,0.00466213,0.01187453,0.104794,-0.04288057
Weight,16,1,phi.slotReduced,NA,0,-0.02343102,0.01846859,0.01380914,0.002751452,0.001469498,-0.0002351328,8.221641e-05,-0.0002333591,-0.0001473927,-0.0006830622,-0.0009524333,-0.001161368,-0.001333833,-0.001209743,-0.002349739,-0.002160243,-0.002287854,-0.00356047,-0.002630268,-0.001568141,-0.003158452,-0.002494047,-0.0002243533,-0.0004322295,-0.001931583,0.000747829,0.01176955,0.1189776
Weight,16,1,phi.slots,NA,0,0.02343102,-0.01846859,-0.02360755,0.02524333,0.01180663,0.01183745,0.009864842,0.01853987,0.03127114,0.03944803,0.01506191,0.01043974,0.01169783,0.01647051,0.03732786,0.03800624,0.02206426,0.002847898,0.01676926,0.04419472,0.06251563,0.05568246,0.009056754,0.01848265,-0.007453483,-0.0192718,-0.04831638,-0.1189776
Weight,16,1,phi.slotsTotal,NA,0,0.02343102,-0.01846859,-0.01380914,-0.002751452,-0.001469498,0.0002351328,-8.221641e-05,0.0002333591,0.0001473927,0.0006830622,0.0009524333,0.001161368,0.001333833,0.001209743,0.002349739,0.002160243,0.002287854,0.00356047,0.002630268,0.001568141,0.003158452,0.002494047,0.0002243533,0.0004322295,0.001931583,-0.000747829,-0.01176955,-0.1189776
Weight,16,1,phi.wrmMac,NA,0,0.0239222,-0.0619812,-0.06968531,-0.0426149,-0.03967722,-0.03415139,-0.03164277,-0.04380757,-0.05350129,-0.06005161,-0.0437325,-0.03658696,-0.03631461,-0.05105002,-0.06638539,-0.06336719,-0.05926169,-0.03774952,-0.05021559,-0.07260624,-0.09685668,-0.07806382,-0.02986919,-0.02057744,-0.02667311,-0.02234115,-0.02712197,0
Weight,16,1,phi.wrmJob,NA,-0.01166481,-0.01139023,-0.2430394,-0.07476948,-0.0517361,-0.05187294,-0.03644205,-0.04191614,-0.04249937,-0.04005204,-0.03631155,-0.03985284,-0.03730096,-0.03670201,-0.0460504,-0.03811837,-0.02848976,-0.04437382,-0.04108723,-0.03903418,-0.03117424,-0.03752432,-0.02003557,-0.01943249,0.01260415,-0.03343686,0.03303515,0.01748413,0.07609707
Training.Accuracy,16,1,NA,77.05,79.27,74.96,72.92,77.18,74.2,71.56,68.04,74.13,74.98,74.02,73.13,73.99,71.32,75.73,77.71,75.65,74.75,78.07,73.73,80.18,80.02,80.6,78.6,79.09,74.32,77.88,82.78,86.99,98.6
Validation.Accuracy,16,1,NA,77,79.85,75.37,73.89,78.42,76.19,73.03,69.97,74.74,75.74,74.65,73.95,73.69,70.86,77.48,77.39,76.76,75.5,78.27,74.74,77.7,77.81,79.88,78.26,78.56,72.75,78.68,83.29,87.11,100
