Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.1009818,-0.05344408,-0.05473735,-0.2002067,-0.08842925,-0.07602534,-0.02549965,-0.05855584,-0.009611,0.06857391,0.07191915,0.04998532,-0.001192599,0.0560824,-0.001390842,-0.01077971,-0.04943875,-0.01611646,-0.01465089,-0.03325918,0.005999488,-0.03354253,-0.00362169,-0.006699688,0.1151137,0.2017134,-0.1579806,0.1401409,0.002646513
Weight,16,1,phi.startTime,NA,0,0,0.003516987,0.0679005,0.02533956,0.02776439,0.009910427,0.02110939,0.003181006,-0.02777076,-0.02947954,-0.02116419,-0.0008170147,-0.02356483,-0.002109646,0.002504122,0.0155564,0.003462702,0.00398931,0.009329657,-0.004430701,0.01008113,0.0001127481,0.001706335,-0.04742422,-0.08819642,0.06513333,-0.04333441,-0.02367718
Weight,16,1,phi.endTime,NA,-0.1009818,-0.05344408,-0.05122036,-0.1323062,-0.06308969,-0.04826095,-0.01558922,-0.03744645,-0.006429994,0.04080315,0.04243961,0.02882112,-0.002009613,0.03251757,-0.003500488,-0.008275584,-0.03388236,-0.01265376,-0.01066158,-0.02392952,0.001568787,-0.0234614,-0.003508942,-0.004993354,0.06768952,0.113517,-0.09284729,0.09680648,-0.02103067
Weight,16,1,phi.jobOps,NA,0,0.0005790583,0.01561493,0.008762333,0.004266372,0.0027619,0.00342565,0.003924639,0.002546554,0.002267032,0.002127451,0.006961423,0.003477096,0.004034275,0.003012028,0.00407905,0.008973253,0.003947196,0.003342285,0.005513489,0.006131201,0.006502831,0.006048278,0.002784075,0.03461664,0.01651597,-0.0001964216,-0.002073397,0
Weight,16,1,phi.arrivalTime,NA,0,0.02653522,-0.02941981,0.07121501,0.005195163,0.009430709,0.001324594,0.007491628,-0.0008449735,-0.01560198,-0.01655573,-0.01249394,-0.003422062,-0.0147282,-0.004673986,-0.001763617,0.004041805,-0.002533107,-0.0008952211,0.00038689,-0.006710524,0.0002781186,-0.003389425,-0.004214324,-0.02404299,-0.04125809,0.02943199,-0.1368457,-0.05166222
Weight,16,1,phi.totproc,NA,-0.01167863,0.02240181,0.3641689,0.1708563,0.07856016,0.07156904,0.07100534,0.06880381,0.06283201,0.04216092,0.04778617,0.04972011,0.06715921,0.04133562,0.07402154,0.05703615,0.06623058,0.1050892,0.07473851,0.0804277,0.09653561,0.1034729,0.07906478,0.004768596,0.009101038,-0.003405338,-0.02566325,-0.07413473,-0.006417779
Weight,16,1,phi.wait,NA,0,-0.02653522,0.0329368,-0.003314508,0.02014439,0.01833368,0.008585833,0.01361776,0.00402598,-0.01216878,-0.01292381,-0.008670257,0.002605047,-0.008836625,0.00256434,0.004267738,0.01151459,0.005995809,0.004884531,0.008942767,0.002279823,0.009803014,0.003502173,0.005920658,-0.02338122,-0.04693833,0.03570134,0.09351133,0.02798503
Weight,16,1,phi.mac,NA,0,0.0005790583,0.01561493,0.008762333,0.004266372,0.0027619,0.00342565,0.003924639,0.002546554,0.002267032,0.002127451,0.006961423,0.003477096,0.004034275,0.003012028,0.00407905,0.008973253,0.003947196,0.003342285,0.005513489,0.006131201,0.006502831,0.006048278,0.002784075,0.03461664,0.01651597,-0.0001964216,-0.002073397,0
Weight,16,1,phi.macOps,NA,0,-0.0005790583,-8.012141e-05,0.003840633,0.002828168,0.003195922,0.0009944058,0.002393713,1.673873e-06,-0.0009799621,-0.0003760097,-0.00469888,-0.0003915795,-0.002528551,-0.001037672,-0.001934369,-0.003904703,-0.001462415,-0.0005065745,-0.004100896,-0.002562202,-0.00116569,-0.002165095,-0.0008126511,-1.486216e-05,-0.006235289,0.0003928431,0.002073397,0
Weight,16,1,phi.macfree,NA,-0.1009818,-0.05344408,-0.05122036,-0.1114431,0.04139514,-0.001295795,-0.02440744,-0.007687125,-0.02344216,-0.04007341,-0.07327226,-0.06488311,-0.02512187,-0.06049466,-0.03761606,-0.03554043,-0.01249516,-0.05845472,-0.03499137,-0.02730983,-0.09794634,-0.07200167,-0.08009671,-0.03690915,-0.1700324,-0.08854332,-0.1396775,0.2042036,-0.005888846
