Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.07055067,-0.01755625,0.003104212,-0.001683289,-0.0005583148,0.01270427,-0.002268891,0.004164828,0.02964915,0.005991089,-0.0141415,-0.01465852,-0.008277821,-0.001317848,0.05504125,0.03477282,0.03451597,-0.006731942,0.05400829,0.08506227,0.04081328,0.03645718,-0.05490551,-0.1930433,-0.1714205,-0.004074752,-0.06930303,-0.0001623872,0.004578955
Weight,16,1,phi.startTime,NA,0,0,-0.003498378,-0.004137537,-0.009663996,-0.0490695,-0.007977259,-0.01372836,-0.02603733,-0.009372014,-0.002697392,-0.001437735,-0.002992843,-0.006127882,-0.02727795,-0.02010688,-0.02210676,-0.003135148,-0.02591589,-0.03578728,-0.02149149,-0.02879634,0.01582434,0.2267056,0.07393193,-0.01159718,0.2661869,-0.008981574,-0.04350007
Weight,16,1,phi.endTime,NA,-0.07055067,-0.01755625,-0.0003941658,-0.005820826,-0.01022231,-0.03636523,-0.01024615,-0.009563534,0.003611825,-0.003380924,-0.01683889,-0.01609626,-0.01127066,-0.00744573,0.0277633,0.01466594,0.01240921,-0.009867089,0.0280924,0.04927499,0.01932179,0.007660843,-0.03908116,0.03366236,-0.0974886,-0.01567193,0.1968839,-0.009143961,-0.03892112
Weight,16,1,phi.jobOps,NA,0,0.0003737787,0.0001887866,0.0003684893,0.0007492158,0.001402845,-0.0002298286,0.0006893462,-0.001378765,0.0002879357,0.0002228243,0.0001165728,-0.00297727,-0.001715786,-0.007944662,-0.00228096,-0.001325779,0.001216253,-0.002425102,-0.003139475,-0.0004460537,0.0001633067,-0.003995293,-0.01255492,-0.000875704,4.737664e-05,-0.003189059,-0.000240085,0
Weight,16,1,phi.arrivalTime,NA,0,0.02008093,0.01049944,0.01577934,-0.0001501842,-0.008722658,-0.0003822956,0.002697465,-0.008428636,-0.003975369,0.002526453,0.002812732,0.003071295,0.0008280377,-0.009651469,-0.009206491,-0.009686325,-0.001245958,-0.01314121,-0.02139183,-0.0148776,-0.01416767,0.01143417,-0.2760599,0.02449258,0.001175201,-0.5152641,0.001955634,-0.06525011
Weight,16,1,phi.totproc,NA,-0.007557093,0.003317217,-0.005330055,-0.002161169,0.01536407,0.05901662,0.01519932,0.04473006,0.05473491,0.034416,0.050194,0.05746475,0.06236882,0.06881901,0.06456107,0.08332735,0.07809089,0.106292,0.178225,0.1363886,0.08335004,0.06394489,0.2206544,0.294936,0.6095019,-0.002515487,-0.01919196,-1.174874e-05,-0.001144739
Weight,16,1,phi.wait,NA,0,-0.02008093,-0.01399781,-0.01991687,-0.009513812,-0.04034684,-0.007594964,-0.01642583,-0.01760869,-0.005396645,-0.005223845,-0.004250467,-0.006064138,-0.00695592,-0.01762648,-0.01090039,-0.01242043,-0.001889189,-0.01277468,-0.01439545,-0.006613892,-0.01462867,0.004390173,0.5027656,0.04943935,-0.01277238,0.781451,-0.01093721,0.02175004
Weight,16,1,phi.mac,NA,0,0.0003737787,0.0001887866,0.0003684893,0.0007492158,0.001402845,-0.0002298286,0.0006893462,-0.001378765,0.0002879357,0.0002228243,0.0001165728,-0.00297727,-0.001715786,-0.007944662,-0.00228096,-0.001325779,0.001216253,-0.002425102,-0.003139475,-0.0004460537,0.0001633067,-0.003995293,-0.01255492,-0.000875704,4.737664e-05,-0.003189059,-0.000240085,0
Weight,16,1,phi.macOps,NA,0,-0.0003737787,-0.0002623371,-9.583945e-05,2.596817e-05,0.001587912,0.0006801739,0.001205005,0.001636567,0.001207136,0.001816035,0.001933481,0.005220623,0.007398725,-0.00607957,-0.0006081014,0.002173771,0.001710967,0.006412457,-0.002389411,-0.00395962,0.000730946,0.003599024,-0.0007409567,0.0008019678,-4.311282e-05,0.002706951,0.000240085,0
Weight,16,1,phi.macfree,NA,-0.07055067,-0.01755625,-0.0003941658,0.0003453187,0.004960311,0.02188682,-0.0364103,-0.01383046,-0.0329528,-0.03599575,-0.03097133,-0.01557313,-0.03777976,-0.04194072,-0.05179068,-0.04723531,0.008388646,-0.0345141,-0.08330133,-0.1396323,-0.1327998,0.01172396,-0.04889869,-0.3005493,-0.3441999,-0.03057676,-0.1171504,-0.0119598,0
Weight,16,1,phi.makespan,NA,-0.07055067,-0.01755625,-0.01706447,-0.01093387,-0.004813115,0.04440164,-0.001989795,-0.003365502,0.01552748,0.008889916,0.008017487,0.001764928,0.005812369,0.005014443,0.007128509,0.01934905,-0.03056984,-0.00434021,0.02532537,0.05720988,-0.003261412,-0.02629517,0.0293037,-0.001767534,0.131367,-0.008525044,0.5584407,-0.003221488,0
Weight,16,1,phi.slotReduced,NA,0,-0.02008093,-0.01049944,0.01111202,0.007010476,-0.0003966415,0.000412944,-0.002714131,0.001883909,0.002424108,2.943714e-05,-0.0007958488,-0.000559062,-0.001691846,-0.002383817,-0.002829386,-0.008532424,-0.005621321,-0.004082317,-0.0002235335,-0.009159221,-0.02162668,-0.01177529,-0.02662815,-0.1105017,0.003771929,0.008156348,0.00517983,0.004578955
Weight,16,1,phi.slots,NA,0,0.02008093,0.01049944,0.008505005,0.01575722,0.009496396,0.03609453,0.002168003,0.03907516,0.03137613,0.02924289,0.01378744,0.03065598,0.03781531,0.04084593,0.01158123,-0.02916434,0.006041838,0.03335271,0.07237271,0.1119075,-0.02478713,0.01064783,0.2880365,0.037953,-0.02435571,-0.1626751,-0.02438939,-0.004578955
Weight,16,1,phi.slotsTotal,NA,0,0.02008093,0.01049944,-0.01111202,-0.007010476,0.0003966415,-0.000412944,0.002714131,-0.001883909,-0.002424108,-2.943714e-05,0.0007958488,0.000559062,0.001691846,0.002383817,0.002829386,0.008532424,0.005621321,0.004082317,0.0002235335,0.009159221,0.02162668,0.01177529,0.02662815,0.1105017,-0.003771929,-0.008156348,-0.00517983,-0.004578955
Weight,16,1,phi.wrmMac,NA,0,0.01997839,0.01365097,0.002805736,-0.006589547,-0.06953836,-0.04192929,-0.03988418,-0.06829041,-0.04834144,-0.0583194,-0.04406967,-0.07560691,-0.08814862,-0.08884439,-0.06357361,-0.0319541,-0.08223612,-0.1177032,-0.1404111,-0.1437286,-0.05673219,-0.1253147,-0.3346032,-0.0448255,-0.0003454725,-0.1358141,-0.01217984,0
Weight,16,1,phi.wrmJob,NA,-0.007557093,-0.01676371,-0.01546215,-0.02428604,-0.03319105,-0.0736451,-0.02837694,-0.04608985,-0.04899031,-0.04413365,-0.03977346,-0.03604986,-0.04822392,-0.05215085,-0.04959896,-0.07579198,-0.07266779,-0.08386107,-0.09618091,-0.09490587,-0.03910786,-0.06316757,-0.07818172,-0.01934057,0.02072346,-0.0120346,-0.2258522,0.01185507,0.004578955
Training.Accuracy,16,1,NA,83.51,70.73,67.85,70.39,74.96,77.43,77.97,79.28,80.55,78.42,79.68,80.3,77.52,78.77,78.1,75.86,78.93,83.82,86.25,86.18,84.51,84.53,90.8,85.29,96.97,100,96.55,100,100,100
Validation.Accuracy,16,1,NA,81,70.73,68.97,73.75,79.21,80.99,78.18,81.03,81.12,79.18,79.24,80.1,76.46,75.93,79.47,78.74,81.1,84.38,83.78,79.63,83.67,75,78.95,89.47,66.67,50,100,100,100,100
