Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21
Weight,16,1,phi.proc,NA,-0.06833691,-0.04064032,-0.01323156,-0.06141214,-0.06465441,-0.05483193,-0.04675562,-0.05825888,-0.0588126,-0.05858902,-0.04549342,-0.02925147,-0.02662372,-0.04519279,-0.04194244,-0.03539666,-0.0471398,-0.01802653,-0.04726465,-0.01768313,-0.04805843
Weight,16,1,phi.startTime,NA,0,0,0.01955056,0.01352774,0.01507932,0,0.00071893,0.01170492,0.01687399,0.0184815,0,0.000576009,0.00704134,0.01440338,0.01362059,0,0.0006525813,0.004850017,0.01266119,0.008141166,0
Weight,16,1,phi.endTime,NA,-0.06833691,-0.04064032,0.006318998,-0.0478844,-0.04957509,-0.05483193,-0.04603669,-0.04655397,-0.04193862,-0.04010752,-0.04549342,-0.02867546,-0.01958238,-0.03078942,-0.02832185,-0.03539666,-0.04648722,-0.01317651,-0.03460346,-0.009541965,-0.04805843
Weight,16,1,phi.jobOps,NA,0,0.0004476358,0.0008160304,0.0004224481,0.000418397,0,0.0003108975,0.0004602184,0.0005053626,0.0004949637,0,0.0001617367,0.0002639667,0.0004179651,0.0003556081,0,0.000146388,0.0001768586,0.000357509,0.0002077659,0
Weight,16,1,phi.arrivalTime,NA,0,0.02123101,0.03890077,0.02021764,0.02004845,0,0.02959355,0.03366714,0.03303222,0.03038208,0,0.02341422,0.02615903,0.03461331,0.02659711,0,0.02863636,0.02207813,0.03593365,0.01835136,0
Weight,16,1,phi.totproc,NA,-0.004353871,3.165419e-05,0.01089559,0.001909118,0.00510067,-0.001870321,0.009943399,0.008268796,0.01431006,0.01148146,-0.001289797,0.010012,0.01513284,0.02374463,0.01858701,0.01190995,0.03408289,0.01999165,0.03856028,0.01559272,0.03713286
Weight,16,1,phi.wait,NA,0,-0.02123101,-0.01935021,-0.006689897,-0.004969135,0,-0.02887462,-0.02196223,-0.01615824,-0.01190058,0,-0.02283821,-0.01911769,-0.02020993,-0.01297651,0,-0.02798378,-0.01722811,-0.02327246,-0.0102102,0
Weight,16,1,phi.mac,NA,0,0.0004476358,0.0008160304,0.0004224481,0.000418397,0,0.0003108975,0.0004602184,0.0005053626,0.0004949637,0,0.0001617367,0.0002639667,0.0004179651,0.0003556081,0,0.000146388,0.0001768586,0.000357509,0.0002077659,0
Weight,16,1,phi.macOps,NA,0,-0.0004476358,-0.0004080152,-0.000140816,-0.0001045993,0,-0.0003108975,-0.0002301092,-0.0001684542,-0.0001237409,0,-0.0001617367,-0.0001319833,-0.0001393217,-8.890202e-05,0,-0.000146388,-8.842928e-05,-0.0001191697,-5.194146e-05,0
Weight,16,1,phi.macfree,NA,-0.06833691,-0.04064032,0.006318998,-0.0478844,-0.04957509,-0.05483193,-0.04603669,-0.04655397,-0.04193862,-0.04010752,-0.04549342,-0.02867546,-0.01958238,-0.03078942,-0.02832185,-0.03539666,-0.04648722,-0.01317651,-0.03460346,-0.009541965,-0.04805843
Weight,16,1,phi.makespan,NA,-0.06833691,-0.04064032,-0.2556498,0.006908308,0.005134231,0,0,0,0.0009152963,0.006164479,0,0,0,0.000666509,0.004407299,0,0,0,0.0004728141,0.002604325,0
Weight,16,1,phi.slotReduced,NA,0,-0.02123101,-0.03890077,-0.02021764,-0.02004845,0,-0.0003318761,-0.0006227478,-0.0006902884,-0.0006035589,0,-0.0001783151,-0.0003414752,-0.0005047906,-0.000392777,0,-0.0001732192,-0.0002184498,-0.0003626146,-0.000206133,0
Weight,16,1,phi.slots,NA,0,0.02123101,0.03890077,0.02021764,0.02004845,0,0.01507652,0.02268954,0.02494116,0.02442899,0,0.008109852,0.01345369,0.02116481,0.01797989,0,0.007632504,0.00923674,0.01851566,0.01074088,0
Weight,16,1,phi.slotsTotal,NA,0,0.02123101,0.03890077,0.02021764,0.02004845,0,0.0003318761,0.0006227478,0.0006902884,0.0006035589,0,0.0001783151,0.0003414752,0.0005047906,0.000392777,0,0.0001732192,0.0002184498,0.0003626146,0.000206133,0
Weight,16,1,phi.wrmMac,NA,0,0.02144111,0.02016527,0.006979895,0.00515896,0,0.01512253,0.01141757,0.008314444,0.006193383,0,0.008001199,0.006505829,0.006928634,0.004413319,0,0.007403941,0.00445474,0.00600012,0.002584474,0
Weight,16,1,phi.wrmJob,NA,-0.004353871,-0.02119936,-0.02800518,-0.01830852,-0.01494778,-0.001870321,-0.004905508,-0.01410131,-0.01035257,-0.01269225,-0.001289797,0.002104216,0.002064371,0.003061924,0.0009392492,0.01190995,0.02677306,0.01111011,0.02062123,0.00514846,0.03713286
Training.Accuracy,16,1,NA,72.33,70.69,71.93,72.63,72.06,72.19,64.09,73.27,72.93,73.27,72.93,62.46,73.58,73.24,73.24,73.24,58.48,81.64,81.33,81.48,81.33,62.96
Validation.Accuracy,16,1,NA,76,70.55,76.54,77.22,76.88,77.39,70.88,74.42,76.28,74.42,76.28,67.1,75.67,75.67,75.67,74.67,61.46,85.12,83.93,85.12,84.52,70.24
