Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.07355147,-0.01768676,-0.005200866,0.004334657,0.003823169,0.01317282,-0.00487873,0.007045392,0.02919399,0.02354243,0.00596698,-0.02654274,0.002778467,0.02013445,0.03845584,0.03071589,0.04667047,0.0234192,0.08510469,0.09060809,0.05137121,0.03123143,-0.05325549,-0.1954888,-0.2133596,-0.003705854,-0.0741346,-0.00020425,0.004578955
Weight,16,1,phi.startTime,NA,0,0,-0.002020248,-0.006866377,-0.02280796,-0.05639654,-0.007975747,-0.01425547,-0.02272206,-0.01582249,-0.01146824,0.003426365,-0.007454135,-0.01539944,-0.02086116,-0.01899914,-0.02644426,-0.01493465,-0.03730064,-0.03793409,-0.02635823,-0.02740721,0.01566677,0.2376664,0.09097119,-0.0111483,0.2727803,-0.008920526,-0.04350007
Weight,16,1,phi.endTime,NA,-0.07355147,-0.01768676,-0.007221114,-0.00253172,-0.0189848,-0.04322371,-0.01285448,-0.007210077,0.00647193,0.007719936,-0.005501257,-0.02311637,-0.004675668,0.004735014,0.01759468,0.01171675,0.02022621,0.008484548,0.04780405,0.052674,0.02501298,0.003824219,-0.03758871,0.04217764,-0.1223884,-0.01485416,0.1986457,-0.009124776,-0.03892112
Weight,16,1,phi.jobOps,NA,0,0.0003727122,0.0001892698,0.0005183327,0.001270072,0.0006671753,0.0005232889,0.0003042895,-0.001091353,-0.001351487,-0.0007089215,-3.909943e-05,-0.003517885,-0.001138865,-0.001005121,-0.0008212486,-0.000460115,-0.003538445,-0.006036389,-0.004515163,-0.00162875,-0.0001612763,-0.002450145,-0.01303302,-0.001224552,4.028089e-05,-0.003315816,-0.0002400369,0
Weight,16,1,phi.arrivalTime,NA,0,0.02004322,0.01132604,0.01775712,-0.01585115,-0.01326351,0.001870365,0.0009282314,-0.007733703,-0.006342126,-0.002732105,0.005425489,0.0002081296,-0.003237693,-0.006640949,-0.008806779,-0.01196506,-0.00743535,-0.01926366,-0.0224521,-0.01767054,-0.01332812,0.01163455,-0.297079,0.03071012,0.001611665,-0.5287144,0.001992985,-0.06525011
Weight,16,1,phi.totproc,NA,-0.007837324,0.003841076,-0.002884357,0.006603429,0.04946074,0.07146971,0.0252884,0.05082814,0.04752806,0.04333356,0.0414942,0.06064052,0.07436868,0.07051941,0.06260358,0.08140877,0.08324116,0.09769901,0.1699365,0.1581626,0.07943951,0.07150345,0.2072062,0.3333765,0.7198857,-0.002161016,-0.01859142,-5.749896e-05,-0.001144739
Weight,16,1,phi.wait,NA,0,-0.02004322,-0.01334629,-0.02462349,-0.006956818,-0.04313303,-0.009846112,-0.0151837,-0.01498836,-0.009480366,-0.008736132,-0.001999124,-0.007662265,-0.01216175,-0.01422021,-0.01019236,-0.0144792,-0.007499298,-0.01803698,-0.01548199,-0.008687691,-0.01407909,0.004032224,0.5347454,0.06026107,-0.01275997,0.8014947,-0.01091351,0.02175004
Weight,16,1,phi.mac,NA,0,0.0003727122,0.0001892698,0.0005183327,0.001270072,0.0006671753,0.0005232889,0.0003042895,-0.001091353,-0.001351487,-0.0007089215,-3.909943e-05,-0.003517885,-0.001138865,-0.001005121,-0.0008212486,-0.000460115,-0.003538445,-0.006036389,-0.004515163,-0.00162875,-0.0001612763,-0.002450145,-0.01303302,-0.001224552,4.028089e-05,-0.003315816,-0.0002400369,0
Weight,16,1,phi.macOps,NA,0,-0.0003727122,-0.0002501814,-0.0001010748,-7.92665e-05,0.002394143,0.0005782532,0.001964066,0.002380481,0.003446225,0.002251275,0.002384674,0.006033271,0.006817103,-0.001408526,-0.0006427892,0.0004789344,0.004367229,0.006195631,-0.003257059,-0.003950242,0.0008643374,0.002795643,-0.0008847362,0.001149101,-3.635419e-05,0.002750694,0.0002400369,0
Weight,16,1,phi.macfree,NA,-0.07355147,-0.01768676,-0.007221114,0.004022132,0.005167689,0.004180555,-0.01777968,-0.01358232,-0.04496277,-0.04353799,-0.02742236,-0.0249765,-0.05340837,-0.04809192,-0.03852943,-0.05160096,-0.0007838653,-0.05790586,-0.1131511,-0.1502255,-0.1440378,0.006360283,-0.04635685,-0.312986,-0.3998775,-0.03071617,-0.1225266,-0.01195583,0
