Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21
Weight,16,1,phi.proc,NA,-0.07085823,-0.04605064,-0.01577641,-0.06869276,-0.06552338,-0.06066534,-0.04973207,-0.05615035,-0.05575824,-0.06376178,-0.04195596,-0.0312653,-0.04107909,-0.02123891,-0.01760207,-0.03703077,-0.0489103,-0.05066272,-0.0467724,-0.01232041,-0.04967358
Weight,16,1,phi.startTime,NA,0,0,0.01975097,0.01537793,0.015023,0,0.0006820284,0.01341041,0.01646169,0.01937667,0,0.0006381745,0.009627688,0.008529321,0.007978938,0,0.0006470424,0.008054431,0.01241421,0.006561579,0
Weight,16,1,phi.endTime,NA,-0.07085823,-0.04605064,0.003974557,-0.05331484,-0.05050039,-0.06066534,-0.04905004,-0.04273994,-0.03929655,-0.04438511,-0.04195596,-0.03062713,-0.0314514,-0.01270959,-0.009623137,-0.03703077,-0.04826326,-0.04260828,-0.03435819,-0.005758831,-0.04967358
Weight,16,1,phi.jobOps,NA,0,0.0004956923,0.0008242048,0.0004802932,0.0004166585,0,0.000297456,0.0005259771,0.0004921713,0.0005189952,0,0.000171769,0.0003611949,0.0002478155,0.0002086021,0,0.0001487592,0.0002901835,0.0003511245,0.0001677062,0
Weight,16,1,phi.arrivalTime,NA,0,0.02348411,0.03926117,0.022995,0.01999036,0,0.0283582,0.03855037,0.03216257,0.03183928,0,0.02485036,0.03574344,0.02054421,0.01561185,0,0.0290812,0.03623274,0.03524792,0.0148054,0
Weight,16,1,phi.totproc,NA,-0.004555635,0.009913898,0.01267158,0.007893558,0.003477237,-0.004108867,0.002985341,0.01408572,0.01124887,0.01178721,0.0005702019,0.01712281,0.02028466,0.01038486,0.005620307,0.01611136,0.03833224,0.04347651,0.04045888,0.01206403,0.03678192
Weight,16,1,phi.wait,NA,0,-0.02348411,-0.0195102,-0.007617067,-0.004967363,0,-0.02767617,-0.02513996,-0.01570088,-0.01246261,0,-0.02421218,-0.02611575,-0.01201489,-0.007632917,0,-0.02843415,-0.02817831,-0.02283371,-0.008243822,0
Weight,16,1,phi.mac,NA,0,0.0004956923,0.0008242048,0.0004802932,0.0004166585,0,0.000297456,0.0005259771,0.0004921713,0.0005189952,0,0.000171769,0.0003611949,0.0002478155,0.0002086021,0,0.0001487592,0.0002901835,0.0003511245,0.0001677062,0
Weight,16,1,phi.macOps,NA,0,-0.0004956923,-0.0004121024,-0.0001600977,-0.0001041646,0,-0.000297456,-0.0002629885,-0.0001640571,-0.0001297488,0,-0.000171769,-0.0001805975,-8.260517e-05,-5.215052e-05,0,-0.0001487592,-0.0001450917,-0.0001170415,-4.192656e-05,0
Weight,16,1,phi.macfree,NA,-0.07085823,-0.04605064,0.003974557,-0.05331484,-0.05050039,-0.06066534,-0.04905004,-0.04273994,-0.03929655,-0.04438511,-0.04195596,-0.03062713,-0.0314514,-0.01270959,-0.009623137,-0.03703077,-0.04826326,-0.04260828,-0.03435819,-0.005758831,-0.04967358
Weight,16,1,phi.makespan,NA,-0.07085823,-0.04605064,-0.2572861,0.007850703,0.005107777,0,0,0,0.0009173523,0.006489988,0,0,0,0.0003860357,0.002590321,0,0,0,0.0004423461,0.002101276,0
Weight,16,1,phi.slotReduced,NA,0,-0.02348411,-0.03926117,-0.022995,-0.01999036,0,-0.0003316088,-0.0007627316,-0.0006486848,-0.0006208644,0,-0.0001878512,-0.0004374058,-0.0002985154,-0.0002426604,0,-0.0001853099,-0.0003467907,-0.0003369247,-0.0001730508,0
Weight,16,1,phi.slots,NA,0,0.02348411,0.03926117,0.022995,0.01999036,0,0.01446553,0.02603089,0.02428835,0.02561573,0,0.008612733,0.01837513,0.01257451,0.01055623,0,0.007767557,0.01512518,0.01813884,0.008668564,0
Weight,16,1,phi.slotsTotal,NA,0,0.02348411,0.03926117,0.022995,0.01999036,0,0.0003316088,0.0007627316,0.0006486848,0.0006208644,0,0.0001878512,0.0004374058,0.0002985154,0.0002426604,0,0.0001853099,0.0003467907,0.0003369247,0.0001730508,0
Weight,16,1,phi.wrmMac,NA,0,0.02374733,0.02047117,0.007833778,0.005197929,0,0.01466185,0.01306759,0.008090899,0.006453237,0,0.008574104,0.008912129,0.004080491,0.002558343,0,0.007564473,0.007361337,0.005902364,0.002084066,0
Weight,16,1,phi.wrmJob,NA,-0.004555635,-0.01357021,-0.0265896,-0.01510144,-0.01651312,-0.004108867,-0.01123894,-0.011523,-0.01275199,-0.01354034,0.0005702019,0.008737916,0.002431908,-0.001894755,-0.004736769,0.01611136,0.03092316,0.02889666,0.02284053,0.003634064,0.03678192
Training.Accuracy,16,1,NA,72.36,70.33,72.57,72.77,72.57,72.32,64.39,72.64,73.08,72.64,72.64,62.68,73.19,73.19,73.36,73.88,58.61,81.48,81.48,81.48,81.33,62.96
Validation.Accuracy,16,1,NA,76,70.7,77.9,77.5,77.9,77.5,71.38,76.28,73.72,76.28,76.28,63.95,74.65,74.65,73.96,76.04,61.46,85.12,85.12,85.12,83.93,70.24
