Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.06872557,-0.02996207,0.01083351,-0.02992485,0.02096362,0.01853219,0.0366152,0.03335561,0.01666332,0.02487215,-0.01179234,0.009127602,-0.008894638,-0.02480148,-0.004917011,-0.02604302,-0.005995249,0.01552601,0.006819154,0.01931295,0.008723084,0.05116995,0.0239075,0.03330178,0.08785747,0.0963013,0.001852077,-0.0735554,0.2596999
Weight,16,1,phi.startTime,NA,0,0,-0.04524637,-0.01055415,-0.01626056,-0.01351201,-0.01818676,-0.01685863,-0.01221827,-0.01278928,0.0008843926,-0.007533478,0.0003947677,0.006073625,-0.0009164344,0.00778199,-0.001001816,-0.0105082,-0.00747496,-0.01257879,-0.008626541,-0.02430572,-0.01458889,-0.01702965,-0.03661729,-0.03895429,0.002804339,0.09452586,-0.1156309
Weight,16,1,phi.endTime,NA,-0.06872557,-0.02996207,-0.03441286,-0.04047901,0.004703063,0.005020184,0.01842844,0.01649698,0.004445049,0.01208287,-0.01090795,0.001594123,-0.00849987,-0.01872786,-0.005833445,-0.01826103,-0.006997064,0.005017812,-0.0006558057,0.00673416,9.654304e-05,0.02686423,0.009318612,0.01627212,0.05124018,0.05734701,0.004656416,0.02097045,0.144069
Weight,16,1,phi.jobOps,NA,0,0.0004545219,-0.01136516,-0.00134061,-0.001157387,0.0001237169,0.0007627837,-0.001072292,-9.351885e-05,0.0004715682,0.001457295,0.002108232,0.00316058,0.001579572,0.007633169,0.002237396,0.001618363,0.001697955,0.002336231,0.002931913,0.00180295,0.00628539,0.001818128,-0.0003969934,0.001979055,0.008604705,-0.0001765085,-0.002597812,0
Weight,16,1,phi.arrivalTime,NA,0,0.02227164,-0.03754735,0.03275059,-0.007551473,-0.004505464,-0.008771247,-0.008618624,-0.006825604,-0.008502168,-0.00235803,-0.006212653,-0.001215429,0.001499408,-0.001846516,0.002567359,-0.0022338,-0.00660373,-0.003537175,-0.005251669,-0.003756643,-0.01177657,-0.006413087,-0.01033534,-0.02218606,-0.02054602,-0.005951573,-0.1107288,-0.06298139
Weight,16,1,phi.totproc,NA,-0.005922409,0.009461038,0.4219479,0.05290034,0.02743662,0.05380822,0.05860319,0.04772635,0.05456259,0.06004484,0.06829023,0.05973938,0.05766707,0.05609311,0.05132876,0.06008411,0.05558262,0.06315603,0.06820257,0.06630585,0.0621556,0.04307826,0.04092066,0.07211563,-0.01204483,0.05019579,0.008704702,0.08173694,-0.1213986
Weight,16,1,phi.wait,NA,0,-0.02227164,-0.007699026,-0.04330474,-0.008709087,-0.009006543,-0.00941551,-0.008240006,-0.005392665,-0.004287115,0.003242423,-0.001320825,0.001610197,0.004574217,0.0009300815,0.00521463,0.001231984,-0.003904473,-0.003937785,-0.00732712,-0.004869898,-0.01252915,-0.008175805,-0.006694319,-0.01443123,-0.01840827,0.008755912,0.2052547,-0.05264951
Weight,16,1,phi.mac,NA,0,0.0004545219,-0.01136516,-0.00134061,-0.001157387,0.0001237169,0.0007627837,-0.001072292,-9.351885e-05,0.0004715682,0.001457295,0.002108232,0.00316058,0.001579572,0.007633169,0.002237396,0.001618363,0.001697955,0.002336231,0.002931913,0.00180295,0.00628539,0.001818128,-0.0003969934,0.001979055,0.008604705,-0.0001765085,-0.002597812,0
Weight,16,1,phi.macOps,NA,0,-0.0004545219,0.03245846,0.001354094,0.001136513,-0.0001768791,0.0002687067,-0.00108815,-0.00206155,-0.0007303492,-0.0006351978,-0.0006977246,-0.001100648,-4.264793e-05,-0.0006862781,-0.0006730845,0.0005446315,-0.0002560898,7.602152e-05,-1.000508e-05,0.0004759838,0.001587111,0.0007748966,-0.0008453093,-0.01032868,0.001609242,0.000358128,0.002597812,0
Weight,16,1,phi.macfree,NA,-0.06872557,-0.02996207,-0.03441286,-0.03733906,-0.02050367,-0.02766383,-0.04524891,-0.04809805,-0.04247795,-0.05329176,-0.02039424,-0.04136218,-0.03497753,-0.03120989,-0.05135118,-0.05303166,-0.04165995,-0.04683105,-0.03140576,-0.02504367,-0.01999016,-0.04656397,-0.03961282,-0.05457541,-0.1308697,-0.05994768,-0.009959418,-0.1500097,-0.02565937
