Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.007196442,-0.01227663,-0.01120892,-0.007652495,-0.01018947,-0.008366393,-0.006961764,-0.007596645,-0.0055728,-0.00751268,-0.005554103,-0.007131723,-0.003734439,-0.005044223,-0.005891827,-0.004144569,-0.003718235,-0.003914967,-0.005140739,-0.0004388809,-0.002805267,-0.006713576,-0.00266347,-0.001011405,-0.008886366,-0.001905024,-0.0570933,-0.1007464,0.02509525
Weight,16,1,phi.startTime,NA,0,0.003131686,0.0009500837,0.001504822,-0.0005143521,0.0003823705,0.0002805328,-0.0009350423,-0.001384312,0.0001885011,-0.0001562531,-0.0001199971,-8.220366e-05,0.0001204402,-0.0005764767,-0.0007420914,-0.001060917,-0.001831341,-0.002568004,-0.001741787,-0.001856039,-0.002359581,-0.003522398,-0.004065957,0.0006786404,0.005092331,0.015441,0.01094012,-0.05415298
Weight,16,1,phi.endTime,NA,-0.007196442,-0.009144942,-0.01025884,-0.006147673,-0.01070382,-0.007984022,-0.006681231,-0.008531687,-0.006957113,-0.007324179,-0.005710356,-0.00725172,-0.003816643,-0.004923783,-0.006468303,-0.00488666,-0.004779152,-0.005746308,-0.007708743,-0.002180668,-0.004661306,-0.009073157,-0.006185869,-0.005077362,-0.008207726,0.003187307,-0.0416523,-0.08980631,-0.02905773
Weight,16,1,phi.jobOps,NA,0,-0.0009002347,-0.0006918525,-0.005922838,0.0007070707,0.001037057,-0.0001873992,-0.00931066,0.0001792741,0.009192865,-0.006006077,-0.008444155,-0.0003455042,0.001427416,-0.0002803826,-6.907971e-05,-0.0008675601,-0.004297735,-0.000720418,-0.0002120534,-0.0001336067,-0.0008778556,-0.000375645,-0.001184315,-0.0037378,-0.02354024,-0.01816746,-0.04842743,0
Weight,16,1,phi.arrivalTime,NA,0,0.0004610198,0.0007442573,0.000638531,-0.003193619,0.001097134,-0.0007235872,-0.001246406,-0.002602343,-0.0007444247,-0.001224194,-4.564284e-05,0.000143187,-0.0004070156,-0.0004433581,-0.0002448619,-0.0003005007,-0.0003548605,-0.0007585349,-0.0002522387,-0.001184572,-0.001889904,-0.001581979,-0.003289774,-0.001963383,0.001592975,0.009067941,0.001918415,-0.06986839
Weight,16,1,phi.totproc,NA,0.002776171,0.00356105,0.003042495,0.0004049949,0.008766151,-0.001543462,0.001549493,0.002321162,0.004743957,0.001316977,0.002765542,0.0006637593,0.0004596155,0.0005088403,0.0006802781,0.001120465,0.001760434,-0.0003441749,0.001227163,0.001341534,0.00128339,0.001468407,0.0006316275,0.0001611585,-0.00100835,0.003259102,0.001968418,-0.007142401,-0.03553169
Weight,16,1,phi.wait,NA,0,0.002670666,0.0002058265,0.0008662906,0.002679267,-0.0007147637,0.00100412,0.0003113636,0.001218031,0.0009329258,0.001067941,-7.435427e-05,-0.0002253906,0.0005274557,-0.0001331186,-0.0004972296,-0.0007604165,-0.00147648,-0.00180947,-0.001489548,-0.0006714663,-0.0004696771,-0.001940419,-0.0007761831,0.002642023,0.003499356,0.006373056,0.009021708,0.01571541
Weight,16,1,phi.mac,NA,-0.01353714,-0.001413401,-0.001312114,-0.007986783,-0.01046223,-0.02004427,-0.009555104,-0.02145636,0.0004816785,-0.01416077,0.0147842,0.01375818,0.0006059967,0.008335142,0.0003041869,0.0006181066,0.0003469685,0.009439361,0.001573798,0.001543452,-0.0001723939,-0.004313545,-0.009830675,0.001709091,0.006358436,-0.0002220722,-0.006113849,-0.01732562,0
Weight,16,1,phi.macOps,NA,0,0.000374254,0.000263826,-0.003569445,-0.0003551594,0.001269292,-0.0009902973,0.003832325,9.36511e-05,-0.0008796126,0.006443969,0.004738012,0.0001980225,0.001896501,3.843478e-05,0.0002927402,0.000518844,0.005549681,0.00104076,0.0007334356,0.000843096,0.0155488,0.01389137,0.002852694,0.0242163,0.07061379,0.02944178,0.01890626,0
Weight,16,1,phi.macfree,NA,-0.007196442,-0.009144942,-0.002793907,-0.00724903,-0.002791765,-0.004550358,-0.009787802,-0.005353694,-0.007042808,-0.003397314,-0.00534276,-0.00645484,-0.008957135,-0.008295074,-0.002558903,-0.006519098,-0.008984544,-0.00591818,-0.004041117,-0.00636183,-0.009900536,-0.0007929749,-0.00627607,-0.002624361,-0.007018775,-0.04099856,-0.02907163,-0.3806602,-0.02905773
Weight,16,1,phi.makespan,NA,-0.007196442,0.004565059,0.0006360255,-0.004210879,-0.0007546552,-0.002220725,0.002658442,0.003970452,0.003231736,-0.003234435,-0.002377521,0.003806401,4.953379e-05,0.001118568,-0.001058272,0.001089448,0.002770811,0.0001056218,-0.0007174091,-0.009966315,-0.002179457,-0.007269896,-0.01055014,-0.01718695,-0.01061399,0.005026559,-0.02368218,0.06295395,-0.011514
Weight,16,1,phi.slotReduced,NA,0,-0.0004610198,0.001975118,0.001712655,-0.0003149665,0.0003979227,-7.474633e-05,-0.0004713382,0.0003162771,-0.0006916187,0.0005789846,0.0003701756,0.000533452,-3.158049e-05,-0.00168314,-0.0001906295,-0.0002768383,-0.000835952,-0.0009647191,-0.0009579639,-0.003005388,-0.003181217,-0.002068106,-0.002559768,-0.002414388,0.002766991,0.002082698,0.01452051,0.05415298
Weight,16,1,phi.slots,NA,0,0.0004610198,0.004401864,0.009310499,0.002811627,0.004719748,0.006134207,0.00576523,0.005872732,0.003860639,0.005168261,0.00394712,0.005040822,0.004414822,0.0008399434,0.002758617,0.003987405,0.002394068,0.002439838,0.001529359,-0.0006607027,-0.003451491,-0.001641164,-0.00165993,-0.003373168,-0.001239249,-0.009220291,-0.009420853,-0.05415298
Weight,16,1,phi.slotsTotal,NA,0,0.0004610198,-0.001975118,-0.001712655,0.0003149665,-0.0003979227,7.474633e-05,0.0004713382,-0.0003162771,0.0006916187,-0.0005789846,-0.0003701756,-0.000533452,3.158049e-05,0.00168314,0.0001906295,0.0002768383,0.000835952,0.0009647191,0.0009579639,0.003005388,0.003181217,0.002068106,0.002559768,0.002414388,-0.002766991,-0.002082698,-0.01452051,-0.05415298
Weight,16,1,phi.wrmMac,NA,0.002650859,0.00154584,-0.0003346277,-0.0007858235,-0.001208245,-0.002628608,-0.00256816,-0.004113398,-0.004146684,-0.004785343,-0.004740079,-0.005352634,-0.006956354,-0.007607887,-0.009096462,-0.008859479,-0.01186188,-0.013394,-0.01596072,-0.01876601,-0.0209235,-0.02490634,-0.03098731,-0.04175748,-0.04910325,-0.06745531,-0.08748723,-0.478859,0
Weight,16,1,phi.wrmJob,NA,0.002776171,0.00310003,0.003229154,0.005463446,-0.002487069,0.007575072,0.004981815,0.00401545,0.00053038,0.004685932,0.004862179,0.006067597,0.007392104,0.006778521,0.005702304,0.007681577,0.007585923,0.01028564,0.01066542,0.01114245,0.01625474,0.01763406,0.02648045,0.03012892,0.04661572,0.0540102,0.172073,0.5236753,0.02509525
Training.Accuracy,16,1,NA,79.62,66.75,67.88,69.02,70.13,71.12,72.1,71.94,72.94,73.92,73.65,74.25,75.17,75.08,76.15,76.44,77.26,77.87,80.05,81.25,82.34,84.73,85.72,87.6,89,90.71,91.47,94.56,100,100
Validation.Accuracy,16,1,NA,78,61.03,66.01,68.41,69,69.82,70.84,71.98,70.87,72.59,71.6,71.58,73.07,75.89,76.39,76.87,78.06,78.22,80.13,80.73,83.07,82.46,83.16,86.59,88.66,90.46,88,89.32,100,100
