Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.007023235,-0.01159387,-0.01514652,-0.005142506,-0.01154445,-0.008902177,-0.007662674,-0.00263297,-0.0007884099,-0.005569186,-0.004038608,-0.005634662,-0.004544386,-0.004586167,-0.002853865,-0.00417198,-0.006944688,-0.005045379,-0.005739577,-0.001635247,-0.000737216,0.002249993,0.003072282,0.003972655,0.000197922,0.007893128,-0.02621031,-0.07865644,0.04438154
Weight,16,1,phi.startTime,NA,0,0.0006746357,-0.007299374,-0.003552976,-0.002176944,3.757957e-05,-0.002064418,-0.001628195,-0.004410106,-0.002190731,-0.000985925,-0.002084901,-0.00169903,-0.001102791,-0.002908696,-0.002217569,-0.0009588725,-0.003052543,-0.002889273,-0.004028386,-0.003715421,-0.006778694,-0.007946184,-0.007484461,0.0001383029,0.0002055802,-0.009676333,0.05397749,-0.04985824
Weight,16,1,phi.endTime,NA,-0.007023235,-0.01091924,-0.02244589,-0.008695482,-0.0137214,-0.008864598,-0.009727092,-0.004261165,-0.005198516,-0.007759917,-0.005024533,-0.007719564,-0.006243416,-0.005688959,-0.005762561,-0.006389549,-0.00790356,-0.008097922,-0.00862885,-0.005663633,-0.004452637,-0.004528702,-0.004873902,-0.003511806,0.0003362249,0.008098709,-0.03588664,-0.02467895,-0.005476699
Weight,16,1,phi.jobOps,NA,0,-0.0007368861,-0.01094727,-0.002241123,0.0001994496,-0.01112104,-0.01846845,0.01376804,0.002447068,-0.0352174,-0.006834973,-0.0008467391,-0.003416004,-0.08797708,-0.000440643,-0.0004349928,-0.006700361,-0.0004063595,-0.0006107617,0.0001616246,-0.002507925,-0.006284847,-0.03184551,-0.001069284,-0.0009007079,-0.0003172612,-0.0188305,-0.01262594,0
Weight,16,1,phi.arrivalTime,NA,0,0.0002035111,-0.00583968,-0.004322146,-0.004538142,-9.274102e-06,-0.001207221,-0.001664911,-0.005358754,-0.00315756,-0.001232343,-0.002352121,-0.001116001,-0.001493164,-0.0006206803,-0.000993641,-5.86959e-05,-0.001683652,-0.002306322,-0.003135204,-0.001628893,-0.004823593,-0.006464677,-0.003574272,9.172763e-05,0.002125203,-0.002758497,0.02523336,-0.06137985
Weight,16,1,phi.totproc,NA,0.002633584,0.003103075,-0.001949484,0.003483535,0.004621922,0.004736185,0.001842904,0.001342031,0.007557931,0.006866051,0.001324498,0.003545804,0.001829916,0.001497338,-0.0006645553,-0.000443721,0.001001274,-0.0004467156,0.000305554,0.0002589439,-0.004758894,-0.00198057,-0.003422421,-0.005222531,0.0004128382,-0.0009270472,0.005846542,-0.02978085,0.02902802
Weight,16,1,phi.wait,NA,0,0.0004711246,-0.001459693,0.0007691704,0.002361198,4.685367e-05,-0.0008571971,3.671539e-05,0.000948648,0.0009668287,0.0002464185,0.0002672191,-0.0005830283,0.0003903725,-0.002288016,-0.001223928,-0.0009001766,-0.00136889,-0.0005829512,-0.0008931823,-0.002086528,-0.001955101,-0.001481507,-0.003910189,4.657525e-05,-0.001919623,-0.006917836,0.02874413,0.01152161
Weight,16,1,phi.mac,NA,-0.01347168,0.0004183804,-0.01327208,-0.001160188,-0.008886844,-0.08541477,-0.08551621,-0.04217309,-0.05425994,-0.06247798,-0.003529079,0.0004653968,0.008176465,0.1026351,-1.453988e-06,0.0003302295,-0.007603168,0.0009607281,0.0008834103,0.002202957,0.01418263,-0.01213854,-0.1505118,-0.0002861787,-0.001523593,0.0003910751,0.01370548,0.001642731,0
Weight,16,1,phi.macOps,NA,0,0.0002678276,0.002794122,-0.0004034327,0.0007414868,-0.005742088,0.01278052,0.01054307,0.02769077,0.0183812,0.002154996,0.0005376963,0.00279825,-0.01034217,4.181162e-05,0.0002097388,0.002854431,0.0003836848,0.000598634,0.000422244,0.000325563,0.0007438634,0.03695752,0.001047145,0.001639186,0.00305169,0.004320596,0.0009921652,0
Weight,16,1,phi.macfree,NA,-0.007023235,-0.01091924,0.01150458,-0.006090324,0.0007114618,-0.005055192,-0.003620506,-0.009507548,-0.008878004,-0.006146122,-0.008973942,-0.004284044,-0.006046401,-0.007155213,-0.003544246,-0.003115829,-0.004841774,-0.001538897,-0.00177027,-0.009658077,-0.003631365,-0.001581441,-0.0002809667,0.009109627,-0.01488665,-0.03115895,-0.1983745,-0.1601451,-0.005476699
Weight,16,1,phi.makespan,NA,-0.007023235,0.008657115,0.008690214,0.004746781,0.007155236,0.001311827,0.00286367,0.001754777,0.002837768,0.00171858,0.00336128,0.005589558,0.002462484,0.001870427,-0.001362168,-0.000646708,0.00310818,0.002837587,0.005647463,0.008442934,-0.01211605,-0.0124593,-0.008987268,-0.02298335,-0.0002467701,0.001847418,-0.02053223,-0.004546241,0.003886547
Weight,16,1,phi.slotReduced,NA,0,-0.0002035111,-0.00349773,0.002615777,-0.003766365,0.0002147424,-0.001389072,0.0007065859,-1.850989e-05,0.0007492367,0.001765552,-0.0001454479,-0.0003907571,-7.768266e-05,-0.0008585808,-0.0009362962,-0.001992,-0.002046379,-0.001752306,-0.003375349,-0.005161178,-0.006707975,-0.005473514,-0.005690786,0.0005812391,0.001100085,0.005664263,0.005971803,0.04985824
