Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.005616069,-0.008787344,-0.01623186,-0.008467084,-0.01048314,-0.001959597,-0.001822148,-0.002797253,-0.01252772,-0.007116009,-0.005294476,-0.00484576,-0.005107181,-0.003819554,-0.002914931,0.00222506,-0.007337038,-0.001813296,-0.00158487,-0.000938508,0.001098711,-0.003016657,-0.004613763,-0.007374654,0.008404164,-0.005400806,-0.05032123,-0.06246957,0.03935555
Weight,16,1,phi.startTime,NA,0,0.001002868,-0.003113028,-0.0050601,-0.004097809,-0.001475927,-0.000763853,-0.0009737202,-0.006388438,-0.003121658,-0.003267339,-0.001697934,-0.002648497,-0.002216486,-0.00185585,-4.880028e-05,-0.003688095,-0.001234269,-0.0003560363,-0.0006194784,-0.0002513436,-0.001640536,-0.0001154971,-0.0001066617,0.01580039,0.00438634,0.001113558,0.01660407,-0.04497385
Weight,16,1,phi.endTime,NA,-0.005616069,-0.007784475,-0.01934489,-0.01352718,-0.01458095,-0.003435525,-0.002586001,-0.003770973,-0.01891615,-0.01023767,-0.008561815,-0.006543694,-0.007755677,-0.006036039,-0.00477078,0.002176259,-0.01102513,-0.003047566,-0.001940907,-0.001557986,0.0008473671,-0.004657193,-0.00472926,-0.007481316,0.02420456,-0.001014466,-0.04920768,-0.0458655,-0.005618302
Weight,16,1,phi.jobOps,NA,0,-0.0005938612,-0.005215425,-0.004984516,-0.001552373,-0.006971904,0.0008319034,0.03813499,0.2181827,0.2092774,0.01767769,0.02207254,0.00694997,-0.007437498,7.336994e-05,0.001541924,-0.0005529401,0.002462761,0.004479872,-3.991374e-05,0.03552303,0.01218799,0.02717782,0.01322179,-0.08724595,-0.0104521,-0.1410136,-0.01787657,0
Weight,16,1,phi.arrivalTime,NA,0,0.0001966468,0.002613938,-0.006750799,-0.002473617,-0.001065521,-0.002083966,-0.00249565,-0.00531017,-0.0032881,-0.001895247,-0.00104279,-0.001922947,-0.001011808,-0.0009971226,-5.377052e-05,-0.001838782,-0.0004642048,-1.048735e-05,-0.0001670644,0.000555671,-0.0008357233,0.0005433403,-0.001805423,0.004344582,0.0001869729,-0.004861671,-0.005219873,-0.1051475
Weight,16,1,phi.totproc,NA,0.00216778,0.002232051,-0.002488882,0.01080186,0.004759367,0.003961599,0.005250762,0.003593294,0.001916621,-0.0002179221,0.000309922,-0.001472098,-0.0007809519,-0.0003961588,0.001169428,0.001956492,0.0002264811,0.001248231,0.001591401,0.0008881416,0.001261418,1.82252e-05,-0.0003566203,0.0004817978,0.001586752,0.0002475608,-0.001132901,-0.004769291,-0.01888959
Weight,16,1,phi.wait,NA,0,0.0008062215,-0.005726966,0.001690698,-0.001624191,-0.0004104067,0.001320113,0.00152193,-0.001078268,0.0001664419,-0.001372092,-0.0006551443,-0.0007255492,-0.001204678,-0.0008587272,4.970239e-06,-0.001849313,-0.0007700647,-0.0003455489,-0.0004524139,-0.0008070145,-0.0008048124,-0.0006588373,0.001698762,0.01145581,0.004199367,0.005975228,0.02182394,0.06017366
Weight,16,1,phi.mac,NA,-0.02873065,-0.0005366988,0.01530363,-0.04664445,-0.002919473,-0.03583184,0.0001578702,-0.008706531,0.0229645,0.005726783,0.01798224,0.01661046,-0.0005094287,0.05067443,-0.0006308619,0.0004013254,-0.002381095,0.01379466,0.05761811,-0.000159036,-0.04701903,0.006079708,0.05515933,0.1033599,0.08287038,0.0431471,-0.1307241,-0.002114905,0
Weight,16,1,phi.macOps,NA,0,0.0005070728,0.0003495777,0.003113809,0.0001897308,0.01203974,0.0006345093,0.006246123,0.08251846,0.3337349,0.01260944,0.008816121,0.005651168,0.1580486,0.0005450769,0.0005346468,0.001314771,-0.001687053,-0.01808061,7.676136e-05,0.0399567,0.01647469,0.07082017,0.140244,1.108335,0.07885751,0.4140582,0.0116377,0
Weight,16,1,phi.macfree,NA,-0.005616069,-0.007784475,0.01317695,0.007991739,0.01218343,-0.007066332,-0.01031571,-0.006912866,0.0124682,-0.0006057678,-0.001476818,0.00200985,0.0004394442,-0.002955818,-0.003985771,-0.01731893,0.002906943,-0.008393874,-0.008249053,-0.01006451,-0.02353586,-0.01471753,-0.01421099,-0.009781696,-0.06113971,-0.04008979,0.03530548,-0.04886838,-0.005559141
