Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28
Weight,16,1,phi.proc,NA,-0.005825754,-0.01073399,-0.004851392,-0.01457278,-0.01097177,-0.01478678,-0.01067102,-0.01065216,-0.01134788,-0.008306511,-0.003836088,-0.0130406,0.001618751,-0.009049594,-0.007573468,-0.005992014,-0.006344638,-0.00500959,-0.001817031,8.261078e-05,0.0145219,0.004185357,-0.07054414,-0.01195289,-0.04855638,0.0005371751,-0.01156527,0.01585627
Weight,16,1,phi.startTime,NA,0,0.003203794,0.006610486,0.001295571,0.001625713,0.000738546,0.001456517,0.0008382099,0.000896084,0.0009269837,-0.0004206367,0.002884105,-0.003619066,4.143112e-05,-0.001486064,-0.00174186,-2.911231e-05,-0.003067781,-0.004834185,-0.00293385,-0.0099722,-0.005130058,-0.001445395,0.0026773,0.01376346,-0.0060063,0.004554547,-0.009420188
Weight,16,1,phi.endTime,NA,-0.005825754,-0.0075302,0.001759094,-0.01327721,-0.009346054,-0.01404823,-0.0092145,-0.009813945,-0.0104518,-0.007379527,-0.004256725,-0.0101565,-0.002000315,-0.009008162,-0.009059531,-0.007733874,-0.00637375,-0.008077371,-0.006651216,-0.002851239,0.004549696,-0.0009447012,-0.07198953,-0.009275586,-0.03479292,-0.005469125,-0.007010722,0.006436086
Weight,16,1,phi.jobOps,NA,0,-9.311875e-06,-0.000721059,0.0003546817,7.820845e-06,-0.0001503695,-6.149157e-05,-0.0003577721,-0.0001307318,-0.0001632424,-0.0002269718,2.612493e-05,-0.000160106,0.0001529679,-0.0002851531,0.000282075,-0.001815966,-0.000963885,0.004242506,0.0009564818,-0.01240058,-0.001272078,-0.004429454,0.004306929,-0.003829872,-0.001256221,-0.0006299034,-0.0002823329
Weight,16,1,phi.arrivalTime,NA,0,0.001564388,0.001980652,-0.001792027,0.0005487691,-0.0004893229,-0.0002437,0.0006242729,-0.0003782395,0.001761941,0.001008276,0.001693024,-6.010742e-05,0.002008326,-8.697541e-06,-0.002512066,-0.001291063,0.00010443,-0.0003329144,-0.007429261,-0.01034607,-0.006002867,0.02007939,5.917335e-05,0.009304425,0.01751064,-0.005931951,-0.01679669
Weight,16,1,phi.totproc,NA,0.002074498,0.003574661,0.001880864,0.002859515,-0.0006865569,-0.0004138948,-0.0004410524,7.668336e-05,0.0008173467,-0.0007034528,-0.00437308,-0.0007970152,-0.003119289,0.0005542809,0.00160766,0.001456846,-0.001174197,0.0009308385,0.001211995,-0.001655994,-0.004399793,0.002268439,-0.2024504,-0.02006843,0.01680966,0.04480646,0.02754042,0.005659565
Weight,16,1,phi.wait,NA,0,0.001639406,0.004629833,0.003087598,0.001076944,0.001227869,0.001700217,0.000213937,0.001274323,-0.0008349569,-0.001428913,0.001191081,-0.003558959,-0.001966894,-0.001477366,0.0007702064,0.001261951,-0.003172211,-0.004501271,0.004495411,0.0003738673,0.0008728083,-0.02152479,0.002618127,0.004459035,-0.02351694,0.0104865,0.007376504
Weight,16,1,phi.mac,NA,-0.0492164,0.0002588088,0.0006473512,-0.0009268352,-4.265451e-05,-0.000298647,-0.0009037669,0.002147951,-0.0107019,-0.003437359,0.0005565049,0.008271539,-0.0005028073,-0.0008872501,0.001872505,0.003598668,0.008002429,0.00662964,0.05801594,0.001789276,0.05457467,0.002210606,-0.1020932,-0.005996309,-0.01074852,-0.008336042,-8.584731e-05,3.587507e-05
Weight,16,1,phi.macOps,NA,0,-4.788059e-05,-0.0008722307,-0.0003133243,-0.0001155117,-0.0001099036,0.0001840591,0.0004252982,0.001012007,0.0003801948,-0.0005898505,-0.003587743,-0.0003667333,-0.001763188,-0.0003866338,-0.000122887,0.0009049919,0.001798593,-0.005187909,0.0003886132,0.003025868,-0.002566118,0.01317682,0.003865577,0.004930928,0.001492642,0.0001232809,3.587507e-05
Weight,16,1,phi.macfree,NA,-0.005825754,-0.0075302,-0.02751916,0.0005192222,-0.00270294,0.0007217188,-0.004800398,-0.003222728,-0.004643933,-0.004492942,-0.009414126,-0.004722606,-0.008096757,-0.002208926,0.0009589454,-0.0003504586,-0.005345096,0.0116017,0.0020407,-0.00509094,0.004483309,-0.001826725,0.1649095,-0.009516605,0.04547888,0.009704636,-0.006659412,0.0112654
