Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29,Step.30,Step.31,Step.32,Step.33,Step.34,Step.35,Step.36,Step.37,Step.38,Step.39,Step.40,Step.41,Step.42,Step.43,Step.44,Step.45,Step.46,Step.47,Step.48,Step.49,Step.50,Step.51,Step.52,Step.53,Step.54,Step.55,Step.56,Step.57,Step.58,Step.59,Step.60,Step.61,Step.62,Step.63,Step.64,Step.65,Step.66,Step.67,Step.68,Step.69,Step.70,Step.71,Step.72,Step.73,Step.74,Step.75,Step.76,Step.77,Step.78,Step.79,Step.80,Step.81,Step.82,Step.83,Step.84,Step.85,Step.86,Step.87,Step.88,Step.89,Step.90,Step.91,Step.92,Step.93,Step.94,Step.95,Step.96,Step.97,Step.98
Weight,16,1,phi.proc,NA,-0.009230976,-0.03854306,-0.02715333,-0.0267304,-0.0306084,-0.02563685,-0.01265182,-0.01482533,-0.01894305,-0.009339122,-0.01449849,-0.008438112,-0.005692702,0.00333643,0.001429209,0.003232636,0.005885023,0.007632417,0.02194968,0.02823953,0.02111743,0.01524077,0.01965577,0.01881694,0.01715286,0.01264019,0.002210042,0.008078917,0.007151727,0.01992429,0.01515255,0.006760776,0.006641971,0.01243822,0.0101564,0.003026498,0.006999828,0.004721439,0.02083137,0.01206373,0.008183353,0.008475171,0.00695732,-0.003656664,-0.001427149,0.007190387,0.001451436,0.001402621,0.02050722,0.00749756,0.02267943,0.004351031,0.00392018,0.01124,0.01661077,0.01668869,0.02263019,0.02635663,0.0266904,0.01930873,0.01266715,0.02884313,0.03130767,0.03996317,0.02901171,0.006894503,0.008000725,0.01968267,0.01605982,0.01242407,0.004425095,0.009548607,0.01368832,0.01046986,0.002268465,-0.002689433,-0.01179287,0.003012177,0.005660656,0.005998165,-0.001174139,0.007108851,0.008331332,-0.0004094295,0.01844652,5.403998e-05,-0.0009792259,0.01329107,0.02629197,-0.01798134,-0.02618644,-0.02865692,-0.02232052,-0.01426871,0.04741551,-0.03240961,-0.01425815,-1.339541e-05,0
Weight,16,1,phi.startTime,NA,0,0.0191451,0.008334247,0.004875491,0.01595036,0.01759298,0.01569483,0.009593899,0.007834378,0.006765603,0.01191079,0.01508688,0.01504115,0.007423389,0.007419717,0.007346418,0.006940461,-0.0003680907,0.0003478227,-0.0001654235,-0.002288624,-0.01212343,-0.005336752,-0.001045309,0.001060869,0.006567804,0.008219695,0.01186184,0.01029887,0.01214679,0.0142418,0.01220608,0.0127033,0.01220047,0.004877602,0.007425215,0.004541095,0.007583969,0.01416025,0.008120556,0.008216646,0.006856719,0.007238002,0.007719394,0.01231322,0.0195198,0.0147744,0.01375616,0.008212494,0.007298616,0.003193655,0.008103867,0.004004388,0.006257522,0.007913024,0.00513382,0.00136697,-4.701571e-05,-0.002327711,0.002335168,0.006671381,-0.003757416,0.0001177244,-0.003333727,0.004940534,0.01056594,0.009551087,0.004726418,0.007462721,0.003257113,0.006097613,0.008443306,0.0005128092,0.006413821,0.01136003,0.01621601,0.008366132,0.01498494,0.01081106,0.0008249393,0.01222648,0.008789868,0.01001253,0.01755324,0.005229509,0.008661859,0.01365821,0.01071188,0.00867496,0.02018151,0.02965786,0.02429315,0.02211424,0.0307608,0.08457185,0.1690447,0.01472444,-0.01463048,0
Weight,16,1,phi.endTime,NA,-0.009230976,-0.01939796,-0.01881908,-0.02185491,-0.01465804,-0.008043874,0.003043002,-0.005231429,-0.01110868,-0.002573518,-0.002587707,0.006648772,0.009348451,0.01075982,0.008848925,0.01057905,0.01282548,0.007264327,0.0222975,0.02807411,0.0188288,0.00311734,0.01431901,0.01777163,0.01821372,0.01920799,0.01042974,0.01994076,0.0174506,0.03207108,0.02939434,0.01896685,0.01934527,0.02463869,0.015034,0.01045171,0.01154092,0.01230541,0.03499162,0.02018428,0.0164,0.01533189,0.01419532,0.00406273,0.01088607,0.02671019,0.01622584,0.01515879,0.02871971,0.01479618,0.02587309,0.0124549,0.007924569,0.01749752,0.0245238,0.02182251,0.02399716,0.02630961,0.02436269,0.0216439,0.01933853,0.02508572,0.03142539,0.03662945,0.03395225,0.01746044,0.01755181,0.02440909,0.02352254,0.01568118,0.01052271,0.01799191,0.01420113,0.01688368,0.0136285,0.01352657,-0.003426741,0.01799711,0.01647171,0.006823104,0.01105234,0.01589872,0.01834386,0.01714381,0.02367603,0.008715899,0.01267898,0.02400295,0.03496693,0.002200166,0.003471421,-0.004363774,-0.0002062813,0.01649209,0.1319874,0.1366351,0.0004662894,-0.01464388,0
Weight,16,1,phi.arrival,NA,0,0.00561833,0.006482887,0.00661621,0.01015521,0.01529984,0.00496816,0.00169133,0.004400825,0.002743615,0.006640036,0.006911348,0.006881342,0.004456974,0.004548393,0.004118542,0.004335926,0.0009864033,-0.0003183387,0.0001561133,-0.0005816792,-0.004831642,-0.001306941,0.001022695,0.002081195,0.00558807,0.004602789,0.006054576,0.004459389,0.004828548,0.006681931,0.005908177,0.007020845,0.00580194,0.002525312,0.00383973,0.003084165,0.004855896,0.00923563,0.005551801,0.005931216,0.004282471,0.003999954,0.003807738,0.006059414,0.009482793,0.007233379,0.007847158,0.004501256,0.003628899,0.002294245,0.004213459,0.001769335,0.003632372,0.00448279,0.002273337,0.00146495,0.0009661427,-0.0005929443,0.0002574324,0.002995077,-0.001852362,0.001871785,0.0005948911,0.004021417,0.007188651,0.00616505,0.002695284,0.005079251,0.002956282,0.004597508,0.006296543,0.002411697,0.005180495,0.008206395,0.009465059,0.005217294,0.008321375,0.006220905,0.001400097,0.006854627,0.004450886,0.005856314,0.009812299,0.003914043,0.005058515,0.007608803,0.005104278,0.004162031,0.01023136,0.01698318,0.01380621,0.0117895,0.01944529,0.02082345,0.07112858,0.01111667,-0.01635359,0
Weight,16,1,phi.wait,NA,0,0.01352677,0.001851359,-0.001740719,0.005795152,0.002293144,0.01072667,0.007902569,0.003433552,0.004021988,0.005270751,0.008175536,0.008159811,0.002966415,0.002871323,0.003227876,0.002604536,-0.001354494,0.0006661614,-0.0003215368,-0.001706944,-0.007291785,-0.004029812,-0.002068004,-0.001020326,0.0009797336,0.003616906,0.005807269,0.00583948,0.007318241,0.007559865,0.006297899,0.005682454,0.006398529,0.00235229,0.003585485,0.00145693,0.002728073,0.004924623,0.002568756,0.00228543,0.002574248,0.003238048,0.003911656,0.006253803,0.01003701,0.007541024,0.005909007,0.003711238,0.003669717,0.0008994092,0.003890409,0.002235053,0.00262515,0.003430234,0.002860483,-9.797991e-05,-0.001013158,-0.001734767,0.002077735,0.003676304,-0.001905055,-0.001754061,-0.003928618,0.0009191172,0.003377288,0.003386037,0.002031134,0.002383469,0.0003008311,0.001500105,0.002146763,-0.001898888,0.001233326,0.003153639,0.006750946,0.003148838,0.006663561,0.00459015,-0.0005751581,0.005371855,0.004338982,0.004156218,0.007740937,0.001315466,0.003603344,0.006049407,0.005607603,0.004512929,0.009950149,0.01267468,0.01048694,0.01032474,0.01131551,0.06374841,0.09791612,0.003607765,0.001723106,0
Weight,16,1,phi.macFree,NA,-0.009230976,-0.01939796,-0.01881908,-0.02185491,-0.01465804,-0.008043874,0.003043002,-0.005231429,-0.01110868,-0.002573518,-0.002587707,0.006648772,0.009348451,0.01075982,0.008848925,0.01057905,0.01282548,0.007264327,0.0222975,0.02807411,0.0188288,0.00311734,0.01431901,0.01777163,0.01821372,0.01920799,0.01042974,0.01994076,0.0174506,0.03207108,0.02939434,0.01896685,0.01934527,0.02463869,0.015034,0.01045171,0.01154092,0.01230541,0.03499162,0.02018428,0.0164,0.01533189,0.01419532,0.00406273,0.01088607,0.02671019,0.01622584,0.01515879,0.02871971,0.01479618,0.02587309,0.0124549,0.007924569,0.01749752,0.0245238,0.02182251,0.02399716,0.02630961,0.02436269,0.0216439,0.01933853,0.02508572,0.03142539,0.03662945,0.03395225,0.01746044,0.01755181,0.02440909,0.02352254,0.01568118,0.01052271,0.01799191,0.01420113,0.01688368,0.0136285,0.01352657,-0.003426741,0.01799711,0.01647171,0.006823104,0.01105234,0.01589872,0.01834386,0.01714381,0.02367603,0.008715899,0.01267898,0.02400295,0.03496693,0.002200166,0.003471421,-0.004363774,-0.0002062813,0.01649209,0.1319874,0.1366351,0.0004662894,-0.01464388,0
Weight,16,1,phi.makespan,NA,-0.009230976,-0.005044063,0.01859506,0.03214529,-0.01030134,-0.02685217,-0.0417291,-0.02107893,-0.002375536,-0.01691914,-0.02643253,-0.05331331,-0.06194189,-0.05055026,-0.04682159,-0.05226183,-0.05347556,-0.02422593,-0.06082428,-0.07512056,-0.05615295,0.0004914913,-0.0346291,-0.04878424,-0.0562985,-0.06563624,-0.05414347,-0.07631452,-0.0674426,-0.1026076,-0.1041925,-0.07475653,-0.07676369,-0.08461482,-0.04806444,-0.03791059,-0.03967582,-0.04770448,-0.1100307,-0.07085147,-0.06126499,-0.06042689,-0.05711188,-0.03490129,-0.05499019,-0.1026648,-0.07494528,-0.06957797,-0.08803177,-0.05643141,-0.06955419,-0.05254946,-0.03584198,-0.06173586,-0.07895869,-0.0638556,-0.06355421,-0.06317643,-0.05669938,-0.05890123,-0.05734111,-0.05310912,-0.07449425,-0.08416858,-0.1016668,-0.07081262,-0.06603396,-0.06907962,-0.07325607,-0.0495338,-0.04493902,-0.06271311,-0.04514261,-0.06060241,-0.06458964,-0.07193982,-0.02116298,-0.07603951,-0.06614153,-0.02499413,-0.05352909,-0.06456565,-0.06737832,-0.07553584,-0.06756328,-0.03733886,-0.05973922,-0.07738406,-0.09988575,-0.05122761,-0.06779656,-0.02947721,-0.03368445,-0.08391617,-0.3883872,-0.5450144,-0.07115569,-0.01369712,0
Weight,16,1,phi.reducedSlack,NA,0,-0.00561833,-0.0003549202,0.001581383,-0.002435547,-0.002515875,0.01922007,0.007642489,0.002797551,0.003009991,0.00420252,0.003760152,0.0004282294,-0.0007847212,-0.0007434492,-0.0003828225,-0.0002578183,0.0002733292,-0.0003041201,9.438876e-05,0.001309206,-7.157604e-05,-5.781458e-05,0.001190591,0.0005861084,0.001230229,0.0005315464,0.0003803947,-0.0002478061,-0.0003002166,0.0008783327,0.0005432841,-0.0009735878,-0.0008112004,-7.939172e-05,-0.0002190268,-0.0004107832,0.0008656707,0.0009493571,-0.0001407542,-0.0003218992,-0.001422803,0.0001623793,0.0002202318,0.0003759973,0.0009623996,0.001054989,0.0006862339,0.0006737479,-0.0003002345,-8.589078e-05,0.0003823224,0.0002238428,0.0003384889,0.000727563,0.0003609328,0.001162097,0.001184546,0.0007584295,-0.0002151683,0.0002343997,0.0008072657,0.002551061,0.001830926,0.001189682,0.001090075,0.00019188,0.0003545623,0.001333392,0.0009381996,0.001164172,0.00192528,0.001952145,0.000793849,0.001400221,0.0006723287,7.996699e-05,0.000318426,0.0004925788,0.0004745802,0.0006188499,0.0005142237,0.0005934876,0.00137976,0.001132076,0.001135125,0.001250017,0.001681871,0.00210037,0.001964654,0.002660533,0.003003874,0.001156725,0.006165736,-0.0003562068,0.01574514,0.01046297,0.03439375,0
Weight,16,1,phi.macSlack,NA,0,0.00561833,0.0003549202,-0.001581383,0.002435547,0.002515875,0.03431607,0.01807559,0.008131721,0.01042675,0.0122493,0.01506262,0.01012593,0.008251328,0.007151584,0.01010809,0.005417931,0.003230021,0.006581632,0.006492864,0.005682405,0.0009862827,0.004979489,0.007504323,0.008359776,0.008243151,0.009426811,0.009812725,0.004011451,0.006519022,0.008894677,0.005256885,0.003168569,0.003903595,0.001797992,0.003193583,0.002382105,0.002292884,0.005039009,0.003732732,0.00256437,0.002653273,0.003200695,0.002423313,0.001303653,0.00501719,0.005051171,0.003573824,0.00283998,0.002540841,0.001189193,0.002402407,-0.0001043148,0.0007467805,0.002708897,0.001540486,0.0008503356,-0.002417202,-0.002230722,-0.0005720947,-0.002632289,-0.004641506,-0.001568926,-0.001628598,0.0009513487,0.002330963,0.001325655,0.001045613,0.002385759,-0.0009600718,-0.0007619933,-0.0005098453,-0.0008277304,0.001412133,0.0028725,0.002399113,-0.001081342,0.0001546257,-0.0001129869,-0.003036793,0.001399301,0.002285057,0.003480197,0.002908422,-0.0006022778,-0.001804414,-0.001148963,-0.002315143,-0.01198662,-0.01473646,-0.02196305,-0.0380633,-0.03944234,-0.04285435,-0.0835602,-0.09739631,-0.09841932,-0.0345697,0
Weight,16,1,phi.allSlack,NA,0,0.00561833,0.0003549202,-0.001581383,0.002435547,0.002515875,-0.01922007,-0.007642489,-0.002797551,-0.003009991,-0.00420252,-0.003760152,-0.0004282294,0.0007847212,0.0007434492,0.0003828225,0.0002578183,-0.0002733292,0.0003041201,-9.438876e-05,-0.001309206,7.157604e-05,5.781458e-05,-0.001190591,-0.0005861084,-0.001230229,-0.0005315464,-0.0003803947,0.0002478061,0.0003002166,-0.0008783327,-0.0005432841,0.0009735878,0.0008112004,7.939172e-05,0.0002190268,0.0004107832,-0.0008656707,-0.0009493571,0.0001407542,0.0003218992,0.001422803,-0.0001623793,-0.0002202318,-0.0003759973,-0.0009623996,-0.001054989,-0.0006862339,-0.0006737479,0.0003002345,8.589078e-05,-0.0003823224,-0.0002238428,-0.0003384889,-0.000727563,-0.0003609328,-0.001162097,-0.001184546,-0.0007584295,0.0002151683,-0.0002343997,-0.0008072657,-0.002551061,-0.001830926,-0.001189682,-0.001090075,-0.00019188,-0.0003545623,-0.001333392,-0.0009381996,-0.001164172,-0.00192528,-0.001952145,-0.000793849,-0.001400221,-0.0006723287,-7.996699e-05,-0.000318426,-0.0004925788,-0.0004745802,-0.0006188499,-0.0005142237,-0.0005934876,-0.00137976,-0.001132076,-0.001135125,-0.001250017,-0.001681871,-0.00210037,-0.001964654,-0.002660533,-0.003003874,-0.001156725,-0.006165736,0.0003562068,-0.01574514,-0.01046297,-0.03439375,0
