Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.02119322,-0.04001431,-0.02902651,-0.03212843,-0.00755959,-0.003000788,-0.02028039,-0.01297944,-0.02279489,-0.01247565,-0.01907111,-0.01184441,-0.0322441,-0.01093415,-0.06060451,-0.01998688,-0.02968509,-0.009347253,-0.002040898,-0.02594265,-0.01443482,-0.01470836,-0.02161341,-0.01605861,0.01729119,0.01412685,0.03606611,-0.01302815,-0.05412637
Weight,16,1,phi.startTime,NA,0,0.04829963,0.01445808,0.01273852,-0.005745806,-0.003418663,0.00989213,0.008936429,0.009183451,-0.001333745,0.004493912,0.0003118573,0.007407739,-0.0009112345,0.01830402,0.006004617,0.01033497,-0.008099895,-0.00833463,0.002814573,-0.01076724,-0.005798762,0.003650506,-0.004691297,-0.01600567,-0.003111159,-0.01541279,0.04818069,-0.1113863
Weight,16,1,phi.endTime,NA,-0.02119322,0.008285315,-0.01456843,-0.01938991,-0.0133054,-0.006419451,-0.01038826,-0.004043015,-0.01361144,-0.0138094,-0.0145772,-0.01153255,-0.02483636,-0.01184538,-0.04230049,-0.01398227,-0.01935012,-0.01744715,-0.01037553,-0.02312808,-0.02520205,-0.02050712,-0.0179629,-0.02074991,0.001285529,0.01101569,0.02065332,0.03515254,-0.1655126
Weight,16,1,phi.jobOps,NA,0,-0.00144713,-0.002163312,-6.446076e-05,-0.0005851156,-0.0004219036,0,-0.001118111,-0.0006190791,0.0001148297,8.723685e-05,0.0005166645,0,0.0002412361,0.001848875,-0.0001903397,-0.0002279037,-0.0001860952,0,0.0008287787,0.0003346748,-0.0001614196,-0.000763293,-0.0008666384,0,0,0,0,0
Weight,16,1,phi.arrivalTime,NA,0,0.009098123,0.009812696,0.005423896,-0.0003949256,-0.001615507,0.002085929,0.003356062,0.001796154,-0.0022869,0.001350361,-0.0005529374,0.0005771726,-0.005647198,0.006089991,0.001082793,0.002158068,-0.00734299,-0.00757101,0.0002583948,-0.007578875,-0.006426703,-0.001900524,-0.009895864,-0.1548175,-0.04556449,-0.05730988,-0.1320453,-0.2536286
Weight,16,1,phi.totproc,NA,0.01779785,0.01764293,0.00904285,0.002549194,-0.003874674,-0.006433885,0.03353315,0.008619544,-0.004815677,-0.006295765,-0.004879081,0.004510435,-0.0218055,-0.01120514,0.01006264,0.004809736,-0.001562482,-0.003889069,-0.01110029,0.0180045,0.007173466,0.01058042,0.01466658,-0.01339904,-0.04631768,-0.05604898,0.0009472069,-0.005769409,0.2089328
Weight,16,1,phi.wait,NA,0,0.03920151,0.004645388,0.007314627,-0.00535088,-0.001803156,0.0078062,0.005580367,0.007387297,0.0009531543,0.003143551,0.0008647947,0.006830566,0.004735964,0.01221402,0.004921824,0.008176902,-0.0007569049,-0.0007636199,0.002556178,-0.00318836,0.000627941,0.00555103,0.005204567,0.1388119,0.04245334,0.04189709,0.180226,0.1422424
Weight,16,1,phi.mac,NA,-0.04773465,-0.02651304,-0.01542904,-0.003802285,-0.004748929,-0.002303259,-0.02257789,-0.02116756,-0.05561604,-0.01086544,-0.02590671,-0.009430076,0.002932926,-0.003447162,-0.02732522,-0.005522005,-0.005324084,0.003326272,0.0009893199,-0.00323677,0.002475015,-0.0005323468,-0.0009707748,0.0001938872,-0.00248069,-0.001150341,-8.527457e-05,-0.003500554,0
Weight,16,1,phi.macOps,NA,0,0.000596085,-0.00034818,-0.0004331254,-9.512368e-06,0.0001242417,0.002156159,0.00201369,0.002693879,0.0003151896,0.002267184,0.0003684706,-0.0005505259,0.0002103458,0.001247631,0.000292288,0.0006479751,0.000122577,-0.002037229,0.0005866267,0.001288358,0.001224748,0.001275096,0.0004782962,-0.001388282,0.0003361184,0.001605977,0.004630047,0
Weight,16,1,phi.macfree,NA,-0.02119322,0.008285315,-0.01456843,-0.01938991,-0.0133054,-0.006419451,-0.01038826,-0.01470133,-0.01651014,0.001208794,-0.006003416,-0.006237202,-0.0163073,-2.058622e-05,0.01443521,-0.01552956,-0.01343512,0.002717033,-0.03583609,-0.02411716,-0.0001836089,-0.007012883,-0.01821051,-0.001115482,0.007868381,-0.02861822,0.04272524,0.06061609,-0.1490194
Weight,16,1,phi.makespan,NA,-0.02119322,-0.1149505,-0.0021451,0.008538397,0.01086285,0.004266997,0.005169977,-0.001043298,0.007663799,0.01419293,0.008638033,0.01486139,0.01537575,0.008772741,0.002817236,-0.001440039,-0.0002035756,0.003828704,0.01042336,0.0112213,0.009247731,0.007890942,-0.006013668,0.003581359,0.0295063,0.03103431,0.01196253,-0.2133445,-0.1143492
Weight,16,1,phi.slotReduced,NA,0,-0.009098123,4.299228e-05,-8.491228e-05,-0.003928904,0.0001668405,0.002088196,-0.0009066083,-0.0007779615,-0.0009793438,-4.317791e-07,0.0002762083,0.0007950538,8.100972e-05,-0.001243933,-0.0002043145,-0.0009226402,-0.0005821541,-0.002162582,-0.00284148,-0.003442882,-0.0033459,-0.003745641,-0.004835885,-0.005666018,-0.007902523,-0.01268031,-0.03563919,0.09489303
Weight,16,1,phi.slots,NA,0,0.009098123,-4.299228e-05,8.491228e-05,0.003928904,-0.0001668405,-0.002088196,-0.008837507,-0.005069401,-0.007627097,-0.006602883,-0.009800622,0.005384819,-0.003723911,-0.0166817,0.004645657,0.000398983,0.007514028,0.02859059,0.005400313,0.007533302,0.00232829,0.006727264,-0.003806366,0.09671921,-0.007930053,-0.06309446,-0.1367647,-0.09489303
Weight,16,1,phi.slotsTotal,NA,0,0.009098123,-4.299228e-05,8.491228e-05,0.003928904,-0.0001668405,-0.002088196,0.0009066083,0.0007779615,0.0009793438,4.317791e-07,-0.0002762083,-0.0007950538,-8.100972e-05,0.001243933,0.0002043145,0.0009226402,0.0005821541,0.002162582,0.00284148,0.003442882,0.0033459,0.003745641,0.004835885,0.005666018,0.007902523,0.01268031,0.03563919,-0.09489303
Weight,16,1,phi.wrmMac,NA,0.02260397,0.008642439,0.003338445,0.003755606,-0.01404729,-0.002065426,0.002945975,0.004727359,0.001416446,0.001484746,-0.0002936185,0.0010692,-0.01477132,-0.005650649,0.00483652,-0.0172197,-0.01808512,-0.02881498,-0.0557957,-0.03604002,-0.04271052,-0.03690591,-0.04878585,-0.04775223,-0.1717895,-0.08270324,-0.1149157,-0.2338702,0
Weight,16,1,phi.wrmJob,NA,0.01779785,0.008544804,0.01365891,0.00520828,0.0116374,0.01371135,-0.01808364,0.002048869,-0.002370592,0.005427958,0.003070305,0.003388104,0.05099805,0.0004554086,0.008064008,0.008592603,0.007429472,0.01369388,0.05196764,0.008477636,0.01351593,0.01728262,0.01830229,0.02576536,0.01729119,0.01412685,0.03606611,-0.01302815,-0.05412637
Training.Accuracy,16,1,NA,76.52,55.6,62.46,64.51,67.26,64.97,65.16,65,65.83,67.67,67.05,68.13,69.26,72.33,72.02,73.31,76.13,76.98,79.32,81.92,82.29,84.57,84.84,86.75,88.56,92.88,93.25,94.95,96.15,100
Validation.Accuracy,16,1,NA,76,50,60.6,66.22,68.72,65.78,67.89,65.41,68.14,65.06,65.22,63.54,67.64,68.04,74.23,78.69,78.62,76.25,75.49,80.15,79.52,81.22,82.97,84.78,88.49,93.05,90.91,92.75,95.24,100
