Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.01359492,-0.01366718,0.003040901,-0.01819827,-0.007811033,-0.01685974,-0.02590208,-0.01643612,-0.02085978,-0.01472497,-0.02201059,-0.01517719,-0.0022449,0.001034833,0.03727173,0.03586347,0.01327174,-0.00123843,0.004003049,0.01672332,0.03191688,-0.01695586,-0.007436226,-0.02941291,0.05704826,0.03916719,0.03914127,-0.0405418,-0.004881198
Weight,16,1,phi.startTime,NA,0,0.0166316,-0.0001108181,0.007915778,0.0020354,0.002559359,0.004889979,0.002400212,0.002888122,0.001176504,0.005505794,0.003412559,-0.001758392,-0.003380655,-0.01731113,-0.01649708,-0.007013122,-0.003052021,-0.007300377,-0.0130441,-0.01828177,0.001409323,-0.0003439965,0.004774962,-0.04242869,-0.03971993,-0.1590496,-0.0007646058,-0.03572214
Weight,16,1,phi.endTime,NA,-0.01359492,0.002964415,0.002930083,-0.01028249,-0.005775633,-0.01430038,-0.0210121,-0.01403591,-0.01797166,-0.01354847,-0.01650479,-0.01176463,-0.004003292,-0.002345822,0.0199606,0.01936639,0.006258619,-0.004290451,-0.003297328,0.003679217,0.0136351,-0.01554654,-0.007780222,-0.02463794,0.01461957,-0.0005527375,-0.1199083,-0.0413064,-0.04060334
Weight,16,1,phi.jobOps,NA,0,-0.002456692,0.0008894358,-0.000373427,-0.0009102772,-0.0001721774,0.0008686607,0.0004374864,-8.362738e-05,-0.0001139155,0.0005328365,0.0002235649,0.0004291506,0.0003667855,0.001417531,0.001660994,0.0002809694,-1.756334e-05,-0.00014626,0.0007406387,0.0006109591,-0.0005637459,-0.0005745386,0.0001703124,0.00103161,0.0008099364,-0.004224836,-0.006108984,0
Weight,16,1,phi.arrivalTime,NA,0,0.004576624,-0.009309473,0.002069862,-0.0005944547,0.0002308948,0.001917597,0.002809637,0.001022655,-0.001877795,0.0001746888,-0.0004450849,-0.002974098,-0.001910031,-0.008940759,-0.008176784,-0.003813988,-0.00088592,-0.003582924,-0.007596373,-0.01007235,-0.0003908,-0.001794202,0.0005679837,-0.02714706,-0.02241612,-0.1008084,-0.02722181,-0.1417485
Weight,16,1,phi.totproc,NA,0.01152278,0.01103469,0.02270511,0.0001443215,0.008074784,0.0004958283,0.01795742,0.01182074,0.01885624,0.0101308,0.01598921,0.007983158,0.012133,-0.0007083517,0.002459091,-0.003765512,-0.002963509,0.01776756,0.004610362,0.003334794,-0.005455742,0.005067667,-0.003722262,0.02559114,0.06560909,0.2280144,0.3917939,0.01639986,-0.1320338
Weight,16,1,phi.wait,NA,0,0.01205497,0.009198655,0.005845916,0.002629855,0.002328464,0.002972382,-0.0004094252,0.001865468,0.003054299,0.005331105,0.003857644,0.001215706,-0.001470624,-0.008370371,-0.008320294,-0.003199134,-0.002166101,-0.003717453,-0.005447731,-0.008209423,0.001800123,0.001450206,0.004206978,-0.01528164,-0.0173038,-0.05824114,0.0264572,0.1060264
Weight,16,1,phi.mac,NA,-0.03820727,-0.0619483,-0.07515455,-0.02015653,-0.01213203,-0.01130777,-0.01859816,-0.004212577,0.01008937,0.005548285,0.02044677,0.004251201,0.0006885308,0.006818576,-0.004447423,0.001549117,-3.794601e-05,0.00142634,0.0008283952,0.001588527,-0.003123019,-0.007174182,-0.01709391,-0.05016286,-0.03739923,0.01733405,0.09924611,0.0002043312,0
Weight,16,1,phi.macOps,NA,0,0.002461625,-0.002604504,-0.0004055263,0.0008385365,3.894926e-05,0.001030455,2.373562e-05,-0.0002149661,-0.0001745713,0.0002706757,1.024307e-05,-0.0001827564,-0.0003896119,-0.001126158,-0.0005363523,0.0006579733,0.0001968959,0.0002012116,-0.0003844685,-0.002045194,-1.710567e-05,-6.061217e-06,-0.001638335,0.001756387,0.005457006,0.009344963,0.0009892544,0
Weight,16,1,phi.macfree,NA,-0.01359492,0.002964415,-0.02894059,-0.02796055,-0.02967141,-0.0160503,0.00218103,-0.0261491,-0.0246066,-0.01874651,-0.02124126,-0.02513201,-0.007984762,-0.005569038,-0.02327265,-0.02520869,-0.006404556,-0.01319561,-0.001138892,-0.01063866,-0.04137698,0.001257463,0.005600664,0.01433857,0.06930277,-0.02585572,0.1887789,-0.0413064,-0.04060334
