Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.01858133,-0.01618876,-0.00573987,-0.008604316,0.003980424,0.002336149,0.003814851,-0.004183484,-0.01455826,-0.01307644,-0.007887193,-0.01233707,-0.001211416,-0.004350315,-0.006234827,-0.006701249,-0.005604809,-0.003050302,-0.004620036,0.008184906,-0.01402357,-0.01442835,-0.008359993,-0.01482945,-0.01198572,-0.01288905,-0.007917073,-0.1491521,0.2054016
Weight,16,1,phi.startTime,NA,0,0.01297569,0.001388148,-0.002192199,-0.001532091,-0.002121208,-0.005193835,-0.001100051,0.001203061,0.002248828,0.001978356,0.002490921,-0.001294112,-0.0003408618,0.001526342,0.002694444,0.0003957491,5.591871e-07,0.0009241761,-0.005365176,0.002369736,0.005970606,0.002315054,0.005132058,0.004369591,0.006115416,-0.002135344,-0.02524727,-0.2546959
Weight,16,1,phi.endTime,NA,-0.01858133,-0.003213073,-0.004351722,-0.01079651,0.002448333,0.000214941,-0.001378985,-0.005283535,-0.0133552,-0.01082761,-0.005908836,-0.00984615,-0.002505529,-0.004691177,-0.004708484,-0.004006805,-0.00520906,-0.003049743,-0.00369586,0.00281973,-0.01165384,-0.00845774,-0.006044939,-0.00969739,-0.007616132,-0.00677363,-0.01005242,-0.1743994,-0.04929427
Weight,16,1,phi.jobOps,NA,0,-0.002346846,-0.002374269,-0.0008415375,0.0009988918,-9.892768e-05,-0.002221634,-0.0008196393,0.0001623756,0.0001863042,0.0001095463,0.0001093392,0.001070541,0.001023285,0.0002567011,0.0002891655,6.826498e-05,0.0009884079,0.0006844556,0.002016962,-0.0001247161,0.0001846475,0.000168162,-0.0002323326,0.001173446,0.0001534651,-0.0003804547,-0.009151323,0
Weight,16,1,phi.arrivalTime,NA,0,0.004388147,0.005964669,0.0009667512,-0.002198879,-0.003015078,-0.002787552,-0.00215547,-0.0007575763,0.0002012608,-0.0005519168,0.0001664867,-0.00213129,-0.001037672,-0.0006196518,-0.0004414325,-0.001841261,-0.001151826,-0.00179963,-0.0049067,-0.001644579,0.0005236941,-0.00129409,0.000301401,-0.0009935107,-0.002597575,-0.01242569,-0.05529927,-0.1244137
Weight,16,1,phi.totproc,NA,0.01372358,0.01401345,0.007754315,0.006885561,0.01115556,0.005731244,-0.0008030827,0.009762467,0.01512739,0.0110124,0.008773315,0.01151851,0.01198245,0.0114392,0.005279112,0.009153168,4.879687e-05,0.002761714,-0.0008064992,-0.007319717,-0.004038112,0.0132469,0.01707246,0.01445007,0.007842132,0.01010915,-0.00409544,-0.04275753,0.09969447
Weight,16,1,phi.wait,NA,0,0.008587541,-0.004576521,-0.00315895,0.0006667883,0.0008938692,-0.002406284,0.00105542,0.001960637,0.002047567,0.002530273,0.002324434,0.0008371774,0.0006968105,0.002145994,0.003135877,0.00223701,0.001152385,0.002723806,-0.0004584764,0.004014315,0.005446912,0.003609144,0.004830656,0.005363101,0.008712992,0.01029034,0.030052,-0.1302822
Weight,16,1,phi.mac,NA,-0.06575815,-0.03814714,-0.03115855,-0.02565772,-0.0406031,-0.01496671,-0.04240515,-0.0105464,-0.002194319,-0.001551074,-0.0053712,0.001442912,-0.008917063,-0.003472611,0.008719015,-0.0009955102,0.001978401,0.00441197,0.01076352,0.01436056,0.004032796,-0.003281807,0.006361665,0.001239378,-0.007254932,-0.01384798,-0.0002310134,-0.001058899,0
Weight,16,1,phi.macOps,NA,0,0.002030304,-0.0001062206,0.0005003519,-0.002120792,-0.001475621,0.002094269,-5.260969e-05,-0.0002269492,7.484767e-06,-0.000532072,-0.0003860655,-0.002175784,-0.0005627426,-0.0006126833,-0.000427505,-7.865952e-05,4.864395e-05,-0.0008260183,-0.001186563,0.000386825,-0.0003023802,0.0001155454,0.0004681053,8.243089e-06,2.097366e-05,0.002259926,0.00663061,0
Weight,16,1,phi.macfree,NA,-0.01858133,-0.003213073,-0.01950166,0.0004855188,-0.02918889,-0.0249154,-0.0106154,-0.01714891,-0.003589688,-0.0128879,-0.01718916,-0.01445118,-0.02141399,-0.02394335,-0.01951423,-0.01726162,-0.006177407,-0.02127107,-0.01463766,-0.01448926,-0.002285094,-0.01556878,-0.02351551,-0.0130866,-0.03015213,-0.03249767,-0.01556519,0.1397114,-0.3713818
