Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29
Weight,16,1,phi.proc,NA,-0.0174173,-0.007130896,-0.01585692,0.03409774,0.008587991,0.01060293,0.01503397,0.005568393,-0.003731769,0.03203559,-0.01202641,-0.01563385,0.006711336,0.02617916,-0.01080706,-0.0124961,0.003726171,-0.007941452,-0.004884533,0.02626165,0.05722553,-0.09139676,-0.04246628,-0.004088682,0.06684092,-0.4903298,-0.01971992,-0.007681325,0.008861385
Weight,16,1,phi.startTime,NA,0,0.001341465,-0.006297921,-0.01918726,-0.01034382,-0.009914963,-0.01209083,-0.005954291,-0.002547655,-0.01495185,0.00180468,0.003941943,-0.004921884,-0.01256916,0.002165621,0.001150258,-0.004652494,-0.0002076585,-0.001339766,-0.01398799,-0.02508826,0.0344439,0.01328939,-0.004970885,-0.02984782,0.1832944,-0.03347664,0.003190797,-0.01167892
Weight,16,1,phi.endTime,NA,-0.0174173,-0.005789431,-0.02215484,0.01491047,-0.001755828,0.0006879653,0.002943142,-0.0003858982,-0.006279424,0.01708374,-0.01022173,-0.0116919,0.001789452,0.01361,-0.008641437,-0.01134585,-0.000926323,-0.00814911,-0.006224299,0.01227366,0.03213727,-0.05695287,-0.02917689,-0.009059568,0.0369931,-0.3070353,-0.05319656,-0.004490528,-0.002817537
Weight,16,1,phi.jobOps,NA,0,-0.000292352,0.002006183,0.001027108,0.0007222477,0.0009542126,0.0008692696,0.001056103,0.00520836,0.002361258,0.0001043747,-0.0005705635,-0.0002873692,-0.001209038,-0.0008385205,0.0003192729,-2.774616e-05,-0.0002765568,0.0003583108,0.004989189,0.0004525217,-0.003216096,0.003234779,-0.001322681,0.003863816,-0.006341522,-0.001256791,-0.003302974,0
Weight,16,1,phi.arrivalTime,NA,0,-0.0004169882,0.003117624,-0.01279162,-0.008852151,-0.006485687,-0.01059993,-0.007284791,-0.003989647,-0.008361091,-9.349118e-05,0.001667239,-0.00289934,-0.005886439,0.00209325,0.0004677305,-0.001149905,0.0004719938,-0.0007723073,-0.008358869,-0.01402069,0.01455806,0.006204161,-0.004762016,-0.02558474,0.07105752,-0.03370295,0.001938105,-0.06858132
Weight,16,1,phi.totproc,NA,0.01132621,0.005738659,0.003052416,0.01116362,0.01331669,0.007064909,-0.001492636,0.0075016,0.02290063,0.008535935,-0.0008011677,0.009939033,-0.000603712,0.0008409772,-0.0123245,0.01814657,0.01907428,0.002313858,-0.004819115,0.01853601,0.02785403,0.03319521,0.03875457,0.04746048,0.1404275,0.1677264,0.1717878,0.0003678442,0.00591584
Weight,16,1,phi.wait,NA,0,0.001758453,-0.009415545,-0.00639564,-0.001491668,-0.003429276,-0.001490894,0.0013305,0.001441992,-0.006590757,0.001898171,0.002274704,-0.002022544,-0.006682725,7.2371e-05,0.000682527,-0.003502589,-0.0006796523,-0.0005674585,-0.005629123,-0.01106757,0.01988584,0.007085228,-0.000208869,-0.004263077,0.1122369,0.0002263039,0.001252692,0.0569024
Weight,16,1,phi.mac,NA,-0.05966251,-0.04809441,-0.09203249,-0.003865587,0.01174456,-0.02451996,0.003327854,0.009753763,0.03002909,0.03706193,0.00601443,0.009322956,0.005255548,0.07130188,0.01236555,0.004177163,-0.02595922,0.0006085827,0.002039753,0.07358932,-0.01694642,0.07186054,0.02307197,-0.001923563,-0.05055615,-0.3765779,-0.01034495,-0.0001261088,0
Weight,16,1,phi.macOps,NA,0,0.000436696,0.001378959,-0.00141104,-0.001310703,-0.002883434,-0.002600888,-0.004828849,-0.002777178,-0.005177424,-0.001389536,-0.001298367,-0.003543629,-0.005182559,-0.001962618,-0.00139324,-0.002097063,-0.001409357,-0.002445085,-0.007067356,-0.001927386,-0.002968673,-0.00361492,0.001398103,0.0003756528,0.00222017,0.00200308,-6.305439e-05,0
Weight,16,1,phi.macfree,NA,-0.0174173,-0.005789431,0.02259952,-0.0232926,-0.02615448,-0.02544094,-0.03488298,-0.03117566,-0.03125762,-0.03323234,-0.02344641,-0.02831362,-0.03763653,-0.03721323,-0.03110212,-0.03808374,-0.02341584,-0.01988435,-0.01680819,-0.03811539,-0.03611389,-0.05948465,-0.0692044,-0.0110367,0.04320661,0.09204625,0.01864752,-0.005272002,-0.009140026
Weight,16,1,phi.makespan,NA,-0.0174173,-0.005789431,-0.004959815,0.0116289,0.007293138,0.01223544,0.004382647,0.007273613,-0.005014944,9.933502e-05,-0.00394755,-0.005302805,-0.006891557,-0.004406281,-0.01516929,-0.0005089872,-0.009792961,-0.007346566,-0.004333203,-0.01277104,-0.004669862,0.003016119,-0.02341056,0.02979994,-0.0250904,-0.1421519,0.03293723,0.001234992,-0.009140026
Weight,16,1,phi.slotReduced,NA,0,0.0004169882,-0.000603421,-0.004018482,-0.003142717,-0.00188147,-0.002749372,-0.0001864628,-0.001651278,-0.0002908431,-0.001882769,-0.002256689,-0.001546025,-0.000632623,-0.002214767,-0.002235532,-0.002048582,-0.003202329,-0.003408691,-0.003329325,-0.00212163,-0.001611571,-0.004761585,-0.001129694,-0.01111987,-0.02058069,-0.06077831,-0.005435934,0.01800141
Weight,16,1,phi.slots,NA,0,-0.0004169882,-0.0008412341,0.01650963,0.02539586,0.02612415,0.03819163,0.03591239,0.03793476,0.03623073,0.0271836,0.03173564,0.04386133,0.04103466,0.03617056,0.04074141,0.02845653,0.02182568,0.01816831,0.04941584,0.03886244,0.05718954,0.06669883,0.01499709,-0.04470769,-0.1110328,-0.06017778,0.004427063,-0.01800141
Weight,16,1,phi.slotsTotal,NA,0,-0.0004169882,0.000603421,0.004018482,0.003142717,0.00188147,0.002749372,0.0001864628,0.001651278,0.0002908431,0.001882769,0.002256689,0.001546025,0.000632623,0.002214767,0.002235532,0.002048582,0.003202329,0.003408691,0.003329325,0.00212163,0.001611571,0.004761585,0.001129694,0.01111987,0.02058069,0.06077831,0.005435934,-0.01800141
Weight,16,1,phi.wrmMac,NA,0.01405634,-0.004086195,-0.008161813,-0.01835345,-0.02337383,-0.02152318,-0.03384007,-0.02580453,-0.03247298,-0.02989743,-0.02068749,-0.02734267,-0.03662708,-0.03190356,-0.03187872,-0.03960497,-0.02949114,-0.02607517,-0.02745347,-0.04975868,-0.04531474,-0.06232877,-0.08694246,-0.0850727,-0.04930338,-1.544075,-0.1036436,0.002963556,0
Weight,16,1,phi.wrmJob,NA,0.01132621,0.006155647,0.01003736,0.001725421,-0.00129289,0.002489322,-0.003240536,-0.0002545037,0.0007856524,0.006542011,0.006651248,0.008619816,0.009476032,0.009581602,0.01177274,0.00727656,0.009801296,0.009916681,0.008939114,0.009751155,0.006327805,0.01548721,0.01515811,0.01872155,0.02834277,0.0724923,0.1844394,0.1510755,0.008861385
Training.Accuracy,16,1,NA,76.71,55.6,61.95,64.62,63.83,65.37,63.6,66.58,66.87,68.77,70.7,71.22,70.96,71.31,71.18,73.4,77.21,77.53,76.64,77.33,78.42,79.73,81.65,84.62,90,95.61,100,100,100,100
Validation.Accuracy,16,1,NA,70,50.56,57.3,64.47,64.63,64.32,66.22,68.16,68.87,69.89,73.41,74.05,75.08,72.43,69.8,67.15,68.45,68.97,69.84,74.77,78.12,86.11,84.21,85.11,85.71,90.48,33.33,100,0,100
