Name,SDR,Makespan
f.mc.6x5.train.1,SPT,836
f.mc.6x5.train.2,SPT,528
f.mc.6x5.train.3,SPT,364
f.mc.6x5.train.4,SPT,576
f.mc.6x5.train.5,SPT,606
f.mc.6x5.train.6,SPT,784
f.mc.6x5.train.7,SPT,764
f.mc.6x5.train.8,SPT,777
f.mc.6x5.train.9,SPT,425
f.mc.6x5.train.10,SPT,523
f.mc.6x5.train.11,SPT,725
f.mc.6x5.train.12,SPT,591
f.mc.6x5.train.13,SPT,696
f.mc.6x5.train.14,SPT,744
f.mc.6x5.train.15,SPT,1087
f.mc.6x5.train.16,SPT,635
f.mc.6x5.train.17,SPT,429
f.mc.6x5.train.18,SPT,509
f.mc.6x5.train.19,SPT,601
f.mc.6x5.train.20,SPT,788
f.mc.6x5.train.21,SPT,641
f.mc.6x5.train.22,SPT,772
f.mc.6x5.train.23,SPT,744
f.mc.6x5.train.24,SPT,979
f.mc.6x5.train.25,SPT,257
f.mc.6x5.train.26,SPT,471
f.mc.6x5.train.27,SPT,478
f.mc.6x5.train.28,SPT,663
f.mc.6x5.train.29,SPT,678
f.mc.6x5.train.30,SPT,896
f.mc.6x5.train.31,SPT,853
f.mc.6x5.train.32,SPT,433
f.mc.6x5.train.33,SPT,541
f.mc.6x5.train.34,SPT,641
f.mc.6x5.train.35,SPT,711
f.mc.6x5.train.36,SPT,735
f.mc.6x5.train.37,SPT,734
f.mc.6x5.train.38,SPT,745
f.mc.6x5.train.39,SPT,961
f.mc.6x5.train.40,SPT,215
f.mc.6x5.train.41,SPT,440
f.mc.6x5.train.42,SPT,493
f.mc.6x5.train.43,SPT,572
f.mc.6x5.train.44,SPT,748
f.mc.6x5.train.45,SPT,783
f.mc.6x5.train.46,SPT,829
f.mc.6x5.train.47,SPT,428
f.mc.6x5.train.48,SPT,397
f.mc.6x5.train.49,SPT,545
f.mc.6x5.train.50,SPT,587
f.mc.6x5.train.51,SPT,631
f.mc.6x5.train.52,SPT,899
f.mc.6x5.train.53,SPT,801
f.mc.6x5.train.54,SPT,867
f.mc.6x5.train.55,SPT,487
f.mc.6x5.train.56,SPT,612
f.mc.6x5.train.57,SPT,668
f.mc.6x5.train.58,SPT,587
f.mc.6x5.train.59,SPT,740
f.mc.6x5.train.60,SPT,714
f.mc.6x5.train.61,SPT,905
f.mc.6x5.train.62,SPT,866
f.mc.6x5.train.63,SPT,387
f.mc.6x5.train.64,SPT,510
f.mc.6x5.train.65,SPT,623
f.mc.6x5.train.66,SPT,581
f.mc.6x5.train.67,SPT,633
f.mc.6x5.train.68,SPT,825
f.mc.6x5.train.69,SPT,806
f.mc.6x5.train.70,SPT,405
f.mc.6x5.train.71,SPT,409
f.mc.6x5.train.72,SPT,532
f.mc.6x5.train.73,SPT,680
f.mc.6x5.train.74,SPT,720
f.mc.6x5.train.75,SPT,910
f.mc.6x5.train.76,SPT,933
f.mc.6x5.train.77,SPT,887
f.mc.6x5.train.78,SPT,488
f.mc.6x5.train.79,SPT,633
f.mc.6x5.train.80,SPT,395
f.mc.6x5.train.81,SPT,576
f.mc.6x5.train.82,SPT,636
f.mc.6x5.train.83,SPT,722
f.mc.6x5.train.84,SPT,1010
f.mc.6x5.train.85,SPT,287
f.mc.6x5.train.86,SPT,373
f.mc.6x5.train.87,SPT,499
f.mc.6x5.train.88,SPT,698
f.mc.6x5.train.89,SPT,558
f.mc.6x5.train.90,SPT,711
f.mc.6x5.train.91,SPT,742
f.mc.6x5.train.92,SPT,1096
f.mc.6x5.train.93,SPT,427
f.mc.6x5.train.94,SPT,599
f.mc.6x5.train.95,SPT,523
f.mc.6x5.train.96,SPT,658
f.mc.6x5.train.97,SPT,828
f.mc.6x5.train.98,SPT,740
f.mc.6x5.train.99,SPT,977
f.mc.6x5.train.100,SPT,1029
f.mc.6x5.train.101,SPT,417
f.mc.6x5.train.102,SPT,556
f.mc.6x5.train.103,SPT,699
f.mc.6x5.train.104,SPT,524
f.mc.6x5.train.105,SPT,749
f.mc.6x5.train.106,SPT,800
f.mc.6x5.train.107,SPT,848
f.mc.6x5.train.108,SPT,297
f.mc.6x5.train.109,SPT,526
f.mc.6x5.train.110,SPT,520
f.mc.6x5.train.111,SPT,672
f.mc.6x5.train.112,SPT,576
f.mc.6x5.train.113,SPT,706
f.mc.6x5.train.114,SPT,850
f.mc.6x5.train.115,SPT,930
f.mc.6x5.train.116,SPT,534
f.mc.6x5.train.117,SPT,448
f.mc.6x5.train.118,SPT,587
f.mc.6x5.train.119,SPT,645
f.mc.6x5.train.120,SPT,1012
f.mc.6x5.train.121,SPT,823
f.mc.6x5.train.122,SPT,887
f.mc.6x5.train.123,SPT,196
f.mc.6x5.train.124,SPT,571
f.mc.6x5.train.125,SPT,520
f.mc.6x5.train.126,SPT,642
f.mc.6x5.train.127,SPT,643
f.mc.6x5.train.128,SPT,661
f.mc.6x5.train.129,SPT,960
f.mc.6x5.train.130,SPT,761
f.mc.6x5.train.131,SPT,363
f.mc.6x5.train.132,SPT,415
f.mc.6x5.train.133,SPT,559
f.mc.6x5.train.134,SPT,574
f.mc.6x5.train.135,SPT,671
f.mc.6x5.train.136,SPT,700
f.mc.6x5.train.137,SPT,876
f.mc.6x5.train.138,SPT,982
f.mc.6x5.train.139,SPT,476
f.mc.6x5.train.140,SPT,629
f.mc.6x5.train.141,SPT,729
f.mc.6x5.train.142,SPT,746
f.mc.6x5.train.143,SPT,647
f.mc.6x5.train.144,SPT,736
