Name,SDR,Makespan
f.mxc.14x14.train.1,SPT,2608
f.mxc.14x14.train.2,SPT,1192
f.mxc.14x14.train.3,SPT,1122
f.mxc.14x14.train.4,SPT,1725
f.mxc.14x14.train.5,SPT,1594
f.mxc.14x14.train.6,SPT,1811
f.mxc.14x14.train.7,SPT,2104
f.mxc.14x14.train.8,SPT,2135
f.mxc.14x14.train.9,SPT,989
f.mxc.14x14.train.10,SPT,1518
f.mxc.14x14.train.11,SPT,1462
f.mxc.14x14.train.12,SPT,1584
f.mxc.14x14.train.13,SPT,1881
f.mxc.14x14.train.14,SPT,2205
f.mxc.14x14.train.15,SPT,2398
f.mxc.14x14.train.16,SPT,2366
f.mxc.14x14.train.17,SPT,1233
f.mxc.14x14.train.18,SPT,1342
f.mxc.14x14.train.19,SPT,1730
f.mxc.14x14.train.20,SPT,1762
f.mxc.14x14.train.21,SPT,1783
f.mxc.14x14.train.22,SPT,2150
f.mxc.14x14.train.23,SPT,2185
f.mxc.14x14.train.24,SPT,2438
f.mxc.14x14.train.25,SPT,983
f.mxc.14x14.train.26,SPT,1284
f.mxc.14x14.train.27,SPT,1681
f.mxc.14x14.train.28,SPT,1862
f.mxc.14x14.train.29,SPT,1985
f.mxc.14x14.train.30,SPT,2466
f.mxc.14x14.train.31,SPT,2228
f.mxc.14x14.train.32,SPT,1163
f.mxc.14x14.train.33,SPT,1366
f.mxc.14x14.train.34,SPT,1576
f.mxc.14x14.train.35,SPT,1689
f.mxc.14x14.train.36,SPT,1821
f.mxc.14x14.train.37,SPT,2133
f.mxc.14x14.train.38,SPT,2330
f.mxc.14x14.train.39,SPT,2383
f.mxc.14x14.train.40,SPT,1003
f.mxc.14x14.train.41,SPT,1255
f.mxc.14x14.train.42,SPT,1372
f.mxc.14x14.train.43,SPT,1647
f.mxc.14x14.train.44,SPT,1897
f.mxc.14x14.train.45,SPT,1969
f.mxc.14x14.train.46,SPT,2310
f.mxc.14x14.train.47,SPT,1254
f.mxc.14x14.train.48,SPT,1260
f.mxc.14x14.train.49,SPT,1352
f.mxc.14x14.train.50,SPT,1533
f.mxc.14x14.train.51,SPT,2047
f.mxc.14x14.train.52,SPT,2020
f.mxc.14x14.train.53,SPT,2216
f.mxc.14x14.train.54,SPT,2346
f.mxc.14x14.train.55,SPT,1241
f.mxc.14x14.train.56,SPT,1472
f.mxc.14x14.train.57,SPT,1577
f.mxc.14x14.train.58,SPT,1710
f.mxc.14x14.train.59,SPT,2119
f.mxc.14x14.train.60,SPT,2027
f.mxc.14x14.train.61,SPT,2228
f.mxc.14x14.train.62,SPT,2491
f.mxc.14x14.train.63,SPT,1245
f.mxc.14x14.train.64,SPT,1659
f.mxc.14x14.train.65,SPT,1418
f.mxc.14x14.train.66,SPT,1704
f.mxc.14x14.train.67,SPT,1704
f.mxc.14x14.train.68,SPT,2091
f.mxc.14x14.train.69,SPT,2713
f.mxc.14x14.train.70,SPT,1155
f.mxc.14x14.train.71,SPT,1162
f.mxc.14x14.train.72,SPT,1720
f.mxc.14x14.train.73,SPT,1588
f.mxc.14x14.train.74,SPT,1899
f.mxc.14x14.train.75,SPT,2295
f.mxc.14x14.train.76,SPT,2203
f.mxc.14x14.train.77,SPT,2425
f.mxc.14x14.train.78,SPT,1133
f.mxc.14x14.train.79,SPT,1609
f.mxc.14x14.train.80,SPT,1333
f.mxc.14x14.train.81,SPT,1759
f.mxc.14x14.train.82,SPT,1929
f.mxc.14x14.train.83,SPT,2073
f.mxc.14x14.train.84,SPT,2265
f.mxc.14x14.train.85,SPT,1214
f.mxc.14x14.train.86,SPT,1132
f.mxc.14x14.train.87,SPT,1501
f.mxc.14x14.train.88,SPT,1751
f.mxc.14x14.train.89,SPT,1913
f.mxc.14x14.train.90,SPT,1903
f.mxc.14x14.train.91,SPT,2276
f.mxc.14x14.train.92,SPT,2546
f.mxc.14x14.train.93,SPT,1228
f.mxc.14x14.train.94,SPT,1455
f.mxc.14x14.train.95,SPT,1405
f.mxc.14x14.train.96,SPT,1600
f.mxc.14x14.train.97,SPT,2264
f.mxc.14x14.train.98,SPT,2278
f.mxc.14x14.train.99,SPT,2186
f.mxc.14x14.train.100,SPT,2854
f.mxc.14x14.train.101,SPT,995
f.mxc.14x14.train.102,SPT,1397
f.mxc.14x14.train.103,SPT,1502
f.mxc.14x14.train.104,SPT,1811
f.mxc.14x14.train.105,SPT,1932
f.mxc.14x14.train.106,SPT,2328
f.mxc.14x14.train.107,SPT,2276
f.mxc.14x14.train.108,SPT,1100
f.mxc.14x14.train.109,SPT,1332
f.mxc.14x14.train.110,SPT,1506
f.mxc.14x14.train.111,SPT,1718
f.mxc.14x14.train.112,SPT,1895
f.mxc.14x14.train.113,SPT,2243
f.mxc.14x14.train.114,SPT,2209
f.mxc.14x14.train.115,SPT,2369
f.mxc.14x14.train.116,SPT,1502
f.mxc.14x14.train.117,SPT,1380
f.mxc.14x14.train.118,SPT,1409
f.mxc.14x14.train.119,SPT,1892
f.mxc.14x14.train.120,SPT,2194
f.mxc.14x14.train.121,SPT,1973
f.mxc.14x14.train.122,SPT,2648
f.mxc.14x14.train.123,SPT,1092
f.mxc.14x14.train.124,SPT,1561
f.mxc.14x14.train.125,SPT,1465
f.mxc.14x14.train.126,SPT,1659
f.mxc.14x14.train.127,SPT,1700
f.mxc.14x14.train.128,SPT,2352
f.mxc.14x14.train.129,SPT,2250
f.mxc.14x14.train.130,SPT,2438
f.mxc.14x14.train.131,SPT,1119
f.mxc.14x14.train.132,SPT,1380
f.mxc.14x14.train.133,SPT,1483
f.mxc.14x14.train.134,SPT,1709
f.mxc.14x14.train.135,SPT,1894
f.mxc.14x14.train.136,SPT,1913
f.mxc.14x14.train.137,SPT,2522
f.mxc.14x14.train.138,SPT,2715
f.mxc.14x14.train.139,SPT,1274
f.mxc.14x14.train.140,SPT,1565
f.mxc.14x14.train.141,SPT,1804
f.mxc.14x14.train.142,SPT,1870
f.mxc.14x14.train.143,SPT,1965
f.mxc.14x14.train.144,SPT,2074
f.mxc.14x14.train.145,SPT,2226
f.mxc.14x14.train.146,SPT,1180
f.mxc.14x14.train.147,SPT,1278
f.mxc.14x14.train.148,SPT,1592
f.mxc.14x14.train.149,SPT,1545
f.mxc.14x14.train.150,SPT,2118
f.mxc.14x14.train.151,SPT,1863
f.mxc.14x14.train.152,SPT,2150
f.mxc.14x14.train.153,SPT,2592
f.mxc.14x14.train.154,SPT,1154
f.mxc.14x14.train.155,SPT,1463
f.mxc.14x14.train.156,SPT,1584
f.mxc.14x14.train.157,SPT,1870
f.mxc.14x14.train.158,SPT,1918
f.mxc.14x14.train.159,SPT,1975
f.mxc.14x14.train.160,SPT,2426
f.mxc.14x14.train.161,SPT,1054
f.mxc.14x14.train.162,SPT,1122
f.mxc.14x14.train.163,SPT,1513
f.mxc.14x14.train.164,SPT,1557
f.mxc.14x14.train.165,SPT,1684
f.mxc.14x14.train.166,SPT,2258
f.mxc.14x14.train.167,SPT,2011
f.mxc.14x14.train.168,SPT,2523
f.mxc.14x14.train.169,SPT,1183
f.mxc.14x14.train.170,SPT,1383
f.mxc.14x14.train.171,SPT,1481
f.mxc.14x14.train.172,SPT,1787
f.mxc.14x14.train.173,SPT,1818
f.mxc.14x14.train.174,SPT,2063
f.mxc.14x14.train.175,SPT,2443
f.mxc.14x14.train.176,SPT,2412
f.mxc.14x14.train.177,SPT,1214
f.mxc.14x14.train.178,SPT,1447
f.mxc.14x14.train.179,SPT,1688
f.mxc.14x14.train.180,SPT,1744
