Name,SDR,Makespan
j.rnd_pj1doubled.8x8.train.1,SPT,1222
j.rnd_pj1doubled.8x8.train.2,SPT,1097
j.rnd_pj1doubled.8x8.train.3,SPT,1499
j.rnd_pj1doubled.8x8.train.4,SPT,1499
j.rnd_pj1doubled.8x8.train.5,SPT,1446
j.rnd_pj1doubled.8x8.train.6,SPT,1429
j.rnd_pj1doubled.8x8.train.7,SPT,1134
j.rnd_pj1doubled.8x8.train.8,SPT,1204
j.rnd_pj1doubled.8x8.train.9,SPT,1079
j.rnd_pj1doubled.8x8.train.10,SPT,1136
j.rnd_pj1doubled.8x8.train.11,SPT,1239
j.rnd_pj1doubled.8x8.train.12,SPT,1466
j.rnd_pj1doubled.8x8.train.13,SPT,1653
j.rnd_pj1doubled.8x8.train.14,SPT,1677
j.rnd_pj1doubled.8x8.train.15,SPT,1260
j.rnd_pj1doubled.8x8.train.16,SPT,1299
j.rnd_pj1doubled.8x8.train.17,SPT,1821
j.rnd_pj1doubled.8x8.train.18,SPT,1020
j.rnd_pj1doubled.8x8.train.19,SPT,1448
j.rnd_pj1doubled.8x8.train.20,SPT,1313
j.rnd_pj1doubled.8x8.train.21,SPT,1374
j.rnd_pj1doubled.8x8.train.22,SPT,1118
j.rnd_pj1doubled.8x8.train.23,SPT,1312
j.rnd_pj1doubled.8x8.train.24,SPT,1504
j.rnd_pj1doubled.8x8.train.25,SPT,1421
j.rnd_pj1doubled.8x8.train.26,SPT,1343
j.rnd_pj1doubled.8x8.train.27,SPT,1546
j.rnd_pj1doubled.8x8.train.28,SPT,1223
j.rnd_pj1doubled.8x8.train.29,SPT,1187
j.rnd_pj1doubled.8x8.train.30,SPT,1017
j.rnd_pj1doubled.8x8.train.31,SPT,1014
j.rnd_pj1doubled.8x8.train.32,SPT,1237
j.rnd_pj1doubled.8x8.train.33,SPT,1496
j.rnd_pj1doubled.8x8.train.34,SPT,1508
j.rnd_pj1doubled.8x8.train.35,SPT,1747
j.rnd_pj1doubled.8x8.train.36,SPT,1125
j.rnd_pj1doubled.8x8.train.37,SPT,1358
j.rnd_pj1doubled.8x8.train.38,SPT,1602
j.rnd_pj1doubled.8x8.train.39,SPT,1391
j.rnd_pj1doubled.8x8.train.40,SPT,1128
j.rnd_pj1doubled.8x8.train.41,SPT,1007
j.rnd_pj1doubled.8x8.train.42,SPT,1723
j.rnd_pj1doubled.8x8.train.43,SPT,1500
j.rnd_pj1doubled.8x8.train.44,SPT,1273
j.rnd_pj1doubled.8x8.train.45,SPT,1325
j.rnd_pj1doubled.8x8.train.46,SPT,1879
j.rnd_pj1doubled.8x8.train.47,SPT,1444
j.rnd_pj1doubled.8x8.train.48,SPT,1612
j.rnd_pj1doubled.8x8.train.49,SPT,1195
j.rnd_pj1doubled.8x8.train.50,SPT,1802
j.rnd_pj1doubled.8x8.train.51,SPT,1117
j.rnd_pj1doubled.8x8.train.52,SPT,1014
j.rnd_pj1doubled.8x8.train.53,SPT,1434
j.rnd_pj1doubled.8x8.train.54,SPT,1049
j.rnd_pj1doubled.8x8.train.55,SPT,1331
j.rnd_pj1doubled.8x8.train.56,SPT,1033
j.rnd_pj1doubled.8x8.train.57,SPT,1408
j.rnd_pj1doubled.8x8.train.58,SPT,1612
j.rnd_pj1doubled.8x8.train.59,SPT,1454
j.rnd_pj1doubled.8x8.train.60,SPT,1400
j.rnd_pj1doubled.8x8.train.61,SPT,1371
j.rnd_pj1doubled.8x8.train.62,SPT,1206
j.rnd_pj1doubled.8x8.train.63,SPT,1391
j.rnd_pj1doubled.8x8.train.64,SPT,1349
j.rnd_pj1doubled.8x8.train.65,SPT,1239
j.rnd_pj1doubled.8x8.train.66,SPT,1484
j.rnd_pj1doubled.8x8.train.67,SPT,1567
j.rnd_pj1doubled.8x8.train.68,SPT,1620
j.rnd_pj1doubled.8x8.train.69,SPT,1458
j.rnd_pj1doubled.8x8.train.70,SPT,1176
j.rnd_pj1doubled.8x8.train.71,SPT,1420
j.rnd_pj1doubled.8x8.train.72,SPT,1756
j.rnd_pj1doubled.8x8.train.73,SPT,1059
j.rnd_pj1doubled.8x8.train.74,SPT,1120
j.rnd_pj1doubled.8x8.train.75,SPT,1101
j.rnd_pj1doubled.8x8.train.76,SPT,1690
j.rnd_pj1doubled.8x8.train.77,SPT,1544
j.rnd_pj1doubled.8x8.train.78,SPT,1426
j.rnd_pj1doubled.8x8.train.79,SPT,1611
j.rnd_pj1doubled.8x8.train.80,SPT,1463
j.rnd_pj1doubled.8x8.train.81,SPT,1302
j.rnd_pj1doubled.8x8.train.82,SPT,1389
j.rnd_pj1doubled.8x8.train.83,SPT,1349
j.rnd_pj1doubled.8x8.train.84,SPT,1139
j.rnd_pj1doubled.8x8.train.85,SPT,1040
j.rnd_pj1doubled.8x8.train.86,SPT,1070
j.rnd_pj1doubled.8x8.train.87,SPT,1734
j.rnd_pj1doubled.8x8.train.88,SPT,1221
j.rnd_pj1doubled.8x8.train.89,SPT,1482
j.rnd_pj1doubled.8x8.train.90,SPT,1310
j.rnd_pj1doubled.8x8.train.91,SPT,1613
j.rnd_pj1doubled.8x8.train.92,SPT,1526
j.rnd_pj1doubled.8x8.train.93,SPT,1314
j.rnd_pj1doubled.8x8.train.94,SPT,1564
j.rnd_pj1doubled.8x8.train.95,SPT,1271
j.rnd_pj1doubled.8x8.train.96,SPT,1109
j.rnd_pj1doubled.8x8.train.97,SPT,1498
j.rnd_pj1doubled.8x8.train.98,SPT,1131
j.rnd_pj1doubled.8x8.train.99,SPT,1623
j.rnd_pj1doubled.8x8.train.100,SPT,1682
j.rnd_pj1doubled.8x8.train.101,SPT,1134
j.rnd_pj1doubled.8x8.train.102,SPT,1180
j.rnd_pj1doubled.8x8.train.103,SPT,1673
j.rnd_pj1doubled.8x8.train.104,SPT,1472
j.rnd_pj1doubled.8x8.train.105,SPT,1302
j.rnd_pj1doubled.8x8.train.106,SPT,1225
j.rnd_pj1doubled.8x8.train.107,SPT,1423
j.rnd_pj1doubled.8x8.train.108,SPT,1329
j.rnd_pj1doubled.8x8.train.109,SPT,889
j.rnd_pj1doubled.8x8.train.110,SPT,1395
j.rnd_pj1doubled.8x8.train.111,SPT,1407
j.rnd_pj1doubled.8x8.train.112,SPT,1313
j.rnd_pj1doubled.8x8.train.113,SPT,1172
j.rnd_pj1doubled.8x8.train.114,SPT,1107
j.rnd_pj1doubled.8x8.train.115,SPT,1486
j.rnd_pj1doubled.8x8.train.116,SPT,1432
j.rnd_pj1doubled.8x8.train.117,SPT,889
j.rnd_pj1doubled.8x8.train.118,SPT,1324
j.rnd_pj1doubled.8x8.train.119,SPT,1486
j.rnd_pj1doubled.8x8.train.120,SPT,1124
j.rnd_pj1doubled.8x8.train.121,SPT,1420
j.rnd_pj1doubled.8x8.train.122,SPT,1199
j.rnd_pj1doubled.8x8.train.123,SPT,1462
j.rnd_pj1doubled.8x8.train.124,SPT,1300
j.rnd_pj1doubled.8x8.train.125,SPT,1766
j.rnd_pj1doubled.8x8.train.126,SPT,1521
j.rnd_pj1doubled.8x8.train.127,SPT,1063
j.rnd_pj1doubled.8x8.train.128,SPT,1328
j.rnd_pj1doubled.8x8.train.129,SPT,1417
j.rnd_pj1doubled.8x8.train.130,SPT,1101
j.rnd_pj1doubled.8x8.train.131,SPT,1224
j.rnd_pj1doubled.8x8.train.132,SPT,1390
j.rnd_pj1doubled.8x8.train.133,SPT,1761
j.rnd_pj1doubled.8x8.train.134,SPT,1563
j.rnd_pj1doubled.8x8.train.135,SPT,1105
j.rnd_pj1doubled.8x8.train.136,SPT,1802
j.rnd_pj1doubled.8x8.train.137,SPT,1640
j.rnd_pj1doubled.8x8.train.138,SPT,902
j.rnd_pj1doubled.8x8.train.139,SPT,1128
j.rnd_pj1doubled.8x8.train.140,SPT,1540
j.rnd_pj1doubled.8x8.train.141,SPT,1540
j.rnd_pj1doubled.8x8.train.142,SPT,1329
j.rnd_pj1doubled.8x8.train.143,SPT,1404
j.rnd_pj1doubled.8x8.train.144,SPT,2001
j.rnd_pj1doubled.8x8.train.145,SPT,1757
j.rnd_pj1doubled.8x8.train.146,SPT,1129
j.rnd_pj1doubled.8x8.train.147,SPT,1374
j.rnd_pj1doubled.8x8.train.148,SPT,1538
j.rnd_pj1doubled.8x8.train.149,SPT,1393
j.rnd_pj1doubled.8x8.train.150,SPT,872
j.rnd_pj1doubled.8x8.train.151,SPT,1212
j.rnd_pj1doubled.8x8.train.152,SPT,1325
j.rnd_pj1doubled.8x8.train.153,SPT,980
j.rnd_pj1doubled.8x8.train.154,SPT,1445
j.rnd_pj1doubled.8x8.train.155,SPT,1083
j.rnd_pj1doubled.8x8.train.156,SPT,1295
j.rnd_pj1doubled.8x8.train.157,SPT,1506
j.rnd_pj1doubled.8x8.train.158,SPT,1801
j.rnd_pj1doubled.8x8.train.159,SPT,1466
j.rnd_pj1doubled.8x8.train.160,SPT,1096
j.rnd_pj1doubled.8x8.train.161,SPT,1155
j.rnd_pj1doubled.8x8.train.162,SPT,1232
j.rnd_pj1doubled.8x8.train.163,SPT,1075
j.rnd_pj1doubled.8x8.train.164,SPT,887
j.rnd_pj1doubled.8x8.train.165,SPT,1808
j.rnd_pj1doubled.8x8.train.166,SPT,1384
j.rnd_pj1doubled.8x8.train.167,SPT,1623
j.rnd_pj1doubled.8x8.train.168,SPT,1327
j.rnd_pj1doubled.8x8.train.169,SPT,1252
j.rnd_pj1doubled.8x8.train.170,SPT,1594
j.rnd_pj1doubled.8x8.train.171,SPT,1076
j.rnd_pj1doubled.8x8.train.172,SPT,1205
j.rnd_pj1doubled.8x8.train.173,SPT,1350
j.rnd_pj1doubled.8x8.train.174,SPT,1159
j.rnd_pj1doubled.8x8.train.175,SPT,1511
j.rnd_pj1doubled.8x8.train.176,SPT,1671
j.rnd_pj1doubled.8x8.train.177,SPT,1409
j.rnd_pj1doubled.8x8.train.178,SPT,1538
j.rnd_pj1doubled.8x8.train.179,SPT,1451
j.rnd_pj1doubled.8x8.train.180,SPT,1556
j.rnd_pj1doubled.8x8.train.181,SPT,1288
j.rnd_pj1doubled.8x8.train.182,SPT,862
j.rnd_pj1doubled.8x8.train.183,SPT,1348
j.rnd_pj1doubled.8x8.train.184,SPT,1178
j.rnd_pj1doubled.8x8.train.185,SPT,1186
j.rnd_pj1doubled.8x8.train.186,SPT,1322
j.rnd_pj1doubled.8x8.train.187,SPT,1405
j.rnd_pj1doubled.8x8.train.188,SPT,1379
j.rnd_pj1doubled.8x8.train.189,SPT,1327
j.rnd_pj1doubled.8x8.train.190,SPT,1501
j.rnd_pj1doubled.8x8.train.191,SPT,1595
j.rnd_pj1doubled.8x8.train.192,SPT,1139
j.rnd_pj1doubled.8x8.train.193,SPT,1287
j.rnd_pj1doubled.8x8.train.194,SPT,1325
j.rnd_pj1doubled.8x8.train.195,SPT,1168
j.rnd_pj1doubled.8x8.train.196,SPT,1343
j.rnd_pj1doubled.8x8.train.197,SPT,1308
j.rnd_pj1doubled.8x8.train.198,SPT,1336
j.rnd_pj1doubled.8x8.train.199,SPT,1478
j.rnd_pj1doubled.8x8.train.200,SPT,1041
j.rnd_pj1doubled.8x8.train.201,SPT,1627
j.rnd_pj1doubled.8x8.train.202,SPT,1702
j.rnd_pj1doubled.8x8.train.203,SPT,952
j.rnd_pj1doubled.8x8.train.204,SPT,1284
j.rnd_pj1doubled.8x8.train.205,SPT,1490
j.rnd_pj1doubled.8x8.train.206,SPT,1292
j.rnd_pj1doubled.8x8.train.207,SPT,942
j.rnd_pj1doubled.8x8.train.208,SPT,1005
j.rnd_pj1doubled.8x8.train.209,SPT,1384
j.rnd_pj1doubled.8x8.train.210,SPT,1480
j.rnd_pj1doubled.8x8.train.211,SPT,1451
j.rnd_pj1doubled.8x8.train.212,SPT,1541
j.rnd_pj1doubled.8x8.train.213,SPT,1304
j.rnd_pj1doubled.8x8.train.214,SPT,1169
j.rnd_pj1doubled.8x8.train.215,SPT,1363
j.rnd_pj1doubled.8x8.train.216,SPT,1084
j.rnd_pj1doubled.8x8.train.217,SPT,1223
