Name,SDR,Makespan
j.rndn.8x8.train.1,SPT,958
j.rndn.8x8.train.2,SPT,880
j.rndn.8x8.train.3,SPT,886
j.rndn.8x8.train.4,SPT,875
j.rndn.8x8.train.5,SPT,902
j.rndn.8x8.train.6,SPT,856
j.rndn.8x8.train.7,SPT,1031
j.rndn.8x8.train.8,SPT,929
j.rndn.8x8.train.9,SPT,918
j.rndn.8x8.train.10,SPT,815
j.rndn.8x8.train.11,SPT,898
j.rndn.8x8.train.12,SPT,837
j.rndn.8x8.train.13,SPT,853
j.rndn.8x8.train.14,SPT,881
j.rndn.8x8.train.15,SPT,898
j.rndn.8x8.train.16,SPT,794
j.rndn.8x8.train.17,SPT,933
j.rndn.8x8.train.18,SPT,858
j.rndn.8x8.train.19,SPT,861
j.rndn.8x8.train.20,SPT,828
j.rndn.8x8.train.21,SPT,943
j.rndn.8x8.train.22,SPT,880
j.rndn.8x8.train.23,SPT,996
j.rndn.8x8.train.24,SPT,896
j.rndn.8x8.train.25,SPT,793
j.rndn.8x8.train.26,SPT,934
j.rndn.8x8.train.27,SPT,826
j.rndn.8x8.train.28,SPT,1021
j.rndn.8x8.train.29,SPT,892
j.rndn.8x8.train.30,SPT,895
j.rndn.8x8.train.31,SPT,931
j.rndn.8x8.train.32,SPT,947
j.rndn.8x8.train.33,SPT,995
j.rndn.8x8.train.34,SPT,841
j.rndn.8x8.train.35,SPT,916
j.rndn.8x8.train.36,SPT,904
j.rndn.8x8.train.37,SPT,701
j.rndn.8x8.train.38,SPT,1021
j.rndn.8x8.train.39,SPT,930
j.rndn.8x8.train.40,SPT,906
j.rndn.8x8.train.41,SPT,883
j.rndn.8x8.train.42,SPT,967
j.rndn.8x8.train.43,SPT,870
j.rndn.8x8.train.44,SPT,932
j.rndn.8x8.train.45,SPT,923
j.rndn.8x8.train.46,SPT,952
j.rndn.8x8.train.47,SPT,848
j.rndn.8x8.train.48,SPT,797
j.rndn.8x8.train.49,SPT,849
j.rndn.8x8.train.50,SPT,747
j.rndn.8x8.train.51,SPT,844
j.rndn.8x8.train.52,SPT,948
j.rndn.8x8.train.53,SPT,964
j.rndn.8x8.train.54,SPT,992
j.rndn.8x8.train.55,SPT,852
j.rndn.8x8.train.56,SPT,931
j.rndn.8x8.train.57,SPT,844
j.rndn.8x8.train.58,SPT,1001
j.rndn.8x8.train.59,SPT,893
j.rndn.8x8.train.60,SPT,1095
j.rndn.8x8.train.61,SPT,794
j.rndn.8x8.train.62,SPT,820
j.rndn.8x8.train.63,SPT,848
j.rndn.8x8.train.64,SPT,796
j.rndn.8x8.train.65,SPT,896
j.rndn.8x8.train.66,SPT,798
j.rndn.8x8.train.67,SPT,895
j.rndn.8x8.train.68,SPT,841
j.rndn.8x8.train.69,SPT,1103
j.rndn.8x8.train.70,SPT,1029
j.rndn.8x8.train.71,SPT,787
j.rndn.8x8.train.72,SPT,837
j.rndn.8x8.train.73,SPT,1047
j.rndn.8x8.train.74,SPT,825
j.rndn.8x8.train.75,SPT,889
j.rndn.8x8.train.76,SPT,794
j.rndn.8x8.train.77,SPT,846
j.rndn.8x8.train.78,SPT,847
j.rndn.8x8.train.79,SPT,850
j.rndn.8x8.train.80,SPT,824
j.rndn.8x8.train.81,SPT,864
j.rndn.8x8.train.82,SPT,841
