Name,CDR,Makespan,BestFoundMakespan
j.rnd.6x5.train.1,phi.LPT.E-1,559,559
j.rnd.6x5.train.2,phi.LPT.E-1,408,408
j.rnd.6x5.train.3,phi.LPT.E-1,378,378
j.rnd.6x5.train.4,phi.LPT.E-1,529,529
j.rnd.6x5.train.5,phi.LPT.E-1,463,463
j.rnd.6x5.train.6,phi.LPT.E-1,563,563
j.rnd.6x5.train.7,phi.LPT.E-1,510,510
j.rnd.6x5.train.8,phi.LPT.E-1,590,590
j.rnd.6x5.train.9,phi.LPT.E-1,465,465
j.rnd.6x5.train.10,phi.LPT.E-1,511,511
j.rnd.6x5.train.11,phi.LPT.E-1,571,571
j.rnd.6x5.train.12,phi.LPT.E-1,468,468
j.rnd.6x5.train.13,phi.LPT.E-1,555,555
j.rnd.6x5.train.14,phi.LPT.E-1,587,587
j.rnd.6x5.train.15,phi.LPT.E-1,515,515
j.rnd.6x5.train.16,phi.LPT.E-1,570,570
j.rnd.6x5.train.17,phi.LPT.E-1,529,529
j.rnd.6x5.train.18,phi.LPT.E-1,572,572
j.rnd.6x5.train.19,phi.LPT.E-1,651,651
j.rnd.6x5.train.20,phi.LPT.E-1,448,448
j.rnd.6x5.train.21,phi.LPT.E-1,428,428
j.rnd.6x5.train.22,phi.LPT.E-1,569,569
j.rnd.6x5.train.23,phi.LPT.E-1,494,494
j.rnd.6x5.train.24,phi.LPT.E-1,498,498
j.rnd.6x5.train.25,phi.LPT.E-1,513,513
j.rnd.6x5.train.26,phi.LPT.E-1,576,576
j.rnd.6x5.train.27,phi.LPT.E-1,466,466
j.rnd.6x5.train.28,phi.LPT.E-1,411,411
j.rnd.6x5.train.29,phi.LPT.E-1,584,584
j.rnd.6x5.train.30,phi.LPT.E-1,485,485
j.rnd.6x5.train.31,phi.LPT.E-1,480,480
j.rnd.6x5.train.32,phi.LPT.E-1,582,582
j.rnd.6x5.train.33,phi.LPT.E-1,485,485
j.rnd.6x5.train.34,phi.LPT.E-1,589,589
j.rnd.6x5.train.35,phi.LPT.E-1,594,594
j.rnd.6x5.train.36,phi.LPT.E-1,543,543
j.rnd.6x5.train.37,phi.LPT.E-1,460,460
j.rnd.6x5.train.38,phi.LPT.E-1,564,564
j.rnd.6x5.train.39,phi.LPT.E-1,501,501
j.rnd.6x5.train.40,phi.LPT.E-1,452,452
