Name,CDR,Makespan
j.rnd_pj1doubled.6x5.train.1,phi.LPT.E-1,734
j.rnd_pj1doubled.6x5.train.2,phi.LPT.E-1,548
j.rnd_pj1doubled.6x5.train.3,phi.LPT.E-1,445
j.rnd_pj1doubled.6x5.train.4,phi.LPT.E-1,673
j.rnd_pj1doubled.6x5.train.5,phi.LPT.E-1,634
j.rnd_pj1doubled.6x5.train.6,phi.LPT.E-1,661
j.rnd_pj1doubled.6x5.train.7,phi.LPT.E-1,686
j.rnd_pj1doubled.6x5.train.8,phi.LPT.E-1,622
j.rnd_pj1doubled.6x5.train.9,phi.LPT.E-1,598
j.rnd_pj1doubled.6x5.train.10,phi.LPT.E-1,671
j.rnd_pj1doubled.6x5.train.11,phi.LPT.E-1,661
j.rnd_pj1doubled.6x5.train.12,phi.LPT.E-1,529
j.rnd_pj1doubled.6x5.train.13,phi.LPT.E-1,769
j.rnd_pj1doubled.6x5.train.14,phi.LPT.E-1,586
j.rnd_pj1doubled.6x5.train.15,phi.LPT.E-1,857
j.rnd_pj1doubled.6x5.train.16,phi.LPT.E-1,755
j.rnd_pj1doubled.6x5.train.17,phi.LPT.E-1,909
j.rnd_pj1doubled.6x5.train.18,phi.LPT.E-1,831
j.rnd_pj1doubled.6x5.train.19,phi.LPT.E-1,678
j.rnd_pj1doubled.6x5.train.20,phi.LPT.E-1,498
j.rnd_pj1doubled.6x5.train.21,phi.LPT.E-1,611
j.rnd_pj1doubled.6x5.train.22,phi.LPT.E-1,784
j.rnd_pj1doubled.6x5.train.23,phi.LPT.E-1,675
j.rnd_pj1doubled.6x5.train.24,phi.LPT.E-1,554
j.rnd_pj1doubled.6x5.train.25,phi.LPT.E-1,545
j.rnd_pj1doubled.6x5.train.26,phi.LPT.E-1,602
j.rnd_pj1doubled.6x5.train.27,phi.LPT.E-1,569
j.rnd_pj1doubled.6x5.train.28,phi.LPT.E-1,760
j.rnd_pj1doubled.6x5.train.29,phi.LPT.E-1,667
j.rnd_pj1doubled.6x5.train.30,phi.LPT.E-1,588
j.rnd_pj1doubled.6x5.train.31,phi.LPT.E-1,612
j.rnd_pj1doubled.6x5.train.32,phi.LPT.E-1,737
j.rnd_pj1doubled.6x5.train.33,phi.LPT.E-1,572
j.rnd_pj1doubled.6x5.train.34,phi.LPT.E-1,713
j.rnd_pj1doubled.6x5.train.35,phi.LPT.E-1,818
j.rnd_pj1doubled.6x5.train.36,phi.LPT.E-1,656
j.rnd_pj1doubled.6x5.train.37,phi.LPT.E-1,568
j.rnd_pj1doubled.6x5.train.38,phi.LPT.E-1,901
j.rnd_pj1doubled.6x5.train.39,phi.LPT.E-1,746
j.rnd_pj1doubled.6x5.train.40,phi.LPT.E-1,538
j.rnd_pj1doubled.6x5.train.41,phi.LPT.E-1,545
j.rnd_pj1doubled.6x5.train.42,phi.LPT.E-1,575
j.rnd_pj1doubled.6x5.train.43,phi.LPT.E-1,497
j.rnd_pj1doubled.6x5.train.44,phi.LPT.E-1,551
j.rnd_pj1doubled.6x5.train.45,phi.LPT.E-1,645
j.rnd_pj1doubled.6x5.train.46,phi.LPT.E-1,769
j.rnd_pj1doubled.6x5.train.47,phi.LPT.E-1,756
j.rnd_pj1doubled.6x5.train.48,phi.LPT.E-1,610
j.rnd_pj1doubled.6x5.train.49,phi.LPT.E-1,625
