Name,CDR,Makespan,BestFoundMakespan
j.rnd.6x5.train.1,phi.LPT.E1,793,591
j.rnd.6x5.train.2,phi.LPT.E1,678,513
j.rnd.6x5.train.3,phi.LPT.E1,710,472
j.rnd.6x5.train.4,phi.LPT.E1,837,523
j.rnd.6x5.train.5,phi.LPT.E1,707,524
j.rnd.6x5.train.6,phi.LPT.E1,857,583
j.rnd.6x5.train.7,phi.LPT.E1,778,536
j.rnd.6x5.train.8,phi.LPT.E1,768,605
j.rnd.6x5.train.9,phi.LPT.E1,834,554
j.rnd.6x5.train.10,phi.LPT.E1,756,546
j.rnd.6x5.train.11,phi.LPT.E1,784,571
j.rnd.6x5.train.12,phi.LPT.E1,722,496
j.rnd.6x5.train.13,phi.LPT.E1,778,657
j.rnd.6x5.train.14,phi.LPT.E1,735,583
j.rnd.6x5.train.15,phi.LPT.E1,883,597
j.rnd.6x5.train.16,phi.LPT.E1,778,619
j.rnd.6x5.train.17,phi.LPT.E1,786,611
j.rnd.6x5.train.18,phi.LPT.E1,762,534
j.rnd.6x5.train.19,phi.LPT.E1,855,672
j.rnd.6x5.train.20,phi.LPT.E1,671,477
j.rnd.6x5.train.21,phi.LPT.E1,793,472
j.rnd.6x5.train.22,phi.LPT.E1,812,593
j.rnd.6x5.train.23,phi.LPT.E1,859,706
j.rnd.6x5.train.24,phi.LPT.E1,811,539
j.rnd.6x5.train.25,phi.LPT.E1,737,515
j.rnd.6x5.train.26,phi.LPT.E1,796,629
j.rnd.6x5.train.27,phi.LPT.E1,682,510
j.rnd.6x5.train.28,phi.LPT.E1,665,411
j.rnd.6x5.train.29,phi.LPT.E1,746,622
j.rnd.6x5.train.30,phi.LPT.E1,731,523
j.rnd.6x5.train.31,phi.LPT.E1,770,534
j.rnd.6x5.train.32,phi.LPT.E1,865,643
j.rnd.6x5.train.33,phi.LPT.E1,748,485
j.rnd.6x5.train.34,phi.LPT.E1,864,665
j.rnd.6x5.train.35,phi.LPT.E1,968,772
j.rnd.6x5.train.36,phi.LPT.E1,739,449
j.rnd.6x5.train.37,phi.LPT.E1,715,508
j.rnd.6x5.train.38,phi.LPT.E1,806,603
j.rnd.6x5.train.39,phi.LPT.E1,707,529
j.rnd.6x5.train.40,phi.LPT.E1,703,518
j.rnd.6x5.train.41,phi.LPT.E1,741,557
j.rnd.6x5.train.42,phi.LPT.E1,661,500
j.rnd.6x5.train.43,phi.LPT.E1,586,425
j.rnd.6x5.train.44,phi.LPT.E1,768,533
j.rnd.6x5.train.45,phi.LPT.E1,827,609
j.rnd.6x5.train.46,phi.LPT.E1,833,650
j.rnd.6x5.train.47,phi.LPT.E1,944,599
j.rnd.6x5.train.48,phi.LPT.E1,815,542
j.rnd.6x5.train.49,phi.LPT.E1,882,569
j.rnd.6x5.train.50,phi.LPT.E1,779,561
j.rnd.6x5.train.51,phi.LPT.E1,768,655
j.rnd.6x5.train.52,phi.LPT.E1,899,648
j.rnd.6x5.train.53,phi.LPT.E1,769,548
j.rnd.6x5.train.54,phi.LPT.E1,884,721
j.rnd.6x5.train.55,phi.LPT.E1,888,584
j.rnd.6x5.train.56,phi.LPT.E1,732,554
j.rnd.6x5.train.57,phi.LPT.E1,727,542
j.rnd.6x5.train.58,phi.LPT.E1,958,600
j.rnd.6x5.train.59,phi.LPT.E1,770,578
j.rnd.6x5.train.60,phi.LPT.E1,815,650
j.rnd.6x5.train.61,phi.LPT.E1,716,574
j.rnd.6x5.train.62,phi.LPT.E1,843,568
j.rnd.6x5.train.63,phi.LPT.E1,799,590
j.rnd.6x5.train.64,phi.LPT.E1,824,556
j.rnd.6x5.train.65,phi.LPT.E1,834,574
j.rnd.6x5.train.66,phi.LPT.E1,741,594
j.rnd.6x5.train.67,phi.LPT.E1,700,520
j.rnd.6x5.train.68,phi.LPT.E1,781,515
j.rnd.6x5.train.69,phi.LPT.E1,737,567
j.rnd.6x5.train.70,phi.LPT.E1,806,601
j.rnd.6x5.train.71,phi.LPT.E1,870,575
j.rnd.6x5.train.72,phi.LPT.E1,901,634
j.rnd.6x5.train.73,phi.LPT.E1,730,527
j.rnd.6x5.train.74,phi.LPT.E1,721,430
j.rnd.6x5.train.75,phi.LPT.E1,772,592
j.rnd.6x5.train.76,phi.LPT.E1,829,585
j.rnd.6x5.train.77,phi.LPT.E1,791,540
j.rnd.6x5.train.78,phi.LPT.E1,796,589
j.rnd.6x5.train.79,phi.LPT.E1,879,526
j.rnd.6x5.train.80,phi.LPT.E1,732,528
j.rnd.6x5.train.81,phi.LPT.E1,727,465
j.rnd.6x5.train.82,phi.LPT.E1,802,589
j.rnd.6x5.train.83,phi.LPT.E1,789,630
j.rnd.6x5.train.84,phi.LPT.E1,729,537
j.rnd.6x5.train.85,phi.LPT.E1,881,601
j.rnd.6x5.train.86,phi.LPT.E1,611,445
j.rnd.6x5.train.87,phi.LPT.E1,936,635
j.rnd.6x5.train.88,phi.LPT.E1,805,482
j.rnd.6x5.train.89,phi.LPT.E1,716,579
j.rnd.6x5.train.90,phi.LPT.E1,745,583
j.rnd.6x5.train.91,phi.LPT.E1,828,582
j.rnd.6x5.train.92,phi.LPT.E1,938,634
j.rnd.6x5.train.93,phi.LPT.E1,643,437
j.rnd.6x5.train.94,phi.LPT.E1,788,549
j.rnd.6x5.train.95,phi.LPT.E1,709,560
j.rnd.6x5.train.96,phi.LPT.E1,858,574
j.rnd.6x5.train.97,phi.LPT.E1,791,548
j.rnd.6x5.train.98,phi.LPT.E1,876,534
j.rnd.6x5.train.99,phi.LPT.E1,910,672
j.rnd.6x5.train.100,phi.LPT.E1,1010,743
j.rnd.6x5.train.101,phi.LPT.E1,680,559
j.rnd.6x5.train.102,phi.LPT.E1,842,592
j.rnd.6x5.train.103,phi.LPT.E1,791,488
j.rnd.6x5.train.104,phi.LPT.E1,781,497
j.rnd.6x5.train.105,phi.LPT.E1,792,541
j.rnd.6x5.train.106,phi.LPT.E1,783,571
j.rnd.6x5.train.107,phi.LPT.E1,999,760
j.rnd.6x5.train.108,phi.LPT.E1,756,510
j.rnd.6x5.train.109,phi.LPT.E1,753,528
j.rnd.6x5.train.110,phi.LPT.E1,778,515
j.rnd.6x5.train.111,phi.LPT.E1,851,553
j.rnd.6x5.train.112,phi.LPT.E1,686,466
j.rnd.6x5.train.113,phi.LPT.E1,715,551
