Name,CDR,Makespan,BestFoundMakespan
j.rndn.10x10.train.1,phi.LPT.E1,1459,1098
j.rndn.10x10.train.2,phi.LPT.E1,1363,1007
j.rndn.10x10.train.3,phi.LPT.E1,1391,995
j.rndn.10x10.train.4,phi.LPT.E1,1415,1065
j.rndn.10x10.train.5,phi.LPT.E1,1391,1017
j.rndn.10x10.train.6,phi.LPT.E1,1376,1018
j.rndn.10x10.train.7,phi.LPT.E1,1499,1091
j.rndn.10x10.train.8,phi.LPT.E1,1452,1054
j.rndn.10x10.train.9,phi.LPT.E1,1496,1072
j.rndn.10x10.train.10,phi.LPT.E1,1454,976
j.rndn.10x10.train.11,phi.LPT.E1,1423,981
j.rndn.10x10.train.12,phi.LPT.E1,1568,1041
j.rndn.10x10.train.13,phi.LPT.E1,1515,1063
j.rndn.10x10.train.14,phi.LPT.E1,1352,1048
j.rndn.10x10.train.15,phi.LPT.E1,1564,1063
j.rndn.10x10.train.16,phi.LPT.E1,1416,1062
j.rndn.10x10.train.17,phi.LPT.E1,1402,1001
j.rndn.10x10.train.18,phi.LPT.E1,1429,1014
j.rndn.10x10.train.19,phi.LPT.E1,1471,1055
j.rndn.10x10.train.20,phi.LPT.E1,1477,1102
j.rndn.10x10.train.21,phi.LPT.E1,1370,1110
j.rndn.10x10.train.22,phi.LPT.E1,1510,1035
j.rndn.10x10.train.23,phi.LPT.E1,1454,1102
j.rndn.10x10.train.24,phi.LPT.E1,1403,991
j.rndn.10x10.train.25,phi.LPT.E1,1332,1047
j.rndn.10x10.train.26,phi.LPT.E1,1473,1034
j.rndn.10x10.train.27,phi.LPT.E1,1427,983
j.rndn.10x10.train.28,phi.LPT.E1,1402,983
j.rndn.10x10.train.29,phi.LPT.E1,1495,1014
j.rndn.10x10.train.30,phi.LPT.E1,1512,967
j.rndn.10x10.train.31,phi.LPT.E1,1456,1031
j.rndn.10x10.train.32,phi.LPT.E1,1422,1008
j.rndn.10x10.train.33,phi.LPT.E1,1521,1069
j.rndn.10x10.train.34,phi.LPT.E1,1563,1003
j.rndn.10x10.train.35,phi.LPT.E1,1333,974
j.rndn.10x10.train.36,phi.LPT.E1,1328,1089
j.rndn.10x10.train.37,phi.LPT.E1,1522,1100
j.rndn.10x10.train.38,phi.LPT.E1,1345,989
j.rndn.10x10.train.39,phi.LPT.E1,1406,1001
j.rndn.10x10.train.40,phi.LPT.E1,1423,1046
j.rndn.10x10.train.41,phi.LPT.E1,1459,996
j.rndn.10x10.train.42,phi.LPT.E1,1448,1069
j.rndn.10x10.train.43,phi.LPT.E1,1538,997
j.rndn.10x10.train.44,phi.LPT.E1,1560,1148
j.rndn.10x10.train.45,phi.LPT.E1,1540,998
j.rndn.10x10.train.46,phi.LPT.E1,1418,1063
j.rndn.10x10.train.47,phi.LPT.E1,1288,1006
j.rndn.10x10.train.48,phi.LPT.E1,1558,1054
j.rndn.10x10.train.49,phi.LPT.E1,1554,1020
j.rndn.10x10.train.50,phi.LPT.E1,1345,1052
j.rndn.10x10.train.51,phi.LPT.E1,1508,1034
j.rndn.10x10.train.52,phi.LPT.E1,1406,1100
j.rndn.10x10.train.53,phi.LPT.E1,1302,971
j.rndn.10x10.train.54,phi.LPT.E1,1569,1011
j.rndn.10x10.train.55,phi.LPT.E1,1468,1013
j.rndn.10x10.train.56,phi.LPT.E1,1334,946
j.rndn.10x10.train.57,phi.LPT.E1,1548,1239
j.rndn.10x10.train.58,phi.LPT.E1,1456,985
j.rndn.10x10.train.59,phi.LPT.E1,1425,980
j.rndn.10x10.train.60,phi.LPT.E1,1344,1010
j.rndn.10x10.train.61,phi.LPT.E1,1479,1049
j.rndn.10x10.train.62,phi.LPT.E1,1395,995
j.rndn.10x10.train.63,phi.LPT.E1,1370,1101
j.rndn.10x10.train.64,phi.LPT.E1,1313,921
j.rndn.10x10.train.65,phi.LPT.E1,1476,1074
j.rndn.10x10.train.66,phi.LPT.E1,1496,1051
j.rndn.10x10.train.67,phi.LPT.E1,1512,1049
j.rndn.10x10.train.68,phi.LPT.E1,1556,958
j.rndn.10x10.train.69,phi.LPT.E1,1477,1097
j.rndn.10x10.train.70,phi.LPT.E1,1356,1053
j.rndn.10x10.train.71,phi.LPT.E1,1425,966
j.rndn.10x10.train.72,phi.LPT.E1,1412,1103
j.rndn.10x10.train.73,phi.LPT.E1,1475,1067
j.rndn.10x10.train.74,phi.LPT.E1,1449,944
j.rndn.10x10.train.75,phi.LPT.E1,1379,968
j.rndn.10x10.train.76,phi.LPT.E1,1421,1045
j.rndn.10x10.train.77,phi.LPT.E1,1344,1006
j.rndn.10x10.train.78,phi.LPT.E1,1500,1109
j.rndn.10x10.train.79,phi.LPT.E1,1451,1041
j.rndn.10x10.train.80,phi.LPT.E1,1351,1075
j.rndn.10x10.train.81,phi.LPT.E1,1359,1042
j.rndn.10x10.train.82,phi.LPT.E1,1359,998
j.rndn.10x10.train.83,phi.LPT.E1,1397,1060
j.rndn.10x10.train.84,phi.LPT.E1,1496,983
j.rndn.10x10.train.85,phi.LPT.E1,1360,999
j.rndn.10x10.train.86,phi.LPT.E1,1297,1003
j.rndn.10x10.train.87,phi.LPT.E1,1403,971
j.rndn.10x10.train.88,phi.LPT.E1,1405,1057
j.rndn.10x10.train.89,phi.LPT.E1,1430,1023
j.rndn.10x10.train.90,phi.LPT.E1,1386,1076
j.rndn.10x10.train.91,phi.LPT.E1,1393,1028
j.rndn.10x10.train.92,phi.LPT.E1,1406,1046
j.rndn.10x10.train.93,phi.LPT.E1,1353,1039
j.rndn.10x10.train.94,phi.LPT.E1,1446,1000
j.rndn.10x10.train.95,phi.LPT.E1,1315,941
j.rndn.10x10.train.96,phi.LPT.E1,1412,961
j.rndn.10x10.train.97,phi.LPT.E1,1454,1089
j.rndn.10x10.train.98,phi.LPT.E1,1351,940
j.rndn.10x10.train.99,phi.LPT.E1,1445,1068
j.rndn.10x10.train.100,phi.LPT.E1,1415,1018
j.rndn.10x10.train.101,phi.LPT.E1,1448,1060
j.rndn.10x10.train.102,phi.LPT.E1,1535,1037
j.rndn.10x10.train.103,phi.LPT.E1,1556,1096
j.rndn.10x10.train.104,phi.LPT.E1,1562,1103
j.rndn.10x10.train.105,phi.LPT.E1,1525,1038
j.rndn.10x10.train.106,phi.LPT.E1,1530,1062
j.rndn.10x10.train.107,phi.LPT.E1,1413,1024
j.rndn.10x10.train.108,phi.LPT.E1,1411,964
j.rndn.10x10.train.109,phi.LPT.E1,1355,958
j.rndn.10x10.train.110,phi.LPT.E1,1517,1169
j.rndn.10x10.train.111,phi.LPT.E1,1328,1012
j.rndn.10x10.train.112,phi.LPT.E1,1341,1061
j.rndn.10x10.train.113,phi.LPT.E1,1618,1149
j.rndn.10x10.train.114,phi.LPT.E1,1551,953
j.rndn.10x10.train.115,phi.LPT.E1,1464,1062
j.rndn.10x10.train.116,phi.LPT.E1,1334,1010
j.rndn.10x10.train.117,phi.LPT.E1,1442,1037
j.rndn.10x10.train.118,phi.LPT.E1,1331,1041
j.rndn.10x10.train.119,phi.LPT.E1,1443,1004
j.rndn.10x10.train.120,phi.LPT.E1,1354,990
j.rndn.10x10.train.121,phi.LPT.E1,1337,1098
j.rndn.10x10.train.122,phi.LPT.E1,1388,951
j.rndn.10x10.train.123,phi.LPT.E1,1532,1100
j.rndn.10x10.train.124,phi.LPT.E1,1315,949
j.rndn.10x10.train.125,phi.LPT.E1,1463,1014
j.rndn.10x10.train.126,phi.LPT.E1,1444,994
j.rndn.10x10.train.127,phi.LPT.E1,1506,1054
j.rndn.10x10.train.128,phi.LPT.E1,1521,1094
j.rndn.10x10.train.129,phi.LPT.E1,1541,1121
j.rndn.10x10.train.130,phi.LPT.E1,1358,1013
j.rndn.10x10.train.131,phi.LPT.E1,1457,1036
j.rndn.10x10.train.132,phi.LPT.E1,1593,1047
j.rndn.10x10.train.133,phi.LPT.E1,1370,1001
j.rndn.10x10.train.134,phi.LPT.E1,1310,1045
j.rndn.10x10.train.135,phi.LPT.E1,1445,991
j.rndn.10x10.train.136,phi.LPT.E1,1692,1184
j.rndn.10x10.train.137,phi.LPT.E1,1378,1123
j.rndn.10x10.train.138,phi.LPT.E1,1455,984
j.rndn.10x10.train.139,phi.LPT.E1,1451,1003
j.rndn.10x10.train.140,phi.LPT.E1,1427,1018
j.rndn.10x10.train.141,phi.LPT.E1,1556,1101
j.rndn.10x10.train.142,phi.LPT.E1,1407,1028
j.rndn.10x10.train.143,phi.LPT.E1,1460,1067
j.rndn.10x10.train.144,phi.LPT.E1,1506,1047
j.rndn.10x10.train.145,phi.LPT.E1,1381,1043
j.rndn.10x10.train.146,phi.LPT.E1,1433,1009
j.rndn.10x10.train.147,phi.LPT.E1,1403,1095
j.rndn.10x10.train.148,phi.LPT.E1,1392,990
j.rndn.10x10.train.149,phi.LPT.E1,1420,1122
j.rndn.10x10.train.150,phi.LPT.E1,1355,1006
j.rndn.10x10.train.151,phi.LPT.E1,1498,1026
j.rndn.10x10.train.152,phi.LPT.E1,1464,966
j.rndn.10x10.train.153,phi.LPT.E1,1563,973
j.rndn.10x10.train.154,phi.LPT.E1,1545,1062
j.rndn.10x10.train.155,phi.LPT.E1,1493,1014
j.rndn.10x10.train.156,phi.LPT.E1,1431,1034
j.rndn.10x10.train.157,phi.LPT.E1,1525,1182
j.rndn.10x10.train.158,phi.LPT.E1,1385,1038
j.rndn.10x10.train.159,phi.LPT.E1,1555,1001
j.rndn.10x10.train.160,phi.LPT.E1,1366,1003
j.rndn.10x10.train.161,phi.LPT.E1,1411,996
j.rndn.10x10.train.162,phi.LPT.E1,1432,1007
j.rndn.10x10.train.163,phi.LPT.E1,1457,1081
j.rndn.10x10.train.164,phi.LPT.E1,1391,1047
j.rndn.10x10.train.165,phi.LPT.E1,1429,950
j.rndn.10x10.train.166,phi.LPT.E1,1424,1051
j.rndn.10x10.train.167,phi.LPT.E1,1434,1107
j.rndn.10x10.train.168,phi.LPT.E1,1614,1114
j.rndn.10x10.train.169,phi.LPT.E1,1430,1034
j.rndn.10x10.train.170,phi.LPT.E1,1572,1058
j.rndn.10x10.train.171,phi.LPT.E1,1490,1082
j.rndn.10x10.train.172,phi.LPT.E1,1413,1003
j.rndn.10x10.train.173,phi.LPT.E1,1366,978
j.rndn.10x10.train.174,phi.LPT.E1,1357,1004
j.rndn.10x10.train.175,phi.LPT.E1,1474,1124
j.rndn.10x10.train.176,phi.LPT.E1,1516,1108
j.rndn.10x10.train.177,phi.LPT.E1,1498,1088
j.rndn.10x10.train.178,phi.LPT.E1,1362,967
j.rndn.10x10.train.179,phi.LPT.E1,1506,1117
j.rndn.10x10.train.180,phi.LPT.E1,1428,1061
j.rndn.10x10.train.181,phi.LPT.E1,1468,1007
j.rndn.10x10.train.182,phi.LPT.E1,1464,1070
j.rndn.10x10.train.183,phi.LPT.E1,1464,1059
j.rndn.10x10.train.184,phi.LPT.E1,1445,1019
j.rndn.10x10.train.185,phi.LPT.E1,1484,1086
j.rndn.10x10.train.186,phi.LPT.E1,1358,953
j.rndn.10x10.train.187,phi.LPT.E1,1340,885
j.rndn.10x10.train.188,phi.LPT.E1,1326,1034
j.rndn.10x10.train.189,phi.LPT.E1,1441,1071
j.rndn.10x10.train.190,phi.LPT.E1,1221,956
j.rndn.10x10.train.191,phi.LPT.E1,1489,1085
j.rndn.10x10.train.192,phi.LPT.E1,1529,1067
j.rndn.10x10.train.193,phi.LPT.E1,1427,998
j.rndn.10x10.train.194,phi.LPT.E1,1461,997
j.rndn.10x10.train.195,phi.LPT.E1,1351,1013
j.rndn.10x10.train.196,phi.LPT.E1,1248,909
j.rndn.10x10.train.197,phi.LPT.E1,1508,1063
j.rndn.10x10.train.198,phi.LPT.E1,1414,1003
j.rndn.10x10.train.199,phi.LPT.E1,1321,955
j.rndn.10x10.train.200,phi.LPT.E1,1424,1066
j.rndn.10x10.train.201,phi.LPT.E1,1406,956
j.rndn.10x10.train.202,phi.LPT.E1,1357,1039
j.rndn.10x10.train.203,phi.LPT.E1,1344,1004
j.rndn.10x10.train.204,phi.LPT.E1,1372,978
j.rndn.10x10.train.205,phi.LPT.E1,1662,1108
j.rndn.10x10.train.206,phi.LPT.E1,1450,1090
j.rndn.10x10.train.207,phi.LPT.E1,1503,1046
j.rndn.10x10.train.208,phi.LPT.E1,1332,1078
j.rndn.10x10.train.209,phi.LPT.E1,1404,962
j.rndn.10x10.train.210,phi.LPT.E1,1408,1018
j.rndn.10x10.train.211,phi.LPT.E1,1488,1008
j.rndn.10x10.train.212,phi.LPT.E1,1352,1035
j.rndn.10x10.train.213,phi.LPT.E1,1437,992
j.rndn.10x10.train.214,phi.LPT.E1,1412,1036
j.rndn.10x10.train.215,phi.LPT.E1,1277,958
j.rndn.10x10.train.216,phi.LPT.E1,1459,1074
j.rndn.10x10.train.217,phi.LPT.E1,1415,1048
j.rndn.10x10.train.218,phi.LPT.E1,1343,990
j.rndn.10x10.train.219,phi.LPT.E1,1383,993
j.rndn.10x10.train.220,phi.LPT.E1,1446,1066
j.rndn.10x10.train.221,phi.LPT.E1,1485,1052
j.rndn.10x10.train.222,phi.LPT.E1,1521,1045
j.rndn.10x10.train.223,phi.LPT.E1,1493,1008
j.rndn.10x10.train.224,phi.LPT.E1,1396,1018
j.rndn.10x10.train.225,phi.LPT.E1,1417,961
j.rndn.10x10.train.226,phi.LPT.E1,1427,1003
j.rndn.10x10.train.227,phi.LPT.E1,1348,996
j.rndn.10x10.train.228,phi.LPT.E1,1362,978
j.rndn.10x10.train.229,phi.LPT.E1,1589,1051
j.rndn.10x10.train.230,phi.LPT.E1,1355,1025
j.rndn.10x10.train.231,phi.LPT.E1,1357,959
j.rndn.10x10.train.232,phi.LPT.E1,1401,1008
j.rndn.10x10.train.233,phi.LPT.E1,1368,1049
j.rndn.10x10.train.234,phi.LPT.E1,1554,1106
j.rndn.10x10.train.235,phi.LPT.E1,1425,985
j.rndn.10x10.train.236,phi.LPT.E1,1514,1047
j.rndn.10x10.train.237,phi.LPT.E1,1448,995
j.rndn.10x10.train.238,phi.LPT.E1,1490,993
j.rndn.10x10.train.239,phi.LPT.E1,1476,1061
j.rndn.10x10.train.240,phi.LPT.E1,1338,926
j.rndn.10x10.train.241,phi.LPT.E1,1369,959
j.rndn.10x10.train.242,phi.LPT.E1,1319,972
j.rndn.10x10.train.243,phi.LPT.E1,1294,944
j.rndn.10x10.train.244,phi.LPT.E1,1492,1044
j.rndn.10x10.train.245,phi.LPT.E1,1405,950
j.rndn.10x10.train.246,phi.LPT.E1,1309,978
j.rndn.10x10.train.247,phi.LPT.E1,1395,1039
j.rndn.10x10.train.248,phi.LPT.E1,1356,1067
j.rndn.10x10.train.249,phi.LPT.E1,1333,1012
j.rndn.10x10.train.250,phi.LPT.E1,1484,1101
j.rndn.10x10.train.251,phi.LPT.E1,1395,1005
j.rndn.10x10.train.252,phi.LPT.E1,1337,1027
j.rndn.10x10.train.253,phi.LPT.E1,1406,1062
j.rndn.10x10.train.254,phi.LPT.E1,1355,1027
j.rndn.10x10.train.255,phi.LPT.E1,1451,1065
j.rndn.10x10.train.256,phi.LPT.E1,1372,999
j.rndn.10x10.train.257,phi.LPT.E1,1454,1068
