Name,CDR,Makespan,BestFoundMakespan
f.jc.6x5.train.1,phi.LWR.E1,1042,827
f.jc.6x5.train.2,phi.LWR.E1,461,390
f.jc.6x5.train.3,phi.LWR.E1,395,297
f.jc.6x5.train.4,phi.LWR.E1,660,541
f.jc.6x5.train.5,phi.LWR.E1,690,576
f.jc.6x5.train.6,phi.LWR.E1,734,637
f.jc.6x5.train.7,phi.LWR.E1,931,742
f.jc.6x5.train.8,phi.LWR.E1,876,686
f.jc.6x5.train.9,phi.LWR.E1,477,379
f.jc.6x5.train.10,phi.LWR.E1,540,441
f.jc.6x5.train.11,phi.LWR.E1,669,546
f.jc.6x5.train.12,phi.LWR.E1,515,470
f.jc.6x5.train.13,phi.LWR.E1,940,691
f.jc.6x5.train.14,phi.LWR.E1,918,695
f.jc.6x5.train.15,phi.LWR.E1,1049,807
f.jc.6x5.train.16,phi.LWR.E1,954,728
f.jc.6x5.train.17,phi.LWR.E1,474,399
f.jc.6x5.train.18,phi.LWR.E1,479,452
f.jc.6x5.train.19,phi.LWR.E1,677,558
f.jc.6x5.train.20,phi.LWR.E1,737,596
f.jc.6x5.train.21,phi.LWR.E1,626,599
f.jc.6x5.train.22,phi.LWR.E1,836,673
f.jc.6x5.train.23,phi.LWR.E1,800,695
f.jc.6x5.train.24,phi.LWR.E1,1076,822
f.jc.6x5.train.25,phi.LWR.E1,222,190
f.jc.6x5.train.26,phi.LWR.E1,584,460
f.jc.6x5.train.27,phi.LWR.E1,506,421
f.jc.6x5.train.28,phi.LWR.E1,719,558
f.jc.6x5.train.29,phi.LWR.E1,755,635
f.jc.6x5.train.30,phi.LWR.E1,922,717
f.jc.6x5.train.31,phi.LWR.E1,1052,796
f.jc.6x5.train.32,phi.LWR.E1,522,389
f.jc.6x5.train.33,phi.LWR.E1,632,426
f.jc.6x5.train.34,phi.LWR.E1,695,509
f.jc.6x5.train.35,phi.LWR.E1,761,587
f.jc.6x5.train.36,phi.LWR.E1,673,603
f.jc.6x5.train.37,phi.LWR.E1,812,593
f.jc.6x5.train.38,phi.LWR.E1,1119,739
f.jc.6x5.train.39,phi.LWR.E1,902,741
f.jc.6x5.train.40,phi.LWR.E1,230,176
f.jc.6x5.train.41,phi.LWR.E1,521,438
f.jc.6x5.train.42,phi.LWR.E1,670,483
f.jc.6x5.train.43,phi.LWR.E1,578,526
f.jc.6x5.train.44,phi.LWR.E1,776,646
f.jc.6x5.train.45,phi.LWR.E1,814,667
f.jc.6x5.train.46,phi.LWR.E1,1020,795
f.jc.6x5.train.47,phi.LWR.E1,502,414
f.jc.6x5.train.48,phi.LWR.E1,494,364
f.jc.6x5.train.49,phi.LWR.E1,465,449
f.jc.6x5.train.50,phi.LWR.E1,625,549
f.jc.6x5.train.51,phi.LWR.E1,728,572
f.jc.6x5.train.52,phi.LWR.E1,850,709
f.jc.6x5.train.53,phi.LWR.E1,763,641
f.jc.6x5.train.54,phi.LWR.E1,1023,864
f.jc.6x5.train.55,phi.LWR.E1,520,422
f.jc.6x5.train.56,phi.LWR.E1,567,452
f.jc.6x5.train.57,phi.LWR.E1,602,510
f.jc.6x5.train.58,phi.LWR.E1,665,548
f.jc.6x5.train.59,phi.LWR.E1,720,576
f.jc.6x5.train.60,phi.LWR.E1,795,702
f.jc.6x5.train.61,phi.LWR.E1,1021,762
f.jc.6x5.train.62,phi.LWR.E1,1059,824
f.jc.6x5.train.63,phi.LWR.E1,477,387
f.jc.6x5.train.64,phi.LWR.E1,504,464
f.jc.6x5.train.65,phi.LWR.E1,534,489
f.jc.6x5.train.66,phi.LWR.E1,654,574
f.jc.6x5.train.67,phi.LWR.E1,799,629
f.jc.6x5.train.68,phi.LWR.E1,829,709
f.jc.6x5.train.69,phi.LWR.E1,1004,813
f.jc.6x5.train.70,phi.LWR.E1,408,356
f.jc.6x5.train.71,phi.LWR.E1,495,391
f.jc.6x5.train.72,phi.LWR.E1,697,527
f.jc.6x5.train.73,phi.LWR.E1,660,524
f.jc.6x5.train.74,phi.LWR.E1,696,587
f.jc.6x5.train.75,phi.LWR.E1,784,654
f.jc.6x5.train.76,phi.LWR.E1,897,753
f.jc.6x5.train.77,phi.LWR.E1,1155,797
f.jc.6x5.train.78,phi.LWR.E1,420,372
f.jc.6x5.train.79,phi.LWR.E1,740,534
f.jc.6x5.train.80,phi.LWR.E1,467,390
f.jc.6x5.train.81,phi.LWR.E1,563,507
f.jc.6x5.train.82,phi.LWR.E1,750,575
f.jc.6x5.train.83,phi.LWR.E1,954,714
f.jc.6x5.train.84,phi.LWR.E1,840,765
f.jc.6x5.train.85,phi.LWR.E1,354,275
f.jc.6x5.train.86,phi.LWR.E1,366,311
f.jc.6x5.train.87,phi.LWR.E1,524,447
