Name,CDR,Makespan
j.rnd_pj1doubled.6x5.train.1,phi.LWR.E1,1085
j.rnd_pj1doubled.6x5.train.2,phi.LWR.E1,758
j.rnd_pj1doubled.6x5.train.3,phi.LWR.E1,568
j.rnd_pj1doubled.6x5.train.4,phi.LWR.E1,868
j.rnd_pj1doubled.6x5.train.5,phi.LWR.E1,833
j.rnd_pj1doubled.6x5.train.6,phi.LWR.E1,928
j.rnd_pj1doubled.6x5.train.7,phi.LWR.E1,884
j.rnd_pj1doubled.6x5.train.8,phi.LWR.E1,678
j.rnd_pj1doubled.6x5.train.9,phi.LWR.E1,749
j.rnd_pj1doubled.6x5.train.10,phi.LWR.E1,762
j.rnd_pj1doubled.6x5.train.11,phi.LWR.E1,868
j.rnd_pj1doubled.6x5.train.12,phi.LWR.E1,760
j.rnd_pj1doubled.6x5.train.13,phi.LWR.E1,852
j.rnd_pj1doubled.6x5.train.14,phi.LWR.E1,718
j.rnd_pj1doubled.6x5.train.15,phi.LWR.E1,899
j.rnd_pj1doubled.6x5.train.16,phi.LWR.E1,1020
j.rnd_pj1doubled.6x5.train.17,phi.LWR.E1,920
j.rnd_pj1doubled.6x5.train.18,phi.LWR.E1,884
j.rnd_pj1doubled.6x5.train.19,phi.LWR.E1,932
j.rnd_pj1doubled.6x5.train.20,phi.LWR.E1,760
j.rnd_pj1doubled.6x5.train.21,phi.LWR.E1,683
j.rnd_pj1doubled.6x5.train.22,phi.LWR.E1,878
j.rnd_pj1doubled.6x5.train.23,phi.LWR.E1,1003
j.rnd_pj1doubled.6x5.train.24,phi.LWR.E1,750
j.rnd_pj1doubled.6x5.train.25,phi.LWR.E1,707
j.rnd_pj1doubled.6x5.train.26,phi.LWR.E1,776
j.rnd_pj1doubled.6x5.train.27,phi.LWR.E1,745
j.rnd_pj1doubled.6x5.train.28,phi.LWR.E1,877
j.rnd_pj1doubled.6x5.train.29,phi.LWR.E1,932
j.rnd_pj1doubled.6x5.train.30,phi.LWR.E1,910
j.rnd_pj1doubled.6x5.train.31,phi.LWR.E1,667
