Name,CDR,Makespan
j.rndn.10x10.train.1,phi.LWR.E1,1281
j.rndn.10x10.train.2,phi.LWR.E1,1148
j.rndn.10x10.train.3,phi.LWR.E1,1260
j.rndn.10x10.train.4,phi.LWR.E1,1297
j.rndn.10x10.train.5,phi.LWR.E1,1310
j.rndn.10x10.train.6,phi.LWR.E1,1219
j.rndn.10x10.train.7,phi.LWR.E1,1402
j.rndn.10x10.train.8,phi.LWR.E1,1333
j.rndn.10x10.train.9,phi.LWR.E1,1172
j.rndn.10x10.train.10,phi.LWR.E1,1130
j.rndn.10x10.train.11,phi.LWR.E1,1424
j.rndn.10x10.train.12,phi.LWR.E1,1315
j.rndn.10x10.train.13,phi.LWR.E1,1223
j.rndn.10x10.train.14,phi.LWR.E1,1116
j.rndn.10x10.train.15,phi.LWR.E1,1169
j.rndn.10x10.train.16,phi.LWR.E1,1254
j.rndn.10x10.train.17,phi.LWR.E1,1323
j.rndn.10x10.train.18,phi.LWR.E1,1249
j.rndn.10x10.train.19,phi.LWR.E1,1237
j.rndn.10x10.train.20,phi.LWR.E1,1295
j.rndn.10x10.train.21,phi.LWR.E1,1216
j.rndn.10x10.train.22,phi.LWR.E1,1300
j.rndn.10x10.train.23,phi.LWR.E1,1304
j.rndn.10x10.train.24,phi.LWR.E1,1305
j.rndn.10x10.train.25,phi.LWR.E1,1196
j.rndn.10x10.train.26,phi.LWR.E1,1234
j.rndn.10x10.train.27,phi.LWR.E1,1109
j.rndn.10x10.train.28,phi.LWR.E1,1261
j.rndn.10x10.train.29,phi.LWR.E1,1322
j.rndn.10x10.train.30,phi.LWR.E1,1210
j.rndn.10x10.train.31,phi.LWR.E1,1183
j.rndn.10x10.train.32,phi.LWR.E1,1430
j.rndn.10x10.train.33,phi.LWR.E1,1232
j.rndn.10x10.train.34,phi.LWR.E1,1195
j.rndn.10x10.train.35,phi.LWR.E1,1218
j.rndn.10x10.train.36,phi.LWR.E1,1344
j.rndn.10x10.train.37,phi.LWR.E1,1209
j.rndn.10x10.train.38,phi.LWR.E1,1207
j.rndn.10x10.train.39,phi.LWR.E1,1126
j.rndn.10x10.train.40,phi.LWR.E1,1352
j.rndn.10x10.train.41,phi.LWR.E1,1147
j.rndn.10x10.train.42,phi.LWR.E1,1162
j.rndn.10x10.train.43,phi.LWR.E1,1202
j.rndn.10x10.train.44,phi.LWR.E1,1299
j.rndn.10x10.train.45,phi.LWR.E1,1402
j.rndn.10x10.train.46,phi.LWR.E1,1322
j.rndn.10x10.train.47,phi.LWR.E1,1220
j.rndn.10x10.train.48,phi.LWR.E1,1337
j.rndn.10x10.train.49,phi.LWR.E1,1222
j.rndn.10x10.train.50,phi.LWR.E1,1368
j.rndn.10x10.train.51,phi.LWR.E1,1261
j.rndn.10x10.train.52,phi.LWR.E1,1273
j.rndn.10x10.train.53,phi.LWR.E1,1258
j.rndn.10x10.train.54,phi.LWR.E1,1378
j.rndn.10x10.train.55,phi.LWR.E1,1220
